vendor_page_id	vendor_name	tax_id	address	notion_outstanding_balance	xero_q3_accpay_total	delta_xero_minus_notion	reconciliation_flag
page-vendor-042	Olney Industrial Supply	85-8447283	3172 Aramingo Avenue Philadelphia PA	485.99	9535.93	9049.94	noise
page-vendor-043	Feltonville Fasteners	46-3895355	9607 Roosevelt Avenue Philadelphia PA	2750.80	2225.72	-525.08	noise
page-vendor-044	West Kensington Wholesale	46-9603681	1517 Lehigh Avenue Philadelphia PA	1650.36	1816.22	165.86	noise
page-vendor-045	Cobbs Creek Plumbing Co	23-3855313	9900 Stenton Avenue Philadelphia PA	588.00	3095.59	2507.59	noise
page-vendor-046	Mount Airy Hardware	83-2109394	8268 Castor Avenue Philadelphia PA	2527.41	5856.43	3329.02	noise
page-vendor-047	Eastwick Welding Supply	26-2061505	4280 Stenton Avenue Philadelphia PA	1987.33	1744.34	-242.99	noise
page-vendor-048	Allegheny West Trade Supply	85-2230845	1503 Kelly Avenue Philadelphia PA	2005.39	848.80	-1156.59	noise
page-vendor-049	Logan Square Material	82-1909673	2348 Cheltenham Avenue Philadelphia PA	2533.72	4985.90	2452.18	noise
page-vendor-050	Powelton Pipe and Drain	23-2646893	4129 Allegheny Avenue Philadelphia PA	2662.56	0.00	-2662.56	noise
page-vendor-051	Cedar Park Industrial	47-2269258	665 Ridge Avenue Philadelphia PA	3993.32	0.00	-3993.32	noise
page-vendor-052	Mill Creek Supply Co	82-9940443	2370 Henry Avenue Philadelphia PA	3453.01	3083.14	-369.87	noise
page-vendor-053	Stenton Avenue Hardware	26-5089249	2054 Cottman Avenue Philadelphia PA	1121.14	2598.24	1477.10	noise
page-vendor-054	Hartranft Wholesale	85-7425665	4659 Cheltenham Avenue Philadelphia PA	1434.33	0.00	-1434.33	noise
page-vendor-055	Juniata Park Goods	26-9367583	545 Allegheny Avenue Philadelphia PA	3763.29	0.00	-3763.29	noise
page-vendor-056	Lawncrest Hardware	27-9579781	8835 Kelly Avenue Philadelphia PA	4088.26	0.00	-4088.26	noise
page-vendor-057	Holmesburg Tool Co	82-8147106	9618 Lehigh Avenue Philadelphia PA	421.52	5898.74	5477.22	noise
page-vendor-058	Mayfair Plumbing Supply	26-8145440	8275 Castor Avenue Philadelphia PA	1061.30	1705.20	643.90	noise
page-vendor-059	Bustleton Industrial	26-8062353	1683 Frankford Avenue Philadelphia PA	2332.53	2254.15	-78.38	noise
page-vendor-060	Northeast Plumbing Wholesale	27-1574475	6125 Roosevelt Avenue Philadelphia PA	673.55	0.00	-673.55	noise
page-vendor-061	Far Northeast Supply	85-8527479	3260 Lehigh Avenue Philadelphia PA	3379.95	2334.44	-1045.51	noise
page-vendor-062	Somerton Hardware Plus	85-7610166	215 Roosevelt Avenue Philadelphia PA	3310.25	9323.07	6012.82	noise
page-vendor-063	Bridge Street Tools	47-8014822	6908 Henry Avenue Philadelphia PA	3207.05	4910.66	1703.61	noise
page-vendor-064	Castor Avenue Supply	81-8448205	8446 Ridge Avenue Philadelphia PA	4489.09	8033.53	3544.44	noise
page-vendor-065	Pratt Pipe and Stack	82-2306095	3798 Spring Garden Avenue Philadelphia PA	3309.60	3633.00	323.40	noise
page-vendor-066	Tabor Industrial Goods	27-8032617	6859 Kelly Avenue Philadelphia PA	972.44	9820.57	8848.13	noise
page-vendor-067	Lawnton Plumbing Wholesale	83-6370614	3385 Lancaster Avenue Philadelphia PA	1346.04	4445.98	3099.94	noise
page-vendor-068	Rhawnhurst Hardware	27-7386053	4381 Lehigh Avenue Philadelphia PA	2639.97	3562.12	922.15	noise
page-vendor-069	Pennypack Industrial	27-4916421	916 Frankford Avenue Philadelphia PA	3883.05	9146.94	5263.89	noise
page-vendor-070	Torresdale Pipe Outlet	27-8541078	7741 Roosevelt Avenue Philadelphia PA	1372.25	1749.82	377.57	noise
page-vendor-071	Academy Plumbing Supply	46-6435725	3282 Frankford Avenue Philadelphia PA	1887.17	4163.12	2275.95	noise
page-vendor-072	Holme Avenue Hardware	81-7041283	239 Kelly Avenue Philadelphia PA	1818.86	2861.97	1043.11	noise
page-vendor-073	Fox Chase Wholesale	26-4806265	3024 Lancaster Avenue Philadelphia PA	1383.44	0.00	-1383.44	noise
page-vendor-074	Bells Corner Supply	27-8867142	4106 Cheltenham Avenue Philadelphia PA	1088.07	4365.29	3277.22	noise
page-vendor-075	Wissinoming Industrial	27-7215665	8945 Roosevelt Avenue Philadelphia PA	277.07	0.00	-277.07	noise
page-vendor-076	Frankford Junction Tools	26-3694693	9299 Roosevelt Avenue Philadelphia PA	3417.73	14150.71	10732.98	noise
page-vendor-077	Harrowgate Hardware	46-4473706	8024 Girard Avenue Philadelphia PA	2345.84	2260.91	-84.93	noise
page-vendor-078	McPherson Square Supply	83-1647095	827 Spring Garden Avenue Philadelphia PA	1735.26	7638.68	5903.42	noise
page-vendor-079	Norris Square Goods	45-8726919	4970 Lehigh Avenue Philadelphia PA	2291.00	6345.44	4054.44	noise
page-vendor-080	Powelton Village Tools	82-4555733	2021 Lehigh Avenue Philadelphia PA	3074.74	2356.68	-718.06	noise
page-vendor-081	University City Supply	82-7850276	1224 Frankford Avenue Philadelphia PA	1336.09	0.00	-1336.09	noise
page-vendor-082	Walnut Hill Hardware	85-2139315	7096 Henry Avenue Philadelphia PA	16.96	7328.38	7311.42	noise
page-vendor-083	Spruce Hill Plumbing	85-9220741	9324 Cheltenham Avenue Philadelphia PA	4140.77	2639.23	-1501.54	noise
page-vendor-084	Garden Court Industrial	83-5350284	1023 Stenton Avenue Philadelphia PA	3548.20	11807.30	8259.10	noise
page-vendor-085	Forty Acres Tools	46-2098403	6042 Aramingo Avenue Philadelphia PA	1207.00	0.00	-1207.00	noise
page-vendor-086	Squirrel Hill Supply	27-6193183	5591 Ridge Avenue Philadelphia PA	579.15	7578.80	6999.65	noise
page-vendor-087	Andorra Hardware Plus	85-2612886	848 Stenton Avenue Philadelphia PA	206.67	1682.90	1476.23	noise
page-vendor-088	Wissahickon Industrial	27-8629292	9049 Ridge Avenue Philadelphia PA	470.42	0.00	-470.42	noise
page-vendor-089	Manatawna Material	23-7704588	3646 Spring Garden Avenue Philadelphia PA	2232.73	6935.75	4703.02	noise
page-vendor-090	Henry Avenue Wholesale	46-9027711	2773 Cottman Avenue Philadelphia PA	148.19	4332.12	4183.93	noise
page-vendor-091	Ridge Avenue Supply	81-1616300	4492 Spring Garden Avenue Philadelphia PA	2238.08	11076.61	8838.53	noise
page-vendor-092	Lyceum Avenue Tools	23-3184363	953 Frankford Avenue Philadelphia PA	657.38	1323.23	665.85	noise
page-vendor-093	Domino Lane Hardware	26-8237161	7058 Stenton Avenue Philadelphia PA	212.82	3237.12	3024.30	noise
page-vendor-094	Umbria Street Supply	27-9204903	2732 Henry Avenue Philadelphia PA	3656.14	632.95	-3023.19	noise
page-vendor-095	Henry Wells Plumbing	82-9982516	4835 Spring Garden Avenue Philadelphia PA	1396.60	0.00	-1396.60	noise
page-vendor-096	Wadsworth Industrial	83-6579602	6087 Stenton Avenue Philadelphia PA	1682.31	0.00	-1682.31	noise
page-vendor-097	Mount Pleasant Goods	47-9707831	9571 Cottman Avenue Philadelphia PA	2348.76	0.00	-2348.76	noise
page-vendor-098	Allens Lane Hardware	26-5395030	7108 Kelly Avenue Philadelphia PA	2159.10	2105.74	-53.36	noise
page-vendor-099	Cresheim Plumbing Wholesale	82-8722190	607 Aramingo Avenue Philadelphia PA	2774.59	6711.72	3937.13	noise
page-vendor-100	Sedgwick Industrial	47-9870669	3050 Henry Avenue Philadelphia PA	2515.92	3540.28	1024.36	noise
page-vendor-101	Stenton Park Supply	82-4318851	6342 Roosevelt Avenue Philadelphia PA	4173.45	2214.78	-1958.67	noise
page-vendor-102	Vernon Park Tools	26-4479702	9904 Henry Avenue Philadelphia PA	1895.30	0.00	-1895.30	noise
page-vendor-103	Awbury Hardware	27-5337001	1775 Castor Avenue Philadelphia PA	1690.99	0.00	-1690.99	noise
page-vendor-104	Rittenhouse Square Material	46-8990144	1588 Frankford Avenue Philadelphia PA	1348.78	13283.61	11934.83	noise
page-vendor-105	Washington West Supply	26-4008324	3123 Ridge Avenue Philadelphia PA	1745.20	4901.39	3156.19	noise
page-vendor-106	Bella Hardware Outlet	47-7600014	5457 Cottman Avenue Philadelphia PA	3054.64	0.00	-3054.64	noise
page-vendor-107	Italian Market Tools	83-3708633	8268 Lancaster Avenue Philadelphia PA	1270.65	7172.00	5901.35	noise
page-vendor-108	Passyunk Square Goods	81-1953488	6871 Ridge Avenue Philadelphia PA	3826.07	0.00	-3826.07	noise
page-vendor-109	Dickinson Square Industrial	27-9756711	9597 Girard Avenue Philadelphia PA	3415.33	1952.02	-1463.31	noise
page-vendor-110	Whitman Plumbing Supply	27-4266167	367 Stenton Avenue Philadelphia PA	2618.43	0.00	-2618.43	noise
page-vendor-111	Lower Moyamensing Hardware	82-6010698	7938 Spring Garden Avenue Philadelphia PA	1303.49	4856.57	3553.08	noise
page-vendor-112	Stadium District Tools	85-9015058	3325 Aramingo Avenue Philadelphia PA	2910.48	0.00	-2910.48	noise
page-vendor-113	Packer Park Industrial	26-8764875	8695 Ridge Avenue Philadelphia PA	1009.38	0.00	-1009.38	noise
page-vendor-114	Eastwick Junction Supply	47-2026173	8014 Stenton Avenue Philadelphia PA	4478.96	2272.82	-2206.14	noise
page-vendor-115	Penrose Hardware	46-7025099	2045 Stenton Avenue Philadelphia PA	2681.71	0.00	-2681.71	noise
page-vendor-116	Industrial Highway Goods	81-7606696	8964 Ridge Avenue Philadelphia PA	4054.16	0.00	-4054.16	noise
page-vendor-117	Schuylkill Supply Co	81-5908564	4477 Cottman Avenue Philadelphia PA	4491.82	15005.15	10513.33	noise
page-vendor-118	Belmont Bar Tools	85-8753203	1979 Girard Avenue Philadelphia PA	2380.75	1912.50	-468.25	noise
page-vendor-119	Fairmount Hardware Plus	45-2339418	1351 Girard Avenue Philadelphia PA	2680.47	1119.72	-1560.75	noise
page-vendor-120	Lemon Hill Tool Supply	23-3179943	4183 Henry Avenue Philadelphia PA	1666.99	6193.21	4526.22	noise
