id,title,status,department,location,opened_at,closed_at
3254,Grade 12 Guidance (3254),open,Guidance,"Toronto, ON",2026-12-13,
3255,Grade 9 Guidance (3255),open,Guidance,"Toronto, ON",2026-12-12,
3256,Athletics Head Coach (Volleyball) (3256),open,Special Education,"Toronto, ON",2026-12-13,
3257,Debate Club Advisor (3257),open,Technology,"Toronto, ON",2026-12-17,
3258,Music Teacher (3258),open,Social Studies,"Toronto, ON",2026-12-19,
3259,Library Technician (3259),open,Physical Education,"Toronto, ON",2026-12-19,
3260,Athletics Head Coach (Basketball) (3260),open,English,"Toronto, ON",2026-12-16,
3261,Athletics Head Coach (Volleyball) (3261),open,Technology,"Toronto, ON",2026-12-15,
3262,Geography Teacher (3262),open,Physical Education,"Toronto, ON",2026-12-18,
3263,Grade 10 Mathematics LTO (3263),open,Mathematics,"Toronto, ON",2026-12-14,
3264,Physics Teacher (3264),open,Special Education,"Toronto, ON",2026-12-14,
3265,Athletics Assistant (3265),open,Science,"Toronto, ON",2026-12-12,
3266,Grade 11 English LTO (3266),open,English,"Toronto, ON",2026-12-13,
3267,Peer Mentorship Coordinator (3267),open,Office Administration,"Toronto, ON",2026-12-14,
3268,Athletics Head Coach (Basketball) (3268),open,English,"Toronto, ON",2026-12-20,
3269,Biology Teacher (3269),open,Science,"Toronto, ON",2026-12-16,
3270,Debate Club Advisor (3270),open,Guidance,"Toronto, ON",2026-12-15,
3271,Chemistry Teacher (3271),open,Arts,"Toronto, ON",2026-12-19,
3272,Maintenance Technician (Night Shift) (3272),open,Office Administration,"Toronto, ON",2026-12-19,
3273,Educational Assistant Level 1 (3273),open,Science,"Toronto, ON",2026-12-13,
3274,Biology Teacher (3274),open,Arts,"Toronto, ON",2026-12-20,
3275,Grade 12 Guidance (3275),open,Guidance,"Toronto, ON",2026-12-18,
3276,Educational Assistant Level 2 (3276),open,Special Education,"Toronto, ON",2026-12-20,
3277,Cafeteria Coordinator (3277),open,Social Studies,"Toronto, ON",2026-12-17,
3278,Robotics Club Advisor (3278),open,Social Studies,"Toronto, ON",2026-12-18,
3279,Drama Teacher (3279),open,Special Education,"Toronto, ON",2026-12-13,
3280,Debate Club Advisor (3280),open,Arts,"Toronto, ON",2026-12-17,
3281,Athletics Head Coach (Basketball) (3281),open,Mathematics,"Toronto, ON",2026-12-12,
3282,Athletics Assistant (3282),open,Arts,"Toronto, ON",2026-12-14,
3283,Grade 10 Core French (3283),open,French,"Toronto, ON",2026-12-14,
3284,Athletics Head Coach (Basketball) (3284),open,English,"Toronto, ON",2026-12-12,
