id,candidate_id,job_id,status,current_stage,applied_at,last_activity_at
4103,5103,3001,active,Application Review,2026-12-26,2026-12-11
4104,5104,3002,active,Phone Screen,2026-12-27,2026-12-06
4105,5105,3003,active,Interview,2026-12-28,2026-12-07
4106,5106,3004,active,Demo Lesson,2026-12-29,2026-12-08
4107,5107,3005,on_hold,Reference Check,2026-12-30,2026-12-09
4108,5108,3006,rejected,Offer,2026-12-31,2026-12-10
4109,5109,3001,active,Application Review,2027-01-01,2026-12-11
4110,5110,3002,active,Phone Screen,2027-01-02,2026-12-12
4111,5111,3003,active,Interview,2027-01-03,2026-12-13
4112,5112,3004,active,Demo Lesson,2027-01-04,2026-12-14
4113,5113,3005,on_hold,Reference Check,2027-01-05,2026-12-01
4114,5114,3006,rejected,Offer,2027-01-06,2026-12-02
4115,5115,3001,active,Application Review,2027-01-07,2026-12-11
4116,5116,3002,active,Phone Screen,2027-01-08,2026-12-04
4117,5117,3003,active,Interview,2027-01-09,2026-12-05
4118,5118,3004,active,Demo Lesson,2027-01-10,2026-12-06
4119,5119,3005,on_hold,Reference Check,2027-01-11,2026-12-07
4120,5120,3006,rejected,Offer,2027-01-12,2026-12-08
4121,5121,3217,rejected,Offer,2026-11-05,2026-12-11
4122,5122,3181,active,Reference Check,2026-12-28,2026-12-13
4123,5123,3226,rejected,Offer,2026-09-15,2026-12-13
4124,5124,3126,active,Second Interview,2026-10-06,2026-12-05
4125,5125,3248,active,Application Review,2026-10-20,2026-12-08
4126,5126,3163,active,Reference Check,2026-09-09,2026-12-07
4127,5127,3275,active,Offer,2026-11-22,2026-12-15
4128,5128,3191,active,First Interview,2026-12-17,2026-12-01
4129,5129,3118,active,Reference Check,2026-10-11,2026-12-08
4130,5130,3156,rejected,Reference Check,2026-09-06,2026-12-08
4131,5131,3196,active,First Interview,2026-09-17,2026-12-05
4132,5132,3034,active,Offer,2026-09-21,2026-12-04
4133,5133,3022,rejected,Offer,2026-12-21,2026-12-02
4134,5134,3043,active,Second Interview,2026-09-17,2026-12-10
4135,5135,3180,rejected,First Interview,2026-12-12,2026-12-07
4136,5136,3145,active,Reference Check,2026-10-24,2026-12-11
4137,5137,3210,active,Offer,2026-11-28,2026-12-11
4138,5138,3112,rejected,Reference Check,2026-10-22,2026-12-05
4139,5139,3132,active,Phone Screen,2026-10-09,2026-12-09
4140,5140,3173,rejected,Reference Check,2026-12-21,2026-12-06
4141,5141,3096,active,Offer,2026-12-08,2026-12-14
4142,5142,3072,active,Application Review,2026-12-27,2026-12-01
4143,5143,3269,active,Phone Screen,2026-12-07,2026-12-03
4144,5144,3115,active,Offer,2026-10-20,2026-12-08
4145,5145,3054,active,First Interview,2026-09-17,2026-12-05
4146,5146,3049,active,Reference Check,2026-12-05,2026-12-01
4147,5147,3189,active,Second Interview,2026-11-20,2026-12-04
4148,5148,3105,active,First Interview,2026-11-26,2026-12-01
4149,5149,3083,active,Application Review,2026-09-25,2026-12-12
4150,5150,3039,rejected,Second Interview,2026-12-26,2026-12-09
4151,5151,3131,active,Phone Screen,2026-09-12,2026-12-05
4152,5152,3109,active,Reference Check,2026-11-14,2026-12-11
4153,5153,3261,active,Phone Screen,2026-09-25,2026-12-11
4154,5154,3218,active,First Interview,2026-11-14,2026-12-02
4155,5155,3202,rejected,Application Review,2026-10-07,2026-12-06
4156,5156,3270,active,Phone Screen,2026-10-02,2026-12-01
4157,5157,3135,active,Reference Check,2026-12-07,2026-12-09
4158,5158,3123,rejected,Application Review,2026-12-26,2026-12-12
4159,5159,3026,active,Second Interview,2026-12-12,2026-12-12
4160,5160,3206,rejected,Phone Screen,2026-09-02,2026-12-07
4161,5161,3212,active,Application Review,2026-10-08,2026-12-07
4162,5162,3023,rejected,Phone Screen,2026-11-03,2026-12-13
4163,5163,3186,active,Phone Screen,2026-09-10,2026-12-14
4164,5164,3006,active,Second Interview,2026-11-13,2026-12-11
4165,5165,3176,rejected,Reference Check,2026-09-02,2026-12-13
4166,5166,3057,active,First Interview,2026-10-04,2026-12-05
4167,5167,3109,active,Reference Check,2026-09-19,2026-12-12
4168,5168,3268,active,First Interview,2026-09-14,2026-12-05
4169,5169,3215,active,First Interview,2026-12-08,2026-12-02
4170,5170,3151,active,First Interview,2026-12-17,2026-12-06
4171,5171,3016,rejected,Offer,2026-12-21,2026-12-09
4172,5172,3053,active,Second Interview,2026-11-02,2026-12-02
4173,5173,3118,active,First Interview,2026-12-22,2026-12-04
4174,5174,3037,active,Phone Screen,2026-12-27,2026-12-08
4175,5175,3181,rejected,Reference Check,2026-09-27,2026-12-01
4176,5176,3034,active,Offer,2026-11-13,2026-12-10
4177,5177,3055,active,Second Interview,2026-11-23,2026-12-02
4178,5178,3262,active,Reference Check,2026-12-07,2026-12-14
4179,5179,3200,active,Second Interview,2026-10-27,2026-12-02
4180,5180,3193,active,Reference Check,2026-09-09,2026-12-01
4181,5181,3170,active,Second Interview,2026-10-27,2026-12-03
4182,5182,3225,active,Second Interview,2026-09-06,2026-12-03
4183,5183,3141,active,Offer,2026-10-27,2026-12-06
4184,5184,3224,rejected,First Interview,2026-12-04,2026-12-02
4185,5185,3128,active,Application Review,2026-11-19,2026-12-13
4186,5186,3045,rejected,Second Interview,2026-10-10,2026-12-09
4187,5187,3163,active,Offer,2026-10-10,2026-12-05
4188,5188,3174,active,Second Interview,2026-11-16,2026-12-02
4189,5189,3106,active,Phone Screen,2026-10-08,2026-12-04
4190,5190,3107,active,First Interview,2026-10-07,2026-12-01
4191,5191,3265,active,Application Review,2026-12-12,2026-12-05
4192,5192,3033,active,Application Review,2026-11-03,2026-12-13
4193,5193,3221,active,First Interview,2026-12-22,2026-12-11
4194,5194,3265,active,Offer,2026-11-20,2026-12-10
4195,5195,3079,active,Reference Check,2026-11-06,2026-12-02
4196,5196,3209,rejected,Phone Screen,2026-12-03,2026-12-10
4197,5197,3233,active,First Interview,2026-10-20,2026-12-02
4198,5198,3061,active,First Interview,2026-09-03,2026-12-01
4199,5199,3174,active,Application Review,2026-12-04,2026-12-04
4200,5200,3164,active,First Interview,2026-12-03,2026-12-10
4201,5201,3061,active,Phone Screen,2026-11-11,2026-12-06
4202,5202,3280,active,First Interview,2026-12-17,2026-12-11
4203,5203,3239,rejected,First Interview,2026-11-15,2026-12-07
4204,5204,3027,rejected,Reference Check,2026-09-25,2026-12-14
4205,5205,3086,active,Application Review,2026-10-23,2026-12-02
4206,5206,3280,active,Offer,2026-11-05,2026-12-12
4207,5207,3156,active,Phone Screen,2026-09-19,2026-12-14
4208,5208,3094,rejected,Reference Check,2026-11-16,2026-12-05
4209,5209,3156,active,Application Review,2026-10-01,2026-12-11
4210,5210,3217,active,First Interview,2026-10-18,2026-12-07
4211,5211,3034,rejected,Phone Screen,2026-12-12,2026-12-11
4212,5212,3157,active,Reference Check,2026-11-18,2026-12-14
4213,5213,3029,active,Reference Check,2026-12-14,2026-12-14
4214,5214,3180,active,Second Interview,2026-10-25,2026-12-13
4215,5215,3179,active,Reference Check,2026-12-07,2026-12-07
4216,5216,3201,active,Reference Check,2026-09-25,2026-12-02
4217,5217,3258,rejected,Application Review,2026-11-19,2026-12-09
4218,5218,3123,active,First Interview,2026-11-11,2026-12-15
4219,5219,3155,active,Offer,2026-12-02,2026-12-06
4220,5220,3243,active,Phone Screen,2026-11-25,2026-12-01
4221,5221,3175,active,Phone Screen,2026-10-09,2026-12-09
4222,5222,3190,active,First Interview,2026-09-01,2026-12-11
4223,5223,3108,active,Offer,2026-11-27,2026-12-06
4224,5224,3123,active,Phone Screen,2026-11-05,2026-12-06
4225,5225,3159,active,Reference Check,2026-10-13,2026-12-11
4226,5226,3013,rejected,First Interview,2026-10-13,2026-12-03
4227,5227,3029,active,Phone Screen,2026-10-27,2026-12-07
4228,5228,3080,rejected,Reference Check,2026-12-27,2026-12-01
4229,5229,3071,active,Application Review,2026-12-01,2026-12-13
4230,5230,3154,active,Phone Screen,2026-12-22,2026-12-11
4231,5231,3214,active,Application Review,2026-11-15,2026-12-04
4232,5232,3128,active,Offer,2026-12-14,2026-12-07
4233,5233,3083,active,Phone Screen,2026-11-09,2026-12-04
4234,5234,3240,rejected,Second Interview,2026-09-22,2026-12-09
4235,5235,3197,active,First Interview,2026-10-20,2026-12-08
4236,5236,3248,rejected,Offer,2026-10-11,2026-12-08
4237,5237,3044,active,Offer,2026-11-19,2026-12-15
4238,5238,3036,rejected,Offer,2026-10-28,2026-12-11
4239,5239,3102,active,Application Review,2026-11-08,2026-12-02
4240,5240,3251,rejected,Offer,2026-11-17,2026-12-01
