id,createdTime,StationShorthand,LabelCanonicalContentfulID,StationTopic,LabelCopyStatus,Assignee,RevisionNotes,LastUpdated
recLab0000000000030,2026-04-15T09:00:00.000Z,Station 4,oh-station-04-firstbethel-board-1969-1974,First Bethel AME Church board chapter,Draft,Jennifer Clark,Draft 1: Working draft from the curatorial thesis pass.,2026-06-05
recLab0000000000031,2026-04-15T09:00:00.000Z,Station 4,oh-station-04-firstbethel-board-1969-1974,First Bethel AME Church board chapter,Draft,Jennifer Clark,Draft 2: Tightened the opening line. Word count under 110.,2026-06-10
recLab0000000000032,2026-04-15T09:00:00.000Z,Station 4,oh-station-04-firstbethel-board-1969-1974,First Bethel AME Church board chapter,In review,Cyrus Holt,Editor pass: Editor flagged passive voice in line three. Fixed.,2026-06-15
recLab0000000000033,2026-04-15T09:00:00.000Z,Station 4,oh-station-04-firstbethel-board-1969-1974,First Bethel AME Church board chapter,In review,Cyrus Holt,Conservation review: Conservator approved the materials reference.,2026-06-20
recLab0000000000034,2026-04-15T09:00:00.000Z,Station 4,oh-station-04-firstbethel-board-1969-1974,First Bethel AME Church board chapter,In review,Dr. Lorraine Franklin,Board chair review: Lorraine signed off on the framing.,2026-06-25
recLab0000000000035,2026-04-15T09:00:00.000Z,Station 4,oh-station-04-firstbethel-board-1969-1974,First Bethel AME Church board chapter,Approved,Helena Park,Press review: Helena flagged the embargo language. Adjusted.,2026-06-30
recLab0000000000036,2026-04-15T09:00:00.000Z,Station 4,oh-station-04-firstbethel-board-1969-1974,First Bethel AME Church board chapter,Final,Cyrus Holt,Print proof: Print proof reviewed. Two small kerning fixes.,2026-07-05
recLab0000000000037,2026-04-15T09:00:00.000Z,Station 5,oh-station-05-civic-archives,Community archives as evidence,Draft,Jennifer Clark,Draft 1: Working draft from the curatorial thesis pass.,2026-06-12
recLab0000000000038,2026-04-15T09:00:00.000Z,Station 5,oh-station-05-civic-archives,Community archives as evidence,Draft,Jennifer Clark,Draft 2: Tightened the opening line. Word count under 110.,2026-06-17
recLab0000000000039,2026-04-15T09:00:00.000Z,Station 5,oh-station-05-civic-archives,Community archives as evidence,In review,Cyrus Holt,Editor pass: Editor flagged passive voice in line three. Fixed.,2026-06-22
recLab0000000000040,2026-04-15T09:00:00.000Z,Station 5,oh-station-05-civic-archives,Community archives as evidence,In review,Cyrus Holt,Conservation review: Conservator approved the materials reference.,2026-06-27
recLab0000000000041,2026-04-15T09:00:00.000Z,Station 5,oh-station-05-civic-archives,Community archives as evidence,In review,Dr. Lorraine Franklin,Board chair review: Lorraine signed off on the framing.,2026-07-02
recLab0000000000042,2026-04-15T09:00:00.000Z,Station 5,oh-station-05-civic-archives,Community archives as evidence,Approved,Helena Park,Press review: Helena flagged the embargo language. Adjusted.,2026-07-07
recLab0000000000043,2026-04-15T09:00:00.000Z,Station 5,oh-station-05-civic-archives,Community archives as evidence,Final,Cyrus Holt,Print proof: Print proof reviewed. Two small kerning fixes.,2026-07-12
recLab0000000000044,2026-04-15T09:00:00.000Z,Station 6,oh-station-06-school-board-corridor,School board corridor,Draft,Jennifer Clark,Draft 1: Working draft from the curatorial thesis pass.,2026-06-19
recLab0000000000045,2026-04-15T09:00:00.000Z,Station 6,oh-station-06-school-board-corridor,School board corridor,Draft,Jennifer Clark,Draft 2: Tightened the opening line. Word count under 110.,2026-06-24
recLab0000000000046,2026-04-15T09:00:00.000Z,Station 6,oh-station-06-school-board-corridor,School board corridor,In review,Cyrus Holt,Editor pass: Editor flagged passive voice in line three. Fixed.,2026-06-29
recLab0000000000047,2026-04-15T09:00:00.000Z,Station 6,oh-station-06-school-board-corridor,School board corridor,In review,Cyrus Holt,Conservation review: Conservator approved the materials reference.,2026-07-04
recLab0000000000048,2026-04-15T09:00:00.000Z,Station 6,oh-station-06-school-board-corridor,School board corridor,In review,Dr. Lorraine Franklin,Board chair review: Lorraine signed off on the framing.,2026-07-09
recLab0000000000049,2026-04-15T09:00:00.000Z,Station 6,oh-station-06-school-board-corridor,School board corridor,Approved,Helena Park,Press review: Helena flagged the embargo language. Adjusted.,2026-07-14
recLab0000000000050,2026-04-15T09:00:00.000Z,Station 6,oh-station-06-school-board-corridor,School board corridor,Final,Cyrus Holt,Print proof: Print proof reviewed. Two small kerning fixes.,2026-07-19
recLab0000000000051,2026-04-15T09:00:00.000Z,Station 7,oh-station-07-women-and-work,Women and work,Draft,Jennifer Clark,Draft 1: Working draft from the curatorial thesis pass.,2026-06-26
recLab0000000000052,2026-04-15T09:00:00.000Z,Station 7,oh-station-07-women-and-work,Women and work,Draft,Jennifer Clark,Draft 2: Tightened the opening line. Word count under 110.,2026-07-01
recLab0000000000053,2026-04-15T09:00:00.000Z,Station 7,oh-station-07-women-and-work,Women and work,In review,Cyrus Holt,Editor pass: Editor flagged passive voice in line three. Fixed.,2026-07-06
recLab0000000000054,2026-04-15T09:00:00.000Z,Station 7,oh-station-07-women-and-work,Women and work,In review,Cyrus Holt,Conservation review: Conservator approved the materials reference.,2026-07-11
recLab0000000000055,2026-04-15T09:00:00.000Z,Station 7,oh-station-07-women-and-work,Women and work,In review,Dr. Lorraine Franklin,Board chair review: Lorraine signed off on the framing.,2026-07-16
recLab0000000000056,2026-04-15T09:00:00.000Z,Station 7,oh-station-07-women-and-work,Women and work,Approved,Helena Park,Press review: Helena flagged the embargo language. Adjusted.,2026-07-21
recLab0000000000057,2026-04-15T09:00:00.000Z,Station 7,oh-station-07-women-and-work,Women and work,Final,Cyrus Holt,Print proof: Print proof reviewed. Two small kerning fixes.,2026-07-26
recLab0000000000058,2026-04-15T09:00:00.000Z,Station 8,oh-station-08-jubilee-singers,Jubilee Singers tradition and the choir lineage,Draft,Jennifer Clark,Draft 1: Working draft from the curatorial thesis pass.,2026-07-03
recLab0000000000059,2026-04-15T09:00:00.000Z,Station 8,oh-station-08-jubilee-singers,Jubilee Singers tradition and the choir lineage,Draft,Jennifer Clark,Draft 2: Tightened the opening line. Word count under 110.,2026-07-08
recLab0000000000060,2026-04-15T09:00:00.000Z,Station 8,oh-station-08-jubilee-singers,Jubilee Singers tradition and the choir lineage,In review,Cyrus Holt,Editor pass: Editor flagged passive voice in line three. Fixed.,2026-07-13
recLab0000000000061,2026-04-15T09:00:00.000Z,Station 8,oh-station-08-jubilee-singers,Jubilee Singers tradition and the choir lineage,In review,Cyrus Holt,Conservation review: Conservator approved the materials reference.,2026-07-18
recLab0000000000062,2026-04-15T09:00:00.000Z,Station 8,oh-station-08-jubilee-singers,Jubilee Singers tradition and the choir lineage,In review,Dr. Lorraine Franklin,Board chair review: Lorraine signed off on the framing.,2026-07-23
recLab0000000000063,2026-04-15T09:00:00.000Z,Station 8,oh-station-08-jubilee-singers,Jubilee Singers tradition and the choir lineage,Approved,Helena Park,Press review: Helena flagged the embargo language. Adjusted.,2026-07-28
recLab0000000000064,2026-04-15T09:00:00.000Z,Station 8,oh-station-08-jubilee-singers,Jubilee Singers tradition and the choir lineage,Final,Cyrus Holt,Print proof: Print proof reviewed. Two small kerning fixes.,2026-08-02
