uuid,owner,name,slug,duration,kind,color,active,description,scheduling_url,created_at
et-0017,mary,Mentoring 17,slot-17,30,solo,#4a90d9,true,Personal booking type 17,https://calendly.example/mary/slot-17,2026-01-18T00:00:00Z
et-0018,mary,Coffee Chat 18,slot-18,45,solo,#4a90d9,true,Personal booking type 18,https://calendly.example/mary/slot-18,2026-01-19T00:00:00Z
et-0019,mary,Community Call 19,slot-19,60,solo,#4a90d9,true,Personal booking type 19,https://calendly.example/mary/slot-19,2026-01-20T00:00:00Z
et-0020,mary,Community Call 20,slot-20,60,solo,#4a90d9,true,Personal booking type 20,https://calendly.example/mary/slot-20,2026-01-21T00:00:00Z
et-0021,mary,Mentoring 21,slot-21,30,solo,#4a90d9,true,Personal booking type 21,https://calendly.example/mary/slot-21,2026-01-22T00:00:00Z
et-0022,mary,Family Planning 22,slot-22,45,solo,#4a90d9,true,Personal booking type 22,https://calendly.example/mary/slot-22,2026-01-23T00:00:00Z
et-0023,mary,Mentoring 23,slot-23,60,solo,#4a90d9,true,Personal booking type 23,https://calendly.example/mary/slot-23,2026-01-24T00:00:00Z
et-0024,mary,Coffee Chat 24,slot-24,45,solo,#4a90d9,true,Personal booking type 24,https://calendly.example/mary/slot-24,2026-01-25T00:00:00Z
et-0025,mary,Community Call 25,slot-25,60,solo,#4a90d9,true,Personal booking type 25,https://calendly.example/mary/slot-25,2026-01-26T00:00:00Z
et-0026,mary,Family Planning 26,slot-26,30,solo,#4a90d9,true,Personal booking type 26,https://calendly.example/mary/slot-26,2026-01-27T00:00:00Z
et-0027,mary,Mentoring 27,slot-27,45,solo,#4a90d9,true,Personal booking type 27,https://calendly.example/mary/slot-27,2026-01-28T00:00:00Z
et-0028,mary,Coffee Chat 28,slot-28,15,solo,#4a90d9,true,Personal booking type 28,https://calendly.example/mary/slot-28,2026-01-29T00:00:00Z
et-0029,mary,Coffee Chat 29,slot-29,45,solo,#4a90d9,true,Personal booking type 29,https://calendly.example/mary/slot-29,2026-01-30T00:00:00Z
et-ext-00030,https://api.calendly.com/users/ext30,Intro Call 30,intro-call-30,45,solo,#12cc57,true,Intro Call scheduling type,https://calendly.com/ext/30,2026-01-31T10:00:00Z
et-ext-00031,https://api.calendly.com/users/ext31,Consultation 31,consultation-31,15,solo,#ed8924,true,Consultation scheduling type,https://calendly.com/ext/31,2026-02-01T10:00:00Z
et-ext-00032,https://api.calendly.com/users/ext32,Review 32,review-32,15,solo,#74df68,true,Review scheduling type,https://calendly.com/ext/32,2026-02-02T10:00:00Z
et-ext-00033,https://api.calendly.com/users/ext33,Check In 33,check-in-33,30,solo,#a59518,true,Check In scheduling type,https://calendly.com/ext/33,2026-02-03T10:00:00Z
et-ext-00034,https://api.calendly.com/users/ext34,Planning 34,planning-34,45,solo,#d901a1,true,Planning scheduling type,https://calendly.com/ext/34,2026-02-04T10:00:00Z
et-ext-00035,https://api.calendly.com/users/ext35,Interview 35,interview-35,60,solo,#0749ac,true,Interview scheduling type,https://calendly.com/ext/35,2026-02-05T10:00:00Z
et-ext-00036,https://api.calendly.com/users/ext36,Demo 36,demo-36,45,solo,#48ba5c,true,Demo scheduling type,https://calendly.com/ext/36,2026-02-06T10:00:00Z
et-ext-00037,https://api.calendly.com/users/ext37,Follow Up 37,follow-up-37,45,solo,#a81878,true,Follow Up scheduling type,https://calendly.com/ext/37,2026-02-07T10:00:00Z
et-ext-00038,https://api.calendly.com/users/ext38,Office Hours 38,office-hours-38,60,solo,#cbfd34,true,Office Hours scheduling type,https://calendly.com/ext/38,2026-02-08T10:00:00Z
et-ext-00039,https://api.calendly.com/users/ext39,Workshop 39,workshop-39,15,solo,#af38fd,true,Workshop scheduling type,https://calendly.com/ext/39,2026-02-09T10:00:00Z
et-ext-00040,https://api.calendly.com/users/ext40,Intro Call 40,intro-call-40,30,solo,#6a4370,true,Intro Call scheduling type,https://calendly.com/ext/40,2026-02-10T10:00:00Z
et-ext-00041,https://api.calendly.com/users/ext41,Consultation 41,consultation-41,15,solo,#f27e16,true,Consultation scheduling type,https://calendly.com/ext/41,2026-02-11T10:00:00Z
et-ext-00042,https://api.calendly.com/users/ext42,Review 42,review-42,15,solo,#ca0eac,true,Review scheduling type,https://calendly.com/ext/42,2026-02-12T10:00:00Z
et-ext-00043,https://api.calendly.com/users/ext43,Check In 43,check-in-43,60,solo,#3e250a,true,Check In scheduling type,https://calendly.com/ext/43,2026-02-13T10:00:00Z
et-ext-00044,https://api.calendly.com/users/ext44,Planning 44,planning-44,60,solo,#cc7daf,true,Planning scheduling type,https://calendly.com/ext/44,2026-02-14T10:00:00Z
et-ext-00045,https://api.calendly.com/users/ext45,Interview 45,interview-45,60,solo,#bedd94,true,Interview scheduling type,https://calendly.com/ext/45,2026-02-15T10:00:00Z
et-ext-00046,https://api.calendly.com/users/ext46,Demo 46,demo-46,45,solo,#bdb150,true,Demo scheduling type,https://calendly.com/ext/46,2026-02-16T10:00:00Z
et-ext-00047,https://api.calendly.com/users/ext47,Follow Up 47,follow-up-47,15,solo,#d9340b,true,Follow Up scheduling type,https://calendly.com/ext/47,2026-02-17T10:00:00Z
et-ext-00048,https://api.calendly.com/users/ext48,Office Hours 48,office-hours-48,15,solo,#e4afb7,true,Office Hours scheduling type,https://calendly.com/ext/48,2026-02-18T10:00:00Z
et-ext-00049,https://api.calendly.com/users/ext49,Workshop 49,workshop-49,45,solo,#869446,true,Workshop scheduling type,https://calendly.com/ext/49,2026-02-19T10:00:00Z
et-ext-00050,https://api.calendly.com/users/ext50,Intro Call 50,intro-call-50,15,solo,#f48297,true,Intro Call scheduling type,https://calendly.com/ext/50,2026-02-20T10:00:00Z
et-ext-00051,https://api.calendly.com/users/ext51,Consultation 51,consultation-51,60,solo,#0f9903,true,Consultation scheduling type,https://calendly.com/ext/51,2026-02-21T10:00:00Z
et-ext-00052,https://api.calendly.com/users/ext52,Review 52,review-52,15,solo,#32a537,true,Review scheduling type,https://calendly.com/ext/52,2026-02-22T10:00:00Z
et-ext-00053,https://api.calendly.com/users/ext53,Check In 53,check-in-53,15,solo,#a585e5,true,Check In scheduling type,https://calendly.com/ext/53,2026-02-23T10:00:00Z
et-ext-00054,https://api.calendly.com/users/ext54,Planning 54,planning-54,30,solo,#0754da,true,Planning scheduling type,https://calendly.com/ext/54,2026-02-24T10:00:00Z
et-ext-00055,https://api.calendly.com/users/ext55,Interview 55,interview-55,60,solo,#4947ff,true,Interview scheduling type,https://calendly.com/ext/55,2026-02-25T10:00:00Z
et-ext-00056,https://api.calendly.com/users/ext56,Demo 56,demo-56,30,solo,#623919,true,Demo scheduling type,https://calendly.com/ext/56,2026-02-26T10:00:00Z
et-ext-00057,https://api.calendly.com/users/ext57,Follow Up 57,follow-up-57,60,solo,#4aee74,true,Follow Up scheduling type,https://calendly.com/ext/57,2026-02-27T10:00:00Z
et-ext-00058,https://api.calendly.com/users/ext58,Office Hours 58,office-hours-58,60,solo,#b41e7c,true,Office Hours scheduling type,https://calendly.com/ext/58,2026-02-28T10:00:00Z
et-ext-00059,https://api.calendly.com/users/ext59,Workshop 59,workshop-59,30,solo,#6865b0,true,Workshop scheduling type,https://calendly.com/ext/59,2026-03-01T10:00:00Z
et-ext-00060,https://api.calendly.com/users/ext60,Intro Call 60,intro-call-60,45,solo,#eed3c9,true,Intro Call scheduling type,https://calendly.com/ext/60,2026-03-02T10:00:00Z
et-ext-00061,https://api.calendly.com/users/ext61,Consultation 61,consultation-61,45,solo,#439a7a,true,Consultation scheduling type,https://calendly.com/ext/61,2026-03-03T10:00:00Z
et-ext-00062,https://api.calendly.com/users/ext62,Review 62,review-62,45,solo,#db684e,true,Review scheduling type,https://calendly.com/ext/62,2026-03-04T10:00:00Z
et-ext-00063,https://api.calendly.com/users/ext63,Check In 63,check-in-63,15,solo,#ef7bc1,true,Check In scheduling type,https://calendly.com/ext/63,2026-03-05T10:00:00Z
et-ext-00064,https://api.calendly.com/users/ext64,Planning 64,planning-64,15,solo,#8deb11,true,Planning scheduling type,https://calendly.com/ext/64,2026-03-06T10:00:00Z
et-ext-00065,https://api.calendly.com/users/ext65,Interview 65,interview-65,15,solo,#eb6bba,true,Interview scheduling type,https://calendly.com/ext/65,2026-03-07T10:00:00Z
et-ext-00066,https://api.calendly.com/users/ext66,Demo 66,demo-66,15,solo,#81316b,true,Demo scheduling type,https://calendly.com/ext/66,2026-03-08T10:00:00Z
et-ext-00067,https://api.calendly.com/users/ext67,Follow Up 67,follow-up-67,60,solo,#9e31a8,true,Follow Up scheduling type,https://calendly.com/ext/67,2026-03-09T10:00:00Z
et-ext-00068,https://api.calendly.com/users/ext68,Office Hours 68,office-hours-68,45,solo,#f7ab2a,true,Office Hours scheduling type,https://calendly.com/ext/68,2026-03-10T10:00:00Z
et-ext-00069,https://api.calendly.com/users/ext69,Workshop 69,workshop-69,60,solo,#cc8954,true,Workshop scheduling type,https://calendly.com/ext/69,2026-03-11T10:00:00Z
et-ext-00070,https://api.calendly.com/users/ext70,Intro Call 70,intro-call-70,60,solo,#8873a2,true,Intro Call scheduling type,https://calendly.com/ext/70,2026-03-12T10:00:00Z
et-ext-00071,https://api.calendly.com/users/ext71,Consultation 71,consultation-71,30,solo,#a27023,true,Consultation scheduling type,https://calendly.com/ext/71,2026-03-13T10:00:00Z
et-ext-00072,https://api.calendly.com/users/ext72,Review 72,review-72,30,solo,#744dbd,true,Review scheduling type,https://calendly.com/ext/72,2026-03-14T10:00:00Z
et-ext-00073,https://api.calendly.com/users/ext73,Check In 73,check-in-73,15,solo,#f79c1b,true,Check In scheduling type,https://calendly.com/ext/73,2026-03-15T10:00:00Z
et-ext-00074,https://api.calendly.com/users/ext74,Planning 74,planning-74,45,solo,#84ded0,true,Planning scheduling type,https://calendly.com/ext/74,2026-03-16T10:00:00Z
et-ext-00075,https://api.calendly.com/users/ext75,Interview 75,interview-75,15,solo,#856944,true,Interview scheduling type,https://calendly.com/ext/75,2026-03-17T10:00:00Z
et-ext-00076,https://api.calendly.com/users/ext76,Demo 76,demo-76,45,solo,#b90192,true,Demo scheduling type,https://calendly.com/ext/76,2026-03-18T10:00:00Z
et-ext-00077,https://api.calendly.com/users/ext77,Follow Up 77,follow-up-77,15,solo,#17d8a9,true,Follow Up scheduling type,https://calendly.com/ext/77,2026-03-19T10:00:00Z
et-ext-00078,https://api.calendly.com/users/ext78,Office Hours 78,office-hours-78,30,solo,#381de0,true,Office Hours scheduling type,https://calendly.com/ext/78,2026-03-20T10:00:00Z
et-ext-00079,https://api.calendly.com/users/ext79,Workshop 79,workshop-79,45,solo,#75e2bd,true,Workshop scheduling type,https://calendly.com/ext/79,2026-03-21T10:00:00Z
et-ext-00080,https://api.calendly.com/users/ext80,Intro Call 80,intro-call-80,15,solo,#1acb14,true,Intro Call scheduling type,https://calendly.com/ext/80,2026-03-22T10:00:00Z
et-ext-00081,https://api.calendly.com/users/ext81,Consultation 81,consultation-81,15,solo,#ef788e,true,Consultation scheduling type,https://calendly.com/ext/81,2026-03-23T10:00:00Z
et-ext-00082,https://api.calendly.com/users/ext82,Review 82,review-82,15,solo,#c8b67f,true,Review scheduling type,https://calendly.com/ext/82,2026-03-24T10:00:00Z
et-ext-00083,https://api.calendly.com/users/ext83,Check In 83,check-in-83,45,solo,#ac9e96,true,Check In scheduling type,https://calendly.com/ext/83,2026-03-25T10:00:00Z
et-ext-00084,https://api.calendly.com/users/ext84,Planning 84,planning-84,60,solo,#74cbb8,true,Planning scheduling type,https://calendly.com/ext/84,2026-03-26T10:00:00Z
et-ext-00085,https://api.calendly.com/users/ext85,Interview 85,interview-85,30,solo,#bd2b0d,true,Interview scheduling type,https://calendly.com/ext/85,2026-03-27T10:00:00Z
et-ext-00086,https://api.calendly.com/users/ext86,Demo 86,demo-86,60,solo,#58f9f4,true,Demo scheduling type,https://calendly.com/ext/86,2026-03-28T10:00:00Z
et-ext-00087,https://api.calendly.com/users/ext87,Follow Up 87,follow-up-87,45,solo,#394e0e,true,Follow Up scheduling type,https://calendly.com/ext/87,2026-03-29T10:00:00Z
et-ext-00088,https://api.calendly.com/users/ext88,Office Hours 88,office-hours-88,30,solo,#75458a,true,Office Hours scheduling type,https://calendly.com/ext/88,2026-03-30T10:00:00Z
et-ext-00089,https://api.calendly.com/users/ext89,Workshop 89,workshop-89,45,solo,#cf705b,true,Workshop scheduling type,https://calendly.com/ext/89,2026-03-31T10:00:00Z
et-ext-00090,https://api.calendly.com/users/ext90,Intro Call 90,intro-call-90,60,solo,#c04933,true,Intro Call scheduling type,https://calendly.com/ext/90,2026-04-01T10:00:00Z
et-ext-00091,https://api.calendly.com/users/ext91,Consultation 91,consultation-91,45,solo,#45fe8b,true,Consultation scheduling type,https://calendly.com/ext/91,2026-04-02T10:00:00Z
et-ext-00092,https://api.calendly.com/users/ext92,Review 92,review-92,60,solo,#e96a92,true,Review scheduling type,https://calendly.com/ext/92,2026-04-03T10:00:00Z
et-ext-00093,https://api.calendly.com/users/ext93,Check In 93,check-in-93,30,solo,#d7efa4,true,Check In scheduling type,https://calendly.com/ext/93,2026-04-04T10:00:00Z
et-ext-00094,https://api.calendly.com/users/ext94,Planning 94,planning-94,30,solo,#d68d5c,true,Planning scheduling type,https://calendly.com/ext/94,2026-04-05T10:00:00Z
et-ext-00095,https://api.calendly.com/users/ext95,Interview 95,interview-95,30,solo,#8d37f3,true,Interview scheduling type,https://calendly.com/ext/95,2026-04-06T10:00:00Z
et-ext-00096,https://api.calendly.com/users/ext96,Demo 96,demo-96,15,solo,#50d3ee,true,Demo scheduling type,https://calendly.com/ext/96,2026-04-07T10:00:00Z
et-ext-00097,https://api.calendly.com/users/ext97,Follow Up 97,follow-up-97,45,solo,#b8168e,true,Follow Up scheduling type,https://calendly.com/ext/97,2026-04-08T10:00:00Z
et-ext-00098,https://api.calendly.com/users/ext98,Office Hours 98,office-hours-98,30,solo,#9f7f86,true,Office Hours scheduling type,https://calendly.com/ext/98,2026-04-09T10:00:00Z
et-ext-00099,https://api.calendly.com/users/ext99,Workshop 99,workshop-99,60,solo,#e0f0f9,true,Workshop scheduling type,https://calendly.com/ext/99,2026-04-10T10:00:00Z
et-ext-00100,https://api.calendly.com/users/ext100,Intro Call 100,intro-call-100,15,solo,#c44b9c,true,Intro Call scheduling type,https://calendly.com/ext/100,2026-04-11T10:00:00Z
et-ext-00101,https://api.calendly.com/users/ext101,Consultation 101,consultation-101,45,solo,#e3ed66,true,Consultation scheduling type,https://calendly.com/ext/101,2026-04-12T10:00:00Z
et-ext-00102,https://api.calendly.com/users/ext102,Review 102,review-102,60,solo,#6a5121,true,Review scheduling type,https://calendly.com/ext/102,2026-04-13T10:00:00Z
et-ext-00103,https://api.calendly.com/users/ext103,Check In 103,check-in-103,30,solo,#02c580,true,Check In scheduling type,https://calendly.com/ext/103,2026-04-14T10:00:00Z
et-ext-00104,https://api.calendly.com/users/ext104,Planning 104,planning-104,45,solo,#0f7ab9,true,Planning scheduling type,https://calendly.com/ext/104,2026-04-15T10:00:00Z
