group_id,board_id,title,color,position
grp-ref-032,brd-enrollment,Summit Sites,#607d8b,4
grp-ref-033,brd-pool,St Johns Sites,#607d8b,9
grp-ref-034,brd-woodwork,Enrollment Metrics,#607d8b,19
grp-ref-035,brd-pool,IRB Renewal,#607d8b,3
grp-ref-036,brd-irb,Coordinator Team,#607d8b,15
grp-ref-037,brd-pool,Data Team,#607d8b,4
grp-ref-038,brd-pool,Manuscript Sprint,#607d8b,11
grp-ref-039,brd-pool,Conference Prep,#607d8b,19
grp-ref-040,brd-partner-coord,Grant Milestones,#607d8b,8
grp-ref-041,brd-irb,Fellowship,#607d8b,16
grp-ref-042,brd-woodwork,TAVR Study Sites,#607d8b,12
grp-ref-043,brd-partner-coord,Riverside Sites,#607d8b,1
grp-ref-044,brd-partner-coord,Summit Sites,#607d8b,20
grp-ref-045,brd-irb,St Johns Sites,#607d8b,3
grp-ref-046,brd-partner-coord,Enrollment Metrics,#607d8b,7
grp-ref-047,brd-pool,IRB Renewal,#607d8b,6
grp-ref-048,brd-woodwork,Coordinator Team,#607d8b,12
grp-ref-049,brd-enrollment,Data Team,#607d8b,20
grp-ref-050,brd-irb,Manuscript Sprint,#607d8b,8
grp-ref-051,brd-enrollment,Conference Prep,#607d8b,1
grp-ref-052,brd-woodwork,Grant Milestones,#607d8b,1
grp-ref-053,brd-irb,Fellowship,#607d8b,2
grp-ref-054,brd-pool,TAVR Study Sites,#607d8b,15
grp-ref-055,brd-partner-coord,Riverside Sites,#607d8b,4
grp-ref-056,brd-woodwork,Summit Sites,#607d8b,12
grp-ref-057,brd-enrollment,St Johns Sites,#607d8b,15
grp-ref-058,brd-pool,Enrollment Metrics,#607d8b,13
grp-ref-059,brd-enrollment,IRB Renewal,#607d8b,11
grp-ref-060,brd-woodwork,Coordinator Team,#607d8b,2
grp-ref-061,brd-enrollment,Data Team,#607d8b,8
grp-ref-062,brd-enrollment,Manuscript Sprint,#607d8b,2
grp-ref-063,brd-woodwork,Conference Prep,#607d8b,12
grp-ref-064,brd-pool,Grant Milestones,#607d8b,20
grp-ref-065,brd-pool,Fellowship,#607d8b,6
grp-ref-066,brd-irb,TAVR Study Sites,#607d8b,9
grp-ref-067,brd-enrollment,Riverside Sites,#607d8b,16
grp-ref-068,brd-pool,Summit Sites,#607d8b,17
grp-ref-069,brd-irb,St Johns Sites,#607d8b,3
grp-ref-070,brd-partner-coord,Enrollment Metrics,#607d8b,3
grp-ref-071,brd-enrollment,IRB Renewal,#607d8b,20
grp-ref-072,brd-partner-coord,Coordinator Team,#607d8b,3
grp-ref-073,brd-woodwork,Data Team,#607d8b,15
grp-ref-074,brd-pool,Manuscript Sprint,#607d8b,2
grp-ref-075,brd-enrollment,Conference Prep,#607d8b,6
grp-ref-076,brd-pool,Grant Milestones,#607d8b,11
grp-ref-077,brd-woodwork,Fellowship,#607d8b,7
grp-ref-078,brd-pool,TAVR Study Sites,#607d8b,15
grp-ref-079,brd-pool,Riverside Sites,#607d8b,20
grp-ref-080,brd-irb,Summit Sites,#607d8b,14
grp-ref-081,brd-pool,St Johns Sites,#607d8b,9
grp-ref-082,brd-pool,Enrollment Metrics,#607d8b,3
grp-ref-083,brd-pool,IRB Renewal,#607d8b,14
grp-ref-084,brd-enrollment,Coordinator Team,#607d8b,18
grp-ref-085,brd-irb,Data Team,#607d8b,8
grp-ref-086,brd-pool,Manuscript Sprint,#607d8b,1
grp-ref-087,brd-partner-coord,Conference Prep,#607d8b,12
grp-ref-088,brd-partner-coord,Grant Milestones,#607d8b,12
grp-ref-089,brd-pool,Fellowship,#607d8b,4
grp-ref-090,brd-enrollment,TAVR Study Sites,#607d8b,2
grp-ref-091,brd-enrollment,Riverside Sites,#607d8b,1
grp-ref-092,brd-partner-coord,Summit Sites,#607d8b,4
grp-ref-093,brd-woodwork,St Johns Sites,#607d8b,17
grp-ref-094,brd-woodwork,Enrollment Metrics,#607d8b,16
grp-ref-095,brd-enrollment,IRB Renewal,#607d8b,16
grp-ref-096,brd-partner-coord,Coordinator Team,#607d8b,3
grp-ref-097,brd-irb,Data Team,#607d8b,18
grp-ref-098,brd-woodwork,Manuscript Sprint,#607d8b,4
grp-ref-099,brd-woodwork,Conference Prep,#607d8b,17
grp-ref-100,brd-enrollment,Grant Milestones,#607d8b,11
grp-ref-101,brd-irb,Fellowship,#607d8b,10
grp-ref-102,brd-woodwork,TAVR Study Sites,#607d8b,14
grp-ref-103,brd-irb,Riverside Sites,#607d8b,13
grp-ref-104,brd-irb,Summit Sites,#607d8b,8
grp-ref-105,brd-partner-coord,St Johns Sites,#607d8b,14
