payout_id,created,arrival_date,amount,currency,status,description
po_1P3015QXaS,2026-09-10,2026-09-10,254.64,usd,paid,Intro Package - lesson block payout
po_stripe_2026090110,2026-09-11,2026-09-12,475.15,USD,paid,South Bay Surf Academy - Lesson 1
po_1P3009QXaS,2026-09-11,2026-09-11,16.55,usd,paid,Wetsuit Rental - lesson block payout
po_stripe_2026090111,2026-09-12,2026-09-13,388.76,USD,paid,South Bay Surf Academy - Lesson 2
po_1P3012QXaS,2026-09-12,2026-09-12,23.07,usd,paid,Wetsuit Rental - lesson block payout
po_1P3021QXaS,2026-09-12,2026-09-12,31.7,usd,paid,Board Rental - lesson block payout
po_stripe_2026090112,2026-09-13,2026-09-14,734.32,USD,paid,South Bay Surf Academy - Lesson 3
po_1P3011QXaS,2026-09-13,2026-09-13,141.54,usd,paid,Private Lesson - lesson block payout
po_1P3019QXaS,2026-09-13,2026-09-13,19.53,usd,paid,Wetsuit Rental - lesson block payout
po_1P3024QXaS,2026-09-13,2026-09-13,24.9,usd,paid,Wetsuit Rental - lesson block payout
po_stripe_2026090113,2026-09-14,2026-09-15,259.17,USD,paid,South Bay Surf Academy - Lesson 4
po_1P3034QXaS,2026-09-14,2026-09-14,-3001.73,usd,paid,Stand Up Paddleboard - lesson block payout
po_stripe_2026090114,2026-09-15,2026-09-16,971.89,USD,paid,South Bay Surf Academy - Lesson 5
po_stripe_2026090115,2026-09-16,2026-09-17,518.34,USD,paid,South Bay Surf Academy - Lesson 6
po_1P3030QXaS,2026-09-16,2026-09-16,72.69,usd,paid,Stand Up Paddleboard - lesson block payout
po_stripe_2026090116,2026-09-17,2026-09-18,388.76,USD,paid,South Bay Surf Academy - Lesson 7
po_stripe_2026090117,2026-09-18,2026-09-19,475.15,USD,paid,South Bay Surf Academy - Lesson 8
po_1P3033QXaS,2026-09-18,2026-09-18,22.47,usd,paid,Wetsuit Rental - lesson block payout
po_stripe_2026090118,2026-09-19,2026-09-20,734.32,USD,paid,South Bay Surf Academy - Lesson 9
po_1P3007QXaS,2026-09-19,2026-09-19,23.09,usd,paid,Wetsuit Rental - lesson block payout
po_1P3029QXaS,2026-09-19,2026-09-19,232.76,usd,paid,Intro Package - lesson block payout
po_stripe_2026090119,2026-09-20,2026-09-21,259.11,USD,paid,South Bay Surf Academy - Lesson 10
po_1P3000QXaS,2026-09-21,2026-09-21,121.5,usd,paid,Private Lesson - lesson block payout
po_1P3025QXaS,2026-09-21,2026-09-21,31.85,usd,paid,Board Rental - lesson block payout
po_1P3031QXaS,2026-09-21,2026-09-21,57.86,usd,paid,Kids Class - lesson block payout
po_1P3006QXaS,2026-09-23,2026-09-23,59.41,usd,paid,Stand Up Paddleboard - lesson block payout
po_1P3016QXaS,2026-09-23,2026-09-23,122.75,usd,paid,Private Lesson - lesson block payout
po_1P3022QXaS,2026-09-23,2026-09-23,156.55,usd,paid,Private Lesson - lesson block payout
po_1P3002QXaS,2026-09-24,2026-09-24,160.6,usd,paid,Private Lesson - lesson block payout
po_1P3013QXaS,2026-09-24,2026-09-24,65.72,usd,paid,Kids Class - lesson block payout
po_1P3010QXaS,2026-09-25,2026-09-25,226.13,usd,paid,Intro Package - lesson block payout
po_1P3020QXaS,2026-09-27,2026-09-27,229.76,usd,paid,Intro Package - lesson block payout
po_1P3026QXaS,2026-09-27,2026-09-27,69.58,usd,paid,Group Lesson - lesson block payout
po_1P3018QXaS,2026-09-28,2026-09-28,33.66,usd,paid,Board Rental - lesson block payout
po_1P3003QXaS,2026-09-29,2026-09-29,155.43,usd,paid,Private Lesson - lesson block payout
po_1P3014QXaS,2026-09-30,2026-09-30,56.58,usd,paid,Stand Up Paddleboard - lesson block payout
po_stripe_2026090120,2026-10-01,2026-10-02,220.0,USD,paid,South Bay Surf Academy - Lesson 1
po_stripe_2026090140,2026-10-01,2026-10-02,220.0,USD,paid,South Bay Surf Academy - Lesson 1
po_1P3105QXaS,2026-10-01,2026-10-01,160.9,usd,paid,Private Lesson - lesson block payout
po_stripe_2026090121,2026-10-02,2026-10-03,180.0,USD,paid,South Bay Surf Academy - Lesson 2
po_stripe_2026090141,2026-10-02,2026-10-03,180.0,USD,paid,South Bay Surf Academy - Lesson 2
po_1P3101QXaS,2026-10-02,2026-10-02,129.17,usd,paid,Private Lesson - lesson block payout
po_stripe_2026090122,2026-10-03,2026-10-04,340.0,USD,paid,South Bay Surf Academy - Lesson 3
po_stripe_2026090142,2026-10-03,2026-10-04,340.0,USD,paid,South Bay Surf Academy - Lesson 3
po_stripe_2026090123,2026-10-04,2026-10-05,120.0,USD,paid,South Bay Surf Academy - Lesson 4
po_stripe_2026090143,2026-10-04,2026-10-05,120.0,USD,paid,South Bay Surf Academy - Lesson 4
po_1P3111QXaS,2026-10-04,2026-10-04,23.42,usd,paid,Wetsuit Rental - lesson block payout
po_stripe_2026090124,2026-10-05,2026-10-06,450.0,USD,paid,South Bay Surf Academy - Lesson 5
po_stripe_2026090144,2026-10-05,2026-10-06,450.0,USD,paid,South Bay Surf Academy - Lesson 5
po_1P3100QXaS,2026-10-05,2026-10-05,56.82,usd,paid,Kids Class - lesson block payout
po_stripe_2026090125,2026-10-06,2026-10-07,240.0,USD,paid,South Bay Surf Academy - Lesson 6
po_1P3102QXaS,2026-10-06,2026-10-06,66.93,usd,paid,Stand Up Paddleboard - lesson block payout
po_1P3108QXaS,2026-10-06,2026-10-06,55.06,usd,paid,Kids Class - lesson block payout
po_stripe_2026090126,2026-10-07,2026-10-08,180.0,USD,paid,South Bay Surf Academy - Lesson 7
po_stripe_2026090127,2026-10-08,2026-10-09,220.0,USD,paid,South Bay Surf Academy - Lesson 8
po_1P3117QXaS,2026-10-08,2026-10-08,125.14,usd,paid,Private Lesson - lesson block payout
po_stripe_2026090128,2026-10-09,2026-10-10,340.0,USD,paid,South Bay Surf Academy - Lesson 9
po_stripe_2026090129,2026-10-10,2026-10-11,120.0,USD,paid,South Bay Surf Academy - Lesson 10
po_stripe_2026090130,2026-10-11,2026-10-12,220.0,USD,paid,South Bay Surf Academy - Lesson 1
po_1P3107QXaS,2026-10-11,2026-10-11,137.61,usd,paid,Private Lesson - lesson block payout
po_stripe_2026090131,2026-10-12,2026-10-13,180.0,USD,paid,South Bay Surf Academy - Lesson 2
po_1P3116QXaS,2026-10-12,2026-10-12,17.39,usd,paid,Wetsuit Rental - lesson block payout
po_stripe_2026090132,2026-10-13,2026-10-14,340.0,USD,paid,South Bay Surf Academy - Lesson 3
po_1P3103QXaS,2026-10-13,2026-10-13,66.92,usd,paid,Stand Up Paddleboard - lesson block payout
po_stripe_2026090133,2026-10-14,2026-10-15,120.0,USD,paid,South Bay Surf Academy - Lesson 4
po_stripe_2026090134,2026-10-15,2026-10-16,450.0,USD,paid,South Bay Surf Academy - Lesson 5
po_1P3104QXaS,2026-10-15,2026-10-15,24.71,usd,paid,Wetsuit Rental - lesson block payout
po_stripe_2026090135,2026-10-16,2026-10-17,240.0,USD,paid,South Bay Surf Academy - Lesson 6
po_1P3115QXaS,2026-10-16,2026-10-16,67.24,usd,paid,Group Lesson - lesson block payout
po_1P3118QXaS,2026-10-16,2026-10-16,178.68,usd,paid,Private Lesson - lesson block payout
po_stripe_2026090136,2026-10-17,2026-10-18,180.0,USD,paid,South Bay Surf Academy - Lesson 7
po_1P3112QXaS,2026-10-17,2026-10-17,26.53,usd,paid,Board Rental - lesson block payout
po_stripe_2026090137,2026-10-18,2026-10-19,220.0,USD,paid,South Bay Surf Academy - Lesson 8
po_1P3106QXaS,2026-10-18,2026-10-18,22.69,usd,paid,Wetsuit Rental - lesson block payout
po_1P3119QXaS,2026-10-18,2026-10-18,47.57,usd,paid,Dawn Patrol Class - lesson block payout
po_stripe_2026090138,2026-10-19,2026-10-20,340.0,USD,paid,South Bay Surf Academy - Lesson 9
po_stripe_2026090139,2026-10-20,2026-10-21,120.0,USD,paid,South Bay Surf Academy - Lesson 10
po_1P3109QXaS,2026-10-24,2026-10-24,24.72,usd,paid,Wetsuit Rental - lesson block payout
po_1P3110QXaS,2026-10-25,2026-10-25,55.15,usd,paid,Dawn Patrol Class - lesson block payout
po_1P3113QXaS,2026-10-25,2026-10-25,55.79,usd,paid,Dawn Patrol Class - lesson block payout
po_1P3114QXaS,2026-10-25,2026-10-25,76.98,usd,paid,Group Lesson - lesson block payout
