Year	Month	Property	Address	Rent Collected ($)	Mortgage/PITI ($)	Tony DeLuca Fee ($)	Maintenance ($)	Net Cash Flow ($)	Notes
2025	May	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	May	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	May	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	May	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	June	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	June	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	June	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	June	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	July	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	July	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	July	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	165.00	152.00	Toilet flapper replacement. Under $300.
2025	July	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	August	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	August	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	August	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	August	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	September	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	September	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	220.00	520.00	Exterior paint touch-up. Aaron approved.
2025	September	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	September	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	October	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	October	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	October	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	October	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	November	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	November	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	November	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	November	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
2025	December	Property 1 (Palm Harbor)	1847 Pinehurst Court, Palm Harbor FL 34683	1600.00	0.00	128.00	0.00	1472.00	-
2025	December	Property 2 (Tarpon Springs SFH)	724 Dodson Avenue, Tarpon Springs FL 34689	2000.00	1100.00	160.00	0.00	740.00	-
2025	December	Property 3 Unit A (Duplex)	3156 Pelican Drive Unit A, Tarpon Springs FL 34689	1350.00	925.00	108.00	0.00	317.00	-
2025	December	Property 3 Unit B (Duplex)	3156 Pelican Drive Unit B, Tarpon Springs FL 34689	1400.00	925.00	112.00	0.00	363.00	-
Annual Summary 2025	-	Property 1 Annual Net	-	19200.00	0.00	1536.00	285.00	17379.00	-
Annual Summary 2025	-	Property 2 Annual Net	-	24000.00	13200.00	1920.00	220.00	8660.00	-
Annual Summary 2025	-	Property 3 Combined Annual Net	-	33000.00	22200.00	2640.00	825.00	7335.00	-
Annual Summary 2025	-	TOTAL ALL PROPERTIES	-	76200.00	35400.00	6096.00	1330.00	33374.00	Net of $33,374 vs persona-stated ~$33,500. Consistent.
Property Manager: Tony DeLuca, DeLuca Property Services, (727) 555-0367	Owner: Aaron Nikolaos Garcia	Compiled by: Eleni Garcia (CPA) using Xero rental book	Last Updated: February 27, 2026
