id,name,parent_id,owner_id,description,created_at,modified_at,item_count
folder-2062,Folder 62,0,box-greg,Archived appeal attachments.,2025-01-09,2026-06-09,13
folder-2063,Folder 63,0,box-greg,Archived appeal attachments.,2025-01-10,2026-06-10,4
folder-2064,Folder 64,0,box-greg,Archived appeal attachments.,2025-01-11,2026-06-11,9
folder-2065,Folder 65,0,box-greg,Archived appeal attachments.,2025-01-12,2026-06-12,24
folder-2066,Folder 66,0,box-greg,Archived appeal attachments.,2025-01-13,2026-06-13,39
folder-2067,Folder 67,0,box-greg,Archived appeal attachments.,2025-01-14,2026-06-14,3
folder-2068,Folder 68,0,box-greg,Archived appeal attachments.,2025-01-15,2026-06-15,16
folder-2069,Folder 69,0,box-greg,Archived appeal attachments.,2025-01-16,2026-06-16,1
folder-2070,Folder 70,0,box-greg,Archived appeal attachments.,2025-01-17,2026-06-17,30
folder-2071,Folder 71,0,box-greg,Archived appeal attachments.,2025-01-18,2026-06-18,15
folder-2072,Folder 72,0,box-greg,Archived appeal attachments.,2025-01-19,2026-06-19,20
folder-2073,Folder 73,0,box-greg,Archived appeal attachments.,2025-01-20,2026-06-20,25
folder-2074,Folder 74,0,box-greg,Archived appeal attachments.,2025-01-21,2026-06-21,18
folder-2075,Folder 75,0,box-greg,Archived appeal attachments.,2025-01-22,2026-06-22,11
folder-2076,Folder 76,0,box-greg,Archived appeal attachments.,2025-01-23,2026-06-23,4
folder-2077,Folder 77,0,box-greg,Archived appeal attachments.,2025-01-24,2026-06-24,34
folder-2078,Folder 78,0,box-greg,Archived appeal attachments.,2025-01-25,2026-06-25,35
folder-2079,Folder 79,0,box-greg,Archived appeal attachments.,2025-01-26,2026-06-26,8
folder-2080,Folder 80,0,box-greg,Archived appeal attachments.,2025-01-27,2026-06-27,34
folder-2081,Folder 81,0,box-greg,Archived appeal attachments.,2025-01-01,2026-06-01,20
folder-2082,Folder 82,0,box-greg,Archived appeal attachments.,2025-01-02,2026-06-02,28
folder-2083,Folder 83,0,box-greg,Archived appeal attachments.,2025-01-03,2026-06-03,18
folder-2084,Folder 84,0,box-greg,Archived appeal attachments.,2025-01-04,2026-06-04,40
folder-2085,Folder 85,0,box-greg,Archived appeal attachments.,2025-01-05,2026-06-05,32
folder-2086,Folder 86,0,box-greg,Archived appeal attachments.,2025-01-06,2026-06-06,37
folder-2087,Folder 87,0,box-greg,Archived appeal attachments.,2025-01-07,2026-06-07,32
folder-2088,Folder 88,0,box-greg,Archived appeal attachments.,2025-01-08,2026-06-08,34
