pair,base,currency,amount
DOGE-USD-x120,USDC,USD,1.00
SOL-USD-x121,ETH,USD,3400.00
SOL-USD-x122,USDC,USD,1.00
SOL-USD-x123,SOL,USD,145.00
BTC-USD-x124,SOL,USD,145.00
BTC-USD-x125,BTC,USD,65000.00
USDC-USD-x126,ETH,USD,3400.00
ETH-USD-x127,SOL,USD,145.00
DOGE-USD-x128,DOGE,USD,0.16
ETH-USD-x129,SOL,USD,145.00
SOL-USD-x130,BTC,USD,65000.00
ETH-USD-x131,BTC,USD,65000.00
ETH-USD-x132,BTC,USD,65000.00
USDC-USD-x133,SOL,USD,145.00
ETH-USD-x134,SOL,USD,145.00
SOL-USD-x135,ETH,USD,3400.00
SOL-USD-x136,SOL,USD,145.00
ETH-USD-x137,USDC,USD,1.00
BTC-USD-x138,BTC,USD,65000.00
SOL-USD-x139,BTC,USD,65000.00
USDC-USD-x140,USDC,USD,1.00
DOGE-USD-x141,SOL,USD,145.00
SOL-USD-x142,DOGE,USD,0.16
BTC-USD-x143,DOGE,USD,0.16
DOGE-USD-x144,ETH,USD,3400.00
BTC-USD-x145,USDC,USD,1.00
SOL-USD-x146,USDC,USD,1.00
BTC-USD-x147,ETH,USD,3400.00
USDC-USD-x148,ETH,USD,3400.00
DOGE-USD-x149,SOL,USD,145.00
DOGE-USD-x150,BTC,USD,65000.00
DOGE-USD-x151,DOGE,USD,0.16
USDC-USD-x152,USDC,USD,1.00
DOGE-USD-x153,BTC,USD,65000.00
ETH-USD-x154,BTC,USD,65000.00
DOGE-USD-x155,DOGE,USD,0.16
DOGE-USD-x156,USDC,USD,1.00
ETH-USD-x157,BTC,USD,65000.00
SOL-USD-x158,SOL,USD,145.00
ETH-USD-x159,ETH,USD,3400.00
SOL-USD-x160,SOL,USD,145.00
ETH-USD-x161,DOGE,USD,0.16
DOGE-USD-x162,SOL,USD,145.00
USDC-USD-x163,SOL,USD,145.00
DOGE-USD-x164,SOL,USD,145.00
DOGE-USD-x165,SOL,USD,145.00
SOL-USD-x166,ETH,USD,3400.00
ETH-USD-x167,SOL,USD,145.00
SOL-USD-x168,BTC,USD,65000.00
SOL-USD-x169,DOGE,USD,0.16
ETH-USD-x170,BTC,USD,65000.00
SOL-USD-x171,BTC,USD,65000.00
ETH-USD-x172,USDC,USD,1.00
SOL-USD-x173,USDC,USD,1.00
USDC-USD-x174,SOL,USD,145.00
SOL-USD-x175,ETH,USD,3400.00
ETH-USD-x176,DOGE,USD,0.16
BTC-USD-x177,ETH,USD,3400.00
USDC-USD-x178,DOGE,USD,0.16
USDC-USD-x179,ETH,USD,3400.00
USDC-USD-x180,DOGE,USD,0.16
BTC-USD-x181,ETH,USD,3400.00
DOGE-USD-x182,USDC,USD,1.00
SOL-USD-x183,DOGE,USD,0.16
ETH-USD-x184,USDC,USD,1.00
USDC-USD-x185,ETH,USD,3400.00
USDC-USD-x186,DOGE,USD,0.16
USDC-USD-x187,USDC,USD,1.00
DOGE-USD-x188,SOL,USD,145.00
ETH-USD-x189,DOGE,USD,0.16
DOGE-USD-x190,USDC,USD,1.00
BTC-USD-x191,USDC,USD,1.00
SOL-USD-x192,BTC,USD,65000.00
BTC-USD-x193,BTC,USD,65000.00
USDC-USD-x194,DOGE,USD,0.16
DOGE-USD-x195,SOL,USD,145.00
BTC-USD-x196,DOGE,USD,0.16
SOL-USD-x197,USDC,USD,1.00
DOGE-USD-x198,ETH,USD,3400.00
ETH-USD-x199,BTC,USD,65000.00
DOGE-USD-x200,DOGE,USD,0.16
BTC-USD-x201,DOGE,USD,0.16
DOGE-USD-x202,USDC,USD,1.00
BTC-USD-x203,BTC,USD,65000.00
ETH-USD-x204,SOL,USD,145.00
SOL-USD-x205,USDC,USD,1.00
ETH-USD-x206,ETH,USD,3400.00
DOGE-USD-x207,USDC,USD,1.00
ETH-USD-x208,DOGE,USD,0.16
USDC-USD-x209,SOL,USD,145.00
ETH-USD-x210,BTC,USD,65000.00
USDC-USD-x211,USDC,USD,1.00
