carrier,tracking_number,status,status_detail,location_city,location_state,status_time
usps,9400111202555512345791,IN_TRANSIT,Package status: in_transit,Queens,NY,2026-07-15T12:30:00-04:00
ups,9400111202555512345792,SHIPPED,Package status: shipped,Queens,NY,2026-07-23T12:30:00-04:00
usps,9400111202555512345793,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-07-06T13:30:00-04:00
usps,9400111202555512345794,SHIPPED,Package status: shipped,Brooklyn,NY,2026-09-13T09:30:00-04:00
usps,9400111202555512345795,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-09-22T12:30:00-04:00
ups,9400111202555512345796,IN_TRANSIT,Package status: in_transit,Brooklyn,NY,2026-07-26T12:30:00-04:00
usps,9400111202555512345797,DELIVERED,"Delivered to New York, NY",New York,NY,2026-07-22T11:30:00-04:00
usps,9400111202555512345798,DELIVERED,"Delivered to New York, NY",New York,NY,2026-09-07T14:30:00-04:00
usps,9400111202555512345799,DELIVERED,"Delivered to New York, NY",New York,NY,2026-08-24T16:30:00-04:00
usps,9400111202555512345800,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-08-24T18:30:00-04:00
usps,9400111202555512345801,IN_TRANSIT,Package status: in_transit,New York,NY,2026-07-12T10:30:00-04:00
usps,9400111202555512345802,DELIVERED,"Delivered to Brooklyn, NY",Brooklyn,NY,2026-09-13T11:30:00-04:00
ups,9400111202555512345803,DELIVERED,"Delivered to Bronx, NY",Bronx,NY,2026-08-19T15:30:00-04:00
usps,9400111202555512345804,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-09-11T13:30:00-04:00
usps,9400111202555512345805,DELIVERED,"Delivered to New York, NY",New York,NY,2026-08-07T15:30:00-04:00
ups,9400111202555512345806,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-08-18T18:30:00-04:00
ups,9400111202555512345807,IN_TRANSIT,Package status: in_transit,Bronx,NY,2026-09-07T17:30:00-04:00
usps,9400111202555512345808,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-09-28T16:30:00-04:00
usps,9400111202555512345809,DELIVERED,"Delivered to Queens, NY",Queens,NY,2026-09-12T11:30:00-04:00
