vpn_session_id,session_start_cet,session_end_cet,user_id,gateway,client_ip,bytes_transferred
VPN-000061,2024-11-13T16:23:00+01:00,2024-11-13T16:24:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.23,391168
VPN-000062,2024-11-13T17:25:00+01:00,2024-11-13T17:26:00+01:00,P.NILSSON,gw-sthlm-01,10.24.12.88,530432
VPN-000063,2024-11-14T16:49:00+01:00,2024-11-14T16:50:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.84,388096
VPN-000064,2024-11-14T17:59:00+01:00,2024-11-14T18:00:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.60,424960
VPN-000065,2024-11-14T17:39:00+01:00,2024-11-14T17:40:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.6,264192
VPN-000066,2024-11-14T17:25:00+01:00,2024-11-14T17:26:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.86,642048
VPN-000067,2024-11-14T17:00:00+01:00,2024-11-14T17:01:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.53,883712
VPN-000068,2024-11-14T16:10:00+01:00,2024-11-14T16:11:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.58,827392
VPN-000069,2024-11-14T18:47:00+01:00,2024-11-14T18:48:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.92,880640
VPN-000070,2024-11-15T17:11:00+01:00,2024-11-15T17:12:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.71,890880
VPN-000071,2024-11-15T17:43:00+01:00,2024-11-15T17:44:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.11,47104
VPN-000072,2024-11-15T16:17:00+01:00,2024-11-15T16:18:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.41,564224
VPN-000073,2024-11-15T17:03:00+01:00,2024-11-15T17:04:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.18,657408
VPN-000074,2024-11-15T18:28:00+01:00,2024-11-15T18:29:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.5,278528
VPN-000075,2024-11-15T17:19:00+01:00,2024-11-15T17:20:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.71,53248
VPN-000076,2024-11-15T17:31:00+01:00,2024-11-15T17:32:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.49,350208
VPN-000077,2024-11-15T18:40:00+01:00,2024-11-15T18:41:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.26,661504
VPN-000078,2024-11-18T17:28:00+01:00,2024-11-18T17:29:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.12,325632
VPN-000079,2024-11-18T17:54:00+01:00,2024-11-18T17:55:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.95,887808
VPN-000080,2024-11-18T17:34:00+01:00,2024-11-18T17:35:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.17,795648
VPN-000081,2024-11-18T17:35:00+01:00,2024-11-18T17:36:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.67,846848
VPN-000082,2024-11-18T16:04:00+01:00,2024-11-18T16:05:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.28,674816
VPN-000083,2024-11-18T17:25:00+01:00,2024-11-18T17:26:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.21,167936
VPN-000084,2024-11-18T16:18:00+01:00,2024-11-18T16:19:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.72,452608
VPN-000085,2024-11-19T17:11:00+01:00,2024-11-19T17:12:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.42,180224
VPN-000086,2024-11-19T16:23:00+01:00,2024-11-19T16:24:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.26,626688
VPN-000087,2024-11-19T16:58:00+01:00,2024-11-19T17:00:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.59,401408
VPN-000088,2024-11-19T16:55:00+01:00,2024-11-19T16:56:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.45,161792
VPN-000089,2024-11-19T16:00:00+01:00,2024-11-19T16:01:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.32,582656
VPN-000090,2024-11-19T16:25:00+01:00,2024-11-19T16:26:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.40,670720
VPN-000091,2024-11-19T17:44:00+01:00,2024-11-19T17:45:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.66,187392
VPN-000092,2024-11-19T17:11:00+01:00,2024-11-19T17:12:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.17,515072
VPN-000093,2024-11-20T16:17:00+01:00,2024-11-20T16:18:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.4,266240
VPN-000094,2024-11-20T17:56:00+01:00,2024-11-20T17:57:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.50,220160
VPN-000095,2024-11-20T18:30:00+01:00,2024-11-20T18:31:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.78,643072
VPN-000096,2024-11-20T18:25:00+01:00,2024-11-20T18:26:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.87,322560
VPN-000097,2024-11-20T16:58:00+01:00,2024-11-20T17:00:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.78,146432
VPN-000098,2024-11-20T17:03:00+01:00,2024-11-20T17:04:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.20,703488
VPN-000099,2024-11-20T16:49:00+01:00,2024-11-20T16:50:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.19,359424
VPN-000100,2024-11-20T17:30:00+01:00,2024-11-20T17:31:00+01:00,P.NILSSON,gw-sthlm-01,10.24.12.36,66560
VPN-000101,2024-11-21T18:04:00+01:00,2024-11-21T18:05:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.57,452608
VPN-000102,2024-11-21T18:56:00+01:00,2024-11-21T18:57:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.69,277504
VPN-000103,2024-11-21T18:10:00+01:00,2024-11-21T18:11:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.71,263168
VPN-000104,2024-11-21T18:51:00+01:00,2024-11-21T18:52:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.52,858112
VPN-000105,2024-11-21T18:41:00+01:00,2024-11-21T18:42:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.20,503808
VPN-000106,2024-11-21T16:07:00+01:00,2024-11-21T16:08:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.3,53248
VPN-000107,2024-11-21T16:11:00+01:00,2024-11-21T16:12:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.90,185344
VPN-000108,2024-11-21T18:26:00+01:00,2024-11-21T18:27:00+01:00,P.NILSSON,gw-sthlm-01,10.24.12.76,412672
VPN-000109,2024-11-22T17:55:00+01:00,2024-11-22T17:56:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.97,763904
VPN-000110,2024-11-22T16:25:00+01:00,2024-11-22T16:26:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.57,720896
VPN-000111,2024-11-22T16:18:00+01:00,2024-11-22T16:19:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.67,501760
VPN-000112,2024-11-22T16:43:00+01:00,2024-11-22T16:44:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.39,491520
VPN-000113,2024-11-22T17:31:00+01:00,2024-11-22T17:32:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.93,175104
VPN-000114,2024-11-22T16:14:00+01:00,2024-11-22T16:15:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.2,571392
VPN-000115,2024-11-22T17:42:00+01:00,2024-11-22T17:43:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.71,659456
VPN-000116,2024-11-25T17:07:00+01:00,2024-11-25T17:08:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.77,40960
VPN-000117,2024-11-25T16:58:00+01:00,2024-11-25T17:00:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.62,705536
VPN-000118,2024-11-25T17:15:00+01:00,2024-11-25T17:16:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.5,811008
VPN-000119,2024-11-25T16:12:00+01:00,2024-11-25T16:13:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.24,217088
VPN-000120,2024-11-25T16:15:00+01:00,2024-11-25T16:16:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.75,703488
VPN-000121,2024-11-26T16:08:00+01:00,2024-11-26T16:09:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.65,883712
VPN-000122,2024-11-26T18:52:00+01:00,2024-11-26T18:53:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.97,363520
VPN-000123,2024-11-26T18:17:00+01:00,2024-11-26T18:18:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.17,772096
VPN-000124,2024-11-26T18:41:00+01:00,2024-11-26T18:42:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.29,353280
VPN-000125,2024-11-26T17:38:00+01:00,2024-11-26T17:39:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.51,259072
VPN-000126,2024-11-26T16:46:00+01:00,2024-11-26T16:47:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.28,631808
VPN-000127,2024-11-26T17:09:00+01:00,2024-11-26T17:10:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.77,480256
VPN-000128,2024-11-27T18:24:00+01:00,2024-11-27T18:25:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.73,646144
VPN-000129,2024-11-27T17:32:00+01:00,2024-11-27T17:33:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.12,318464
VPN-000130,2024-11-27T17:41:00+01:00,2024-11-27T17:42:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.78,894976
VPN-000131,2024-11-27T17:18:00+01:00,2024-11-27T17:19:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.37,134144
VPN-000132,2024-11-27T17:06:00+01:00,2024-11-27T17:07:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.40,783360
VPN-000133,2024-11-27T17:21:00+01:00,2024-11-27T17:22:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.47,239616
VPN-000134,2024-11-28T18:58:00+01:00,2024-11-28T19:00:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.53,317440
VPN-000135,2024-11-28T17:17:00+01:00,2024-11-28T17:18:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.12,570368
VPN-000136,2024-11-28T16:36:00+01:00,2024-11-28T16:37:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.89,652288
VPN-000137,2024-11-28T18:57:00+01:00,2024-11-28T18:58:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.75,219136
VPN-000138,2024-11-28T16:21:00+01:00,2024-11-28T16:22:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.90,762880
VPN-000139,2024-11-28T18:16:00+01:00,2024-11-28T18:17:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.72,559104
VPN-000140,2024-11-28T18:16:00+01:00,2024-11-28T18:17:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.48,879616
VPN-000141,2024-11-29T17:18:00+01:00,2024-11-29T17:19:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.68,616448
VPN-000142,2024-11-29T18:05:00+01:00,2024-11-29T18:06:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.56,598016
VPN-000143,2024-11-29T18:03:00+01:00,2024-11-29T18:04:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.7,884736
VPN-000144,2024-11-29T18:02:00+01:00,2024-11-29T18:03:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.95,605184
VPN-000145,2024-11-29T18:23:00+01:00,2024-11-29T18:24:00+01:00,P.NILSSON,gw-sthlm-01,10.24.12.70,32768
VPN-000146,2024-12-02T17:25:00+01:00,2024-12-02T17:26:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.34,729088
VPN-000147,2024-12-02T16:13:00+01:00,2024-12-02T16:14:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.86,71680
VPN-000148,2024-12-02T17:41:00+01:00,2024-12-02T17:42:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.57,372736
VPN-000149,2024-12-02T16:45:00+01:00,2024-12-02T16:46:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.39,526336
VPN-000150,2024-12-02T17:34:00+01:00,2024-12-02T17:35:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.6,133120
VPN-000151,2024-12-02T18:22:00+01:00,2024-12-02T18:23:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.95,480256
VPN-000152,2024-12-02T18:15:00+01:00,2024-12-02T18:16:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.38,51200
VPN-000153,2024-12-03T18:35:00+01:00,2024-12-03T18:36:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.24,754688
VPN-000154,2024-12-03T16:16:00+01:00,2024-12-03T16:17:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.95,896000
VPN-000155,2024-12-03T16:07:00+01:00,2024-12-03T16:08:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.45,746496
VPN-000156,2024-12-03T16:09:00+01:00,2024-12-03T16:10:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.12.38,425984
VPN-000157,2024-12-03T17:41:00+01:00,2024-12-03T17:42:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.87,846848
VPN-000158,2024-12-04T18:07:00+01:00,2024-12-04T18:08:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.13,306176
VPN-000159,2024-12-04T16:43:00+01:00,2024-12-04T16:44:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.56,199680
VPN-000160,2024-12-04T17:07:00+01:00,2024-12-04T17:08:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.63,772096
VPN-000161,2024-12-04T16:48:00+01:00,2024-12-04T16:49:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.71,269312
VPN-000162,2024-12-04T18:56:00+01:00,2024-12-04T18:57:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.16,411648
VPN-000163,2024-12-04T16:20:00+01:00,2024-12-04T16:21:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.20,893952
VPN-000164,2024-12-04T18:00:00+01:00,2024-12-04T18:01:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.8,787456
VPN-000165,2024-12-05T18:48:00+01:00,2024-12-05T18:49:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.54,914432
VPN-000166,2024-12-05T17:43:00+01:00,2024-12-05T17:44:00+01:00,K.HANSEN,gw-sthlm-01,10.24.11.46,123904
VPN-000167,2024-12-05T17:36:00+01:00,2024-12-05T17:37:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.60,112640
VPN-000168,2024-12-05T16:14:00+01:00,2024-12-05T16:15:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.31,877568
VPN-000169,2024-12-05T16:48:00+01:00,2024-12-05T16:49:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.75,919552
VPN-000170,2024-12-05T18:34:00+01:00,2024-12-05T18:35:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.31,345088
VPN-000171,2024-12-06T16:06:00+01:00,2024-12-06T16:07:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.21,395264
VPN-000172,2024-12-06T17:19:00+01:00,2024-12-06T17:20:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.29,119808
VPN-000173,2024-12-06T18:03:00+01:00,2024-12-06T18:04:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.60,135168
VPN-000174,2024-12-06T17:18:00+01:00,2024-12-06T17:19:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.96,104448
VPN-000175,2024-12-06T18:17:00+01:00,2024-12-06T18:18:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.9,109568
VPN-000176,2024-12-06T16:01:00+01:00,2024-12-06T16:02:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.18,616448
VPN-000177,2024-12-09T16:08:00+01:00,2024-12-09T16:09:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.34,466944
VPN-000178,2024-12-09T18:16:00+01:00,2024-12-09T18:17:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.76,803840
VPN-000179,2024-12-09T17:30:00+01:00,2024-12-09T17:31:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.87,857088
VPN-000180,2024-12-09T17:10:00+01:00,2024-12-09T17:11:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.73,372736
VPN-000181,2024-12-09T17:08:00+01:00,2024-12-09T17:09:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.70,429056
VPN-000182,2024-12-09T16:58:00+01:00,2024-12-09T17:00:00+01:00,M.OHLIN,gw-sthlm-01,10.24.11.68,881664
VPN-000183,2024-12-09T18:45:00+01:00,2024-12-09T18:46:00+01:00,P.NILSSON,gw-sthlm-01,10.24.11.59,443392
VPN-000184,2024-12-10T16:48:00+01:00,2024-12-10T16:49:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.11.64,454656
VPN-000185,2024-12-10T16:14:00+01:00,2024-12-10T16:15:00+01:00,F.WALLIN,gw-sthlm-01,10.24.12.33,698368
VPN-000186,2024-12-10T17:02:00+01:00,2024-12-10T17:03:00+01:00,H.MOLIN,gw-sthlm-01,10.24.11.57,629760
VPN-000187,2024-12-10T17:55:00+01:00,2024-12-10T17:56:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.92,474112
VPN-000188,2024-12-10T16:19:00+01:00,2024-12-10T16:20:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.12.29,466944
VPN-000189,2024-12-10T17:19:00+01:00,2024-12-10T17:20:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.4,855040
VPN-000190,2024-12-10T18:40:00+01:00,2024-12-10T18:41:00+01:00,P.NILSSON,gw-sthlm-01,10.24.12.56,788480
VPN-000191,2024-12-11T16:34:00+01:00,2024-12-11T16:35:00+01:00,A.PALMBERG,gw-sthlm-01,10.24.12.73,256000
VPN-000192,2024-12-11T18:20:00+01:00,2024-12-11T18:21:00+01:00,F.WALLIN,gw-sthlm-01,10.24.11.58,453632
VPN-000193,2024-12-11T18:27:00+01:00,2024-12-11T18:28:00+01:00,H.MOLIN,gw-sthlm-01,10.24.12.21,440320
VPN-000194,2024-12-11T18:59:00+01:00,2024-12-11T19:00:00+01:00,K.HANSEN,gw-sthlm-01,10.24.12.53,701440
VPN-000195,2024-12-11T18:33:00+01:00,2024-12-11T18:34:00+01:00,K.LINDQVIST,gw-sthlm-01,10.24.11.6,68608
VPN-000196,2024-12-11T17:42:00+01:00,2024-12-11T17:43:00+01:00,L.SANDBERG,gw-sthlm-01,10.24.11.61,749568
VPN-000197,2024-12-11T17:40:00+01:00,2024-12-11T17:41:00+01:00,M.OHLIN,gw-sthlm-01,10.24.12.35,676864
