invoice_id,vendor_rank,vendor_name,entity_code,invoice_date,period,amount_sek,cadence,msa_id,status,bank_movement_id,diversion_ref
INV-000016,1,Ericsson AB,VG-SE1,2023-04-01,2023-04,3566986.67,monthly,MSA-0001,ok,BNK-000016,
INV-000017,1,Ericsson AB,VG-SE1,2023-05-01,2023-05,3563530.67,monthly,MSA-0001,ok,BNK-000017,
INV-000018,1,Ericsson AB,VG-SE1,2023-06-01,2023-06,3563918.67,monthly,MSA-0001,ok,BNK-000018,
INV-000019,1,Ericsson AB,VG-SE1,2023-07-01,2023-07,3565992.67,monthly,MSA-0001,ok,BNK-000019,
INV-000020,1,Ericsson AB,VG-SE1,2023-08-01,2023-08,3563885.67,monthly,MSA-0001,ok,BNK-000020,
INV-000021,1,Ericsson AB,VG-SE1,2023-09-01,2023-09,3563311.67,monthly,MSA-0001,ok,BNK-000021,
INV-000022,1,Ericsson AB,VG-SE1,2023-10-01,2023-10,3565329.67,monthly,MSA-0001,ok,BNK-000022,
INV-000023,1,Ericsson AB,VG-SE1,2023-11-01,2023-11,3563642.67,monthly,MSA-0001,ok,BNK-000023,
INV-000024,1,Ericsson AB,VG-SE1,2023-12-01,2023-12,3570313.67,monthly,MSA-0001,ok,BNK-000024,
INV-000025,1,Ericsson AB,VG-SE1,2024-01-01,2024-01,3568825.67,monthly,MSA-0001,ok,BNK-000025,
INV-000026,1,Ericsson AB,VG-SE1,2024-02-01,2024-02,3568325.67,monthly,MSA-0001,ok,BNK-000026,
INV-000027,1,Ericsson AB,VG-SE1,2024-03-01,2024-03,3567544.67,monthly,MSA-0001,ok,BNK-000027,
INV-000028,1,Ericsson AB,VG-SE1,2024-04-01,2024-04,3564853.67,monthly,MSA-0001,ok,BNK-000028,
INV-000029,1,Ericsson AB,VG-SE1,2024-05-01,2024-05,3565547.67,monthly,MSA-0001,ok,BNK-000029,
INV-000030,1,Ericsson AB,VG-SE1,2024-06-01,2024-06,3563174.67,monthly,MSA-0001,ok,BNK-000030,
INV-000031,1,Ericsson AB,VG-SE1,2024-07-01,2024-07,3564177.67,monthly,MSA-0001,ok,BNK-000031,
INV-000032,1,Ericsson AB,VG-SE1,2024-08-01,2024-08,3570493.67,monthly,MSA-0001,ok,BNK-000032,
INV-000033,1,Ericsson AB,VG-SE1,2024-09-01,2024-09,3568157.67,monthly,MSA-0001,ok,BNK-000033,
INV-000034,1,Ericsson AB,VG-SE1,2024-10-01,2024-10,3569656.67,monthly,MSA-0001,ok,BNK-000034,
INV-000035,1,Ericsson AB,VG-SE1,2024-11-01,2024-11,3567776.67,monthly,MSA-0001,ok,BNK-000035,
INV-000036,1,Ericsson AB,VG-SE1,2024-12-01,2024-12,3569993.67,monthly,MSA-0001,ok,BNK-000036,
INV-000037,1,Ericsson AB,VG-SE1,2025-01-01,2025-01,3564694.67,monthly,MSA-0001,ok,BNK-000037,
INV-000038,1,Ericsson AB,VG-SE1,2025-02-01,2025-02,3563173.67,monthly,MSA-0001,ok,BNK-000038,
INV-000039,1,Ericsson AB,VG-SE1,2025-03-01,2025-03,3568899.67,monthly,MSA-0001,ok,BNK-000039,
INV-000040,1,Ericsson AB,VG-SE1,2025-04-01,2025-04,3563345.67,monthly,MSA-0001,ok,BNK-000040,
INV-000041,1,Ericsson AB,VG-SE1,2025-05-01,2025-05,3570564.67,monthly,MSA-0001,ok,BNK-000041,
INV-000042,1,Ericsson AB,VG-SE1,2025-06-01,2025-06,3569635.67,monthly,MSA-0001,ok,BNK-000042,
INV-000043,1,Ericsson AB,VG-SE1,2025-07-01,2025-07,3570523.67,monthly,MSA-0001,ok,BNK-000043,
INV-000044,1,Ericsson AB,VG-SE1,2025-08-01,2025-08,3569099.67,monthly,MSA-0001,ok,BNK-000044,
INV-000045,1,Ericsson AB,VG-SE1,2025-09-01,2025-09,3567041.67,monthly,MSA-0001,ok,BNK-000045,
INV-000046,1,Ericsson AB,VG-SE1,2025-10-01,2025-10,3567185.67,monthly,MSA-0001,ok,BNK-000046,
INV-000047,1,Ericsson AB,VG-SE1,2025-11-01,2025-11,3567715.67,monthly,MSA-0001,ok,BNK-000047,
INV-000048,1,Ericsson AB,VG-SE1,2025-12-01,2025-12,3569296.67,monthly,MSA-0001,ok,BNK-000048,
INV-000049,2,Tele2 Sverige AB,VG-SE1,2022-01-01,2022-01,2599376.0,monthly,MSA-0002,ok,BNK-000049,
INV-000050,2,Tele2 Sverige AB,VG-SE1,2022-02-01,2022-02,2596680.0,monthly,MSA-0002,ok,BNK-000050,
INV-000051,2,Tele2 Sverige AB,VG-SE1,2022-03-01,2022-03,2598603.0,monthly,MSA-0002,ok,BNK-000051,
INV-000052,2,Tele2 Sverige AB,VG-SE1,2022-04-01,2022-04,2603860.0,monthly,MSA-0002,ok,BNK-000052,
INV-000053,2,Tele2 Sverige AB,VG-SE1,2022-05-01,2022-05,2597827.0,monthly,MSA-0002,ok,BNK-000053,
INV-000054,2,Tele2 Sverige AB,VG-SE1,2022-06-01,2022-06,2598063.0,monthly,MSA-0002,ok,BNK-000054,
INV-000055,2,Tele2 Sverige AB,VG-SE1,2022-07-01,2022-07,2602087.0,monthly,MSA-0002,ok,BNK-000055,
INV-000056,2,Tele2 Sverige AB,VG-SE1,2022-08-01,2022-08,2600815.0,monthly,MSA-0002,ok,BNK-000056,
INV-000057,2,Tele2 Sverige AB,VG-SE1,2022-09-01,2022-09,2598876.0,monthly,MSA-0002,ok,BNK-000057,
INV-000058,2,Tele2 Sverige AB,VG-SE1,2022-10-01,2022-10,2598411.0,monthly,MSA-0002,ok,BNK-000058,
INV-000059,2,Tele2 Sverige AB,VG-SE1,2022-11-01,2022-11,2598524.0,monthly,MSA-0002,ok,BNK-000059,
INV-000060,2,Tele2 Sverige AB,VG-SE1,2022-12-01,2022-12,2600152.0,monthly,MSA-0002,ok,BNK-000060,
INV-000061,2,Tele2 Sverige AB,VG-SE1,2023-01-01,2023-01,2599053.0,monthly,MSA-0002,ok,BNK-000061,
INV-000062,2,Tele2 Sverige AB,VG-SE1,2023-02-01,2023-02,2597435.0,monthly,MSA-0002,ok,BNK-000062,
INV-000063,2,Tele2 Sverige AB,VG-SE1,2023-03-01,2023-03,2598027.0,monthly,MSA-0002,ok,BNK-000063,
INV-000064,2,Tele2 Sverige AB,VG-SE1,2023-04-01,2023-04,2602354.0,monthly,MSA-0002,ok,BNK-000064,
INV-000065,2,Tele2 Sverige AB,VG-SE1,2023-05-01,2023-05,2603671.0,monthly,MSA-0002,ok,BNK-000065,
INV-000066,2,Tele2 Sverige AB,VG-SE1,2023-06-01,2023-06,2600863.0,monthly,MSA-0002,ok,BNK-000066,
INV-000067,2,Tele2 Sverige AB,VG-SE1,2023-07-01,2023-07,2601596.0,monthly,MSA-0002,ok,BNK-000067,
INV-000068,2,Tele2 Sverige AB,VG-SE1,2023-08-01,2023-08,2603483.0,monthly,MSA-0002,ok,BNK-000068,
INV-000069,2,Tele2 Sverige AB,VG-SE1,2023-09-01,2023-09,2597418.0,monthly,MSA-0002,ok,BNK-000069,
INV-000070,2,Tele2 Sverige AB,VG-SE1,2023-10-01,2023-10,2603069.0,monthly,MSA-0002,ok,BNK-000070,
INV-000071,2,Tele2 Sverige AB,VG-SE1,2023-11-01,2023-11,2601559.0,monthly,MSA-0002,ok,BNK-000071,
INV-000072,2,Tele2 Sverige AB,VG-SE1,2023-12-01,2023-12,2601297.0,monthly,MSA-0002,ok,BNK-000072,
INV-000073,2,Tele2 Sverige AB,VG-SE1,2024-01-01,2024-01,2602376.0,monthly,MSA-0002,ok,BNK-000073,
INV-000074,2,Tele2 Sverige AB,VG-SE1,2024-02-01,2024-02,2598392.0,monthly,MSA-0002,ok,BNK-000074,
INV-000075,2,Tele2 Sverige AB,VG-SE1,2024-03-01,2024-03,2602373.0,monthly,MSA-0002,ok,BNK-000075,
INV-000076,2,Tele2 Sverige AB,VG-SE1,2024-04-01,2024-04,2599715.0,monthly,MSA-0002,ok,BNK-000076,
INV-000077,2,Tele2 Sverige AB,VG-SE1,2024-05-01,2024-05,2603344.0,monthly,MSA-0002,ok,BNK-000077,
INV-000078,2,Tele2 Sverige AB,VG-SE1,2024-06-01,2024-06,2600935.0,monthly,MSA-0002,ok,BNK-000078,
INV-000079,2,Tele2 Sverige AB,VG-SE1,2024-07-01,2024-07,2599226.0,monthly,MSA-0002,ok,BNK-000079,
INV-000080,2,Tele2 Sverige AB,VG-SE1,2024-08-01,2024-08,2599676.0,monthly,MSA-0002,ok,BNK-000080,
INV-000081,2,Tele2 Sverige AB,VG-SE1,2024-09-01,2024-09,2602844.0,monthly,MSA-0002,ok,BNK-000081,
INV-000082,2,Tele2 Sverige AB,VG-SE1,2024-10-01,2024-10,2598772.0,monthly,MSA-0002,ok,BNK-000082,
INV-000083,2,Tele2 Sverige AB,VG-SE1,2024-11-01,2024-11,2602060.0,monthly,MSA-0002,ok,BNK-000083,
INV-000084,2,Tele2 Sverige AB,VG-SE1,2024-12-01,2024-12,2599405.0,monthly,MSA-0002,ok,BNK-000084,
INV-000085,2,Tele2 Sverige AB,VG-SE1,2025-01-01,2025-01,2596217.0,monthly,MSA-0002,ok,BNK-000085,
INV-000086,2,Tele2 Sverige AB,VG-SE1,2025-02-01,2025-02,2600821.0,monthly,MSA-0002,ok,BNK-000086,
INV-000087,2,Tele2 Sverige AB,VG-SE1,2025-03-01,2025-03,2597308.0,monthly,MSA-0002,ok,BNK-000087,
INV-000088,2,Tele2 Sverige AB,VG-SE1,2025-04-01,2025-04,2596221.0,monthly,MSA-0002,ok,BNK-000088,
INV-000089,2,Tele2 Sverige AB,VG-SE1,2025-05-01,2025-05,2598012.0,monthly,MSA-0002,ok,BNK-000089,
INV-000090,2,Tele2 Sverige AB,VG-SE1,2025-06-01,2025-06,2601710.0,monthly,MSA-0002,ok,BNK-000090,
INV-000091,2,Tele2 Sverige AB,VG-SE1,2025-07-01,2025-07,2601332.0,monthly,MSA-0002,ok,BNK-000091,
INV-000092,2,Tele2 Sverige AB,VG-SE1,2025-08-01,2025-08,2600650.0,monthly,MSA-0002,ok,BNK-000092,
INV-000093,2,Tele2 Sverige AB,VG-SE1,2025-09-01,2025-09,2596537.0,monthly,MSA-0002,ok,BNK-000093,
INV-000094,2,Tele2 Sverige AB,VG-SE1,2025-10-01,2025-10,2596429.0,monthly,MSA-0002,ok,BNK-000094,
INV-000095,2,Tele2 Sverige AB,VG-SE1,2025-11-01,2025-11,2596831.0,monthly,MSA-0002,ok,BNK-000095,
INV-000096,2,Tele2 Sverige AB,VG-SE1,2025-12-01,2025-12,2601876.0,monthly,MSA-0002,ok,BNK-000096,
INV-000097,3,SEB Kort AB,VG-SE2,2022-01-01,2022-01,6873468.0,quarterly,MSA-0003,ok,BNK-000097,
INV-000098,3,SEB Kort AB,VG-SE2,2022-04-01,2022-04,6878420.0,quarterly,MSA-0003,ok,BNK-000098,
INV-000099,3,SEB Kort AB,VG-SE2,2022-07-01,2022-07,6876996.0,quarterly,MSA-0003,ok,BNK-000099,
INV-000100,3,SEB Kort AB,VG-SE2,2022-10-01,2022-10,6872096.0,quarterly,MSA-0003,ok,BNK-000100,
INV-000101,3,SEB Kort AB,VG-SE2,2023-01-01,2023-01,6874388.0,quarterly,MSA-0003,ok,BNK-000101,
INV-000102,3,SEB Kort AB,VG-SE2,2023-04-01,2023-04,6872749.0,quarterly,MSA-0003,ok,BNK-000102,
INV-000103,3,SEB Kort AB,VG-SE2,2023-07-01,2023-07,6876219.0,quarterly,MSA-0003,ok,BNK-000103,
INV-000104,3,SEB Kort AB,VG-SE2,2023-10-01,2023-10,6872023.0,quarterly,MSA-0003,ok,BNK-000104,
INV-000105,3,SEB Kort AB,VG-SE2,2024-01-01,2024-01,6873693.0,quarterly,MSA-0003,ok,BNK-000105,
INV-000106,3,SEB Kort AB,VG-SE2,2024-04-01,2024-04,6876180.0,quarterly,MSA-0003,ok,BNK-000106,
INV-000107,3,SEB Kort AB,VG-SE2,2024-07-01,2024-07,6876163.0,quarterly,MSA-0003,ok,BNK-000107,
INV-000108,3,SEB Kort AB,VG-SE2,2024-10-01,2024-10,6877368.0,quarterly,MSA-0003,ok,BNK-000108,
INV-000109,3,SEB Kort AB,VG-SE2,2025-01-01,2025-01,6874166.0,quarterly,MSA-0003,ok,BNK-000109,
INV-000110,3,SEB Kort AB,VG-SE2,2025-04-01,2025-04,6873557.0,quarterly,MSA-0003,ok,BNK-000110,
INV-000111,3,SEB Kort AB,VG-SE2,2025-07-01,2025-07,6877894.0,quarterly,MSA-0003,ok,BNK-000111,
INV-000112,3,SEB Kort AB,VG-SE2,2025-10-01,2025-10,6878070.0,quarterly,MSA-0003,ok,BNK-000112,
INV-000113,4,Handelsbanken IT Solutions,VG-SE1,2022-01-01,2022-01,2075212.0,monthly,MSA-0004,ok,BNK-000113,
INV-000114,4,Handelsbanken IT Solutions,VG-SE1,2022-02-01,2022-02,2071030.0,monthly,MSA-0004,ok,BNK-000114,
INV-000115,4,Handelsbanken IT Solutions,VG-SE1,2022-03-01,2022-03,2075095.0,monthly,MSA-0004,ok,BNK-000115,
INV-000116,4,Handelsbanken IT Solutions,VG-SE1,2022-04-01,2022-04,2071389.0,monthly,MSA-0004,ok,BNK-000116,
INV-000117,4,Handelsbanken IT Solutions,VG-SE1,2022-05-01,2022-05,2074390.0,monthly,MSA-0004,ok,BNK-000117,
INV-000118,4,Handelsbanken IT Solutions,VG-SE1,2022-06-01,2022-06,2073591.0,monthly,MSA-0004,ok,BNK-000118,
INV-000119,4,Handelsbanken IT Solutions,VG-SE1,2022-07-01,2022-07,2072910.0,monthly,MSA-0004,ok,BNK-000119,
INV-000120,4,Handelsbanken IT Solutions,VG-SE1,2022-08-01,2022-08,2078651.0,monthly,MSA-0004,ok,BNK-000120,
INV-000121,4,Handelsbanken IT Solutions,VG-SE1,2022-09-01,2022-09,2073360.0,monthly,MSA-0004,ok,BNK-000121,
INV-000122,4,Handelsbanken IT Solutions,VG-SE1,2022-10-01,2022-10,2071790.0,monthly,MSA-0004,ok,BNK-000122,
INV-000123,4,Handelsbanken IT Solutions,VG-SE1,2022-11-01,2022-11,2073410.0,monthly,MSA-0004,ok,BNK-000123,
INV-000124,4,Handelsbanken IT Solutions,VG-SE1,2022-12-01,2022-12,2078466.0,monthly,MSA-0004,ok,BNK-000124,
INV-000125,4,Handelsbanken IT Solutions,VG-SE1,2023-01-01,2023-01,2076321.0,monthly,MSA-0004,ok,BNK-000125,
INV-000126,4,Handelsbanken IT Solutions,VG-SE1,2023-02-01,2023-02,2077044.0,monthly,MSA-0004,ok,BNK-000126,
INV-000127,4,Handelsbanken IT Solutions,VG-SE1,2023-03-01,2023-03,2078615.0,monthly,MSA-0004,ok,BNK-000127,
INV-000128,4,Handelsbanken IT Solutions,VG-SE1,2023-04-01,2023-04,2077935.0,monthly,MSA-0004,ok,BNK-000128,
INV-000129,4,Handelsbanken IT Solutions,VG-SE1,2023-05-01,2023-05,2075945.0,monthly,MSA-0004,ok,BNK-000129,
INV-000130,4,Handelsbanken IT Solutions,VG-SE1,2023-06-01,2023-06,2073302.0,monthly,MSA-0004,ok,BNK-000130,
INV-000131,4,Handelsbanken IT Solutions,VG-SE1,2023-07-01,2023-07,2078816.0,monthly,MSA-0004,ok,BNK-000131,
INV-000132,4,Handelsbanken IT Solutions,VG-SE1,2023-08-01,2023-08,2073701.0,monthly,MSA-0004,ok,BNK-000132,
INV-000133,4,Handelsbanken IT Solutions,VG-SE1,2023-09-01,2023-09,2078146.0,monthly,MSA-0004,ok,BNK-000133,
INV-000134,4,Handelsbanken IT Solutions,VG-SE1,2023-10-01,2023-10,2071860.0,monthly,MSA-0004,ok,BNK-000134,
INV-000135,4,Handelsbanken IT Solutions,VG-SE1,2023-11-01,2023-11,2072079.0,monthly,MSA-0004,ok,BNK-000135,
INV-000136,4,Handelsbanken IT Solutions,VG-SE1,2023-12-01,2023-12,2074237.0,monthly,MSA-0004,ok,BNK-000136,
INV-000137,4,Handelsbanken IT Solutions,VG-SE1,2024-01-01,2024-01,2071102.0,monthly,MSA-0004,ok,BNK-000137,
INV-000138,4,Handelsbanken IT Solutions,VG-SE1,2024-02-01,2024-02,2072064.0,monthly,MSA-0004,ok,BNK-000138,
INV-000139,4,Handelsbanken IT Solutions,VG-SE1,2024-03-01,2024-03,2072099.0,monthly,MSA-0004,ok,BNK-000139,
INV-000140,4,Handelsbanken IT Solutions,VG-SE1,2024-04-01,2024-04,2076692.0,monthly,MSA-0004,ok,BNK-000140,
INV-000141,4,Handelsbanken IT Solutions,VG-SE1,2024-05-01,2024-05,2073709.0,monthly,MSA-0004,ok,BNK-000141,
INV-000142,4,Handelsbanken IT Solutions,VG-SE1,2024-06-01,2024-06,2076335.0,monthly,MSA-0004,ok,BNK-000142,
INV-000143,4,Handelsbanken IT Solutions,VG-SE1,2024-07-01,2024-07,2078473.0,monthly,MSA-0004,ok,BNK-000143,
INV-000144,4,Handelsbanken IT Solutions,VG-SE1,2024-08-01,2024-08,2072823.0,monthly,MSA-0004,ok,BNK-000144,
INV-000145,4,Handelsbanken IT Solutions,VG-SE1,2024-09-01,2024-09,2076781.0,monthly,MSA-0004,ok,BNK-000145,
INV-000146,4,Handelsbanken IT Solutions,VG-SE1,2024-10-01,2024-10,2076310.0,monthly,MSA-0004,ok,BNK-000146,
INV-000147,4,Handelsbanken IT Solutions,VG-SE1,2024-11-01,2024-11,2076701.0,monthly,MSA-0004,ok,BNK-000147,
INV-000148,4,Handelsbanken IT Solutions,VG-SE1,2024-12-01,2024-12,2071376.0,monthly,MSA-0004,ok,BNK-000148,
INV-000149,4,Handelsbanken IT Solutions,VG-SE1,2025-01-01,2025-01,2072251.0,monthly,MSA-0004,ok,BNK-000149,
INV-000150,4,Handelsbanken IT Solutions,VG-SE1,2025-02-01,2025-02,2072823.0,monthly,MSA-0004,ok,BNK-000150,
INV-000151,4,Handelsbanken IT Solutions,VG-SE1,2025-03-01,2025-03,2073151.0,monthly,MSA-0004,ok,BNK-000151,
INV-000152,4,Handelsbanken IT Solutions,VG-SE1,2025-04-01,2025-04,2078256.0,monthly,MSA-0004,ok,BNK-000152,
INV-000153,4,Handelsbanken IT Solutions,VG-SE1,2025-05-01,2025-05,2077181.0,monthly,MSA-0004,ok,BNK-000153,
INV-000154,4,Handelsbanken IT Solutions,VG-SE1,2025-06-01,2025-06,2075988.0,monthly,MSA-0004,ok,BNK-000154,
INV-000155,4,Handelsbanken IT Solutions,VG-SE1,2025-07-01,2025-07,2074304.0,monthly,MSA-0004,ok,BNK-000155,
INV-000156,4,Handelsbanken IT Solutions,VG-SE1,2025-08-01,2025-08,2073227.0,monthly,MSA-0004,ok,BNK-000156,
INV-000157,4,Handelsbanken IT Solutions,VG-SE1,2025-09-01,2025-09,2073552.0,monthly,MSA-0004,ok,BNK-000157,
INV-000158,4,Handelsbanken IT Solutions,VG-SE1,2025-10-01,2025-10,2073468.0,monthly,MSA-0004,ok,BNK-000158,
INV-000159,4,Handelsbanken IT Solutions,VG-SE1,2025-11-01,2025-11,2071553.0,monthly,MSA-0004,ok,BNK-000159,
INV-000160,4,Handelsbanken IT Solutions,VG-SE1,2025-12-01,2025-12,2072417.0,monthly,MSA-0004,ok,BNK-000160,
INV-000161,5,Bergqvist Advokatbyra,VG-SE1,2022-01-01,2022-01,1845144.67,monthly,MSA-0005,ok,BNK-000161,
INV-000162,5,Bergqvist Advokatbyra,VG-SE1,2022-02-01,2022-02,1842645.67,monthly,MSA-0005,ok,BNK-000162,
INV-000163,5,Bergqvist Advokatbyra,VG-SE1,2022-03-01,2022-03,1839110.67,monthly,MSA-0005,ok,BNK-000163,
INV-000164,5,Bergqvist Advokatbyra,VG-SE1,2022-04-01,2022-04,1839539.67,monthly,MSA-0005,ok,BNK-000164,
INV-000165,5,Bergqvist Advokatbyra,VG-SE1,2022-05-01,2022-05,1845048.67,monthly,MSA-0005,ok,BNK-000165,
INV-000166,5,Bergqvist Advokatbyra,VG-SE1,2022-06-01,2022-06,1842754.67,monthly,MSA-0005,ok,BNK-000166,
INV-000167,5,Bergqvist Advokatbyra,VG-SE1,2022-07-01,2022-07,1839414.67,monthly,MSA-0005,ok,BNK-000167,
INV-000168,5,Bergqvist Advokatbyra,VG-SE1,2022-08-01,2022-08,1844633.67,monthly,MSA-0005,ok,BNK-000168,
INV-000169,5,Bergqvist Advokatbyra,VG-SE1,2022-09-01,2022-09,1845055.67,monthly,MSA-0005,ok,BNK-000169,
INV-000170,5,Bergqvist Advokatbyra,VG-SE1,2022-10-01,2022-10,1842851.67,monthly,MSA-0005,ok,BNK-000170,
INV-000171,5,Bergqvist Advokatbyra,VG-SE1,2022-11-01,2022-11,1838624.67,monthly,MSA-0005,ok,BNK-000171,
INV-000172,5,Bergqvist Advokatbyra,VG-SE1,2022-12-01,2022-12,1839048.67,monthly,MSA-0005,ok,BNK-000172,
INV-000173,5,Bergqvist Advokatbyra,VG-SE1,2023-01-01,2023-01,1843852.67,monthly,MSA-0005,ok,BNK-000173,
INV-000174,5,Bergqvist Advokatbyra,VG-SE1,2023-02-01,2023-02,1842327.67,monthly,MSA-0005,ok,BNK-000174,
INV-000175,5,Bergqvist Advokatbyra,VG-SE1,2023-03-01,2023-03,1839903.67,monthly,MSA-0005,ok,BNK-000175,
INV-000176,5,Bergqvist Advokatbyra,VG-SE1,2023-04-01,2023-04,1839845.67,monthly,MSA-0005,ok,BNK-000176,
INV-000177,5,Bergqvist Advokatbyra,VG-SE1,2023-05-01,2023-05,1845457.67,monthly,MSA-0005,ok,BNK-000177,
INV-000178,5,Bergqvist Advokatbyra,VG-SE1,2023-06-01,2023-06,1838156.67,monthly,MSA-0005,ok,BNK-000178,
INV-000179,5,Bergqvist Advokatbyra,VG-SE1,2023-07-01,2023-07,1845659.67,monthly,MSA-0005,ok,BNK-000179,
INV-000180,5,Bergqvist Advokatbyra,VG-SE1,2023-08-01,2023-08,1843892.67,monthly,MSA-0005,ok,BNK-000180,
INV-000181,5,Bergqvist Advokatbyra,VG-SE1,2023-09-01,2023-09,1842489.67,monthly,MSA-0005,ok,BNK-000181,
INV-000182,5,Bergqvist Advokatbyra,VG-SE1,2023-10-01,2023-10,1841932.67,monthly,MSA-0005,ok,BNK-000182,
INV-000183,5,Bergqvist Advokatbyra,VG-SE1,2023-11-01,2023-11,1844763.67,monthly,MSA-0005,ok,BNK-000183,
INV-000184,5,Bergqvist Advokatbyra,VG-SE1,2023-12-01,2023-12,1841013.67,monthly,MSA-0005,ok,BNK-000184,
INV-000185,5,Bergqvist Advokatbyra,VG-SE1,2024-01-01,2024-01,1839981.67,monthly,MSA-0005,ok,BNK-000185,
INV-000186,5,Bergqvist Advokatbyra,VG-SE1,2024-02-01,2024-02,1842937.67,monthly,MSA-0005,ok,BNK-000186,
INV-000187,5,Bergqvist Advokatbyra,VG-SE1,2024-03-01,2024-03,1844720.67,monthly,MSA-0005,ok,BNK-000187,
INV-000188,5,Bergqvist Advokatbyra,VG-SE1,2024-04-01,2024-04,1838594.67,monthly,MSA-0005,ok,BNK-000188,
INV-000189,5,Bergqvist Advokatbyra,VG-SE1,2024-05-01,2024-05,1841999.67,monthly,MSA-0005,ok,BNK-000189,
INV-000190,5,Bergqvist Advokatbyra,VG-SE1,2024-06-01,2024-06,1839235.67,monthly,MSA-0005,ok,BNK-000190,
INV-000191,5,Bergqvist Advokatbyra,VG-SE1,2024-07-01,2024-07,1841273.67,monthly,MSA-0005,ok,BNK-000191,
INV-000192,5,Bergqvist Advokatbyra,VG-SE1,2024-08-01,2024-08,1843807.67,monthly,MSA-0005,ok,BNK-000192,
INV-000193,5,Bergqvist Advokatbyra,VG-SE1,2024-09-01,2024-09,1844901.67,monthly,MSA-0005,ok,BNK-000193,
INV-000194,5,Bergqvist Advokatbyra,VG-SE1,2024-10-01,2024-10,1840743.67,monthly,MSA-0005,ok,BNK-000194,
INV-000195,5,Bergqvist Advokatbyra,VG-SE1,2024-11-01,2024-11,1840114.67,monthly,MSA-0005,ok,BNK-000195,
INV-000196,5,Bergqvist Advokatbyra,VG-SE1,2024-12-01,2024-12,1841231.67,monthly,MSA-0005,ok,BNK-000196,
INV-000197,5,Bergqvist Advokatbyra,VG-SE1,2025-01-01,2025-01,1844761.67,monthly,MSA-0005,ok,BNK-000197,
INV-000198,5,Bergqvist Advokatbyra,VG-SE1,2025-02-01,2025-02,1838163.67,monthly,MSA-0005,ok,BNK-000198,
INV-000199,5,Bergqvist Advokatbyra,VG-SE1,2025-03-01,2025-03,1840613.67,monthly,MSA-0005,ok,BNK-000199,
INV-000200,5,Bergqvist Advokatbyra,VG-SE1,2025-04-01,2025-04,1838577.67,monthly,MSA-0005,ok,BNK-000200,
INV-000201,5,Bergqvist Advokatbyra,VG-SE1,2025-05-01,2025-05,1842902.67,monthly,MSA-0005,ok,BNK-000201,
INV-000202,5,Bergqvist Advokatbyra,VG-SE1,2025-06-01,2025-06,1844745.67,monthly,MSA-0005,ok,BNK-000202,
INV-000203,5,Bergqvist Advokatbyra,VG-SE1,2025-07-01,2025-07,1840619.67,monthly,MSA-0005,ok,BNK-000203,
INV-000204,5,Bergqvist Advokatbyra,VG-SE1,2025-08-01,2025-08,1839853.67,monthly,MSA-0005,ok,BNK-000204,
INV-000205,5,Bergqvist Advokatbyra,VG-SE1,2025-09-01,2025-09,1840817.67,monthly,MSA-0005,ok,BNK-000205,
INV-000206,5,Bergqvist Advokatbyra,VG-SE1,2025-10-01,2025-10,1842550.67,monthly,MSA-0005,ok,BNK-000206,
INV-000207,5,Bergqvist Advokatbyra,VG-SE1,2025-11-01,2025-11,1838179.67,monthly,MSA-0005,ok,BNK-000207,
