je_id,posting_date,entity_code,account_code,account_name,debit_sek,credit_sek,memo,source_ref
JE-000032,2023-04-01,VG-SE1,1930,Bank,0,3566986.67,Payment Ericsson AB,BNK-000016
JE-000033,2023-05-01,VG-SE1,6550,Consulting & services,3563530.67,0,AP Ericsson AB,INV-000017
JE-000034,2023-05-01,VG-SE1,1930,Bank,0,3563530.67,Payment Ericsson AB,BNK-000017
JE-000035,2023-06-01,VG-SE1,6550,Consulting & services,3563918.67,0,AP Ericsson AB,INV-000018
JE-000036,2023-06-01,VG-SE1,1930,Bank,0,3563918.67,Payment Ericsson AB,BNK-000018
JE-000037,2023-07-01,VG-SE1,6550,Consulting & services,3565992.67,0,AP Ericsson AB,INV-000019
JE-000038,2023-07-01,VG-SE1,1930,Bank,0,3565992.67,Payment Ericsson AB,BNK-000019
JE-000039,2023-08-01,VG-SE1,6550,Consulting & services,3563885.67,0,AP Ericsson AB,INV-000020
JE-000040,2023-08-01,VG-SE1,1930,Bank,0,3563885.67,Payment Ericsson AB,BNK-000020
JE-000041,2023-09-01,VG-SE1,6550,Consulting & services,3563311.67,0,AP Ericsson AB,INV-000021
JE-000042,2023-09-01,VG-SE1,1930,Bank,0,3563311.67,Payment Ericsson AB,BNK-000021
JE-000043,2023-10-01,VG-SE1,6550,Consulting & services,3565329.67,0,AP Ericsson AB,INV-000022
JE-000044,2023-10-01,VG-SE1,1930,Bank,0,3565329.67,Payment Ericsson AB,BNK-000022
JE-000045,2023-11-01,VG-SE1,6550,Consulting & services,3563642.67,0,AP Ericsson AB,INV-000023
JE-000046,2023-11-01,VG-SE1,1930,Bank,0,3563642.67,Payment Ericsson AB,BNK-000023
JE-000047,2023-12-01,VG-SE1,6550,Consulting & services,3570313.67,0,AP Ericsson AB,INV-000024
JE-000048,2023-12-01,VG-SE1,1930,Bank,0,3570313.67,Payment Ericsson AB,BNK-000024
JE-000049,2024-01-01,VG-SE1,6550,Consulting & services,3568825.67,0,AP Ericsson AB,INV-000025
JE-000050,2024-01-01,VG-SE1,1930,Bank,0,3568825.67,Payment Ericsson AB,BNK-000025
JE-000051,2024-02-01,VG-SE1,6550,Consulting & services,3568325.67,0,AP Ericsson AB,INV-000026
JE-000052,2024-02-01,VG-SE1,1930,Bank,0,3568325.67,Payment Ericsson AB,BNK-000026
JE-000053,2024-03-01,VG-SE1,6550,Consulting & services,3567544.67,0,AP Ericsson AB,INV-000027
JE-000054,2024-03-01,VG-SE1,1930,Bank,0,3567544.67,Payment Ericsson AB,BNK-000027
JE-000055,2024-04-01,VG-SE1,6550,Consulting & services,3564853.67,0,AP Ericsson AB,INV-000028
JE-000056,2024-04-01,VG-SE1,1930,Bank,0,3564853.67,Payment Ericsson AB,BNK-000028
JE-000057,2024-05-01,VG-SE1,6550,Consulting & services,3565547.67,0,AP Ericsson AB,INV-000029
JE-000058,2024-05-01,VG-SE1,1930,Bank,0,3565547.67,Payment Ericsson AB,BNK-000029
JE-000059,2024-06-01,VG-SE1,6550,Consulting & services,3563174.67,0,AP Ericsson AB,INV-000030
JE-000060,2024-06-01,VG-SE1,1930,Bank,0,3563174.67,Payment Ericsson AB,BNK-000030
JE-000061,2024-07-01,VG-SE1,6550,Consulting & services,3564177.67,0,AP Ericsson AB,INV-000031
JE-000062,2024-07-01,VG-SE1,1930,Bank,0,3564177.67,Payment Ericsson AB,BNK-000031
JE-000063,2024-08-01,VG-SE1,6550,Consulting & services,3570493.67,0,AP Ericsson AB,INV-000032
JE-000064,2024-08-01,VG-SE1,1930,Bank,0,3570493.67,Payment Ericsson AB,BNK-000032
JE-000065,2024-09-01,VG-SE1,6550,Consulting & services,3568157.67,0,AP Ericsson AB,INV-000033
JE-000066,2024-09-01,VG-SE1,1930,Bank,0,3568157.67,Payment Ericsson AB,BNK-000033
JE-000067,2024-10-01,VG-SE1,6550,Consulting & services,3569656.67,0,AP Ericsson AB,INV-000034
JE-000068,2024-10-01,VG-SE1,1930,Bank,0,3569656.67,Payment Ericsson AB,BNK-000034
JE-000069,2024-11-01,VG-SE1,6550,Consulting & services,3567776.67,0,AP Ericsson AB,INV-000035
JE-000070,2024-11-01,VG-SE1,1930,Bank,0,3567776.67,Payment Ericsson AB,BNK-000035
JE-000071,2024-12-01,VG-SE1,6550,Consulting & services,3569993.67,0,AP Ericsson AB,INV-000036
JE-000072,2024-12-01,VG-SE1,1930,Bank,0,3569993.67,Payment Ericsson AB,BNK-000036
JE-000073,2025-01-01,VG-SE1,6550,Consulting & services,3564694.67,0,AP Ericsson AB,INV-000037
JE-000074,2025-01-01,VG-SE1,1930,Bank,0,3564694.67,Payment Ericsson AB,BNK-000037
JE-000075,2025-02-01,VG-SE1,6550,Consulting & services,3563173.67,0,AP Ericsson AB,INV-000038
JE-000076,2025-02-01,VG-SE1,1930,Bank,0,3563173.67,Payment Ericsson AB,BNK-000038
JE-000077,2025-03-01,VG-SE1,6550,Consulting & services,3568899.67,0,AP Ericsson AB,INV-000039
JE-000078,2025-03-01,VG-SE1,1930,Bank,0,3568899.67,Payment Ericsson AB,BNK-000039
JE-000079,2025-04-01,VG-SE1,6550,Consulting & services,3563345.67,0,AP Ericsson AB,INV-000040
JE-000080,2025-04-01,VG-SE1,1930,Bank,0,3563345.67,Payment Ericsson AB,BNK-000040
JE-000081,2025-05-01,VG-SE1,6550,Consulting & services,3570564.67,0,AP Ericsson AB,INV-000041
JE-000082,2025-05-01,VG-SE1,1930,Bank,0,3570564.67,Payment Ericsson AB,BNK-000041
JE-000083,2025-06-01,VG-SE1,6550,Consulting & services,3569635.67,0,AP Ericsson AB,INV-000042
JE-000084,2025-06-01,VG-SE1,1930,Bank,0,3569635.67,Payment Ericsson AB,BNK-000042
JE-000085,2025-07-01,VG-SE1,6550,Consulting & services,3570523.67,0,AP Ericsson AB,INV-000043
JE-000086,2025-07-01,VG-SE1,1930,Bank,0,3570523.67,Payment Ericsson AB,BNK-000043
JE-000087,2025-08-01,VG-SE1,6550,Consulting & services,3569099.67,0,AP Ericsson AB,INV-000044
JE-000088,2025-08-01,VG-SE1,1930,Bank,0,3569099.67,Payment Ericsson AB,BNK-000044
JE-000089,2025-09-01,VG-SE1,6550,Consulting & services,3567041.67,0,AP Ericsson AB,INV-000045
JE-000090,2025-09-01,VG-SE1,1930,Bank,0,3567041.67,Payment Ericsson AB,BNK-000045
JE-000091,2025-10-01,VG-SE1,6550,Consulting & services,3567185.67,0,AP Ericsson AB,INV-000046
JE-000092,2025-10-01,VG-SE1,1930,Bank,0,3567185.67,Payment Ericsson AB,BNK-000046
JE-000093,2025-11-01,VG-SE1,6550,Consulting & services,3567715.67,0,AP Ericsson AB,INV-000047
JE-000094,2025-11-01,VG-SE1,1930,Bank,0,3567715.67,Payment Ericsson AB,BNK-000047
JE-000095,2025-12-01,VG-SE1,6550,Consulting & services,3569296.67,0,AP Ericsson AB,INV-000048
JE-000096,2025-12-01,VG-SE1,1930,Bank,0,3569296.67,Payment Ericsson AB,BNK-000048
JE-000097,2022-01-01,VG-SE1,6550,Consulting & services,2599376.0,0,AP Tele2 Sverige AB,INV-000049
JE-000098,2022-01-01,VG-SE1,1930,Bank,0,2599376.0,Payment Tele2 Sverige AB,BNK-000049
JE-000099,2022-02-01,VG-SE1,6550,Consulting & services,2596680.0,0,AP Tele2 Sverige AB,INV-000050
JE-000100,2022-02-01,VG-SE1,1930,Bank,0,2596680.0,Payment Tele2 Sverige AB,BNK-000050
JE-000101,2022-03-01,VG-SE1,6550,Consulting & services,2598603.0,0,AP Tele2 Sverige AB,INV-000051
JE-000102,2022-03-01,VG-SE1,1930,Bank,0,2598603.0,Payment Tele2 Sverige AB,BNK-000051
JE-000103,2022-04-01,VG-SE1,6550,Consulting & services,2603860.0,0,AP Tele2 Sverige AB,INV-000052
JE-000104,2022-04-01,VG-SE1,1930,Bank,0,2603860.0,Payment Tele2 Sverige AB,BNK-000052
JE-000105,2022-05-01,VG-SE1,6550,Consulting & services,2597827.0,0,AP Tele2 Sverige AB,INV-000053
JE-000106,2022-05-01,VG-SE1,1930,Bank,0,2597827.0,Payment Tele2 Sverige AB,BNK-000053
JE-000107,2022-06-01,VG-SE1,6550,Consulting & services,2598063.0,0,AP Tele2 Sverige AB,INV-000054
JE-000108,2022-06-01,VG-SE1,1930,Bank,0,2598063.0,Payment Tele2 Sverige AB,BNK-000054
JE-000109,2022-07-01,VG-SE1,6550,Consulting & services,2602087.0,0,AP Tele2 Sverige AB,INV-000055
JE-000110,2022-07-01,VG-SE1,1930,Bank,0,2602087.0,Payment Tele2 Sverige AB,BNK-000055
JE-000111,2022-08-01,VG-SE1,6550,Consulting & services,2600815.0,0,AP Tele2 Sverige AB,INV-000056
JE-000112,2022-08-01,VG-SE1,1930,Bank,0,2600815.0,Payment Tele2 Sverige AB,BNK-000056
JE-000113,2022-09-01,VG-SE1,6550,Consulting & services,2598876.0,0,AP Tele2 Sverige AB,INV-000057
JE-000114,2022-09-01,VG-SE1,1930,Bank,0,2598876.0,Payment Tele2 Sverige AB,BNK-000057
JE-000115,2022-10-01,VG-SE1,6550,Consulting & services,2598411.0,0,AP Tele2 Sverige AB,INV-000058
JE-000116,2022-10-01,VG-SE1,1930,Bank,0,2598411.0,Payment Tele2 Sverige AB,BNK-000058
JE-000117,2022-11-01,VG-SE1,6550,Consulting & services,2598524.0,0,AP Tele2 Sverige AB,INV-000059
JE-000118,2022-11-01,VG-SE1,1930,Bank,0,2598524.0,Payment Tele2 Sverige AB,BNK-000059
JE-000119,2022-12-01,VG-SE1,6550,Consulting & services,2600152.0,0,AP Tele2 Sverige AB,INV-000060
JE-000120,2022-12-01,VG-SE1,1930,Bank,0,2600152.0,Payment Tele2 Sverige AB,BNK-000060
JE-000121,2023-01-01,VG-SE1,6550,Consulting & services,2599053.0,0,AP Tele2 Sverige AB,INV-000061
JE-000122,2023-01-01,VG-SE1,1930,Bank,0,2599053.0,Payment Tele2 Sverige AB,BNK-000061
JE-000123,2023-02-01,VG-SE1,6550,Consulting & services,2597435.0,0,AP Tele2 Sverige AB,INV-000062
JE-000124,2023-02-01,VG-SE1,1930,Bank,0,2597435.0,Payment Tele2 Sverige AB,BNK-000062
JE-000125,2023-03-01,VG-SE1,6550,Consulting & services,2598027.0,0,AP Tele2 Sverige AB,INV-000063
JE-000126,2023-03-01,VG-SE1,1930,Bank,0,2598027.0,Payment Tele2 Sverige AB,BNK-000063
JE-000127,2023-04-01,VG-SE1,6550,Consulting & services,2602354.0,0,AP Tele2 Sverige AB,INV-000064
JE-000128,2023-04-01,VG-SE1,1930,Bank,0,2602354.0,Payment Tele2 Sverige AB,BNK-000064
JE-000129,2023-05-01,VG-SE1,6550,Consulting & services,2603671.0,0,AP Tele2 Sverige AB,INV-000065
JE-000130,2023-05-01,VG-SE1,1930,Bank,0,2603671.0,Payment Tele2 Sverige AB,BNK-000065
JE-000131,2023-06-01,VG-SE1,6550,Consulting & services,2600863.0,0,AP Tele2 Sverige AB,INV-000066
JE-000132,2023-06-01,VG-SE1,1930,Bank,0,2600863.0,Payment Tele2 Sverige AB,BNK-000066
JE-000133,2023-07-01,VG-SE1,6550,Consulting & services,2601596.0,0,AP Tele2 Sverige AB,INV-000067
JE-000134,2023-07-01,VG-SE1,1930,Bank,0,2601596.0,Payment Tele2 Sverige AB,BNK-000067
JE-000135,2023-08-01,VG-SE1,6550,Consulting & services,2603483.0,0,AP Tele2 Sverige AB,INV-000068
JE-000136,2023-08-01,VG-SE1,1930,Bank,0,2603483.0,Payment Tele2 Sverige AB,BNK-000068
JE-000137,2023-09-01,VG-SE1,6550,Consulting & services,2597418.0,0,AP Tele2 Sverige AB,INV-000069
JE-000138,2023-09-01,VG-SE1,1930,Bank,0,2597418.0,Payment Tele2 Sverige AB,BNK-000069
JE-000139,2023-10-01,VG-SE1,6550,Consulting & services,2603069.0,0,AP Tele2 Sverige AB,INV-000070
JE-000140,2023-10-01,VG-SE1,1930,Bank,0,2603069.0,Payment Tele2 Sverige AB,BNK-000070
JE-000141,2023-11-01,VG-SE1,6550,Consulting & services,2601559.0,0,AP Tele2 Sverige AB,INV-000071
JE-000142,2023-11-01,VG-SE1,1930,Bank,0,2601559.0,Payment Tele2 Sverige AB,BNK-000071
JE-000143,2023-12-01,VG-SE1,6550,Consulting & services,2601297.0,0,AP Tele2 Sverige AB,INV-000072
JE-000144,2023-12-01,VG-SE1,1930,Bank,0,2601297.0,Payment Tele2 Sverige AB,BNK-000072
JE-000145,2024-01-01,VG-SE1,6550,Consulting & services,2602376.0,0,AP Tele2 Sverige AB,INV-000073
JE-000146,2024-01-01,VG-SE1,1930,Bank,0,2602376.0,Payment Tele2 Sverige AB,BNK-000073
JE-000147,2024-02-01,VG-SE1,6550,Consulting & services,2598392.0,0,AP Tele2 Sverige AB,INV-000074
JE-000148,2024-02-01,VG-SE1,1930,Bank,0,2598392.0,Payment Tele2 Sverige AB,BNK-000074
JE-000149,2024-03-01,VG-SE1,6550,Consulting & services,2602373.0,0,AP Tele2 Sverige AB,INV-000075
JE-000150,2024-03-01,VG-SE1,1930,Bank,0,2602373.0,Payment Tele2 Sverige AB,BNK-000075
JE-000151,2024-04-01,VG-SE1,6550,Consulting & services,2599715.0,0,AP Tele2 Sverige AB,INV-000076
JE-000152,2024-04-01,VG-SE1,1930,Bank,0,2599715.0,Payment Tele2 Sverige AB,BNK-000076
JE-000153,2024-05-01,VG-SE1,6550,Consulting & services,2603344.0,0,AP Tele2 Sverige AB,INV-000077
JE-000154,2024-05-01,VG-SE1,1930,Bank,0,2603344.0,Payment Tele2 Sverige AB,BNK-000077
JE-000155,2024-06-01,VG-SE1,6550,Consulting & services,2600935.0,0,AP Tele2 Sverige AB,INV-000078
JE-000156,2024-06-01,VG-SE1,1930,Bank,0,2600935.0,Payment Tele2 Sverige AB,BNK-000078
JE-000157,2024-07-01,VG-SE1,6550,Consulting & services,2599226.0,0,AP Tele2 Sverige AB,INV-000079
JE-000158,2024-07-01,VG-SE1,1930,Bank,0,2599226.0,Payment Tele2 Sverige AB,BNK-000079
JE-000159,2024-08-01,VG-SE1,6550,Consulting & services,2599676.0,0,AP Tele2 Sverige AB,INV-000080
JE-000160,2024-08-01,VG-SE1,1930,Bank,0,2599676.0,Payment Tele2 Sverige AB,BNK-000080
JE-000161,2024-09-01,VG-SE1,6550,Consulting & services,2602844.0,0,AP Tele2 Sverige AB,INV-000081
JE-000162,2024-09-01,VG-SE1,1930,Bank,0,2602844.0,Payment Tele2 Sverige AB,BNK-000081
JE-000163,2024-10-01,VG-SE1,6550,Consulting & services,2598772.0,0,AP Tele2 Sverige AB,INV-000082
JE-000164,2024-10-01,VG-SE1,1930,Bank,0,2598772.0,Payment Tele2 Sverige AB,BNK-000082
JE-000165,2024-11-01,VG-SE1,6550,Consulting & services,2602060.0,0,AP Tele2 Sverige AB,INV-000083
JE-000166,2024-11-01,VG-SE1,1930,Bank,0,2602060.0,Payment Tele2 Sverige AB,BNK-000083
JE-000167,2024-12-01,VG-SE1,6550,Consulting & services,2599405.0,0,AP Tele2 Sverige AB,INV-000084
JE-000168,2024-12-01,VG-SE1,1930,Bank,0,2599405.0,Payment Tele2 Sverige AB,BNK-000084
JE-000169,2025-01-01,VG-SE1,6550,Consulting & services,2596217.0,0,AP Tele2 Sverige AB,INV-000085
JE-000170,2025-01-01,VG-SE1,1930,Bank,0,2596217.0,Payment Tele2 Sverige AB,BNK-000085
JE-000171,2025-02-01,VG-SE1,6550,Consulting & services,2600821.0,0,AP Tele2 Sverige AB,INV-000086
JE-000172,2025-02-01,VG-SE1,1930,Bank,0,2600821.0,Payment Tele2 Sverige AB,BNK-000086
JE-000173,2025-03-01,VG-SE1,6550,Consulting & services,2597308.0,0,AP Tele2 Sverige AB,INV-000087
JE-000174,2025-03-01,VG-SE1,1930,Bank,0,2597308.0,Payment Tele2 Sverige AB,BNK-000087
JE-000175,2025-04-01,VG-SE1,6550,Consulting & services,2596221.0,0,AP Tele2 Sverige AB,INV-000088
JE-000176,2025-04-01,VG-SE1,1930,Bank,0,2596221.0,Payment Tele2 Sverige AB,BNK-000088
JE-000177,2025-05-01,VG-SE1,6550,Consulting & services,2598012.0,0,AP Tele2 Sverige AB,INV-000089
JE-000178,2025-05-01,VG-SE1,1930,Bank,0,2598012.0,Payment Tele2 Sverige AB,BNK-000089
JE-000179,2025-06-01,VG-SE1,6550,Consulting & services,2601710.0,0,AP Tele2 Sverige AB,INV-000090
JE-000180,2025-06-01,VG-SE1,1930,Bank,0,2601710.0,Payment Tele2 Sverige AB,BNK-000090
JE-000181,2025-07-01,VG-SE1,6550,Consulting & services,2601332.0,0,AP Tele2 Sverige AB,INV-000091
JE-000182,2025-07-01,VG-SE1,1930,Bank,0,2601332.0,Payment Tele2 Sverige AB,BNK-000091
JE-000183,2025-08-01,VG-SE1,6550,Consulting & services,2600650.0,0,AP Tele2 Sverige AB,INV-000092
JE-000184,2025-08-01,VG-SE1,1930,Bank,0,2600650.0,Payment Tele2 Sverige AB,BNK-000092
JE-000185,2025-09-01,VG-SE1,6550,Consulting & services,2596537.0,0,AP Tele2 Sverige AB,INV-000093
JE-000186,2025-09-01,VG-SE1,1930,Bank,0,2596537.0,Payment Tele2 Sverige AB,BNK-000093
JE-000187,2025-10-01,VG-SE1,6550,Consulting & services,2596429.0,0,AP Tele2 Sverige AB,INV-000094
JE-000188,2025-10-01,VG-SE1,1930,Bank,0,2596429.0,Payment Tele2 Sverige AB,BNK-000094
JE-000189,2025-11-01,VG-SE1,6550,Consulting & services,2596831.0,0,AP Tele2 Sverige AB,INV-000095
JE-000190,2025-11-01,VG-SE1,1930,Bank,0,2596831.0,Payment Tele2 Sverige AB,BNK-000095
JE-000191,2025-12-01,VG-SE1,6550,Consulting & services,2601876.0,0,AP Tele2 Sverige AB,INV-000096
JE-000192,2025-12-01,VG-SE1,1930,Bank,0,2601876.0,Payment Tele2 Sverige AB,BNK-000096
JE-000193,2022-01-01,VG-SE2,6550,Consulting & services,6873468.0,0,AP SEB Kort AB,INV-000097
JE-000194,2022-01-01,VG-SE2,1930,Bank,0,6873468.0,Payment SEB Kort AB,BNK-000097
JE-000195,2022-04-01,VG-SE2,6550,Consulting & services,6878420.0,0,AP SEB Kort AB,INV-000098
JE-000196,2022-04-01,VG-SE2,1930,Bank,0,6878420.0,Payment SEB Kort AB,BNK-000098
JE-000197,2022-07-01,VG-SE2,6550,Consulting & services,6876996.0,0,AP SEB Kort AB,INV-000099
JE-000198,2022-07-01,VG-SE2,1930,Bank,0,6876996.0,Payment SEB Kort AB,BNK-000099
JE-000199,2022-10-01,VG-SE2,6550,Consulting & services,6872096.0,0,AP SEB Kort AB,INV-000100
JE-000200,2022-10-01,VG-SE2,1930,Bank,0,6872096.0,Payment SEB Kort AB,BNK-000100
JE-000201,2023-01-01,VG-SE2,6550,Consulting & services,6874388.0,0,AP SEB Kort AB,INV-000101
JE-000202,2023-01-01,VG-SE2,1930,Bank,0,6874388.0,Payment SEB Kort AB,BNK-000101
JE-000203,2023-04-01,VG-SE2,6550,Consulting & services,6872749.0,0,AP SEB Kort AB,INV-000102
JE-000204,2023-04-01,VG-SE2,1930,Bank,0,6872749.0,Payment SEB Kort AB,BNK-000102
JE-000205,2023-07-01,VG-SE2,6550,Consulting & services,6876219.0,0,AP SEB Kort AB,INV-000103
JE-000206,2023-07-01,VG-SE2,1930,Bank,0,6876219.0,Payment SEB Kort AB,BNK-000103
JE-000207,2023-10-01,VG-SE2,6550,Consulting & services,6872023.0,0,AP SEB Kort AB,INV-000104
JE-000208,2023-10-01,VG-SE2,1930,Bank,0,6872023.0,Payment SEB Kort AB,BNK-000104
JE-000209,2024-01-01,VG-SE2,6550,Consulting & services,6873693.0,0,AP SEB Kort AB,INV-000105
JE-000210,2024-01-01,VG-SE2,1930,Bank,0,6873693.0,Payment SEB Kort AB,BNK-000105
JE-000211,2024-04-01,VG-SE2,6550,Consulting & services,6876180.0,0,AP SEB Kort AB,INV-000106
JE-000212,2024-04-01,VG-SE2,1930,Bank,0,6876180.0,Payment SEB Kort AB,BNK-000106
JE-000213,2024-07-01,VG-SE2,6550,Consulting & services,6876163.0,0,AP SEB Kort AB,INV-000107
JE-000214,2024-07-01,VG-SE2,1930,Bank,0,6876163.0,Payment SEB Kort AB,BNK-000107
JE-000215,2024-10-01,VG-SE2,6550,Consulting & services,6877368.0,0,AP SEB Kort AB,INV-000108
JE-000216,2024-10-01,VG-SE2,1930,Bank,0,6877368.0,Payment SEB Kort AB,BNK-000108
JE-000217,2025-01-01,VG-SE2,6550,Consulting & services,6874166.0,0,AP SEB Kort AB,INV-000109
JE-000218,2025-01-01,VG-SE2,1930,Bank,0,6874166.0,Payment SEB Kort AB,BNK-000109
JE-000219,2025-04-01,VG-SE2,6550,Consulting & services,6873557.0,0,AP SEB Kort AB,INV-000110
JE-000220,2025-04-01,VG-SE2,1930,Bank,0,6873557.0,Payment SEB Kort AB,BNK-000110
JE-000221,2025-07-01,VG-SE2,6550,Consulting & services,6877894.0,0,AP SEB Kort AB,INV-000111
JE-000222,2025-07-01,VG-SE2,1930,Bank,0,6877894.0,Payment SEB Kort AB,BNK-000111
JE-000223,2025-10-01,VG-SE2,6550,Consulting & services,6878070.0,0,AP SEB Kort AB,INV-000112
JE-000224,2025-10-01,VG-SE2,1930,Bank,0,6878070.0,Payment SEB Kort AB,BNK-000112
JE-000225,2022-01-01,VG-SE1,6550,Consulting & services,2075212.0,0,AP Handelsbanken IT Solutions,INV-000113
JE-000226,2022-01-01,VG-SE1,1930,Bank,0,2075212.0,Payment Handelsbanken IT Solutions,BNK-000113
JE-000227,2022-02-01,VG-SE1,6550,Consulting & services,2071030.0,0,AP Handelsbanken IT Solutions,INV-000114
JE-000228,2022-02-01,VG-SE1,1930,Bank,0,2071030.0,Payment Handelsbanken IT Solutions,BNK-000114
JE-000229,2022-03-01,VG-SE1,6550,Consulting & services,2075095.0,0,AP Handelsbanken IT Solutions,INV-000115
JE-000230,2022-03-01,VG-SE1,1930,Bank,0,2075095.0,Payment Handelsbanken IT Solutions,BNK-000115
JE-000231,2022-04-01,VG-SE1,6550,Consulting & services,2071389.0,0,AP Handelsbanken IT Solutions,INV-000116
JE-000232,2022-04-01,VG-SE1,1930,Bank,0,2071389.0,Payment Handelsbanken IT Solutions,BNK-000116
JE-000233,2022-05-01,VG-SE1,6550,Consulting & services,2074390.0,0,AP Handelsbanken IT Solutions,INV-000117
JE-000234,2022-05-01,VG-SE1,1930,Bank,0,2074390.0,Payment Handelsbanken IT Solutions,BNK-000117
JE-000235,2022-06-01,VG-SE1,6550,Consulting & services,2073591.0,0,AP Handelsbanken IT Solutions,INV-000118
JE-000236,2022-06-01,VG-SE1,1930,Bank,0,2073591.0,Payment Handelsbanken IT Solutions,BNK-000118
JE-000237,2022-07-01,VG-SE1,6550,Consulting & services,2072910.0,0,AP Handelsbanken IT Solutions,INV-000119
JE-000238,2022-07-01,VG-SE1,1930,Bank,0,2072910.0,Payment Handelsbanken IT Solutions,BNK-000119
JE-000239,2022-08-01,VG-SE1,6550,Consulting & services,2078651.0,0,AP Handelsbanken IT Solutions,INV-000120
JE-000240,2022-08-01,VG-SE1,1930,Bank,0,2078651.0,Payment Handelsbanken IT Solutions,BNK-000120
JE-000241,2022-09-01,VG-SE1,6550,Consulting & services,2073360.0,0,AP Handelsbanken IT Solutions,INV-000121
JE-000242,2022-09-01,VG-SE1,1930,Bank,0,2073360.0,Payment Handelsbanken IT Solutions,BNK-000121
JE-000243,2022-10-01,VG-SE1,6550,Consulting & services,2071790.0,0,AP Handelsbanken IT Solutions,INV-000122
JE-000244,2022-10-01,VG-SE1,1930,Bank,0,2071790.0,Payment Handelsbanken IT Solutions,BNK-000122
JE-000245,2022-11-01,VG-SE1,6550,Consulting & services,2073410.0,0,AP Handelsbanken IT Solutions,INV-000123
JE-000246,2022-11-01,VG-SE1,1930,Bank,0,2073410.0,Payment Handelsbanken IT Solutions,BNK-000123
JE-000247,2022-12-01,VG-SE1,6550,Consulting & services,2078466.0,0,AP Handelsbanken IT Solutions,INV-000124
JE-000248,2022-12-01,VG-SE1,1930,Bank,0,2078466.0,Payment Handelsbanken IT Solutions,BNK-000124
JE-000249,2023-01-01,VG-SE1,6550,Consulting & services,2076321.0,0,AP Handelsbanken IT Solutions,INV-000125
