ledger_id,exchange,account_type,asset,quantity,settlement_date,reporting_date,counterparty_wallet,linked_diversion_ref,sek_settlement_basis,sek_reporting_basis,eur_settlement_basis,notes
CXL-DIV-118-2023Q2,Coinbase,counterparty_only,USDC,151873.8574,2023-05-15,2023-06-30,cbanchor2023c,DIV-118-2023Q2,1661500.0,1332700.0,147165.77,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2023Q3,Coinbase,counterparty_only,BTC,3.9714,2023-08-15,2023-09-30,cbanchor2023d,DIV-118-2023Q3,1707700.0,1369700.0,151257.93,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2023Q4,Coinbase,counterparty_only,ETH,56.5742,2023-11-15,2023-12-31,cbanchor2023a,DIV-118-2023Q4,1753800.0,1406700.0,155341.03,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2024Q1,Coinbase,counterparty_only,USDC,164533.8208,2024-02-15,2024-03-31,cbanchor2024b,DIV-118-2024Q1,1800000.0,1443800.0,159433.27,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2024Q2,Coinbase,counterparty_only,BTC,4.2935,2024-05-15,2024-06-30,cbanchor2024c,DIV-118-2024Q2,1846200.0,1480800.0,163525.69,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2024Q3,Coinbase,counterparty_only,ETH,61.0419,2024-08-15,2024-09-30,cbanchor2024d,DIV-118-2024Q3,1892300.0,1517800.0,167608.4,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2024Q4,Coinbase,counterparty_only,USDC,177193.7843,2024-11-15,2024-12-31,cbanchor2024a,DIV-118-2024Q4,1938500.0,1554800.0,171700.78,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2025Q1,Coinbase,counterparty_only,BTC,4.6153,2025-02-15,2025-03-31,cbanchor2025b,DIV-118-2025Q1,1984600.0,1591800.0,175782.02,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2025Q2,Coinbase,counterparty_only,ETH,65.5097,2025-05-15,2025-06-30,cbanchor2025c,DIV-118-2025Q2,2030800.0,1628800.0,179876.06,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2025Q3,Coinbase,counterparty_only,USDC,189844.6069,2025-08-15,2025-09-30,cbanchor2025d,DIV-118-2025Q3,2076900.0,1665900.0,183959.42,counterparty-ledger only; not in operational exchange feed
CXL-DIV-118-2025Q4,Coinbase,counterparty_only,BTC,4.9374,2025-11-15,2025-12-31,cbanchor2025a,DIV-118-2025Q4,2123100.0,1702800.0,188049.78,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2023Q1,Coinbase,counterparty_only,ETH,24.4935,2023-02-15,2023-03-31,cbanchor2023b,DIV-133-2023Q1,759300.0,609200.0,67254.07,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2023Q2,Coinbase,counterparty_only,USDC,71636.1974,2023-05-15,2023-06-30,cbanchor2023c,DIV-133-2023Q2,783700.0,628700.0,69415.48,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2023Q3,Coinbase,counterparty_only,BTC,1.8793,2023-08-15,2023-09-30,cbanchor2023d,DIV-133-2023Q3,808100.0,648300.0,71576.53,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2023Q4,Coinbase,counterparty_only,ETH,26.8516,2023-11-15,2023-12-31,cbanchor2023a,DIV-133-2023Q4,832400.0,667800.0,73728.93,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2024Q1,Coinbase,counterparty_only,USDC,78318.0987,2024-02-15,2024-03-31,cbanchor2024b,DIV-133-2024Q1,856800.0,687300.0,75890.24,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2024Q2,Coinbase,counterparty_only,BTC,2.0493,2024-05-15,2024-06-30,cbanchor2024c,DIV-133-2024Q2,881200.0,706900.0,78051.28,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2024Q3,Coinbase,counterparty_only,ETH,29.2097,2024-08-15,2024-09-30,cbanchor2024d,DIV-133-2024Q3,905500.0,726400.0,80203.78,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2024Q4,Coinbase,counterparty_only,USDC,85000.0,2024-11-15,2024-12-31,cbanchor2024a,DIV-133-2024Q4,929900.0,746000.0,82365.0,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2025Q1,Coinbase,counterparty_only,BTC,2.2191,2025-02-15,2025-03-31,cbanchor2025b,DIV-133-2025Q1,954200.0,765500.0,84518.42,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2025Q2,Coinbase,counterparty_only,ETH,31.5677,2025-05-15,2025-06-30,cbanchor2025c,DIV-133-2025Q2,978600.0,785100.0,86678.36,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2025Q3,Coinbase,counterparty_only,USDC,91681.9013,2025-08-15,2025-09-30,cbanchor2025d,DIV-133-2025Q3,1003000.0,804600.0,88839.76,counterparty-ledger only; not in operational exchange feed
CXL-DIV-133-2025Q4,Coinbase,counterparty_only,BTC,2.3891,2025-11-15,2025-12-31,cbanchor2025a,DIV-133-2025Q4,1027300.0,824200.0,90993.18,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2023Q2,Coinbase,counterparty_only,ETH,17.4484,2023-05-15,2023-06-30,cbanchor2023b,DIV-152-2023Q2,540900.0,432700.0,47909.69,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2023Q3,Coinbase,counterparty_only,USDC,51188.2998,2023-08-15,2023-09-30,cbanchor2023c,DIV-152-2023Q3,560000.0,448000.0,49601.46,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2023Q4,Coinbase,counterparty_only,BTC,1.3467,2023-11-15,2023-12-31,cbanchor2023d,DIV-152-2023Q4,579100.0,463300.0,51291.5,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2024Q1,Coinbase,counterparty_only,ETH,19.2968,2024-02-15,2024-03-31,cbanchor2024a,DIV-152-2024Q1,598200.0,478500.0,52985.01,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2024Q2,Coinbase,counterparty_only,USDC,56425.9598,2024-05-15,2024-06-30,cbanchor2024b,DIV-152-2024Q2,617300.0,493800.0,54676.76,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2024Q3,Coinbase,counterparty_only,BTC,1.48,2024-08-15,2024-09-30,cbanchor2024c,DIV-152-2024Q3,636400.0,509100.0,56368.47,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2024Q4,Coinbase,counterparty_only,ETH,21.1452,2024-11-15,2024-12-31,cbanchor2024d,DIV-152-2024Q4,655500.0,524400.0,58060.34,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2025Q1,Coinbase,counterparty_only,USDC,61654.479,2025-02-15,2025-03-31,cbanchor2025a,DIV-152-2025Q1,674500.0,539600.0,59743.19,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2025Q2,Coinbase,counterparty_only,BTC,1.613,2025-05-15,2025-06-30,cbanchor2025b,DIV-152-2025Q2,693600.0,554900.0,61434.01,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2025Q3,Coinbase,counterparty_only,ETH,22.9903,2025-08-15,2025-09-30,cbanchor2025c,DIV-152-2025Q3,712700.0,570200.0,63126.6,counterparty-ledger only; not in operational exchange feed
CXL-DIV-152-2025Q4,Coinbase,counterparty_only,USDC,66892.1389,2025-11-15,2025-12-31,cbanchor2025d,DIV-152-2025Q4,731800.0,585500.0,64818.48,counterparty-ledger only; not in operational exchange feed
