rank,vendor_name,entity_code,annual_sek_erp,invoice_cadence,contract_start_date,contract_end_date,beneficial_owner,bo_filing_status,address_of_record
65,ForsTeknik AB,VG-SE11,3936756,quarterly,2022-01-01,2026-12-31,founder_held,current_2025,Birger Jarlsgatan 47 Stockholm
66,Halcy Bemanning AB,VG-SE6,3899418,quarterly,2023-01-01,2026-12-31,A Palmberg,current_2025,Birger Jarlsgatan 111 Stockholm
67,NyInvest AB,VG-EE1,3850954,monthly,2022-01-01,2026-12-31,founder_held,lapsed_2023,Folkungagatan 84 Uppsala
68,HalcyBemanning AB,VG-SE8,3798653,quarterly,2022-01-01,2026-12-31,family_office,current_2024,Hamngatan 175 Nacka
69,CorvidFastighet AB,VG-SE5,3755078,monthly,2023-01-01,2026-12-31,L Roos,none_on_file,Kungsgatan 130 Nacka
70,VastAdvisory HB,VG-SE10,3730965,quarterly,2022-01-01,2026-12-31,private_holding,none_on_file,Industrivagen 67 Malmo
71,LoPartners AB,VG-SE5,3703157,annual,2022-01-01,2026-12-31,founder_held,none_on_file,Gotgatan 87 Vasteras
72,Stral Systems AB,VG-SE4,3664007,annual,2023-01-01,2026-12-31,founder_held,current_2025,Birger Jarlsgatan 176 Goteborg
73,VastMedia HB,VG-SE7,3638926,monthly,2022-01-01,2026-12-31,founder_held,current_2025,Kungsgatan 11 Nacka
74,StjarnSolutions AB,VG-SE8,3594028,annual,2022-01-01,2026-12-31,H Sandberg,current_2025,Storgatan 80 Malmo
75,BlaBemanning HB,VG-SE3,3547271,monthly,2023-01-01,2026-12-31,institutional_shareholders,current_2025,Sveavagen 124 Vasteras
76,SundGroup OU,VG-SE4,3513913,monthly,2022-01-01,2026-12-31,M Tamm,lapsed_2023,Odengatan 138 Nacka
77,KronPartners HB,VG-SE12,3462861,quarterly,2022-01-01,2026-12-31,private_holding,lapsed_2023,Odengatan 85 Sodertalje
78,ForsLogistik AB,VG-SE12,3428899,monthly,2023-01-01,2026-12-31,founder_held,current_2025,Gotgatan 64 Sodertalje
79,CorvidMedia OU,VG-SE8,3372088,monthly,2022-01-01,2026-12-31,family_office,current_2025,Hornsgatan 62 Nacka
80,MalEntreprenad AB,VG-SE9,3346682,quarterly,2022-01-01,2026-12-31,private_holding,lapsed_2023,Sveavagen 80 Goteborg
81,Stjarn Support AB,VG-SE2,3288354,monthly,2023-01-01,2026-12-31,private_holding,none_on_file,Drottninggatan 43 Goteborg
82,VinterInvest OU,VG-SE9,3230358,quarterly,2022-01-01,2026-12-31,family_office,lapsed_2023,Storgatan 26 Stockholm
83,StralKapital AB,VG-SE3,3189399,monthly,2022-01-01,2026-12-31,founder_held,none_on_file,Gotgatan 46 Tallinn
84,VastAdvisory OU,VG-EE1,3137340,monthly,2023-01-01,2026-12-31,family_office,current_2024,Sveavagen 66 Sundbyberg
85,SvenKonsulting OU,VG-SE7,3088277,quarterly,2022-01-01,2026-12-31,family_office,current_2024,Folkungagatan 137 Goteborg
86,Vinter Fastighet AB,VG-SE8,3059529,quarterly,2022-01-01,2026-12-31,K Lindqvist,current_2025,Gotgatan 96 Goteborg
87,SundTrading OU,VG-SE14,3035566,quarterly,2023-01-01,2026-12-31,founder_held,current_2024,Drottninggatan 9 Stockholm
88,VikNordic AB,VG-SE13,3009145,quarterly,2022-01-01,2026-12-31,family_office,current_2025,Storgatan 113 Malmo
89,Ek Analys AB,VG-SE7,2976708,quarterly,2022-01-01,2026-12-31,K Lindqvist,current_2025,Vasagatan 148 Goteborg
90,Corvid Entreprenad HB,VG-SE5,2918276,monthly,2023-01-01,2026-12-31,institutional_shareholders,current_2025,Odengatan 47 Stockholm
91,LoServices HB,VG-SE10,2877070,quarterly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Hornsgatan 104 Vasteras
92,NordKapital AB,VG-SE9,2837835,quarterly,2022-01-01,2026-12-31,H Sandberg,current_2025,Birger Jarlsgatan 5 Sodertalje
93,VikKonsulting OU,VG-SE3,2791645,quarterly,2023-01-01,2026-12-31,institutional_shareholders,lapsed_2023,Odengatan 146 Solna
94,MalAdvisory AB,VG-SE4,2752771,annual,2022-01-01,2026-12-31,founder_held,current_2024,Hamngatan 164 Vasteras
95,OstSystems AB,VG-SE2,2694173,quarterly,2022-01-01,2026-12-31,H Sandberg,current_2025,Industrivagen 140 Nacka
96,ForsKapital OU,VG-EE1,2655426,quarterly,2023-01-01,2026-12-31,family_office,current_2025,Gotgatan 129 Sundbyberg
97,FjallLogistik OU,VG-SE9,2603690,annual,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Vasagatan 126 Goteborg
98,Hav Analys AB,VG-SE8,2547731,monthly,2022-01-01,2026-12-31,private_holding,current_2024,Hamngatan 135 Sodertalje
99,KlarKapital AB,VG-SE5,2527721,quarterly,2023-01-01,2026-12-31,family_office,current_2025,Kungsgatan 41 Goteborg
100,SundAnalys AB,VG-SE4,2505529,quarterly,2022-01-01,2026-12-31,founder_held,none_on_file,Birger Jarlsgatan 129 Tallinn
101,LoFastighet AB,VG-SE7,2479385,quarterly,2022-01-01,2026-12-31,family_office,none_on_file,Birger Jarlsgatan 20 Malmo
102,SkogKonsult AB,VG-SE6,2442495,quarterly,2023-01-01,2026-12-31,institutional_shareholders,current_2025,Hamngatan 41 Uppsala
103,Vik Solutions AB,VG-EE1,2396818,monthly,2022-01-01,2026-12-31,private_holding,current_2024,Ringvagen 96 Malmo
104,HalcyTeknik OU,VG-SE1,2374973,quarterly,2022-01-01,2026-12-31,institutional_shareholders,current_2024,Industrivagen 136 Tallinn
105,Aster Konsulting HB,VG-SE1,2323087,quarterly,2023-01-01,2026-12-31,family_office,none_on_file,Hornsgatan 44 Goteborg
106,Mal Fastighet AB,VG-SE8,2263790,monthly,2022-01-01,2026-12-31,L Roos,current_2025,Sveavagen 95 Stockholm
107,Sund Fastighet OU,VG-SE9,2223863,quarterly,2022-01-01,2026-12-31,founder_held,current_2025,Industrivagen 68 Tallinn
108,Mal Entreprenad HB,VG-SE12,2189127,annual,2023-01-01,2026-12-31,founder_held,current_2025,Drottninggatan 92 Goteborg
109,StjarnFastighet AB,VG-SE8,2138264,monthly,2022-01-01,2026-12-31,M Tamm,current_2025,Birger Jarlsgatan 98 Malmo
110,VikSolutions OU,VG-EE1,2087642,quarterly,2022-01-01,2026-12-31,family_office,current_2025,Folkungagatan 91 Sodertalje
111,CorvidKonsulting AB,VG-SE2,2059228,monthly,2023-01-01,2026-12-31,family_office,lapsed_2023,Drottninggatan 5 Goteborg
112,SundBemanning AB,VG-SE2,2017470,quarterly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Gotgatan 59 Uppsala
113,FjallEntreprenad AB,VG-SE11,1997952,quarterly,2022-01-01,2026-12-31,H Sandberg,current_2025,Vasagatan 96 Sundbyberg
114,Ren Fastighet AB,VG-SE13,1948883,annual,2023-01-01,2026-12-31,institutional_shareholders,current_2025,Gotgatan 154 Uppsala
115,Sven Advisory AB,VG-SE11,1920996,quarterly,2022-01-01,2026-12-31,founder_held,lapsed_2023,Hornsgatan 70 Stockholm
116,MalSystems AB,VG-SE14,1878035,quarterly,2022-01-01,2026-12-31,founder_held,current_2025,Hornsgatan 149 Nacka
117,NyLogistik AB,VG-SE4,1835823,monthly,2023-01-01,2026-12-31,institutional_shareholders,current_2025,Drottninggatan 50 Nacka
118,Nordkap Konsult AB,VG-SE4,6900000,quarterly,2022-10-01,2026-09-30,H Sandberg,lapsed_2023,Storgatan 41 Sundbyberg
119,Boreal Nordic HB,VG-SE6,1807376,quarterly,2022-01-01,2026-12-31,institutional_shareholders,none_on_file,Vasagatan 122 Uppsala
120,Corvid Logistik OU,VG-SE11,1785000,monthly,2023-01-01,2026-12-31,founder_held,lapsed_2023,Gotgatan 121 Goteborg
121,Vast Teknik OU,VG-SE6,1744257,monthly,2022-01-01,2026-12-31,family_office,current_2025,Drottninggatan 131 Sundbyberg
122,Nord Teknik AB,VG-SE4,1702618,annual,2022-01-01,2026-12-31,institutional_shareholders,current_2024,Ringvagen 117 Uppsala
123,SvenEntreprenad AB,VG-SE11,1658140,quarterly,2023-01-01,2026-12-31,institutional_shareholders,lapsed_2023,Storgatan 73 Nacka
124,Berg Teknik AB,VG-SE4,1599262,monthly,2022-01-01,2026-12-31,L Roos,lapsed_2023,Sveavagen 12 Malmo
125,Kron Kapital AB,VG-SE3,1552961,monthly,2022-01-01,2026-12-31,founder_held,lapsed_2023,Ringvagen 60 Solna
126,KronPartners AB,VG-SE12,1504265,monthly,2023-01-01,2026-12-31,institutional_shareholders,current_2024,Storgatan 89 Goteborg
127,Fors Kapital OU,VG-SE9,1481001,annual,2022-01-01,2026-12-31,private_holding,current_2025,Storgatan 164 Uppsala
128,HavKonsult AB,VG-SE5,1434604,annual,2022-01-01,2026-12-31,private_holding,current_2025,Kungsgatan 140 Uppsala
129,Fjall Teknik AB,VG-SE1,1376679,annual,2023-01-01,2026-12-31,private_holding,current_2024,Drottninggatan 63 Malmo
130,Ek Analys HB,VG-EE1,1350584,annual,2022-01-01,2026-12-31,founder_held,current_2025,Drottninggatan 166 Uppsala
131,LindMedia HB,VG-SE6,1325959,annual,2022-01-01,2026-12-31,family_office,none_on_file,Gotgatan 148 Uppsala
132,HalcySupport HB,VG-SE5,1302508,quarterly,2023-01-01,2026-12-31,family_office,lapsed_2023,Drottninggatan 146 Sodertalje
133,Aurora Advisory OU,VG-EE1,3200000,quarterly,2023-01-01,2026-12-31,M Tamm,current_2025,Parnu mnt 141 Tallinn Estonia
134,HalcyPartners AB,VG-SE10,1276432,quarterly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Odengatan 92 Sundbyberg
135,MalInvest AB,VG-EE1,1244837,annual,2023-01-01,2026-12-31,private_holding,current_2025,Vasagatan 119 Tallinn
136,Fjall Systems OU,VG-SE12,1228260,monthly,2022-01-01,2026-12-31,family_office,none_on_file,Industrivagen 76 Malmo
137,Vik Konsulting AB,VG-SE2,1169001,quarterly,2022-01-01,2026-12-31,family_office,current_2025,Kungsgatan 30 Tallinn
138,CorvidGroup AB,VG-SE2,1126611,quarterly,2023-01-01,2026-12-31,founder_held,none_on_file,Sveavagen 85 Vasteras
139,Sommar Advisory AB,VG-SE3,1099578,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Ringvagen 112 Vasteras
140,Berg Analys AB,VG-SE2,1069300,quarterly,2022-01-01,2026-12-31,family_office,current_2025,Industrivagen 5 Vasteras
141,Berg Solutions AB,VG-EE1,1013158,monthly,2023-01-01,2026-12-31,P Ek,current_2025,Vasagatan 155 Sodertalje
142,OstKonsulting HB,VG-SE7,972086,monthly,2022-01-01,2026-12-31,H Sandberg,current_2025,Industrivagen 100 Sundbyberg
143,LoGroup OU,VG-SE1,922300,annual,2022-01-01,2026-12-31,founder_held,current_2024,Drottninggatan 163 Nacka
144,Lo Systems HB,VG-SE4,865357,quarterly,2023-01-01,2026-12-31,private_holding,none_on_file,Vasagatan 140 Sundbyberg
145,Sven Entreprenad OU,VG-SE12,832010,quarterly,2022-01-01,2026-12-31,family_office,current_2025,Vasagatan 17 Sodertalje
146,Berg Services AB,VG-SE4,787772,quarterly,2022-01-01,2026-12-31,institutional_shareholders,none_on_file,Ringvagen 162 Stockholm
147,RavelSupport HB,VG-SE11,727883,quarterly,2023-01-01,2026-12-31,institutional_shareholders,lapsed_2023,Birger Jarlsgatan 78 Solna
148,Ren Group AB,VG-SE1,704188,quarterly,2022-01-01,2026-12-31,family_office,lapsed_2023,Vasagatan 162 Nacka
149,HalcySolutions OU,VG-SE12,682436,monthly,2022-01-01,2026-12-31,private_holding,current_2025,Odengatan 42 Goteborg
150,KronFastighet AB,VG-SE7,662902,quarterly,2023-01-01,2026-12-31,institutional_shareholders,current_2025,Storgatan 95 Malmo
151,KronNordic AB,VG-SE7,623873,monthly,2022-01-01,2026-12-31,founder_held,none_on_file,Sveavagen 127 Vasteras
152,Lindqvist Facility Services AB,VG-SE7,2100000,quarterly,2023-04-01,2027-03-31,K Lindqvist,current_2025,Ringvagen 108 Sodermalm Stockholm
153,MeriServices AB,VG-SE10,567962,quarterly,2023-01-01,2026-12-31,L Roos,current_2025,Folkungagatan 13 Uppsala
154,Ren Nordic OU,VG-SE12,520147,monthly,2022-01-01,2026-12-31,family_office,current_2025,Birger Jarlsgatan 167 Solna
155,Corvid Bemanning AB,VG-SE3,486586,monthly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Gotgatan 104 Vasteras
156,Kron Entreprenad AB,VG-EE1,438163,monthly,2023-01-01,2026-12-31,family_office,current_2024,Industrivagen 63 Goteborg
157,Sund Trading AB,VG-SE9,410959,quarterly,2022-01-01,2026-12-31,A Palmberg,lapsed_2023,Industrivagen 139 Stockholm
158,GronGroup AB,VG-SE12,370747,annual,2022-01-01,2026-12-31,family_office,none_on_file,Vasagatan 167 Malmo
159,Ny Services AB,VG-SE1,349289,quarterly,2023-01-01,2026-12-31,founder_held,lapsed_2023,Kungsgatan 172 Malmo
160,KlarMedia AB,VG-EE1,289476,monthly,2022-01-01,2026-12-31,M Tamm,none_on_file,Drottninggatan 5 Tallinn
161,RenEntreprenad AB,VG-SE10,272342,quarterly,2022-01-01,2026-12-31,private_holding,current_2025,Storgatan 116 Sodertalje
162,Sven Systems AB,VG-SE4,238136,quarterly,2023-01-01,2026-12-31,institutional_shareholders,current_2024,Odengatan 32 Stockholm
163,SundKonsult AB,VG-SE10,222704,quarterly,2022-01-01,2026-12-31,P Ek,current_2024,Ringvagen 60 Stockholm
164,KronKapital AB,VG-SE3,180000,monthly,2022-01-01,2026-12-31,family_office,current_2025,Odengatan 179 Tallinn
165,Sund Media AB,VG-SE10,180000,quarterly,2023-01-01,2026-12-31,founder_held,none_on_file,Drottninggatan 121 Sodertalje
166,OstNordic AB,VG-SE10,180000,annual,2022-01-01,2026-12-31,P Ek,current_2025,Gotgatan 155 Solna
167,BergPartners AB,VG-SE1,180000,monthly,2022-01-01,2026-12-31,family_office,current_2024,Industrivagen 70 Malmo
168,Ren Kapital AB,VG-SE6,180000,quarterly,2023-01-01,2026-12-31,institutional_shareholders,current_2025,Vasagatan 176 Tallinn
169,BlaAnalys AB,VG-SE4,180000,annual,2022-01-01,2026-12-31,institutional_shareholders,current_2024,Hornsgatan 175 Solna
170,VikAdvisory AB,VG-SE13,180000,monthly,2022-01-01,2026-12-31,H Sandberg,none_on_file,Storgatan 60 Vasteras
171,Fors Trading AB,VG-EE1,180000,quarterly,2023-01-01,2026-12-31,founder_held,current_2024,Kungsgatan 88 Nacka
172,LoSolutions AB,VG-SE5,180000,quarterly,2022-01-01,2026-12-31,institutional_shareholders,current_2025,Gotgatan 163 Goteborg
173,LindEntreprenad AB,VG-SE6,180000,annual,2022-01-01,2026-12-31,private_holding,none_on_file,Ringvagen 103 Malmo
174,SvenTeknik AB,VG-SE1,180000,quarterly,2023-01-01,2026-12-31,institutional_shareholders,current_2024,Ringvagen 143 Stockholm
175,AsterLogistik AB,VG-SE6,180000,monthly,2022-01-01,2026-12-31,founder_held,current_2024,Hamngatan 1 Vasteras
176,VastLogistik OU,VG-EE1,180000,annual,2022-01-01,2026-12-31,P Ek,current_2025,Hamngatan 97 Uppsala
177,RenInvest AB,VG-SE7,180000,annual,2023-01-01,2026-12-31,founder_held,current_2025,Hornsgatan 91 Sodertalje
178,LoInvest AB,VG-EE1,180000,monthly,2022-01-01,2026-12-31,M Tamm,current_2025,Ringvagen 140 Uppsala
179,Vinter Invest AB,VG-SE14,180000,quarterly,2022-01-01,2026-12-31,private_holding,current_2025,Folkungagatan 138 Goteborg
180,BergKapital AB,VG-SE14,180000,annual,2023-01-01,2026-12-31,private_holding,current_2025,Hornsgatan 62 Goteborg
