id,name,section,descriptionHeading,description,room,ownerId,courseState,creationTime,updateTime,enrollmentCode,alternateLink,guardiansEnabled,calendarId
course-ceu-33,CEU Module 33,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU33,,False,
course-ceu-34,CEU Module 34,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU34,,False,
course-ceu-35,CEU Module 35,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU35,,False,
course-ceu-36,CEU Module 36,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU36,,False,
course-ceu-37,CEU Module 37,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU37,,False,
course-ceu-38,CEU Module 38,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU38,,False,
course-ceu-39,CEU Module 39,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU39,,False,
course-ceu-40,CEU Module 40,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU40,,False,
course-ceu-41,CEU Module 41,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU41,,False,
course-ceu-42,CEU Module 42,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU42,,False,
course-ceu-43,CEU Module 43,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU43,,False,
course-ceu-44,CEU Module 44,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU44,,False,
course-ceu-45,CEU Module 45,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU45,,False,
course-ceu-46,CEU Module 46,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU46,,False,
course-ceu-47,CEU Module 47,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU47,,False,
course-ceu-48,CEU Module 48,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU48,,False,
course-ceu-49,CEU Module 49,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU49,,False,
course-ceu-50,CEU Module 50,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU50,,False,
course-ceu-51,CEU Module 51,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU51,,False,
course-ceu-52,CEU Module 52,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU52,,False,
course-ceu-53,CEU Module 53,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU53,,False,
course-ceu-54,CEU Module 54,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU54,,False,
course-ceu-55,CEU Module 55,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU55,,False,
course-ceu-56,CEU Module 56,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU56,,False,
course-ceu-57,CEU Module 57,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU57,,False,
course-ceu-58,CEU Module 58,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU58,,False,
course-ceu-59,CEU Module 59,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU59,,False,
course-ceu-60,CEU Module 60,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU60,,False,
course-ceu-61,CEU Module 61,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU61,,False,
course-ceu-62,CEU Module 62,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU62,,False,
course-ceu-63,CEU Module 63,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU63,,False,
course-ceu-64,CEU Module 64,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU64,,False,
course-ceu-65,CEU Module 65,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU65,,False,
course-ceu-66,CEU Module 66,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU66,,False,
course-ceu-67,CEU Module 67,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU67,,False,
course-ceu-68,CEU Module 68,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU68,,False,
course-ceu-69,CEU Module 69,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU69,,False,
course-ceu-70,CEU Module 70,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU70,,False,
course-ceu-71,CEU Module 71,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU71,,False,
course-ceu-72,CEU Module 72,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU72,,False,
course-ceu-73,CEU Module 73,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU73,,False,
course-ceu-74,CEU Module 74,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU74,,False,
course-ceu-75,CEU Module 75,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU75,,False,
course-ceu-76,CEU Module 76,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU76,,False,
course-ceu-77,CEU Module 77,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU77,,False,
course-ceu-78,CEU Module 78,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU78,,False,
course-ceu-79,CEU Module 79,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU79,,False,
course-ceu-80,CEU Module 80,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU80,,False,
course-ceu-81,CEU Module 81,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU81,,False,
course-ceu-82,CEU Module 82,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU82,,False,
course-ceu-83,CEU Module 83,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU83,,False,
course-ceu-84,CEU Module 84,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU84,,False,
course-ceu-85,CEU Module 85,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU85,,False,
course-ceu-86,CEU Module 86,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU86,,False,
course-ceu-87,CEU Module 87,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU87,,False,
course-ceu-88,CEU Module 88,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU88,,False,
course-ceu-89,CEU Module 89,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU89,,False,
course-ceu-90,CEU Module 90,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU90,,False,
course-ceu-91,CEU Module 91,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU91,,False,
course-ceu-92,CEU Module 92,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU92,,False,
course-ceu-93,CEU Module 93,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU93,,False,
course-ceu-94,CEU Module 94,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU94,,False,
course-ceu-95,CEU Module 95,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU95,,False,
course-ceu-96,CEU Module 96,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU96,,False,
course-ceu-97,CEU Module 97,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU97,,False,
course-ceu-98,CEU Module 98,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU98,,False,
course-ceu-99,CEU Module 99,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU99,,False,
course-ceu-100,CEU Module 100,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU100,,False,
course-ceu-101,CEU Module 101,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU101,,False,
course-ceu-102,CEU Module 102,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU102,,False,
course-ceu-103,CEU Module 103,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU103,,False,
course-ceu-104,CEU Module 104,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU104,,False,
course-ceu-105,CEU Module 105,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU105,,False,
course-ceu-106,CEU Module 106,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU106,,False,
course-ceu-107,CEU Module 107,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU107,,False,
course-ceu-108,CEU Module 108,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU108,,False,
course-ceu-109,CEU Module 109,CEU,Continuing Education,Ohio PT CEU course.,,provider-ceu,ARCHIVED,2025-01-01T00:00:00Z,2025-12-01T00:00:00Z,CEU109,,False,
