"id","title","overview","release_date","vote_average","vote_count","genre_ids","popularity","original_language"
"10021","Movie Forest India","tower river ocean river forest tower market charlie forest river juliet foxtrot","2020-05-09","8.7","6569","13|16|2","5.731","de"
"10022","Movie River Hotel","river cloud ocean echo echo ocean ocean market golf ocean forest mountain","2019-10-29","5.9","10868","17","16.199","de"
"10023","Movie Hotel Juliet","stone valley foxtrot echo india foxtrot cloud mountain charlie tower ocean foxtrot","2024-09-21","8.7","6323","2","14.814","es"
"10024","Movie Market Tower","forest market india forest alpha hotel bravo tower ocean hotel alpha river","2026-01-24","8.8","8621","19|12|7","60.745","es"
"10025","Movie Stone Bridge","tower alpha cloud alpha hotel india bridge golf ocean forest delta cloud","2018-04-21","4.0","8393","6|19|9","86.263","ja"
"10026","Movie Forest River","forest alpha juliet hotel bravo stone hotel india hotel delta charlie valley","2022-12-23","3.8","3523","2","2.365","es"
"10027","Movie Ocean Delta","delta bridge cloud valley bridge alpha echo india river alpha market ocean","2021-02-14","6.0","14426","6|2","96.879","de"
"10028","Movie Stone Alpha","charlie charlie foxtrot charlie bravo alpha cloud market charlie cloud mountain ocean","2022-09-03","7.9","9525","14","62.367","en"
"10029","Movie Mountain Cloud","hotel tower echo alpha alpha bridge tower golf golf juliet cloud alpha","2026-04-28","6.9","14877","6","66.283","ja"
"10030","Movie Cloud Hotel","alpha bridge juliet mountain juliet golf golf market mountain charlie cloud forest","2019-11-20","4.9","4601","5|12","22.39","fr"
"10031","Movie Juliet Golf","hotel delta mountain bravo foxtrot valley golf river golf tower bridge echo","2026-04-23","7.4","2904","8","82.095","es"
"10032","Movie Foxtrot Golf","charlie tower alpha forest bravo stone delta forest ocean bravo juliet alpha","2021-01-15","5.6","3713","9|8|8","68.635","es"
"10033","Movie Delta Alpha","echo india golf mountain valley forest ocean golf echo echo cloud juliet","2018-02-17","8.9","470","13|7|12","35.61","es"
"10034","Movie River Market","mountain ocean charlie juliet stone cloud foxtrot stone bridge echo forest hotel","2023-01-26","7.1","3794","17|9","94.852","en"
"10035","Movie Bridge Charlie","ocean ocean bravo hotel india bravo india golf delta hotel ocean foxtrot","2020-04-29","4.1","9787","7","68.061","ja"
"10036","Movie Stone Echo","bridge hotel stone charlie stone mountain bravo alpha mountain valley stone echo","2021-12-19","3.6","559","3|9","41.784","ko"
"10037","Movie Ocean Stone","bridge charlie ocean tower alpha market foxtrot charlie bridge valley mountain ocean","2024-05-09","6.4","682","4|11","36.844","en"
"10038","Movie Juliet Foxtrot","hotel foxtrot forest delta delta tower juliet cloud ocean cloud juliet mountain","2020-10-13","6.6","4180","8","57.031","fr"
"10039","Movie Alpha Mountain","forest golf river tower market cloud ocean delta cloud golf market foxtrot","2021-03-18","6.1","12078","6|2|4","62.483","ko"
"10040","Movie Market Foxtrot","alpha tower foxtrot tower echo hotel cloud cloud forest golf hotel foxtrot","2018-09-11","8.4","1442","14","52.935","ja"
"10041","Movie Foxtrot Hotel","india market india hotel bridge valley cloud tower river echo tower market","2021-02-02","4.6","7066","12|8|10","39.658","ja"
"10042","Movie Cloud Tower","india mountain forest market delta charlie hotel cloud charlie bravo bravo valley","2023-12-11","3.8","4885","11|6","45.409","de"
"10043","Movie Ocean Forest","bridge river foxtrot juliet golf mountain forest river stone alpha river tower","2024-03-11","4.8","3628","16|5","92.475","en"
"10044","Movie Market Mountain","cloud ocean valley india golf cloud cloud valley river river india alpha","2021-03-11","4.5","10202","13|5|12","79.772","fr"
"10045","Movie Valley Stone","golf bridge cloud stone delta golf charlie hotel tower ocean golf india","2026-09-19","5.2","14782","13|14|11","19.193","ko"
"10046","Movie Tower Tower","hotel river charlie river forest market charlie india delta juliet cloud juliet","2025-07-13","7.0","8003","5|9|2","9.959","ja"
"10047","Movie India Hotel","forest cloud river golf valley cloud delta cloud hotel stone mountain market","2024-04-25","5.3","4718","6","63.987","es"
"10048","Movie Juliet Cloud","echo cloud charlie hotel echo hotel mountain delta india cloud river bridge","2024-12-23","8.4","10815","5|3","40.497","ja"
"10049","Movie Bridge Charlie","bridge echo tower tower hotel valley cloud forest tower alpha stone river","2025-11-07","3.8","2580","19|4","86.998","ko"
"10050","Movie Cloud Ocean","charlie juliet mountain juliet hotel charlie market mountain india alpha bridge market","2025-11-06","7.4","14870","18|4","96.949","fr"
"10051","Movie Charlie Cloud","cloud charlie bridge charlie forest bravo market juliet bridge mountain stone forest","2026-04-23","8.6","6076","13","42.016","en"
"10052","Movie Delta Market","ocean valley ocean delta bravo echo alpha foxtrot bravo charlie alpha alpha","2024-05-14","8.8","2086","10|7","7.75","de"
"10053","Movie Stone Bravo","echo bravo india golf juliet hotel hotel tower alpha stone charlie ocean","2019-07-13","4.5","9143","15","4.547","ja"
"10054","Movie Hotel Market","bridge valley mountain river alpha delta mountain cloud echo alpha juliet tower","2024-10-30","7.2","1388","1","93.731","de"
"10055","Movie Delta Alpha","bridge echo market tower foxtrot charlie cloud hotel bridge mountain foxtrot foxtrot","2022-07-28","5.9","13082","2|7|14","82.152","de"
"10056","Movie Alpha Golf","tower india river market mountain foxtrot ocean hotel bridge ocean ocean charlie","2023-07-22","7.0","13363","4","42.159","fr"
"10057","Movie River Bravo","golf river stone golf alpha alpha india cloud alpha market alpha bravo","2024-09-26","6.0","3147","1","43.732","de"
"10058","Movie Mountain Mountain","ocean delta foxtrot bravo foxtrot charlie juliet mountain market juliet bridge delta","2023-05-21","3.1","8638","14","47.75","es"
"10059","Movie Bridge Forest","bravo india bridge delta golf river foxtrot stone golf juliet forest hotel","2019-01-30","8.6","4445","13","92.397","ko"
"10060","Movie Ocean Golf","charlie bravo charlie foxtrot foxtrot echo echo ocean hotel river valley delta","2019-09-20","3.7","2016","14|7","51.222","ja"
"10061","Movie India Juliet","market delta stone market charlie charlie valley tower market golf charlie market","2025-02-16","3.2","549","2|15|4","16.159","ja"
"10062","Movie Bridge Foxtrot","bravo stone india valley juliet river valley juliet forest delta india india","2022-06-03","6.8","925","17|2|4","17.341","ko"
"10063","Movie Hotel River","market bridge forest mountain cloud mountain bridge stone hotel hotel river ocean","2023-11-28","5.9","12904","12","80.816","es"
"10064","Movie Bravo Delta","foxtrot hotel juliet tower stone stone delta hotel market foxtrot bravo market","2018-01-03","8.3","3174","4","71.36","ko"
"10065","Movie Ocean Charlie","valley ocean golf mountain forest stone cloud bridge alpha bridge valley alpha","2019-11-13","6.3","14329","8","60.964","de"
"10066","Movie Charlie Juliet","golf golf charlie juliet hotel cloud stone hotel foxtrot delta golf ocean","2023-07-01","5.6","3464","17|9","22.999","ko"
"10067","Movie Ocean River","hotel bravo foxtrot juliet forest cloud golf stone hotel alpha mountain valley","2020-05-24","5.5","5863","7|3","13.918","ko"
"10068","Movie Golf Ocean","echo juliet ocean bridge forest mountain cloud ocean ocean bridge india delta","2026-07-09","4.1","6066","12|19","94.101","ja"
"10069","Movie Tower Valley","valley alpha hotel valley foxtrot bravo golf cloud bridge delta tower bravo","2024-09-04","7.8","5500","2","42.179","ja"
"10070","Movie Tower Alpha","forest forest cloud hotel market tower mountain foxtrot golf echo india tower","2021-07-17","3.2","9704","19|1","39.011","fr"
"10071","Movie River Tower","golf bravo bravo alpha hotel alpha juliet golf delta foxtrot alpha market","2018-01-03","6.6","7573","9|7|19","43.2","fr"
"10072","Movie Delta Charlie","stone cloud delta forest stone river hotel echo cloud stone cloud ocean","2026-08-19","8.9","8478","1|3","43.481","ja"
"10073","Movie Alpha Foxtrot","india mountain juliet hotel river ocean foxtrot golf mountain charlie echo echo","2023-02-24","4.2","12867","5|17","58.739","ko"
"10074","Movie India Charlie","juliet juliet echo charlie charlie echo bravo bravo bridge golf alpha india","2024-03-25","6.5","3594","15","84.449","ja"
"10075","Movie Forest Market","mountain hotel charlie ocean mountain golf tower juliet ocean market golf juliet","2023-11-15","4.1","4215","19|19","57.998","es"
"10076","Movie Golf Stone","forest hotel hotel india bravo market ocean river forest bridge delta juliet","2025-05-11","3.9","1355","18|19|7","49.581","ja"
"10077","Movie Ocean Tower","river echo alpha alpha stone alpha forest bridge charlie echo market river","2023-07-09","7.9","8644","7","27.28","de"
"10078","Movie River Market","market alpha tower market hotel echo echo valley mountain charlie forest mountain","2025-09-27","6.6","5082","10|4","50.907","fr"
"10079","Movie Cloud Stone","market golf forest delta mountain valley river forest bravo alpha cloud river","2020-04-21","3.8","8950","16","71.335","ko"
"10080","Movie Market Delta","stone river charlie forest bravo alpha tower market tower bravo bravo india","2019-10-03","3.8","5607","15","61.365","fr"
"10081","Movie Forest Alpha","ocean ocean forest valley charlie cloud golf valley bravo delta river ocean","2021-08-22","3.3","9005","1","90.962","es"
"10082","Movie Echo Hotel","cloud bravo bravo foxtrot mountain india forest stone india charlie tower golf","2018-01-23","4.4","1100","6|2","85.608","ko"
"10083","Movie Juliet Ocean","golf juliet echo market hotel mountain mountain charlie india charlie stone ocean","2022-08-15","4.5","13064","17","46.717","es"
"10084","Movie Tower Ocean","mountain echo cloud market delta ocean river india bravo bravo bridge golf","2025-04-24","8.5","8744","2|13|5","19.397","fr"
"10085","Movie Juliet Golf","stone mountain market bridge foxtrot river market charlie tower cloud echo juliet","2023-07-02","8.8","5078","14|18|15","43.418","de"
"10086","Movie Stone Forest","tower mountain mountain delta valley delta market tower charlie cloud market foxtrot","2021-12-14","8.2","1529","18","29.731","ja"
"10087","Movie Juliet Hotel","echo hotel stone alpha india market golf juliet valley ocean cloud cloud","2020-01-08","6.4","11313","12","57.786","de"
"10088","Movie Hotel Hotel","foxtrot mountain hotel bravo bravo echo tower market stone alpha golf foxtrot","2021-08-14","8.3","9057","11","96.686","es"
"10089","Movie Market Tower","charlie forest golf bravo alpha tower valley valley golf hotel hotel stone","2023-09-06","5.9","10125","2|10|13","18.085","de"
"10090","Movie Cloud Bridge","golf tower foxtrot river market mountain india forest tower bravo market echo","2018-01-26","3.5","14677","17|6","73.113","en"
"10091","Movie Mountain Alpha","cloud bravo mountain cloud hotel alpha india hotel echo alpha bridge echo","2024-06-06","6.1","5053","11|14","87.157","ko"
"10092","Movie Stone Bravo","charlie forest tower foxtrot india india market river valley valley bravo bridge","2026-12-26","7.0","11340","5|7","79.822","fr"
"10093","Movie Bravo India","golf cloud forest hotel forest tower river golf tower tower india market","2024-06-23","4.9","355","11|11|17","73.806","de"
"10094","Movie Cloud Bridge","bravo echo hotel alpha forest river mountain ocean market ocean mountain bravo","2020-02-26","5.3","10762","17|7","46.371","es"
"10095","Movie Delta River","juliet valley bridge echo bridge forest tower river stone golf forest cloud","2020-06-09","6.1","6858","8|5|2","41.204","ja"
"10096","Movie Market Ocean","delta forest forest market charlie hotel hotel bridge cloud tower river charlie","2026-09-28","5.3","3714","6|16|12","14.222","en"
"10097","Movie Golf Foxtrot","hotel golf market bridge charlie india bravo charlie bridge foxtrot india india","2024-07-22","8.8","12017","8|9|11","25.448","ja"
"10098","Movie Delta Delta","india bridge river stone valley india tower delta delta river charlie forest","2023-09-03","6.9","9118","10|11","2.531","ko"
"10099","Movie India Golf","ocean golf valley mountain echo tower valley forest golf tower echo delta","2019-03-11","3.4","485","1","69.206","ja"
"10100","Movie Bridge Stone","india india bridge charlie ocean alpha charlie echo foxtrot delta hotel tower","2021-10-07","7.9","11253","11","2.707","es"
"10101","Movie Stone Market","stone tower india delta cloud bravo stone forest foxtrot delta alpha cloud","2018-07-23","8.5","10100","17|3","49.51","en"
"10102","Movie Stone Ocean","bravo tower foxtrot golf juliet echo juliet tower valley market cloud bravo","2025-05-05","5.5","606","6|12|6","88.233","de"
"10103","Movie Charlie Charlie","mountain ocean delta market golf golf alpha valley hotel mountain foxtrot delta","2018-06-02","7.3","2601","8|16|5","66.04","en"
"10104","Movie Foxtrot Valley","india echo mountain golf stone mountain india charlie valley river delta market","2026-10-11","7.4","11722","11","11.294","de"
"10105","Movie Forest Foxtrot","hotel forest bravo valley echo mountain india bravo golf golf bravo market","2025-05-03","3.9","12593","4","24.363","es"
"10106","Movie Delta River","charlie hotel echo tower hotel cloud india bridge river ocean charlie echo","2025-02-03","8.7","4632","10","16.695","en"
"10107","Movie Juliet Foxtrot","market delta alpha ocean valley river alpha river golf cloud juliet bridge","2022-07-30","3.1","10652","9|6","79.831","en"
"10108","Movie Cloud Stone","bravo cloud mountain mountain river charlie market bridge juliet echo charlie mountain","2022-09-04","6.2","14159","10","21.554","en"
"10109","Movie Hotel Juliet","charlie stone hotel mountain echo cloud tower cloud golf forest hotel bridge","2018-07-31","4.5","6277","1","55.661","ja"
"10110","Movie Valley Stone","delta alpha juliet valley cloud india bridge stone bridge ocean delta cloud","2019-05-03","6.9","4116","11","99.636","en"
"10111","Movie Foxtrot Valley","hotel market delta tower stone hotel market juliet market juliet forest forest","2022-04-23","3.8","13853","2|8|16","19.093","ko"
"10112","Movie Charlie Delta","market valley ocean juliet tower foxtrot charlie bravo mountain foxtrot india bridge","2021-02-22","5.6","12628","19|18","93.369","en"
"10113","Movie Cloud Stone","mountain charlie river bridge golf forest cloud hotel juliet alpha stone india","2026-08-21","7.1","6467","18|5|19","23.734","ja"
"10114","Movie Tower Hotel","tower stone mountain golf charlie valley tower alpha hotel delta alpha forest","2020-11-01","5.9","6450","15","26.109","ko"
"10115","Movie Market Alpha","market charlie charlie foxtrot golf hotel echo echo foxtrot charlie mountain market","2026-01-11","7.3","7734","11","24.016","es"
"10116","Movie Alpha Bravo","juliet juliet valley valley ocean india delta delta cloud tower cloud bravo","2020-06-01","6.2","13925","10|12|19","80.472","de"
"10117","Movie Charlie Juliet","india alpha golf mountain delta india tower bridge foxtrot alpha mountain delta","2023-04-19","6.0","5288","10|9","84.57","de"
"10118","Movie Ocean River","forest ocean cloud alpha echo valley stone bridge hotel stone ocean mountain","2024-05-25","3.1","14765","19","75.566","en"
"10119","Movie India Alpha","hotel bravo cloud cloud river charlie echo cloud market valley forest delta","2026-08-10","5.0","12186","13|13","38.582","fr"
"10120","Movie Delta Valley","mountain river mountain hotel bravo foxtrot india india echo alpha india juliet","2024-12-12","7.2","3927","15","51.739","fr"
"10121","Movie Charlie Valley","ocean hotel tower river market charlie echo alpha echo river mountain river","2021-11-28","3.8","13824","17","95.187","en"
"10122","Movie Market River","river echo echo forest mountain charlie charlie ocean stone alpha bridge charlie","2021-04-04","8.4","4862","4|8","85.992","fr"
"10123","Movie Tower Bravo","mountain alpha forest cloud delta echo golf cloud delta valley bravo juliet","2018-02-06","4.2","1429","9|15|3","13.384","ja"
"10124","Movie Ocean Bravo","stone hotel alpha stone valley india alpha ocean echo market ocean cloud","2022-05-01","8.4","1902","19|12|6","24.116","ko"
"10125","Movie Stone Hotel","bravo cloud valley delta bravo india charlie stone bravo delta india india","2020-12-14","4.0","4357","16|11|3","55.893","en"
"10126","Movie Charlie Golf","valley india cloud valley india bridge echo hotel stone foxtrot bridge delta","2023-05-15","5.0","14873","17|9","14.242","de"
"10127","Movie Market Tower","valley tower mountain market stone mountain bravo tower cloud forest golf valley","2025-02-17","7.6","12294","13","11.102","en"
"10128","Movie Tower Ocean","bravo ocean forest bridge bridge mountain bravo valley echo golf ocean stone","2022-06-17","5.5","803","17|7","36.86","es"
"10129","Movie Market Market","market charlie delta river india market cloud bridge bravo hotel golf foxtrot","2024-05-24","5.8","11321","17","55.941","es"
"10130","Movie Alpha Charlie","bridge charlie echo delta delta mountain ocean echo foxtrot india echo foxtrot","2026-10-05","6.3","1289","2|17|16","76.074","ko"
"10131","Movie Alpha Echo","forest mountain bridge cloud stone valley bravo mountain india alpha charlie river","2026-05-27","4.5","3974","19","75.247","fr"
"10132","Movie Market Charlie","tower mountain market foxtrot valley bridge cloud foxtrot alpha tower golf bridge","2026-06-06","6.2","14513","14|1","13.229","es"
"10133","Movie Golf Alpha","echo tower cloud bravo golf stone echo bravo valley river charlie stone","2019-01-30","4.7","12427","7|10","39.021","ko"
"10134","Movie Bridge Tower","echo ocean foxtrot forest cloud golf ocean alpha ocean market tower cloud","2022-07-16","5.8","4395","3","75.316","en"
"10135","Movie Tower Bravo","stone charlie stone india echo cloud cloud charlie tower market hotel cloud","2026-02-17","5.6","2151","8|3|18","17.831","es"
"10136","Movie Golf Golf","delta golf tower india charlie charlie cloud charlie alpha golf charlie bravo","2022-02-19","4.7","4126","10","76.074","fr"
"10137","Movie Valley Delta","india charlie cloud cloud juliet cloud ocean foxtrot hotel mountain hotel india","2025-12-18","4.5","10020","3|11","27.721","ko"
"10138","Movie Echo Charlie","alpha stone delta bridge foxtrot echo hotel alpha mountain bridge river india","2020-07-24","3.5","12691","3|17|18","53.157","de"
"10139","Movie Bravo Tower","bravo echo forest bridge foxtrot delta india market mountain river bridge echo","2024-06-05","3.8","12439","2|19|15","22.181","en"
"10140","Movie Charlie Alpha","india echo ocean india delta alpha juliet india valley forest juliet juliet","2026-10-14","6.7","3460","15|13|1","31.7","en"
"10141","Movie Alpha River","india hotel juliet ocean juliet cloud stone foxtrot india echo stone bravo","2019-10-12","7.7","2637","16|15|8","86.962","fr"
"10142","Movie Hotel Stone","forest bravo mountain golf river india ocean charlie echo bravo charlie market","2025-06-15","4.2","9892","19","61.577","fr"
"10143","Movie Mountain Hotel","valley bridge hotel tower golf bridge delta market charlie tower stone bridge","2018-11-21","8.6","11504","3|13","27.357","fr"
"10144","Movie Mountain Alpha","alpha mountain golf india ocean juliet river charlie bridge river ocean cloud","2025-04-06","7.2","5682","14","63.84","de"
"10145","Movie India Mountain","charlie bridge hotel echo golf golf ocean delta bravo forest valley mountain","2025-09-03","5.7","695","16|18","42.035","fr"
"10146","Movie River Alpha","delta golf india juliet foxtrot forest cloud hotel stone market cloud cloud","2024-09-17","6.8","9565","4|8","17.617","ko"
"10147","Movie Hotel India","india juliet delta bridge india valley juliet foxtrot india charlie bridge alpha","2024-11-11","6.8","7352","4","70.746","ja"
"10148","Movie Bravo Foxtrot","river bridge forest tower foxtrot stone foxtrot echo india charlie juliet stone","2018-10-16","3.7","9734","18","63.407","es"
"10149","Movie Mountain Juliet","bravo echo foxtrot forest delta echo tower market tower india river forest","2024-09-21","7.4","10525","19|4|5","53.342","ko"
"10150","Movie Charlie River","golf golf echo stone charlie india forest echo forest india india golf","2026-11-12","3.3","2271","2","9.089","fr"
