record_id,rsvp_date,tier_code,tier_name,source_channel,rsvp_count,capacity,tier_cumulative,tier_capacity,notes
EF-0114,2026-09-15,VOL,Volunteer,council-newsletter,1,80,24,80,
EF-0115,2026-09-15,VOL,Volunteer,social-facebook,1,80,25,80,
EF-0116,2026-09-16,VOL,Volunteer,council-newsletter,1,80,26,80,
EF-0117,2026-09-16,VOL,Volunteer,social-facebook,1,80,27,80,
EF-0118,2026-09-17,VOL,Volunteer,council-newsletter,1,80,28,80,
EF-0119,2026-09-17,VOL,Volunteer,social-facebook,1,80,29,80,
EF-0120,2026-09-18,VOL,Volunteer,organic-eventbrite,1,80,30,80,
EF-0121,2026-09-18,VOL,Volunteer,council-newsletter,1,80,31,80,
EF-0122,2026-09-19,VOL,Volunteer,council-newsletter,1,80,32,80,
EF-0123,2026-09-19,VOL,Volunteer,social-facebook,1,80,33,80,
EF-0124,2026-09-20,VOL,Volunteer,council-newsletter,1,80,34,80,
EF-0125,2026-09-20,VOL,Volunteer,social-facebook,1,80,35,80,
EF-0126,2026-09-21,VOL,Volunteer,council-newsletter,1,80,36,80,
EF-0127,2026-09-21,VOL,Volunteer,social-facebook,1,80,37,80,
EF-0128,2026-09-22,VOL,Volunteer,council-newsletter,1,80,38,80,
EF-0129,2026-09-22,VOL,Volunteer,social-facebook,1,80,39,80,
EF-0130,2026-09-23,VOL,Volunteer,organic-eventbrite,1,80,40,80,
EF-0131,2026-09-23,VOL,Volunteer,council-newsletter,1,80,41,80,
EF-0132,2026-09-24,VOL,Volunteer,council-newsletter,1,80,42,80,
EF-0133,2026-09-24,VOL,Volunteer,social-facebook,1,80,43,80,
EF-0134,2026-09-25,VOL,Volunteer,council-newsletter,1,80,44,80,
EF-0135,2026-09-25,VOL,Volunteer,social-facebook,1,80,45,80,
EF-0136,2026-09-26,VOL,Volunteer,council-newsletter,1,80,46,80,
EF-0137,2026-09-26,VOL,Volunteer,social-facebook,1,80,47,80,
EF-0138,2026-09-27,VOL,Volunteer,organic-eventbrite,1,80,48,80,
EF-0139,2026-09-27,VOL,Volunteer,council-newsletter,1,80,49,80,
EF-0140,2026-09-27,VOL,Volunteer,social-facebook,1,80,50,80,
EF-0141,2026-09-28,VOL,Volunteer,organic-eventbrite,1,80,51,80,
EF-0142,2026-09-28,VOL,Volunteer,council-newsletter,1,80,52,80,
EF-0143,2026-09-28,VOL,Volunteer,social-facebook,1,80,53,80,
EF-0144,2026-09-29,VOL,Volunteer,organic-eventbrite,1,80,54,80,
EF-0145,2026-09-29,VOL,Volunteer,council-newsletter,1,80,55,80,
EF-0146,2026-09-29,VOL,Volunteer,social-facebook,1,80,56,80,
EF-0147,2026-09-30,VOL,Volunteer,organic-eventbrite,1,80,57,80,
EF-0148,2026-09-30,VOL,Volunteer,council-newsletter,1,80,58,80,
EF-0149,2026-09-30,VOL,Volunteer,social-facebook,1,80,59,80,
EF-0150,2026-10-01,VOL,Volunteer,organic-eventbrite,1,80,60,80,"still short slots: setup 06-08, midday food 12-13:30, teardown 16-18"
EF-0151,2026-10-01,VOL,Volunteer,council-newsletter,1,80,61,80,"still short slots: setup 06-08, midday food 12-13:30, teardown 16-18"
EF-0152,2026-10-01,VOL,Volunteer,social-facebook,1,80,62,80,"still short slots: setup 06-08, midday food 12-13:30, teardown 16-18"
EF-0153,2026-10-02,VOL,Volunteer,organic-eventbrite,1,80,63,80,
EF-0154,2026-10-02,VOL,Volunteer,council-newsletter,1,80,64,80,
EF-0155,2026-10-02,VOL,Volunteer,social-facebook,1,80,65,80,
EF-0156,2026-10-03,VOL,Volunteer,organic-eventbrite,1,80,66,80,
EF-0157,2026-10-03,VOL,Volunteer,council-newsletter,1,80,67,80,
EF-0158,2026-10-03,VOL,Volunteer,social-facebook,1,80,68,80,
EF-0159,2026-09-10,VIP,VIP Guest,organic-eventbrite,1,30,1,30,
EF-0160,2026-09-11,VIP,VIP Guest,organic-eventbrite,1,30,2,30,
EF-0161,2026-09-12,VIP,VIP Guest,organic-eventbrite,1,30,3,30,
EF-0162,2026-09-13,VIP,VIP Guest,organic-eventbrite,1,30,4,30,
EF-0163,2026-09-14,VIP,VIP Guest,organic-eventbrite,1,30,5,30,
EF-0164,2026-09-15,VIP,VIP Guest,organic-eventbrite,1,30,6,30,
EF-0165,2026-09-16,VIP,VIP Guest,organic-eventbrite,1,30,7,30,
EF-0166,2026-09-17,VIP,VIP Guest,organic-eventbrite,1,30,8,30,
EF-0167,2026-09-18,VIP,VIP Guest,organic-eventbrite,1,30,9,30,
EF-0168,2026-09-19,VIP,VIP Guest,organic-eventbrite,1,30,10,30,
EF-0169,2026-09-20,VIP,VIP Guest,organic-eventbrite,1,30,11,30,
EF-0170,2026-09-21,VIP,VIP Guest,organic-eventbrite,1,30,12,30,
EF-0171,2026-09-22,VIP,VIP Guest,organic-eventbrite,1,30,13,30,
EF-0172,2026-09-23,VIP,VIP Guest,organic-eventbrite,1,30,14,30,
EF-0173,2026-09-24,VIP,VIP Guest,organic-eventbrite,1,30,15,30,
EF-0174,2026-09-25,VIP,VIP Guest,organic-eventbrite,1,30,16,30,
EF-0175,2026-09-26,VIP,VIP Guest,organic-eventbrite,1,30,17,30,
EF-0176,2026-09-27,VIP,VIP Guest,organic-eventbrite,1,30,18,30,
EF-0177,2026-09-28,VIP,VIP Guest,organic-eventbrite,1,30,19,30,
EF-0178,2026-09-29,VIP,VIP Guest,organic-eventbrite,1,30,20,30,
EF-0179,2026-09-30,VIP,VIP Guest,organic-eventbrite,1,30,21,30,
EF-0180,2026-10-01,VIP,VIP Guest,organic-eventbrite,1,30,22,30,
EF-0181,2026-10-02,VIP,VIP Guest,organic-eventbrite,1,30,23,30,
EF-0182,2026-10-03,VIP,VIP Guest,organic-eventbrite,1,30,24,30,
EF-0183,2026-09-04,VND,Vendor,organic-eventbrite,1,40,1,40,
EF-0184,2026-09-04,VND,Vendor,council-newsletter,1,40,2,40,
EF-0185,2026-09-05,VND,Vendor,council-newsletter,1,40,3,40,
EF-0186,2026-09-05,VND,Vendor,social-facebook,1,40,4,40,
EF-0187,2026-09-06,VND,Vendor,organic-eventbrite,1,40,5,40,
EF-0188,2026-09-07,VND,Vendor,organic-eventbrite,1,40,6,40,
EF-0189,2026-09-08,VND,Vendor,organic-eventbrite,1,40,7,40,
EF-0190,2026-09-09,VND,Vendor,organic-eventbrite,1,40,8,40,
EF-0191,2026-09-10,VND,Vendor,organic-eventbrite,1,40,9,40,
EF-0192,2026-09-11,VND,Vendor,organic-eventbrite,1,40,10,40,
EF-0193,2026-09-12,VND,Vendor,organic-eventbrite,1,40,11,40,
EF-0194,2026-09-13,VND,Vendor,organic-eventbrite,1,40,12,40,
EF-0195,2026-09-14,VND,Vendor,organic-eventbrite,1,40,13,40,
EF-0196,2026-09-15,VND,Vendor,organic-eventbrite,1,40,14,40,
EF-0197,2026-09-16,VND,Vendor,organic-eventbrite,1,40,15,40,
EF-0198,2026-09-17,VND,Vendor,organic-eventbrite,1,40,16,40,
EF-0199,2026-09-18,VND,Vendor,organic-eventbrite,1,40,17,40,
EF-0200,2026-09-19,VND,Vendor,organic-eventbrite,1,40,18,40,
EF-0201,2026-09-20,VND,Vendor,organic-eventbrite,1,40,19,40,
EF-0202,2026-09-21,VND,Vendor,organic-eventbrite,1,40,20,40,
EF-0203,2026-09-22,VND,Vendor,organic-eventbrite,1,40,21,40,
EF-0204,2026-09-23,VND,Vendor,organic-eventbrite,1,40,22,40,
EF-0205,2026-09-24,VND,Vendor,organic-eventbrite,1,40,23,40,
EF-0206,2026-09-25,VND,Vendor,organic-eventbrite,1,40,24,40,
EF-0207,2026-09-26,VND,Vendor,organic-eventbrite,1,40,25,40,
EF-0208,2026-09-27,VND,Vendor,organic-eventbrite,1,40,26,40,
EF-0209,2026-09-28,VND,Vendor,organic-eventbrite,1,40,27,40,
EF-0210,2026-09-29,VND,Vendor,organic-eventbrite,1,40,28,40,
EF-0211,2026-09-30,VND,Vendor,organic-eventbrite,1,40,29,40,
EF-0212,2026-10-01,VND,Vendor,organic-eventbrite,1,40,30,40,
EF-0213,2026-10-02,VND,Vendor,organic-eventbrite,1,40,31,40,
EF-0214,2026-10-03,VND,Vendor,organic-eventbrite,1,40,32,40,
EF-0215,2026-09-04,YTH,Youth,council-newsletter,1,60,1,60,
EF-0216,2026-09-04,YTH,Youth,social-facebook,1,60,2,60,
EF-0217,2026-09-05,YTH,Youth,organic-eventbrite,1,60,3,60,
EF-0218,2026-09-05,YTH,Youth,council-newsletter,1,60,4,60,
EF-0219,2026-09-05,YTH,Youth,social-facebook,1,60,5,60,
EF-0220,2026-09-06,YTH,Youth,organic-eventbrite,1,60,6,60,
EF-0221,2026-09-06,YTH,Youth,council-newsletter,1,60,7,60,
EF-0222,2026-09-07,YTH,Youth,council-newsletter,1,60,8,60,
EF-0223,2026-09-07,YTH,Youth,social-facebook,1,60,9,60,
EF-0224,2026-09-08,YTH,Youth,organic-eventbrite,1,60,10,60,
EF-0225,2026-09-08,YTH,Youth,council-newsletter,1,60,11,60,
EF-0226,2026-09-09,YTH,Youth,organic-eventbrite,1,60,12,60,
EF-0227,2026-09-10,YTH,Youth,organic-eventbrite,1,60,13,60,
EF-0228,2026-09-11,YTH,Youth,organic-eventbrite,1,60,14,60,
EF-0229,2026-09-12,YTH,Youth,council-newsletter,1,60,15,60,
EF-0230,2026-09-12,YTH,Youth,social-facebook,1,60,16,60,
EF-0231,2026-09-13,YTH,Youth,organic-eventbrite,1,60,17,60,
EF-0232,2026-09-14,YTH,Youth,council-newsletter,1,60,18,60,
EF-0233,2026-09-14,YTH,Youth,social-facebook,1,60,19,60,
EF-0234,2026-09-15,YTH,Youth,organic-eventbrite,1,60,20,60,
EF-0235,2026-09-16,YTH,Youth,organic-eventbrite,1,60,21,60,
EF-0236,2026-09-17,YTH,Youth,organic-eventbrite,1,60,22,60,
EF-0237,2026-09-18,YTH,Youth,organic-eventbrite,1,60,23,60,
EF-0238,2026-09-19,YTH,Youth,organic-eventbrite,1,60,24,60,
EF-0239,2026-09-20,YTH,Youth,organic-eventbrite,1,60,25,60,
EF-0240,2026-09-21,YTH,Youth,organic-eventbrite,1,60,26,60,
EF-0241,2026-09-22,YTH,Youth,organic-eventbrite,1,60,27,60,
EF-0242,2026-09-23,YTH,Youth,organic-eventbrite,1,60,28,60,
EF-0243,2026-09-24,YTH,Youth,organic-eventbrite,1,60,29,60,
EF-0244,2026-09-25,YTH,Youth,organic-eventbrite,1,60,30,60,
EF-0245,2026-09-26,YTH,Youth,organic-eventbrite,1,60,31,60,
EF-0246,2026-09-27,YTH,Youth,council-newsletter,1,60,32,60,
EF-0247,2026-09-27,YTH,Youth,social-facebook,1,60,33,60,
EF-0248,2026-09-28,YTH,Youth,council-newsletter,1,60,34,60,
EF-0249,2026-09-28,YTH,Youth,social-facebook,1,60,35,60,
EF-0250,2026-09-29,YTH,Youth,council-newsletter,1,60,36,60,
EF-0251,2026-09-29,YTH,Youth,social-facebook,1,60,37,60,
EF-0252,2026-09-30,YTH,Youth,council-newsletter,1,60,38,60,
EF-0253,2026-09-30,YTH,Youth,social-facebook,1,60,39,60,
EF-0254,2026-10-01,YTH,Youth,organic-eventbrite,1,60,40,60,
EF-0255,2026-10-01,YTH,Youth,council-newsletter,1,60,41,60,
EF-0256,2026-10-02,YTH,Youth,organic-eventbrite,1,60,42,60,
EF-0257,2026-10-02,YTH,Youth,council-newsletter,1,60,43,60,
EF-0258,2026-10-03,YTH,Youth,council-newsletter,1,60,44,60,
EF-0259,2026-10-03,YTH,Youth,social-facebook,1,60,45,60,
EF-0260,2026-09-11,SEN,Senior Citizen,organic-eventbrite,1,30,1,30,
EF-0261,2026-09-12,SEN,Senior Citizen,organic-eventbrite,1,30,2,30,
EF-0262,2026-09-13,SEN,Senior Citizen,organic-eventbrite,1,30,3,30,
EF-0263,2026-09-14,SEN,Senior Citizen,organic-eventbrite,1,30,4,30,
EF-0264,2026-09-15,SEN,Senior Citizen,organic-eventbrite,1,30,5,30,
EF-0265,2026-09-16,SEN,Senior Citizen,organic-eventbrite,1,30,6,30,
EF-0266,2026-09-17,SEN,Senior Citizen,organic-eventbrite,1,30,7,30,
EF-0267,2026-09-19,SEN,Senior Citizen,organic-eventbrite,1,30,8,30,
EF-0268,2026-09-21,SEN,Senior Citizen,organic-eventbrite,1,30,9,30,
EF-0269,2026-09-22,SEN,Senior Citizen,organic-eventbrite,1,30,10,30,
EF-0270,2026-09-23,SEN,Senior Citizen,organic-eventbrite,1,30,11,30,
EF-0271,2026-09-24,SEN,Senior Citizen,organic-eventbrite,1,30,12,30,
EF-0272,2026-09-27,SEN,Senior Citizen,organic-eventbrite,1,30,13,30,
EF-0273,2026-09-28,SEN,Senior Citizen,organic-eventbrite,1,30,14,30,
EF-0274,2026-09-29,SEN,Senior Citizen,organic-eventbrite,1,30,15,30,
EF-0275,2026-09-30,SEN,Senior Citizen,organic-eventbrite,1,30,16,30,
EF-0276,2026-10-01,SEN,Senior Citizen,organic-eventbrite,1,30,17,30,
EF-0277,2026-10-02,SEN,Senior Citizen,organic-eventbrite,1,30,18,30,
EF-0278,2026-10-03,SEN,Senior Citizen,organic-eventbrite,1,30,19,30,
GEN-SUMMARY,2026-Q3-window,GEN,General Admission,ALL,412,700,412,700,tier confirmed
VOL-SUMMARY,2026-Q3-window,VOL,Volunteer,ALL,68,80,68,80,"3 slots short: setup, midday food, teardown"
VIP-SUMMARY,2026-Q3-window,VIP,VIP Guest,ALL,24,30,24,30,tier confirmed
VND-SUMMARY,2026-Q3-window,VND,Vendor,ALL,32,40,32,40,tier confirmed
YTH-SUMMARY,2026-Q3-window,YTH,Youth,ALL,45,60,45,60,tier confirmed
SEN-SUMMARY,2026-Q3-window,SEN,Senior Citizen,ALL,19,30,19,30,tier confirmed
TOTAL,2026-Q3-window,ALL,All Tiers,ALL,600,940,600,940,Festival RSVP total 600 across 6 tiers
SLOT-SETUP,2026-10-10,VOL,Volunteer Slot,SETUP-CREW,0,3,0,3,Setup crew 06:00-08:00 — 3 open slots
SLOT-MIDDAY,2026-10-10,VOL,Volunteer Slot,MIDDAY-FOOD,0,2,0,2,Midday food 12:00-13:30 — 2 open slots
SLOT-TEARDOWN,2026-10-10,VOL,Volunteer Slot,TEARDOWN-CREW,0,3,0,3,Teardown 16:00-18:00 — 3 open slots
