batch_id,batch_date,location,location_code,gross_charges_usd,refunds_usd,adjustments_usd,processor_fees_usd,interchange_pct,batch_status,notes
SP-0119,2026-08-09,Schaefer Quick Stop,SF,10607.69,66.47,-17.34,262.01,2.526,Settled,
SP-0120,2026-08-09,Warren Road Express,WR,12793.12,67.52,-22.18,315.99,2.566,Settled,
SP-0121,2026-08-10,Greenfield Fuel & Market,GF,20184.62,154.37,31.79,498.56,2.432,Settled,
SP-0122,2026-08-10,Schaefer Quick Stop,SF,10553.44,19.51,16.07,260.67,2.465,Settled,
SP-0123,2026-08-10,Warren Road Express,WR,10981.78,60.65,17.48,271.25,2.470,Settled,
SP-0124,2026-08-11,Greenfield Fuel & Market,GF,18089.88,69.91,34.43,446.82,2.492,Settled,
SP-0125,2026-08-11,Schaefer Quick Stop,SF,11319.43,27.66,1.30,279.59,2.520,Settled,
SP-0126,2026-08-11,Warren Road Express,WR,12039.68,95.19,-14.71,297.38,2.498,Settled,
SP-0127,2026-08-12,Greenfield Fuel & Market,GF,21945.34,86.47,4.40,542.05,2.457,Settled,
SP-0128,2026-08-12,Schaefer Quick Stop,SF,11204.86,41.72,10.13,276.76,2.602,Settled,
SP-0129,2026-08-12,Warren Road Express,WR,10904.05,67.23,15.28,269.33,2.465,Settled,
SP-0130,2026-08-13,Greenfield Fuel & Market,GF,21824.29,102.93,-10.27,539.06,2.362,Settled,
SP-0131,2026-08-13,Schaefer Quick Stop,SF,9294.74,18.47,9.16,229.58,2.430,Settled,
SP-0132,2026-08-13,Warren Road Express,WR,11598.79,23.23,-13.79,286.49,2.521,Settled,
SP-0133,2026-08-14,Greenfield Fuel & Market,GF,17019.43,53.47,-10.90,420.38,2.468,Settled,
SP-0134,2026-08-14,Schaefer Quick Stop,SF,10398.79,60.18,-9.78,256.85,2.398,Settled,
SP-0135,2026-08-14,Warren Road Express,WR,12987.04,35.99,-3.98,320.78,2.358,Settled,
SP-0136,2026-08-15,Greenfield Fuel & Market,GF,21587.45,171.02,7.70,533.21,2.600,Settled,
SP-0137,2026-08-15,Schaefer Quick Stop,SF,10690.69,78.88,2.37,264.06,2.555,Settled,
SP-0138,2026-08-15,Warren Road Express,WR,10340.08,27.99,-8.02,255.40,2.605,Settled,
SP-0139,2026-08-16,Greenfield Fuel & Market,GF,16539.68,80.65,-1.14,408.53,2.435,Settled,
SP-0140,2026-08-16,Schaefer Quick Stop,SF,8990.69,55.47,-0.10,222.07,2.476,Settled,
SP-0141,2026-08-16,Warren Road Express,WR,12460.73,18.44,-11.22,307.78,2.425,Settled,
SP-0142,2026-08-17,Greenfield Fuel & Market,GF,19997.57,76.24,-5.63,493.94,2.401,Settled,
SP-0143,2026-08-17,Schaefer Quick Stop,SF,8928.74,69.60,-11.42,220.54,2.538,Settled,
SP-0144,2026-08-17,Warren Road Express,WR,13211.34,29.82,-18.29,326.32,2.368,Settled,
SP-0145,2026-08-18,Greenfield Fuel & Market,GF,21993.52,93.69,5.88,543.24,2.365,Settled,
SP-0146,2026-08-18,Schaefer Quick Stop,SF,8973.28,9.59,9.38,221.64,2.571,Settled,
SP-0147,2026-08-18,Warren Road Express,WR,13287.85,82.42,12.00,328.21,2.480,Settled,
SP-0148,2026-08-19,Greenfield Fuel & Market,GF,17358.70,65.53,8.36,428.76,2.509,Settled,
SP-0149,2026-08-19,Schaefer Quick Stop,SF,11270.04,89.41,-8.58,278.37,2.408,Settled,
SP-0150,2026-08-19,Warren Road Express,WR,11506.48,53.87,13.40,284.21,2.398,Settled,
SP-0151,2026-08-20,Greenfield Fuel & Market,GF,19164.37,59.70,19.50,473.36,2.390,Settled,
SP-0152,2026-08-20,Schaefer Quick Stop,SF,10321.05,70.64,19.45,254.93,2.575,Settled,
SP-0153,2026-08-20,Warren Road Express,WR,12240.08,86.55,-14.20,302.33,2.486,Settled,
SP-0154,2026-08-21,Greenfield Fuel & Market,GF,19957.09,69.30,27.59,492.94,2.497,Settled,
SP-0155,2026-08-21,Schaefer Quick Stop,SF,10873.28,77.09,15.18,268.57,2.595,Settled,
SP-0156,2026-08-21,Warren Road Express,WR,13450.61,82.43,-0.81,332.23,2.359,Settled,
SP-0157,2026-08-22,Greenfield Fuel & Market,GF,18511.74,105.89,24.38,457.24,2.581,Settled,
SP-0158,2026-08-22,Schaefer Quick Stop,SF,9065.99,45.17,-3.40,223.93,2.521,Settled,
SP-0159,2026-08-22,Warren Road Express,WR,11504.05,83.20,5.90,284.15,2.433,Settled,
SP-0160,2026-08-23,Greenfield Fuel & Market,GF,17557.09,96.97,-20.05,433.66,2.611,Settled,
SP-0161,2026-08-23,Schaefer Quick Stop,SF,9097.17,15.17,-9.45,224.70,2.363,Settled,
SP-0162,2026-08-23,Warren Road Express,WR,10562.75,37.25,6.73,260.90,2.557,Settled,
SP-0163,2026-08-24,Greenfield Fuel & Market,GF,20502.43,73.37,-32.57,506.41,2.518,Settled,
SP-0164,2026-08-24,Schaefer Quick Stop,SF,9656.28,42.37,-15.08,238.51,2.601,Settled,
SP-0165,2026-08-24,Warren Road Express,WR,12318.22,72.57,-23.69,304.26,2.424,Settled,
SP-0166,2026-08-25,Greenfield Fuel & Market,GF,21969.23,34.75,36.65,542.64,2.416,Settled,
SP-0167,2026-08-25,Schaefer Quick Stop,SF,10776.11,10.95,-19.99,266.17,2.587,Settled,
SP-0168,2026-08-25,Warren Road Express,WR,12934.41,74.11,16.31,319.48,2.381,Settled,
SP-0169,2026-08-26,Greenfield Fuel & Market,GF,20038.06,152.93,11.08,494.94,2.370,Settled,
SP-0170,2026-08-26,Schaefer Quick Stop,SF,9771.66,71.16,18.17,241.36,2.435,Settled,
SP-0171,2026-08-26,Warren Road Express,WR,13158.30,14.04,-6.03,325.01,2.375,Settled,
SP-0172,2026-08-27,Greenfield Fuel & Market,GF,21153.04,77.42,-7.87,522.48,2.462,Settled,
SP-0173,2026-08-27,Schaefer Quick Stop,SF,11687.85,45.37,17.85,288.69,2.550,Settled,
SP-0174,2026-08-27,Warren Road Express,WR,13337.25,26.88,-17.48,329.43,2.414,Settled,
SP-0175,2026-08-28,Greenfield Fuel & Market,GF,16844.53,81.01,-4.36,416.06,2.374,Settled,
SP-0176,2026-08-28,Schaefer Quick Stop,SF,11286.64,32.12,10.17,278.78,2.483,Settled,
SP-0177,2026-08-28,Warren Road Express,WR,11331.17,76.58,7.84,279.88,2.521,Settled,
SP-0178,2026-08-29,Greenfield Fuel & Market,GF,18666.40,146.66,11.51,461.06,2.485,Settled,
SP-0179,2026-08-29,Schaefer Quick Stop,SF,10393.93,28.72,-4.88,256.73,2.525,Settled,
SP-0180,2026-08-29,Warren Road Express,WR,10087.45,61.17,-11.57,249.16,2.618,Settled,
SP-0181,2026-08-30,Greenfield Fuel & Market,GF,21058.70,79.71,30.75,520.15,2.535,Settled,
SP-0182,2026-08-30,Schaefer Quick Stop,SF,11309.72,80.42,4.13,279.35,2.434,Settled,
SP-0183,2026-08-30,Warren Road Express,WR,13508.10,47.95,-26.68,333.65,2.564,Settled,
SP-0184,2026-08-31,Greenfield Fuel & Market,GF,20287.85,40.35,-33.93,501.11,2.565,Settled,
SP-0185,2026-08-31,Schaefer Quick Stop,SF,9116.19,15.28,5.91,225.17,2.496,Settled,
SP-0186,2026-08-31,Warren Road Express,WR,11988.66,67.90,6.84,296.12,2.517,Settled,
SP-0187,2026-09-01,Greenfield Fuel & Market,GF,19999.19,81.39,-8.25,493.98,2.610,Settled,
SP-0188,2026-09-01,Schaefer Quick Stop,SF,9362.75,26.25,18.68,231.26,2.454,Settled,
SP-0189,2026-09-01,Warren Road Express,WR,10859.92,58.45,-0.19,268.24,2.370,Settled,
SP-0190,2026-09-02,Greenfield Fuel & Market,GF,17220.24,71.34,14.00,425.34,2.515,Settled,
SP-0191,2026-09-02,Schaefer Quick Stop,SF,10854.66,62.67,4.01,268.11,2.594,Settled,
SP-0192,2026-09-02,Warren Road Express,WR,13506.88,76.80,2.85,333.62,2.524,Settled,
SP-0193,2026-09-03,Greenfield Fuel & Market,GF,19770.45,90.59,-3.33,488.33,2.576,Settled,
SP-0194,2026-09-03,Schaefer Quick Stop,SF,9912.15,21.79,6.88,244.83,2.478,Settled,
SP-0195,2026-09-03,Warren Road Express,WR,12158.70,82.10,5.23,300.32,2.531,Settled,
SP-0196,2026-09-04,Greenfield Fuel & Market,GF,20387.04,42.15,-39.95,503.56,2.516,Settled,
SP-0197,2026-09-04,Schaefer Quick Stop,SF,11727.13,56.54,-9.03,289.66,2.554,Settled,
SP-0198,2026-09-04,Warren Road Express,WR,13217.41,36.20,-15.40,326.47,2.377,Settled,
SP-0199,2026-09-05,Greenfield Fuel & Market,GF,20725.10,143.95,-11.98,511.91,2.351,Settled,
SP-0200,2026-09-05,Schaefer Quick Stop,SF,9399.19,16.00,-4.82,232.16,2.466,Settled,
SP-0201,2026-09-05,Warren Road Express,WR,11836.03,32.90,-0.35,292.35,2.511,Settled,
SP-0202,2026-09-06,Greenfield Fuel & Market,GF,19681.38,64.61,-31.51,486.13,2.452,Settled,
SP-0203,2026-09-06,Schaefer Quick Stop,SF,10819.84,68.39,-3.76,267.25,2.414,Settled,
SP-0204,2026-09-06,Warren Road Express,WR,11248.18,50.09,19.10,277.83,2.547,Settled,
SP-0205,2026-09-07,Greenfield Fuel & Market,GF,18175.71,135.57,-24.40,448.94,2.612,Settled,
SP-0206,2026-09-07,Schaefer Quick Stop,SF,10237.65,67.38,2.81,252.87,2.401,Settled,
SP-0207,2026-09-07,Warren Road Express,WR,11429.55,74.07,-16.90,282.31,2.476,Settled,
SP-0208,2026-09-08,Greenfield Fuel & Market,GF,19008.91,147.40,-26.81,469.52,2.433,Settled,
SP-0209,2026-09-08,Schaefer Quick Stop,SF,9304.45,44.42,-15.18,229.82,2.427,Settled,
SP-0210,2026-09-08,Warren Road Express,WR,12946.96,31.22,-2.47,319.79,2.409,Settled,
SP-0211,2026-09-09,Greenfield Fuel & Market,GF,22163.56,27.21,-3.17,547.44,2.392,Settled,
SP-0212,2026-09-09,Schaefer Quick Stop,SF,10990.69,47.63,-5.99,271.47,2.354,Settled,
SP-0213,2026-09-09,Warren Road Express,WR,13098.79,65.64,-12.54,323.54,2.531,Settled,
SP-0214,2026-09-10,Greenfield Fuel & Market,GF,21824.70,99.15,42.60,539.07,2.419,Settled,
SP-0215,2026-09-10,Schaefer Quick Stop,SF,9648.99,36.12,-15.02,238.33,2.457,Settled,
SP-0216,2026-09-10,Warren Road Express,WR,13241.70,44.54,-15.87,327.07,2.510,Settled,
SP-0217,2026-09-11,Greenfield Fuel & Market,GF,21456.68,55.33,-28.52,529.98,2.479,Settled,
SP-0218,2026-09-11,Schaefer Quick Stop,SF,9008.10,25.38,1.07,222.50,2.437,Settled,
SP-0219,2026-09-11,Warren Road Express,WR,12378.14,53.69,-5.51,305.74,2.477,Settled,
SP-0220,2026-09-12,Greenfield Fuel & Market,GF,17607.29,87.76,-2.87,434.90,2.462,Settled,
SP-0221,2026-09-12,Schaefer Quick Stop,SF,9218.22,30.72,14.25,227.69,2.597,Settled,
SP-0222,2026-09-12,Warren Road Express,WR,11644.13,42.23,2.65,287.61,2.497,Settled,
SP-0223,2026-09-13,Greenfield Fuel & Market,GF,18174.90,58.15,7.51,448.92,2.393,Settled,
SP-0224,2026-09-13,Schaefer Quick Stop,SF,10497.57,71.52,-0.70,259.29,2.363,Settled,
SP-0225,2026-09-13,Warren Road Express,WR,10091.09,55.00,-4.96,249.25,2.364,Settled,
SP-0226,2026-09-14,Greenfield Fuel & Market,GF,19230.77,144.26,0.25,475.00,2.360,Settled,
SP-0227,2026-09-14,Schaefer Quick Stop,SF,10370.45,60.69,16.11,256.15,2.490,Settled,
SP-0228,2026-09-14,Warren Road Express,WR,13388.66,34.05,0.68,330.70,2.454,Settled,
SP-0229,2026-09-15,Greenfield Fuel & Market,GF,20883.81,52.15,-23.93,515.83,2.467,Settled,
SP-0230,2026-09-15,Schaefer Quick Stop,SF,10866.40,40.34,11.46,268.40,2.594,Settled,
SP-0231,2026-09-15,Warren Road Express,WR,13497.17,31.32,-1.69,333.38,2.379,Settled,
SP-0232,2026-09-16,Greenfield Fuel & Market,GF,17023.48,74.09,-24.38,420.48,2.609,Settled,
SP-0233,2026-09-16,Schaefer Quick Stop,SF,11514.98,60.24,-19.74,284.42,2.435,Settled,
SP-0234,2026-09-16,Warren Road Express,WR,13172.06,53.75,-7.84,325.35,2.391,Settled,
SP-0235,2026-09-17,Greenfield Fuel & Market,GF,17542.51,25.56,-12.09,433.30,2.369,Settled,
SP-0236,2026-09-17,Schaefer Quick Stop,SF,9130.77,15.42,7.15,225.53,2.397,Settled,
SP-0237,2026-09-17,Warren Road Express,WR,11586.64,46.01,2.96,286.19,2.369,Settled,
SP-0238,2026-09-18,Greenfield Fuel & Market,GF,18084.62,39.46,-30.06,446.69,2.507,Settled,
SP-0239,2026-09-18,Schaefer Quick Stop,SF,10587.45,42.86,-8.79,261.51,2.612,Settled,
SP-0240,2026-09-18,Warren Road Express,WR,11860.32,27.05,3.15,292.95,2.556,Settled,
SP-0241,2026-09-19,Greenfield Fuel & Market,GF,19900.81,119.23,7.65,491.55,2.457,Settled,
SP-0242,2026-09-19,Schaefer Quick Stop,SF,11206.88,33.19,-21.76,276.81,2.425,Settled,
SP-0243,2026-09-19,Warren Road Express,WR,11327.94,72.14,-7.33,279.80,2.598,Settled,
SP-0244,2026-09-20,Greenfield Fuel & Market,GF,16993.12,118.91,-8.06,419.73,2.599,Settled,
SP-0245,2026-09-20,Schaefer Quick Stop,SF,11684.21,69.62,-19.77,288.60,2.360,Settled,
SP-0246,2026-09-20,Warren Road Express,WR,11012.55,14.99,-20.22,272.01,2.533,Settled,
SP-0247,2026-09-21,Greenfield Fuel & Market,GF,22197.57,166.47,-35.16,548.28,2.588,Settled,
SP-0248,2026-09-21,Schaefer Quick Stop,SF,8980.16,68.92,-14.17,221.81,2.455,Settled,
SP-0249,2026-09-21,Warren Road Express,WR,12377.73,61.63,14.77,305.73,2.487,Settled,
SP-0250,2026-09-22,Greenfield Fuel & Market,GF,21272.06,118.18,-23.84,525.42,2.389,Settled,
SP-0251,2026-09-22,Schaefer Quick Stop,SF,10157.09,66.41,-1.31,250.88,2.450,Settled,
SP-0252,2026-09-22,Warren Road Express,WR,11164.37,36.53,-5.85,275.76,2.406,Settled,
SP-0253,2026-09-23,Greenfield Fuel & Market,GF,20447.77,61.42,-15.89,505.06,2.615,Settled,
SP-0254,2026-09-23,Schaefer Quick Stop,SF,11290.69,40.10,20.95,278.88,2.476,Settled,
SP-0255,2026-09-23,Warren Road Express,WR,11983.40,58.49,9.36,295.99,2.361,Settled,
SP-0256,2026-09-24,Greenfield Fuel & Market,GF,20434.82,151.48,33.87,504.74,2.388,Settled,
SP-0257,2026-09-24,Schaefer Quick Stop,SF,10252.63,28.85,16.22,253.24,2.355,Settled,
SP-0258,2026-09-24,Warren Road Express,WR,13089.47,56.55,-26.15,323.31,2.523,Settled,
SP-0259,2026-09-25,Greenfield Fuel & Market,GF,20457.89,150.29,-40.21,505.31,2.565,Settled,
