snapshot_id,week_start,vendor_id,vendor_name,grade,deliveries_scheduled,deliveries_on_time,stockout_events,quality_pass_rate,invoice_accuracy,avg_lead_time_hours,notes
HS-0083,2026-08-03,MP-01,Michigan Petroleum,mid_89,1,1,0,0.969,0.992,52.7,
HS-0084,2026-08-10,MP-01,Michigan Petroleum,mid_89,1,1,0,0.954,0.983,67.4,
HS-0085,2026-08-17,MP-01,Michigan Petroleum,mid_89,1,1,0,0.956,0.974,42.9,
HS-0086,2026-08-24,MP-01,Michigan Petroleum,mid_89,1,1,0,0.965,0.992,47.8,
HS-0087,2026-08-31,MP-01,Michigan Petroleum,mid_89,1,1,0,0.976,0.972,46.5,
HS-0088,2026-09-07,MP-01,Michigan Petroleum,mid_89,2,2,0,0.988,0.989,54.5,
HS-0089,2026-09-14,MP-01,Michigan Petroleum,mid_89,1,1,0,0.958,0.971,63.5,
HS-0090,2026-09-21,MP-01,Michigan Petroleum,mid_89,2,2,0,0.951,0.991,63.5,
HS-0091,2026-09-28,MP-01,Michigan Petroleum,mid_89,1,1,0,0.986,0.976,53.8,
HS-0092,2026-07-06,MP-01,Michigan Petroleum,premium_93,0,0,0,0.951,0.972,55.9,
HS-0093,2026-07-13,MP-01,Michigan Petroleum,premium_93,0,0,0,0.963,0.979,60.5,
HS-0094,2026-07-20,MP-01,Michigan Petroleum,premium_93,1,1,0,0.959,0.977,51.0,
HS-0095,2026-07-27,MP-01,Michigan Petroleum,premium_93,2,2,0,0.982,0.974,66.9,
HS-0096,2026-08-03,MP-01,Michigan Petroleum,premium_93,0,0,0,0.980,0.988,49.7,
HS-0097,2026-08-10,MP-01,Michigan Petroleum,premium_93,1,1,0,0.985,0.993,60.1,
HS-0098,2026-08-17,MP-01,Michigan Petroleum,premium_93,2,2,0,0.969,0.976,48.4,
HS-0099,2026-08-24,MP-01,Michigan Petroleum,premium_93,1,1,0,0.972,0.989,65.5,
HS-0100,2026-08-31,MP-01,Michigan Petroleum,premium_93,1,1,0,0.959,0.992,55.8,
HS-0101,2026-09-07,MP-01,Michigan Petroleum,premium_93,0,0,0,0.969,0.977,53.8,
HS-0102,2026-09-14,MP-01,Michigan Petroleum,premium_93,2,2,0,0.963,0.974,44.1,
HS-0103,2026-09-21,MP-01,Michigan Petroleum,premium_93,1,1,0,0.966,0.975,63.7,
HS-0104,2026-09-28,MP-01,Michigan Petroleum,premium_93,1,1,0,0.967,0.995,67.0,
HS-0105,2026-07-06,MP-01,Michigan Petroleum,diesel,0,0,0,0.977,0.981,60.1,
HS-0106,2026-07-13,MP-01,Michigan Petroleum,diesel,1,1,0,0.981,0.981,38.7,
HS-0107,2026-07-20,MP-01,Michigan Petroleum,diesel,1,1,0,0.980,0.991,38.1,
HS-0108,2026-07-27,MP-01,Michigan Petroleum,diesel,1,1,0,0.960,0.975,56.9,
HS-0109,2026-08-03,MP-01,Michigan Petroleum,diesel,1,1,0,0.988,0.972,51.5,
HS-0110,2026-08-10,MP-01,Michigan Petroleum,diesel,1,1,0,0.970,0.976,67.7,
HS-0111,2026-08-17,MP-01,Michigan Petroleum,diesel,2,2,0,0.970,0.976,38.9,
HS-0112,2026-08-24,MP-01,Michigan Petroleum,diesel,0,0,0,0.969,0.990,41.6,
HS-0113,2026-08-31,MP-01,Michigan Petroleum,diesel,0,0,0,0.979,0.973,43.2,
HS-0114,2026-09-07,MP-01,Michigan Petroleum,diesel,1,1,0,0.951,0.973,66.7,
HS-0115,2026-09-14,MP-01,Michigan Petroleum,diesel,1,1,0,0.988,0.985,38.4,
HS-0116,2026-09-21,MP-01,Michigan Petroleum,diesel,1,1,0,0.976,0.991,42.1,
HS-0117,2026-09-28,MP-01,Michigan Petroleum,diesel,2,2,0,0.963,0.979,61.7,
HS-0118,2026-07-06,MP-01,Michigan Petroleum,ethanol_e85,1,1,0,0.955,0.986,57.9,
HS-0119,2026-07-13,MP-01,Michigan Petroleum,ethanol_e85,1,1,0,0.980,0.976,61.2,
HS-0120,2026-07-20,MP-01,Michigan Petroleum,ethanol_e85,1,1,0,0.985,0.994,62.5,
HS-0121,2026-07-27,MP-01,Michigan Petroleum,ethanol_e85,2,2,0,0.963,0.980,48.1,
HS-0122,2026-08-03,MP-01,Michigan Petroleum,ethanol_e85,1,1,0,0.989,0.973,39.1,
HS-0123,2026-08-10,MP-01,Michigan Petroleum,ethanol_e85,1,1,0,0.977,0.979,52.1,
HS-0124,2026-08-17,MP-01,Michigan Petroleum,ethanol_e85,2,2,0,0.962,0.983,44.9,
HS-0125,2026-08-24,MP-01,Michigan Petroleum,ethanol_e85,1,1,0,0.952,0.974,39.4,
HS-0126,2026-08-31,MP-01,Michigan Petroleum,ethanol_e85,0,0,0,0.987,0.972,63.5,
HS-0127,2026-09-07,MP-01,Michigan Petroleum,ethanol_e85,2,2,0,0.983,0.994,44.5,
HS-0128,2026-09-14,MP-01,Michigan Petroleum,ethanol_e85,2,2,0,0.983,0.994,67.4,
HS-0129,2026-09-21,MP-01,Michigan Petroleum,ethanol_e85,2,2,0,0.973,0.980,45.1,
HS-0130,2026-09-28,MP-01,Michigan Petroleum,ethanol_e85,1,1,0,0.978,0.986,38.5,
HS-0131,2026-07-06,GL-01,Great Lakes Distribution,regular_87,2,2,0,0.975,0.980,61.8,
HS-0132,2026-07-13,GL-01,Great Lakes Distribution,regular_87,3,3,0,0.948,0.984,82.6,
HS-0133,2026-07-20,GL-01,Great Lakes Distribution,regular_87,3,3,0,0.903,0.970,43.0,
HS-0134,2026-07-27,GL-01,Great Lakes Distribution,regular_87,2,2,0,0.920,0.993,62.3,
HS-0135,2026-08-03,GL-01,Great Lakes Distribution,regular_87,3,3,0,0.903,0.973,45.5,
HS-0136,2026-08-10,GL-01,Great Lakes Distribution,regular_87,2,2,0,0.969,0.984,45.6,
HS-0137,2026-08-17,GL-01,Great Lakes Distribution,regular_87,3,3,0,0.921,0.982,72.3,
HS-0138,2026-08-24,GL-01,Great Lakes Distribution,regular_87,3,3,0,0.945,0.982,77.1,
HS-0139,2026-08-31,GL-01,Great Lakes Distribution,regular_87,2,2,0,0.941,0.995,58.1,
HS-0140,2026-09-07,GL-01,Great Lakes Distribution,regular_87,2,2,0,0.902,0.973,84.5,
HS-0141,2026-09-14,GL-01,Great Lakes Distribution,regular_87,3,3,0,0.931,0.994,53.6,
HS-0142,2026-09-21,GL-01,Great Lakes Distribution,regular_87,3,3,0,0.965,0.985,62.1,
HS-0143,2026-09-28,GL-01,Great Lakes Distribution,regular_87,2,2,0,0.975,0.978,74.0,
HS-0144,2026-07-06,GL-01,Great Lakes Distribution,mid_89,2,2,0,0.911,0.990,95.0,
HS-0145,2026-07-13,GL-01,Great Lakes Distribution,mid_89,2,1,0,0.906,0.990,83.2,
HS-0146,2026-07-20,GL-01,Great Lakes Distribution,mid_89,2,2,0,0.936,0.978,74.0,
HS-0147,2026-07-27,GL-01,Great Lakes Distribution,mid_89,2,2,0,0.990,0.994,43.0,
HS-0148,2026-08-03,GL-01,Great Lakes Distribution,mid_89,2,2,0,0.956,0.991,90.9,
HS-0149,2026-08-10,GL-01,Great Lakes Distribution,mid_89,1,1,0,0.962,0.981,59.9,
HS-0150,2026-08-17,GL-01,Great Lakes Distribution,mid_89,0,0,0,0.948,0.976,42.9,
HS-0151,2026-08-24,GL-01,Great Lakes Distribution,mid_89,1,1,0,0.976,0.984,49.4,
HS-0152,2026-08-31,GL-01,Great Lakes Distribution,mid_89,2,2,0,0.972,0.988,69.6,
HS-0153,2026-09-07,GL-01,Great Lakes Distribution,mid_89,1,1,0,0.940,0.990,93.0,
HS-0154,2026-09-14,GL-01,Great Lakes Distribution,mid_89,2,2,0,0.938,0.993,57.1,
HS-0155,2026-09-21,GL-01,Great Lakes Distribution,mid_89,1,1,0,0.928,0.988,61.7,
HS-0156,2026-09-28,GL-01,Great Lakes Distribution,mid_89,1,1,0,0.969,0.987,64.2,
HS-0157,2026-07-06,GL-01,Great Lakes Distribution,premium_93,1,1,0,0.901,0.976,65.2,
HS-0158,2026-07-13,GL-01,Great Lakes Distribution,premium_93,1,1,0,0.944,0.987,50.0,
HS-0159,2026-07-20,GL-01,Great Lakes Distribution,premium_93,0,0,0,0.966,0.986,90.5,
HS-0160,2026-07-27,GL-01,Great Lakes Distribution,premium_93,1,0,0,0.902,0.975,92.0,
HS-0161,2026-08-03,GL-01,Great Lakes Distribution,premium_93,1,1,0,0.976,0.979,67.7,
HS-0162,2026-08-10,GL-01,Great Lakes Distribution,premium_93,2,1,0,0.968,0.993,64.1,
HS-0163,2026-08-17,GL-01,Great Lakes Distribution,premium_93,0,0,0,0.938,0.985,90.3,
HS-0164,2026-08-24,GL-01,Great Lakes Distribution,premium_93,1,0,1,0.920,0.993,87.6,STOCKOUT: premium_93 not delivered; escalated to Sam
HS-0165,2026-08-31,GL-01,Great Lakes Distribution,premium_93,1,1,0,0.909,0.989,54.0,
HS-0166,2026-09-07,GL-01,Great Lakes Distribution,premium_93,2,1,0,0.921,0.974,62.7,
HS-0167,2026-09-14,GL-01,Great Lakes Distribution,premium_93,1,1,0,0.907,0.979,60.9,
HS-0168,2026-09-21,GL-01,Great Lakes Distribution,premium_93,1,1,0,0.904,0.981,55.4,
HS-0169,2026-09-28,GL-01,Great Lakes Distribution,premium_93,0,0,0,0.962,0.980,75.1,
HS-0170,2026-07-06,GL-01,Great Lakes Distribution,diesel,0,0,0,0.904,0.975,61.0,
HS-0171,2026-07-13,GL-01,Great Lakes Distribution,diesel,1,0,0,0.920,0.976,76.6,
HS-0172,2026-07-20,GL-01,Great Lakes Distribution,diesel,0,0,0,0.938,0.979,52.4,
HS-0173,2026-07-27,GL-01,Great Lakes Distribution,diesel,1,1,0,0.964,0.974,69.3,
HS-0174,2026-08-03,GL-01,Great Lakes Distribution,diesel,2,2,0,0.944,0.978,65.6,
HS-0175,2026-08-10,GL-01,Great Lakes Distribution,diesel,2,2,0,0.935,0.978,65.0,
HS-0176,2026-08-17,GL-01,Great Lakes Distribution,diesel,0,0,0,0.915,0.975,58.9,
HS-0177,2026-08-24,GL-01,Great Lakes Distribution,diesel,2,2,0,0.925,0.983,56.7,
HS-0178,2026-08-31,GL-01,Great Lakes Distribution,diesel,0,0,0,0.920,0.980,53.0,
HS-0179,2026-09-07,GL-01,Great Lakes Distribution,diesel,0,0,0,0.947,0.980,60.9,
HS-0180,2026-09-14,GL-01,Great Lakes Distribution,diesel,1,1,0,0.919,0.989,80.5,
HS-0181,2026-09-21,GL-01,Great Lakes Distribution,diesel,1,1,0,0.911,0.986,75.6,
HS-0182,2026-09-28,GL-01,Great Lakes Distribution,diesel,1,1,0,0.963,0.984,53.2,
HS-0183,2026-07-06,GL-01,Great Lakes Distribution,ethanol_e85,1,1,0,0.967,0.978,81.3,
HS-0184,2026-07-13,GL-01,Great Lakes Distribution,ethanol_e85,2,2,0,0.905,0.986,75.4,
HS-0185,2026-07-20,GL-01,Great Lakes Distribution,ethanol_e85,0,0,0,0.935,0.978,46.1,
HS-0186,2026-07-27,GL-01,Great Lakes Distribution,ethanol_e85,1,1,0,0.932,0.985,46.9,
HS-0187,2026-08-03,GL-01,Great Lakes Distribution,ethanol_e85,2,1,0,0.982,0.980,93.2,
HS-0188,2026-08-10,GL-01,Great Lakes Distribution,ethanol_e85,0,0,0,0.926,0.973,72.5,
HS-0189,2026-08-17,GL-01,Great Lakes Distribution,ethanol_e85,1,1,0,0.912,0.991,77.1,
HS-0190,2026-08-24,GL-01,Great Lakes Distribution,ethanol_e85,1,1,0,0.953,0.982,86.6,
HS-0191,2026-08-31,GL-01,Great Lakes Distribution,ethanol_e85,1,1,0,0.950,0.994,67.5,
HS-0192,2026-09-07,GL-01,Great Lakes Distribution,ethanol_e85,2,2,0,0.966,0.980,62.7,
HS-0193,2026-09-14,GL-01,Great Lakes Distribution,ethanol_e85,0,0,0,0.939,0.978,95.9,
HS-0194,2026-09-21,GL-01,Great Lakes Distribution,ethanol_e85,1,1,0,0.973,0.978,90.3,
HS-0195,2026-09-28,GL-01,Great Lakes Distribution,ethanol_e85,1,1,0,0.973,0.985,87.2,
HS-Q3-LK,2026-Q3,LK-01,Lakeside Fuel,ALL,-,-,2,0.966,0.947,62.4,Q3 rollup: 2 stockouts on regular_87; 86.4% on-time delivery
HS-Q3-MP,2026-Q3,MP-01,Michigan Petroleum,ALL,-,-,0,0.982,0.984,44.2,Q3 rollup: 0 stockouts; 98.7% on-time delivery; cleanest reliability
HS-Q3-GL,2026-Q3,GL-01,Great Lakes Distribution,ALL,-,-,1,0.951,0.972,81.6,Q3 rollup: 1 stockout on premium_93; 92.1% on-time delivery
