record_id,period_start,period_end,location,location_code,gross_sales_usd,transaction_count,avg_ticket_usd,fuel_gallons,convenience_pct,notes
SQ-0097,2026-08-02,2026-08-02,Greenfield Fuel & Market,GF,20818,1200,17.35,1753,0.490,
SQ-0098,2026-08-02,2026-08-02,Schaefer Quick Stop,SF,12296,693,17.74,1073,0.466,
SQ-0099,2026-08-02,2026-08-02,Warren Road Express,WR,13386,736,18.19,1296,0.441,
SQ-0100,2026-08-03,2026-08-03,Greenfield Fuel & Market,GF,16949,938,18.07,1456,0.447,
SQ-0101,2026-08-03,2026-08-03,Schaefer Quick Stop,SF,9355,513,18.24,868,0.438,
SQ-0102,2026-08-03,2026-08-03,Warren Road Express,WR,10971,607,18.07,927,0.447,
SQ-0103,2026-08-04,2026-08-04,Greenfield Fuel & Market,GF,18770,1133,16.57,1247,0.541,
SQ-0104,2026-08-04,2026-08-04,Schaefer Quick Stop,SF,9033,565,15.99,807,0.580,
SQ-0105,2026-08-04,2026-08-04,Warren Road Express,WR,9925,556,17.85,1170,0.459,
SQ-0106,2026-08-05,2026-08-05,Greenfield Fuel & Market,GF,18965,1113,17.04,1453,0.510,
SQ-0107,2026-08-05,2026-08-05,Schaefer Quick Stop,SF,9947,538,18.49,930,0.424,
SQ-0108,2026-08-05,2026-08-05,Warren Road Express,WR,11424,692,16.51,1171,0.545,
SQ-0109,2026-08-06,2026-08-06,Greenfield Fuel & Market,GF,16338,945,17.29,1362,0.493,
SQ-0110,2026-08-06,2026-08-06,Schaefer Quick Stop,SF,9230,522,17.68,783,0.470,
SQ-0111,2026-08-06,2026-08-06,Warren Road Express,WR,11219,687,16.33,1190,0.557,
SQ-0112,2026-08-07,2026-08-07,Greenfield Fuel & Market,GF,19173,1119,17.13,1707,0.504,weekend surge
SQ-0113,2026-08-07,2026-08-07,Schaefer Quick Stop,SF,10171,614,16.57,953,0.541,weekend surge
SQ-0114,2026-08-07,2026-08-07,Warren Road Express,WR,12695,757,16.77,1381,0.528,weekend surge
SQ-0115,2026-08-08,2026-08-08,Greenfield Fuel & Market,GF,26308,1496,17.59,2053,0.475,
SQ-0116,2026-08-08,2026-08-08,Schaefer Quick Stop,SF,12476,735,16.97,1219,0.513,
SQ-0117,2026-08-08,2026-08-08,Warren Road Express,WR,14899,902,16.52,1632,0.543,
SQ-0118,2026-08-09,2026-08-09,Greenfield Fuel & Market,GF,24170,1366,17.69,1674,0.469,
SQ-0119,2026-08-09,2026-08-09,Schaefer Quick Stop,SF,12799,708,18.08,916,0.447,
SQ-0120,2026-08-09,2026-08-09,Warren Road Express,WR,13209,718,18.40,1513,0.430,
SQ-0121,2026-08-10,2026-08-10,Greenfield Fuel & Market,GF,17494,1048,16.69,1491,0.532,
SQ-0122,2026-08-10,2026-08-10,Schaefer Quick Stop,SF,10069,549,18.34,893,0.433,
SQ-0123,2026-08-10,2026-08-10,Warren Road Express,WR,10266,561,18.30,1015,0.434,
SQ-0124,2026-08-11,2026-08-11,Greenfield Fuel & Market,GF,17878,1043,17.14,1532,0.503,
SQ-0125,2026-08-11,2026-08-11,Schaefer Quick Stop,SF,9366,570,16.43,833,0.551,
SQ-0126,2026-08-11,2026-08-11,Warren Road Express,WR,11086,680,16.30,940,0.560,
SQ-0127,2026-08-12,2026-08-12,Greenfield Fuel & Market,GF,19276,1038,18.57,1280,0.420,
SQ-0128,2026-08-12,2026-08-12,Schaefer Quick Stop,SF,9800,570,17.19,883,0.500,
SQ-0129,2026-08-12,2026-08-12,Warren Road Express,WR,9753,607,16.07,1039,0.576,
SQ-0130,2026-08-13,2026-08-13,Greenfield Fuel & Market,GF,18778,1040,18.06,1191,0.448,
SQ-0131,2026-08-13,2026-08-13,Schaefer Quick Stop,SF,8604,474,18.15,899,0.444,
SQ-0132,2026-08-13,2026-08-13,Warren Road Express,WR,11628,702,16.56,1064,0.541,
SQ-0133,2026-08-14,2026-08-14,Greenfield Fuel & Market,GF,21575,1175,18.36,1575,0.431,weekend surge
SQ-0134,2026-08-14,2026-08-14,Schaefer Quick Stop,SF,11123,604,18.42,996,0.429,weekend surge
SQ-0135,2026-08-14,2026-08-14,Warren Road Express,WR,13118,737,17.80,1179,0.463,weekend surge
SQ-0136,2026-08-15,2026-08-15,Greenfield Fuel & Market,GF,22688,1336,16.98,2094,0.513,
SQ-0137,2026-08-15,2026-08-15,Schaefer Quick Stop,SF,12492,760,16.44,1175,0.549,
SQ-0138,2026-08-15,2026-08-15,Warren Road Express,WR,13397,826,16.22,1602,0.564,
SQ-0139,2026-08-16,2026-08-16,Greenfield Fuel & Market,GF,24412,1485,16.44,1448,0.549,
SQ-0140,2026-08-16,2026-08-16,Schaefer Quick Stop,SF,11895,674,17.65,1104,0.471,
SQ-0141,2026-08-16,2026-08-16,Warren Road Express,WR,13363,744,17.96,1190,0.454,
SQ-0142,2026-08-17,2026-08-17,Greenfield Fuel & Market,GF,18389,1038,17.72,1400,0.468,
SQ-0143,2026-08-17,2026-08-17,Schaefer Quick Stop,SF,9289,540,17.20,708,0.500,
SQ-0144,2026-08-17,2026-08-17,Warren Road Express,WR,10911,625,17.46,975,0.484,
SQ-0145,2026-08-18,2026-08-18,Greenfield Fuel & Market,GF,19193,1035,18.54,1405,0.421,
SQ-0146,2026-08-18,2026-08-18,Schaefer Quick Stop,SF,8433,499,16.90,695,0.520,
SQ-0147,2026-08-18,2026-08-18,Warren Road Express,WR,11283,635,17.77,932,0.464,
SQ-0148,2026-08-19,2026-08-19,Greenfield Fuel & Market,GF,17983,1042,17.26,1288,0.495,
SQ-0149,2026-08-19,2026-08-19,Schaefer Quick Stop,SF,9250,552,16.76,769,0.528,
SQ-0150,2026-08-19,2026-08-19,Warren Road Express,WR,10198,595,17.14,1123,0.503,
SQ-0151,2026-08-20,2026-08-20,Greenfield Fuel & Market,GF,18836,1058,17.80,1210,0.462,
SQ-0152,2026-08-20,2026-08-20,Schaefer Quick Stop,SF,8915,505,17.65,918,0.470,
SQ-0153,2026-08-20,2026-08-20,Warren Road Express,WR,10581,612,17.29,941,0.493,
SQ-0154,2026-08-21,2026-08-21,Greenfield Fuel & Market,GF,21502,1185,18.15,1444,0.443,weekend surge
SQ-0155,2026-08-21,2026-08-21,Schaefer Quick Stop,SF,9930,554,17.92,848,0.455,
SQ-0156,2026-08-21,2026-08-21,Warren Road Express,WR,11496,711,16.17,1402,0.567,weekend surge
SQ-0157,2026-08-22,2026-08-22,Greenfield Fuel & Market,GF,24093,1452,16.59,1632,0.539,
SQ-0158,2026-08-22,2026-08-22,Schaefer Quick Stop,SF,12206,732,16.67,1017,0.533,
SQ-0159,2026-08-22,2026-08-22,Warren Road Express,WR,14752,805,18.33,1374,0.433,
SQ-0160,2026-08-23,2026-08-23,Greenfield Fuel & Market,GF,21469,1279,16.79,1817,0.526,
SQ-0161,2026-08-23,2026-08-23,Schaefer Quick Stop,SF,11793,645,18.28,987,0.434,
SQ-0162,2026-08-23,2026-08-23,Warren Road Express,WR,12758,753,16.94,1500,0.516,
SQ-0163,2026-08-24,2026-08-24,Greenfield Fuel & Market,GF,19095,1066,17.91,1349,0.456,
SQ-0164,2026-08-24,2026-08-24,Schaefer Quick Stop,SF,9967,610,16.34,808,0.556,
SQ-0165,2026-08-24,2026-08-24,Warren Road Express,WR,10936,592,18.47,1119,0.426,
SQ-0166,2026-08-25,2026-08-25,Greenfield Fuel & Market,GF,17488,988,17.70,1458,0.469,
SQ-0167,2026-08-25,2026-08-25,Schaefer Quick Stop,SF,8446,467,18.09,801,0.447,
SQ-0168,2026-08-25,2026-08-25,Warren Road Express,WR,10462,590,17.73,1013,0.467,
SQ-0169,2026-08-26,2026-08-26,Greenfield Fuel & Market,GF,17833,1105,16.14,1282,0.570,
SQ-0170,2026-08-26,2026-08-26,Schaefer Quick Stop,SF,9079,500,18.16,727,0.441,
SQ-0171,2026-08-26,2026-08-26,Warren Road Express,WR,10725,630,17.02,1200,0.511,
SQ-0172,2026-08-27,2026-08-27,Greenfield Fuel & Market,GF,17786,1085,16.39,1469,0.553,
SQ-0173,2026-08-27,2026-08-27,Schaefer Quick Stop,SF,8982,520,17.27,850,0.495,
SQ-0174,2026-08-27,2026-08-27,Warren Road Express,WR,11447,687,16.66,1061,0.535,
SQ-0175,2026-08-28,2026-08-28,Greenfield Fuel & Market,GF,21735,1205,18.04,1735,0.449,weekend surge
SQ-0176,2026-08-28,2026-08-28,Schaefer Quick Stop,SF,11577,714,16.21,1082,0.564,weekend surge
SQ-0177,2026-08-28,2026-08-28,Warren Road Express,WR,13210,793,16.66,1053,0.535,
SQ-0178,2026-08-29,2026-08-29,Greenfield Fuel & Market,GF,23580,1298,18.17,1781,0.442,
SQ-0179,2026-08-29,2026-08-29,Schaefer Quick Stop,SF,13926,791,17.61,1080,0.475,
SQ-0180,2026-08-29,2026-08-29,Warren Road Express,WR,13300,799,16.65,1314,0.535,
SQ-0181,2026-08-30,2026-08-30,Greenfield Fuel & Market,GF,20895,1246,16.77,1926,0.527,
SQ-0182,2026-08-30,2026-08-30,Schaefer Quick Stop,SF,12800,725,17.66,1110,0.472,
SQ-0183,2026-08-30,2026-08-30,Warren Road Express,WR,14828,878,16.89,1499,0.520,
SQ-0184,2026-08-31,2026-08-31,Greenfield Fuel & Market,GF,17035,960,17.74,1308,0.466,
SQ-0185,2026-08-31,2026-08-31,Schaefer Quick Stop,SF,8863,512,17.31,922,0.493,
SQ-0186,2026-08-31,2026-08-31,Warren Road Express,WR,11679,629,18.57,1010,0.420,
SQ-0187,2026-09-01,2026-09-01,Greenfield Fuel & Market,GF,19197,1060,18.11,1504,0.445,
SQ-0188,2026-09-01,2026-09-01,Schaefer Quick Stop,SF,8693,470,18.50,848,0.423,
SQ-0189,2026-09-01,2026-09-01,Warren Road Express,WR,11643,630,18.48,1086,0.425,
SQ-0190,2026-09-02,2026-09-02,Greenfield Fuel & Market,GF,16102,920,17.50,1453,0.481,
SQ-0191,2026-09-02,2026-09-02,Schaefer Quick Stop,SF,8817,519,16.99,754,0.513,
SQ-0192,2026-09-02,2026-09-02,Warren Road Express,WR,10829,632,17.13,1179,0.502,
SQ-0193,2026-09-03,2026-09-03,Greenfield Fuel & Market,GF,16133,925,17.44,1207,0.484,
SQ-0194,2026-09-03,2026-09-03,Schaefer Quick Stop,SF,9260,511,18.12,700,0.446,
SQ-0195,2026-09-03,2026-09-03,Warren Road Express,WR,9834,579,16.98,1026,0.513,
SQ-0196,2026-09-04,2026-09-04,Greenfield Fuel & Market,GF,21341,1222,17.46,1682,0.483,weekend surge
SQ-0197,2026-09-04,2026-09-04,Schaefer Quick Stop,SF,11711,690,16.97,853,0.515,weekend surge
SQ-0198,2026-09-04,2026-09-04,Warren Road Express,WR,12352,735,16.81,1223,0.525,weekend surge
SQ-0199,2026-09-05,2026-09-05,Greenfield Fuel & Market,GF,24152,1323,18.26,1981,0.437,
SQ-0200,2026-09-05,2026-09-05,Schaefer Quick Stop,SF,12549,706,17.77,1099,0.464,
SQ-0201,2026-09-05,2026-09-05,Warren Road Express,WR,15760,958,16.45,1546,0.549,
SQ-0202,2026-09-06,2026-09-06,Greenfield Fuel & Market,GF,21287,1191,17.87,1608,0.458,
SQ-0203,2026-09-06,2026-09-06,Schaefer Quick Stop,SF,12566,759,16.56,1126,0.541,
SQ-0204,2026-09-06,2026-09-06,Warren Road Express,WR,14491,847,17.11,1419,0.505,
SQ-0205,2026-09-07,2026-09-07,Greenfield Fuel & Market,GF,18760,1050,17.87,1163,0.459,
SQ-0206,2026-09-07,2026-09-07,Schaefer Quick Stop,SF,9773,545,17.93,890,0.454,
SQ-0207,2026-09-07,2026-09-07,Warren Road Express,WR,11657,712,16.37,924,0.554,
SQ-0208,2026-09-08,2026-09-08,Greenfield Fuel & Market,GF,18510,1059,17.48,1349,0.482,
SQ-0209,2026-09-08,2026-09-08,Schaefer Quick Stop,SF,8557,523,16.36,915,0.555,
SQ-0210,2026-09-08,2026-09-08,Warren Road Express,WR,10869,595,18.27,1184,0.436,
SQ-0211,2026-09-09,2026-09-09,Greenfield Fuel & Market,GF,15965,909,17.56,1399,0.478,
SQ-0212,2026-09-09,2026-09-09,Schaefer Quick Stop,SF,8560,525,16.30,904,0.557,
SQ-0213,2026-09-09,2026-09-09,Warren Road Express,WR,9948,595,16.72,1172,0.530,
SQ-0214,2026-09-10,2026-09-10,Greenfield Fuel & Market,GF,16435,993,16.55,1540,0.541,
SQ-0215,2026-09-10,2026-09-10,Schaefer Quick Stop,SF,8735,492,17.75,749,0.465,
SQ-0216,2026-09-10,2026-09-10,Warren Road Express,WR,11800,725,16.28,1034,0.561,
SQ-0217,2026-09-11,2026-09-11,Greenfield Fuel & Market,GF,21198,1266,16.74,1669,0.528,weekend surge
SQ-0218,2026-09-11,2026-09-11,Schaefer Quick Stop,SF,11885,722,16.46,962,0.548,weekend surge
SQ-0219,2026-09-11,2026-09-11,Warren Road Express,WR,12295,743,16.55,1064,0.542,weekend surge
SQ-0220,2026-09-12,2026-09-12,Greenfield Fuel & Market,GF,23320,1260,18.51,2012,0.423,
SQ-0221,2026-09-12,2026-09-12,Schaefer Quick Stop,SF,11433,700,16.33,1033,0.556,
SQ-0222,2026-09-12,2026-09-12,Warren Road Express,WR,13946,869,16.05,1473,0.576,
SQ-0223,2026-09-13,2026-09-13,Greenfield Fuel & Market,GF,22644,1313,17.25,1688,0.496,
SQ-0224,2026-09-13,2026-09-13,Schaefer Quick Stop,SF,11379,676,16.83,976,0.524,
SQ-0225,2026-09-13,2026-09-13,Warren Road Express,WR,13440,727,18.49,1149,0.424,
SQ-0226,2026-09-14,2026-09-14,Greenfield Fuel & Market,GF,18688,1155,16.18,1388,0.567,
SQ-0227,2026-09-14,2026-09-14,Schaefer Quick Stop,SF,9723,541,17.97,821,0.452,
SQ-0228,2026-09-14,2026-09-14,Warren Road Express,WR,11571,686,16.87,1197,0.520,
SQ-0229,2026-09-15,2026-09-15,Greenfield Fuel & Market,GF,16991,1052,16.15,1509,0.570,
SQ-0230,2026-09-15,2026-09-15,Schaefer Quick Stop,SF,8569,487,17.60,801,0.476,
SQ-0231,2026-09-15,2026-09-15,Warren Road Express,WR,11386,693,16.43,950,0.550,
SQ-0232,2026-09-16,2026-09-16,Greenfield Fuel & Market,GF,17189,974,17.65,1490,0.472,
SQ-0233,2026-09-16,2026-09-16,Schaefer Quick Stop,SF,10148,584,17.38,754,0.489,
SQ-0234,2026-09-16,2026-09-16,Warren Road Express,WR,10098,604,16.72,1156,0.531,
SQ-0235,2026-09-17,2026-09-17,Greenfield Fuel & Market,GF,18202,1017,17.90,1366,0.457,
SQ-0236,2026-09-17,2026-09-17,Schaefer Quick Stop,SF,10160,602,16.88,744,0.521,
SQ-0237,2026-09-17,2026-09-17,Warren Road Express,WR,10856,594,18.28,1106,0.435,
SQ-0238,2026-09-18,2026-09-18,Greenfield Fuel & Market,GF,19765,1202,16.44,1700,0.549,weekend surge
SQ-0239,2026-09-18,2026-09-18,Schaefer Quick Stop,SF,10432,637,16.38,1070,0.553,weekend surge
SQ-0240,2026-09-18,2026-09-18,Warren Road Express,WR,12376,738,16.77,1269,0.527,weekend surge
SQ-0241,2026-09-19,2026-09-19,Greenfield Fuel & Market,GF,22717,1407,16.15,1723,0.570,
SQ-0242,2026-09-19,2026-09-19,Schaefer Quick Stop,SF,13034,721,18.08,954,0.446,
SQ-0243,2026-09-19,2026-09-19,Warren Road Express,WR,13833,828,16.71,1536,0.531,
SQ-0244,2026-09-20,2026-09-20,Greenfield Fuel & Market,GF,20943,1230,17.03,1683,0.510,
SQ-0245,2026-09-20,2026-09-20,Schaefer Quick Stop,SF,11449,627,18.26,925,0.437,
SQ-0246,2026-09-20,2026-09-20,Warren Road Express,WR,13573,763,17.79,1278,0.463,
SQ-0247,2026-09-21,2026-09-21,Greenfield Fuel & Market,GF,16988,972,17.48,1254,0.483,
SQ-0248,2026-09-21,2026-09-21,Schaefer Quick Stop,SF,9157,525,17.44,892,0.484,
SQ-0249,2026-09-21,2026-09-21,Warren Road Express,WR,10985,635,17.30,1135,0.493,
SQ-0250,2026-09-22,2026-09-22,Greenfield Fuel & Market,GF,17634,1101,16.02,1201,0.579,
SQ-0251,2026-09-22,2026-09-22,Schaefer Quick Stop,SF,9450,558,16.94,698,0.516,
SQ-0252,2026-09-22,2026-09-22,Warren Road Express,WR,10616,622,17.07,1151,0.508,
SQ-0253,2026-09-23,2026-09-23,Greenfield Fuel & Market,GF,17655,1027,17.19,1473,0.500,
SQ-0254,2026-09-23,2026-09-23,Schaefer Quick Stop,SF,8803,527,16.70,734,0.531,
SQ-0255,2026-09-23,2026-09-23,Warren Road Express,WR,10783,596,18.09,1055,0.447,
SQ-0256,2026-09-24,2026-09-24,Greenfield Fuel & Market,GF,18678,1007,18.55,1178,0.420,
SQ-0257,2026-09-24,2026-09-24,Schaefer Quick Stop,SF,9296,539,17.25,909,0.495,
SQ-0258,2026-09-24,2026-09-24,Warren Road Express,WR,11499,711,16.17,1086,0.568,
SQ-0259,2026-09-25,2026-09-25,Greenfield Fuel & Market,GF,22655,1327,17.07,1544,0.508,weekend surge
SQ-0260,2026-09-25,2026-09-25,Schaefer Quick Stop,SF,11580,688,16.83,838,0.523,
SQ-0261,2026-09-25,2026-09-25,Warren Road Express,WR,13408,768,17.46,1230,0.484,weekend surge
SQ-0262,2026-09-26,2026-09-26,Greenfield Fuel & Market,GF,22233,1299,17.12,2033,0.504,
SQ-0263,2026-09-26,2026-09-26,Schaefer Quick Stop,SF,12707,759,16.74,1124,0.529,
