quote_id,quote_week,vendor_code,vendor_name,origin,grade,price_per_gal_usd,delivery_terms,min_load_gallons,payment_terms,stockout_flag,q_score,notes
F-0090,2026-08-10,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.128,72-hr scheduled,8500,Net-30,0,87.3,
F-0091,2026-08-17,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.193,48-hr scheduled,6500,Net-15,0,84.5,lowest per-gallon this week
F-0092,2026-08-17,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.342,48-hr scheduled,6500,Net-15,0,86.5,
F-0093,2026-08-17,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.495,48-hr scheduled,6500,Net-15,0,84.1,
F-0094,2026-08-17,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.864,48-hr scheduled,6500,Net-15,0,86.1,
F-0095,2026-08-17,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.929,48-hr scheduled,6500,Net-15,0,84.6,
F-0096,2026-08-17,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.229,24-hr scheduled,7500,Net-15,0,92.8,reliable second-lowest
F-0097,2026-08-17,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.407,24-hr scheduled,7500,Net-15,0,91.4,
F-0098,2026-08-17,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.579,24-hr scheduled,7500,Net-15,0,92.5,
F-0099,2026-08-17,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.896,24-hr scheduled,7500,Net-15,0,85.1,
F-0100,2026-08-17,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.038,24-hr scheduled,7500,Net-15,0,86.3,
F-0101,2026-08-17,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.279,72-hr scheduled,8500,Net-30,0,80.7,
F-0102,2026-08-17,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.464,72-hr scheduled,8500,Net-30,0,78.5,
F-0103,2026-08-17,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.670,72-hr scheduled,8500,Net-30,0,87.7,
F-0104,2026-08-17,GL-01,Great Lakes Distribution,Toledo OH,diesel,4.001,72-hr scheduled,8500,Net-30,0,85.6,
F-0105,2026-08-17,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.104,72-hr scheduled,8500,Net-30,0,87.0,
F-0106,2026-08-24,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.211,48-hr scheduled,6500,Net-15,1,86.7,lowest per-gallon this week
F-0107,2026-08-24,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.323,48-hr scheduled,6500,Net-15,0,90.8,
F-0108,2026-08-24,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.485,48-hr scheduled,6500,Net-15,1,85.4,
F-0109,2026-08-24,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.827,48-hr scheduled,6500,Net-15,0,84.3,
F-0110,2026-08-24,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.923,48-hr scheduled,6500,Net-15,0,85.9,
F-0111,2026-08-24,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.242,24-hr scheduled,7500,Net-15,0,90.1,reliable second-lowest
F-0112,2026-08-24,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.378,24-hr scheduled,7500,Net-15,0,93.5,
F-0113,2026-08-24,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.596,24-hr scheduled,7500,Net-15,0,95.6,
F-0114,2026-08-24,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.896,24-hr scheduled,7500,Net-15,0,95.7,
F-0115,2026-08-24,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.014,24-hr scheduled,7500,Net-15,0,89.4,
F-0116,2026-08-24,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.285,72-hr scheduled,8500,Net-30,1,78.1,
F-0117,2026-08-24,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.428,72-hr scheduled,8500,Net-30,0,80.2,
F-0118,2026-08-24,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.678,72-hr scheduled,8500,Net-30,1,86.0,
F-0119,2026-08-24,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.975,72-hr scheduled,8500,Net-30,0,81.3,
F-0120,2026-08-24,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.081,72-hr scheduled,8500,Net-30,0,83.6,
F-0121,2026-08-31,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.173,48-hr scheduled,6500,Net-15,0,85.0,lowest per-gallon this week
F-0122,2026-08-31,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.327,48-hr scheduled,6500,Net-15,0,91.4,
F-0123,2026-08-31,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.502,48-hr scheduled,6500,Net-15,0,90.7,
F-0124,2026-08-31,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.861,48-hr scheduled,6500,Net-15,0,87.1,
F-0125,2026-08-31,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.941,48-hr scheduled,6500,Net-15,0,90.8,
F-0126,2026-08-31,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.252,24-hr scheduled,7500,Net-15,0,85.2,reliable second-lowest
F-0127,2026-08-31,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.375,24-hr scheduled,7500,Net-15,0,91.5,
F-0128,2026-08-31,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.618,24-hr scheduled,7500,Net-15,0,94.4,
F-0129,2026-08-31,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.886,24-hr scheduled,7500,Net-15,0,88.9,
F-0130,2026-08-31,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.013,24-hr scheduled,7500,Net-15,0,94.1,
F-0131,2026-08-31,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.261,72-hr scheduled,8500,Net-30,0,91.2,
F-0132,2026-08-31,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.428,72-hr scheduled,8500,Net-30,0,91.1,
F-0133,2026-08-31,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.655,72-hr scheduled,8500,Net-30,0,89.0,
F-0134,2026-08-31,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.975,72-hr scheduled,8500,Net-30,0,78.3,
F-0135,2026-08-31,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.126,72-hr scheduled,8500,Net-30,0,78.6,
F-0136,2026-09-07,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.189,48-hr scheduled,6500,Net-15,1,88.3,lowest per-gallon this week
F-0137,2026-09-07,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.306,48-hr scheduled,6500,Net-15,0,90.3,
F-0138,2026-09-07,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.525,48-hr scheduled,6500,Net-15,1,84.6,
F-0139,2026-09-07,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.841,48-hr scheduled,6500,Net-15,0,89.1,
F-0140,2026-09-07,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.953,48-hr scheduled,6500,Net-15,0,84.1,
F-0141,2026-09-07,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.217,24-hr scheduled,7500,Net-15,0,93.6,reliable second-lowest
F-0142,2026-09-07,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.395,24-hr scheduled,7500,Net-15,0,85.2,
F-0143,2026-09-07,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.603,24-hr scheduled,7500,Net-15,0,88.2,
F-0144,2026-09-07,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.912,24-hr scheduled,7500,Net-15,0,95.8,
F-0145,2026-09-07,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.026,24-hr scheduled,7500,Net-15,0,89.7,
F-0146,2026-09-07,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.298,72-hr scheduled,8500,Net-30,1,81.0,
F-0147,2026-09-07,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.447,72-hr scheduled,8500,Net-30,0,84.0,
F-0148,2026-09-07,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.663,72-hr scheduled,8500,Net-30,1,83.0,
F-0149,2026-09-07,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.965,72-hr scheduled,8500,Net-30,0,80.4,
F-0150,2026-09-07,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.112,72-hr scheduled,8500,Net-30,0,82.7,
F-0151,2026-09-14,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.211,48-hr scheduled,6500,Net-15,0,90.3,lowest per-gallon this week
F-0152,2026-09-14,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.346,48-hr scheduled,6500,Net-15,0,90.7,
F-0153,2026-09-14,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.535,48-hr scheduled,6500,Net-15,0,90.7,
F-0154,2026-09-14,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.846,48-hr scheduled,6500,Net-15,0,88.7,
F-0155,2026-09-14,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.940,48-hr scheduled,6500,Net-15,0,88.2,
F-0156,2026-09-14,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.267,24-hr scheduled,7500,Net-15,0,90.1,reliable second-lowest
F-0157,2026-09-14,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.373,24-hr scheduled,7500,Net-15,0,95.2,
F-0158,2026-09-14,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.566,24-hr scheduled,7500,Net-15,0,92.0,
F-0159,2026-09-14,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.943,24-hr scheduled,7500,Net-15,0,92.5,
F-0160,2026-09-14,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.041,24-hr scheduled,7500,Net-15,0,91.1,
F-0161,2026-09-14,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.292,72-hr scheduled,8500,Net-30,0,83.3,
F-0162,2026-09-14,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.428,72-hr scheduled,8500,Net-30,0,86.2,
F-0163,2026-09-14,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.639,72-hr scheduled,8500,Net-30,0,90.1,
F-0164,2026-09-14,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.960,72-hr scheduled,8500,Net-30,0,87.1,
F-0165,2026-09-14,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.103,72-hr scheduled,8500,Net-30,0,79.8,
F-0166,2026-09-21,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.191,48-hr scheduled,6500,Net-15,0,88.3,lowest per-gallon this week
F-0167,2026-09-21,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.341,48-hr scheduled,6500,Net-15,0,86.3,
F-0168,2026-09-21,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.531,48-hr scheduled,6500,Net-15,0,88.6,
F-0169,2026-09-21,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.825,48-hr scheduled,6500,Net-15,0,85.5,
F-0170,2026-09-21,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.948,48-hr scheduled,6500,Net-15,0,88.4,
F-0171,2026-09-21,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.235,24-hr scheduled,7500,Net-15,0,92.6,reliable second-lowest
F-0172,2026-09-21,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.383,24-hr scheduled,7500,Net-15,0,90.3,
F-0173,2026-09-21,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.617,24-hr scheduled,7500,Net-15,0,85.4,
F-0174,2026-09-21,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.942,24-hr scheduled,7500,Net-15,0,90.4,
F-0175,2026-09-21,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.014,24-hr scheduled,7500,Net-15,0,93.9,
F-0176,2026-09-21,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.277,72-hr scheduled,8500,Net-30,0,83.6,
F-0177,2026-09-21,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.457,72-hr scheduled,8500,Net-30,0,90.7,
F-0178,2026-09-21,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.645,72-hr scheduled,8500,Net-30,0,79.6,
F-0179,2026-09-21,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.983,72-hr scheduled,8500,Net-30,0,85.7,
F-0180,2026-09-21,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.104,72-hr scheduled,8500,Net-30,0,90.4,
F-0181,2026-09-28,LK-01,Lakeside Fuel,Muskegon MI,regular_87,3.168,48-hr scheduled,6500,Net-15,0,84.2,lowest per-gallon this week
F-0182,2026-09-28,LK-01,Lakeside Fuel,Muskegon MI,mid_89,3.314,48-hr scheduled,6500,Net-15,0,89.4,
F-0183,2026-09-28,LK-01,Lakeside Fuel,Muskegon MI,premium_93,3.535,48-hr scheduled,6500,Net-15,0,87.7,
F-0184,2026-09-28,LK-01,Lakeside Fuel,Muskegon MI,diesel,3.828,48-hr scheduled,6500,Net-15,0,91.6,
F-0185,2026-09-28,LK-01,Lakeside Fuel,Muskegon MI,ethanol_e85,2.923,48-hr scheduled,6500,Net-15,0,91.0,
F-0186,2026-09-28,MP-01,Michigan Petroleum,Grand Rapids MI,regular_87,3.252,24-hr scheduled,7500,Net-15,0,91.9,reliable second-lowest
F-0187,2026-09-28,MP-01,Michigan Petroleum,Grand Rapids MI,mid_89,3.407,24-hr scheduled,7500,Net-15,0,84.2,
F-0188,2026-09-28,MP-01,Michigan Petroleum,Grand Rapids MI,premium_93,3.599,24-hr scheduled,7500,Net-15,0,95.9,
F-0189,2026-09-28,MP-01,Michigan Petroleum,Grand Rapids MI,diesel,3.903,24-hr scheduled,7500,Net-15,0,88.4,
F-0190,2026-09-28,MP-01,Michigan Petroleum,Grand Rapids MI,ethanol_e85,3.000,24-hr scheduled,7500,Net-15,0,90.3,
F-0191,2026-09-28,GL-01,Great Lakes Distribution,Toledo OH,regular_87,3.285,72-hr scheduled,8500,Net-30,0,80.4,
F-0192,2026-09-28,GL-01,Great Lakes Distribution,Toledo OH,mid_89,3.417,72-hr scheduled,8500,Net-30,0,81.4,
F-0193,2026-09-28,GL-01,Great Lakes Distribution,Toledo OH,premium_93,3.695,72-hr scheduled,8500,Net-30,0,82.2,
F-0194,2026-09-28,GL-01,Great Lakes Distribution,Toledo OH,diesel,3.975,72-hr scheduled,8500,Net-30,0,90.9,
F-0195,2026-09-28,GL-01,Great Lakes Distribution,Toledo OH,ethanol_e85,3.100,72-hr scheduled,8500,Net-30,0,81.8,
DS-01,2026-Q1-eval,DS-eval-01,Detroit Supply Co.,Detroit MI,regular_87,3.148,120+ mi transit,-,-,-,-,Q1 2026 evaluated - too far for corridor
