line_id,period_month,location,location_code,gl_account,gl_description,amount_usd,dr_cr,reconciled,notes
QB-0034,2026-08,Greenfield Fuel & Market,GF,4000,Fuel Revenue - Regular 87,243474,CR,Y,
QB-0035,2026-08,Greenfield Fuel & Market,GF,4010,Fuel Revenue - Mid 89,34782,CR,Y,
QB-0036,2026-08,Greenfield Fuel & Market,GF,4020,Fuel Revenue - Premium 93,46376,CR,Y,
QB-0037,2026-08,Greenfield Fuel & Market,GF,4030,Fuel Revenue - Diesel,23188,CR,Y,
QB-0038,2026-08,Greenfield Fuel & Market,GF,4100,Merchandise Sales - Beverage,63767,CR,Y,
QB-0039,2026-08,Greenfield Fuel & Market,GF,4110,Merchandise Sales - Snacks,52173,CR,Y,
QB-0040,2026-08,Greenfield Fuel & Market,GF,4120,Merchandise Sales - Deli/Prep,34782,CR,Y,
QB-0041,2026-08,Greenfield Fuel & Market,GF,4130,Merchandise Sales - Grocery,23188,CR,Y,
QB-0042,2026-08,Greenfield Fuel & Market,GF,4200,Tobacco Sales,28985,CR,Y,
QB-0043,2026-08,Greenfield Fuel & Market,GF,4210,Lottery Sales - Retail,17391,CR,Y,
QB-0044,2026-08,Greenfield Fuel & Market,GF,4300,Other Sales - Ice/Auto,11594,CR,Y,
QB-0045,2026-08,Schaefer Quick Stop,SF,4000,Fuel Revenue - Regular 87,128533,CR,Y,
QB-0046,2026-08,Schaefer Quick Stop,SF,4010,Fuel Revenue - Mid 89,18362,CR,Y,
QB-0047,2026-08,Schaefer Quick Stop,SF,4020,Fuel Revenue - Premium 93,24483,CR,Y,
QB-0048,2026-08,Schaefer Quick Stop,SF,4030,Fuel Revenue - Diesel,12241,CR,Y,
QB-0049,2026-08,Schaefer Quick Stop,SF,4100,Merchandise Sales - Beverage,33664,CR,Y,
QB-0050,2026-08,Schaefer Quick Stop,SF,4110,Merchandise Sales - Snacks,27543,CR,Y,
QB-0051,2026-08,Schaefer Quick Stop,SF,4120,Merchandise Sales - Deli/Prep,18362,CR,Y,
QB-0052,2026-08,Schaefer Quick Stop,SF,4130,Merchandise Sales - Grocery,12241,CR,Y,
QB-0053,2026-08,Schaefer Quick Stop,SF,4200,Tobacco Sales,15302,CR,Y,
QB-0054,2026-08,Schaefer Quick Stop,SF,4210,Lottery Sales - Retail,9181,CR,Y,
QB-0055,2026-08,Schaefer Quick Stop,SF,4300,Other Sales - Ice/Auto,6120,CR,Y,
QB-0056,2026-08,Warren Road Express,WR,4000,Fuel Revenue - Regular 87,148793,CR,Y,
QB-0057,2026-08,Warren Road Express,WR,4010,Fuel Revenue - Mid 89,21256,CR,Y,
QB-0058,2026-08,Warren Road Express,WR,4020,Fuel Revenue - Premium 93,28341,CR,Y,
QB-0059,2026-08,Warren Road Express,WR,4030,Fuel Revenue - Diesel,14171,CR,Y,
QB-0060,2026-08,Warren Road Express,WR,4100,Merchandise Sales - Beverage,38969,CR,Y,
QB-0061,2026-08,Warren Road Express,WR,4110,Merchandise Sales - Snacks,31884,CR,Y,
QB-0062,2026-08,Warren Road Express,WR,4120,Merchandise Sales - Deli/Prep,21256,CR,Y,
QB-0063,2026-08,Warren Road Express,WR,4130,Merchandise Sales - Grocery,14171,CR,Y,
QB-0064,2026-08,Warren Road Express,WR,4200,Tobacco Sales,17713,CR,Y,
QB-0065,2026-08,Warren Road Express,WR,4210,Lottery Sales - Retail,10628,CR,Y,
QB-0066,2026-08,Warren Road Express,WR,4300,Other Sales - Ice/Auto,7086,CR,Y,
QB-0067,2026-09,Greenfield Fuel & Market,GF,4000,Fuel Revenue - Regular 87,183587,CR,P,Sep 27-30 batch pending
QB-0068,2026-09,Greenfield Fuel & Market,GF,4010,Fuel Revenue - Mid 89,26227,CR,P,
QB-0069,2026-09,Greenfield Fuel & Market,GF,4020,Fuel Revenue - Premium 93,34969,CR,P,
QB-0070,2026-09,Greenfield Fuel & Market,GF,4030,Fuel Revenue - Diesel,17484,CR,P,
QB-0071,2026-09,Greenfield Fuel & Market,GF,4100,Merchandise Sales - Beverage,48082,CR,P,
QB-0072,2026-09,Greenfield Fuel & Market,GF,4110,Merchandise Sales - Snacks,39340,CR,P,
QB-0073,2026-09,Greenfield Fuel & Market,GF,4120,Merchandise Sales - Deli/Prep,26227,CR,P,
QB-0074,2026-09,Greenfield Fuel & Market,GF,4130,Merchandise Sales - Grocery,17484,CR,P,
QB-0075,2026-09,Greenfield Fuel & Market,GF,4200,Tobacco Sales,21856,CR,P,
QB-0076,2026-09,Greenfield Fuel & Market,GF,4210,Lottery Sales - Retail,13113,CR,P,
QB-0077,2026-09,Greenfield Fuel & Market,GF,4300,Other Sales - Ice/Auto,8743,CR,P,
QB-0078,2026-09,Schaefer Quick Stop,SF,4000,Fuel Revenue - Regular 87,96918,CR,P,Sep 27-30 batch pending
QB-0079,2026-09,Schaefer Quick Stop,SF,4010,Fuel Revenue - Mid 89,13845,CR,P,
QB-0080,2026-09,Schaefer Quick Stop,SF,4020,Fuel Revenue - Premium 93,18461,CR,P,
QB-0081,2026-09,Schaefer Quick Stop,SF,4030,Fuel Revenue - Diesel,9230,CR,P,
QB-0082,2026-09,Schaefer Quick Stop,SF,4100,Merchandise Sales - Beverage,25383,CR,P,
QB-0083,2026-09,Schaefer Quick Stop,SF,4110,Merchandise Sales - Snacks,20768,CR,P,
QB-0084,2026-09,Schaefer Quick Stop,SF,4120,Merchandise Sales - Deli/Prep,13845,CR,P,
QB-0085,2026-09,Schaefer Quick Stop,SF,4130,Merchandise Sales - Grocery,9230,CR,P,
QB-0086,2026-09,Schaefer Quick Stop,SF,4200,Tobacco Sales,11538,CR,P,
QB-0087,2026-09,Schaefer Quick Stop,SF,4210,Lottery Sales - Retail,6923,CR,P,
QB-0088,2026-09,Schaefer Quick Stop,SF,4300,Other Sales - Ice/Auto,4617,CR,P,
QB-0089,2026-09,Warren Road Express,WR,4000,Fuel Revenue - Regular 87,112195,CR,P,Sep 27-30 batch pending
QB-0090,2026-09,Warren Road Express,WR,4010,Fuel Revenue - Mid 89,16028,CR,P,
QB-0091,2026-09,Warren Road Express,WR,4020,Fuel Revenue - Premium 93,21370,CR,P,
QB-0092,2026-09,Warren Road Express,WR,4030,Fuel Revenue - Diesel,10685,CR,P,
QB-0093,2026-09,Warren Road Express,WR,4100,Merchandise Sales - Beverage,29384,CR,P,
QB-0094,2026-09,Warren Road Express,WR,4110,Merchandise Sales - Snacks,24042,CR,P,
QB-0095,2026-09,Warren Road Express,WR,4120,Merchandise Sales - Deli/Prep,16028,CR,P,
QB-0096,2026-09,Warren Road Express,WR,4130,Merchandise Sales - Grocery,10685,CR,P,
QB-0097,2026-09,Warren Road Express,WR,4200,Tobacco Sales,13356,CR,P,
QB-0098,2026-09,Warren Road Express,WR,4210,Lottery Sales - Retail,8014,CR,P,
QB-0099,2026-09,Warren Road Express,WR,4300,Other Sales - Ice/Auto,5343,CR,P,
QB-0100,2026-07,Greenfield Fuel & Market,GF,5000,COGS - Fuel,398613,DR,Y,
QB-0101,2026-07,Greenfield Fuel & Market,GF,5100,COGS - Merchandise,85162,DR,Y,
QB-0102,2026-07,Greenfield Fuel & Market,GF,5200,COGS - Tobacco,43198,DR,Y,
QB-0103,2026-07,Greenfield Fuel & Market,GF,6000,Payroll Expense,85463,DR,Y,
QB-0104,2026-07,Greenfield Fuel & Market,GF,6100,Payroll Taxes,8273,DR,Y,
QB-0105,2026-07,Greenfield Fuel & Market,GF,6200,Employee Benefits,6668,DR,Y,
QB-0106,2026-07,Greenfield Fuel & Market,GF,6300,Rent/Lease Expense,21471,DR,Y,
QB-0107,2026-07,Greenfield Fuel & Market,GF,6400,Utilities,15221,DR,Y,
QB-0108,2026-07,Greenfield Fuel & Market,GF,6500,Insurance - Property/Liability,4803,DR,Y,
QB-0109,2026-07,Greenfield Fuel & Market,GF,6600,Card Processor Fees,34392,DR,Y,
QB-0110,2026-07,Greenfield Fuel & Market,GF,6700,Repairs & Maintenance,3524,DR,Y,
QB-0111,2026-07,Greenfield Fuel & Market,GF,6800,Supplies & Consumables,2874,DR,Y,
QB-0112,2026-07,Schaefer Quick Stop,SF,5000,COGS - Fuel,190064,DR,Y,
QB-0113,2026-07,Schaefer Quick Stop,SF,5100,COGS - Merchandise,45084,DR,Y,
QB-0114,2026-07,Schaefer Quick Stop,SF,5200,COGS - Tobacco,22882,DR,Y,
QB-0115,2026-07,Schaefer Quick Stop,SF,6000,Payroll Expense,44248,DR,Y,
QB-0116,2026-07,Schaefer Quick Stop,SF,6100,Payroll Taxes,4478,DR,Y,
QB-0117,2026-07,Schaefer Quick Stop,SF,6200,Employee Benefits,3292,DR,Y,
QB-0118,2026-07,Schaefer Quick Stop,SF,6300,Rent/Lease Expense,12524,DR,Y,
QB-0119,2026-07,Schaefer Quick Stop,SF,6400,Utilities,8333,DR,Y,
QB-0120,2026-07,Schaefer Quick Stop,SF,6500,Insurance - Property/Liability,3200,DR,Y,
QB-0121,2026-07,Schaefer Quick Stop,SF,6600,Card Processor Fees,16616,DR,Y,
QB-0122,2026-07,Schaefer Quick Stop,SF,6700,Repairs & Maintenance,1974,DR,Y,
QB-0123,2026-07,Schaefer Quick Stop,SF,6800,Supplies & Consumables,1548,DR,Y,
QB-0124,2026-07,Warren Road Express,WR,5000,COGS - Fuel,235289,DR,Y,
QB-0125,2026-07,Warren Road Express,WR,5100,COGS - Merchandise,56197,DR,Y,
QB-0126,2026-07,Warren Road Express,WR,5200,COGS - Tobacco,26884,DR,Y,
QB-0127,2026-07,Warren Road Express,WR,6000,Payroll Expense,54158,DR,Y,
QB-0128,2026-07,Warren Road Express,WR,6100,Payroll Taxes,4960,DR,Y,
QB-0129,2026-07,Warren Road Express,WR,6200,Employee Benefits,3997,DR,Y,
QB-0130,2026-07,Warren Road Express,WR,6300,Rent/Lease Expense,13887,DR,Y,
QB-0131,2026-07,Warren Road Express,WR,6400,Utilities,9976,DR,Y,
QB-0132,2026-07,Warren Road Express,WR,6500,Insurance - Property/Liability,3713,DR,Y,
QB-0133,2026-07,Warren Road Express,WR,6600,Card Processor Fees,20491,DR,Y,
QB-0134,2026-07,Warren Road Express,WR,6700,Repairs & Maintenance,2042,DR,Y,
QB-0135,2026-07,Warren Road Express,WR,6800,Supplies & Consumables,1831,DR,Y,
QB-0136,2026-08,Greenfield Fuel & Market,GF,5000,COGS - Fuel,362276,DR,Y,
QB-0137,2026-08,Greenfield Fuel & Market,GF,5100,COGS - Merchandise,90704,DR,Y,
QB-0138,2026-08,Greenfield Fuel & Market,GF,5200,COGS - Tobacco,40857,DR,Y,
QB-0139,2026-08,Greenfield Fuel & Market,GF,6000,Payroll Expense,85959,DR,Y,
QB-0140,2026-08,Greenfield Fuel & Market,GF,6100,Payroll Taxes,8085,DR,Y,
QB-0141,2026-08,Greenfield Fuel & Market,GF,6200,Employee Benefits,6028,DR,Y,
QB-0142,2026-08,Greenfield Fuel & Market,GF,6300,Rent/Lease Expense,21936,DR,Y,
QB-0143,2026-08,Greenfield Fuel & Market,GF,6400,Utilities,15587,DR,Y,
QB-0144,2026-08,Greenfield Fuel & Market,GF,6500,Insurance - Property/Liability,5293,DR,Y,
QB-0145,2026-08,Greenfield Fuel & Market,GF,6600,Card Processor Fees,32775,DR,Y,
QB-0146,2026-08,Greenfield Fuel & Market,GF,6700,Repairs & Maintenance,3806,DR,Y,
QB-0147,2026-08,Greenfield Fuel & Market,GF,6800,Supplies & Consumables,2835,DR,Y,
QB-0148,2026-08,Schaefer Quick Stop,SF,5000,COGS - Fuel,196810,DR,Y,
QB-0149,2026-08,Schaefer Quick Stop,SF,5100,COGS - Merchandise,45587,DR,Y,
QB-0150,2026-08,Schaefer Quick Stop,SF,5200,COGS - Tobacco,23301,DR,Y,
QB-0151,2026-08,Schaefer Quick Stop,SF,6000,Payroll Expense,47769,DR,Y,
QB-0152,2026-08,Schaefer Quick Stop,SF,6100,Payroll Taxes,4502,DR,Y,
QB-0153,2026-08,Schaefer Quick Stop,SF,6200,Employee Benefits,3307,DR,Y,
QB-0154,2026-08,Schaefer Quick Stop,SF,6300,Rent/Lease Expense,12808,DR,Y,
QB-0155,2026-08,Schaefer Quick Stop,SF,6400,Utilities,8694,DR,Y,
QB-0156,2026-08,Schaefer Quick Stop,SF,6500,Insurance - Property/Liability,3199,DR,Y,
QB-0157,2026-08,Schaefer Quick Stop,SF,6600,Card Processor Fees,18231,DR,Y,
QB-0158,2026-08,Schaefer Quick Stop,SF,6700,Repairs & Maintenance,2010,DR,Y,
QB-0159,2026-08,Schaefer Quick Stop,SF,6800,Supplies & Consumables,1638,DR,Y,
QB-0160,2026-08,Warren Road Express,WR,5000,COGS - Fuel,222706,DR,Y,
QB-0161,2026-08,Warren Road Express,WR,5100,COGS - Merchandise,54537,DR,Y,
QB-0162,2026-08,Warren Road Express,WR,5200,COGS - Tobacco,24708,DR,Y,
QB-0163,2026-08,Warren Road Express,WR,6000,Payroll Expense,55361,DR,Y,
QB-0164,2026-08,Warren Road Express,WR,6100,Payroll Taxes,5379,DR,Y,
QB-0165,2026-08,Warren Road Express,WR,6200,Employee Benefits,3995,DR,Y,
QB-0166,2026-08,Warren Road Express,WR,6300,Rent/Lease Expense,13616,DR,Y,
QB-0167,2026-08,Warren Road Express,WR,6400,Utilities,9924,DR,Y,
QB-0168,2026-08,Warren Road Express,WR,6500,Insurance - Property/Liability,3607,DR,Y,
QB-0169,2026-08,Warren Road Express,WR,6600,Card Processor Fees,20034,DR,Y,
QB-0170,2026-08,Warren Road Express,WR,6700,Repairs & Maintenance,2116,DR,Y,
QB-0171,2026-08,Warren Road Express,WR,6800,Supplies & Consumables,1731,DR,Y,
QB-0172,2026-09,Greenfield Fuel & Market,GF,5000,COGS - Fuel,318007,DR,P,
QB-0173,2026-09,Greenfield Fuel & Market,GF,5100,COGS - Merchandise,77066,DR,P,
QB-0174,2026-09,Greenfield Fuel & Market,GF,5200,COGS - Tobacco,35788,DR,P,
QB-0175,2026-09,Greenfield Fuel & Market,GF,6000,Payroll Expense,71859,DR,P,
QB-0176,2026-09,Greenfield Fuel & Market,GF,6100,Payroll Taxes,6924,DR,P,
QB-0177,2026-09,Greenfield Fuel & Market,GF,6200,Employee Benefits,5609,DR,P,
QB-0178,2026-09,Greenfield Fuel & Market,GF,6300,Rent/Lease Expense,20114,DR,P,
QB-0179,2026-09,Greenfield Fuel & Market,GF,6400,Utilities,12086,DR,P,
QB-0180,2026-09,Greenfield Fuel & Market,GF,6500,Insurance - Property/Liability,4267,DR,P,
QB-0181,2026-09,Greenfield Fuel & Market,GF,6600,Card Processor Fees,26518,DR,P,
QB-0182,2026-09,Greenfield Fuel & Market,GF,6700,Repairs & Maintenance,3137,DR,P,
QB-0183,2026-09,Greenfield Fuel & Market,GF,6800,Supplies & Consumables,2353,DR,P,
QB-0184,2026-09,Schaefer Quick Stop,SF,5000,COGS - Fuel,168873,DR,P,
QB-0185,2026-09,Schaefer Quick Stop,SF,5100,COGS - Merchandise,39346,DR,P,
QB-0186,2026-09,Schaefer Quick Stop,SF,5200,COGS - Tobacco,18659,DR,P,
QB-0187,2026-09,Schaefer Quick Stop,SF,6000,Payroll Expense,40094,DR,P,
QB-0188,2026-09,Schaefer Quick Stop,SF,6100,Payroll Taxes,3752,DR,P,
QB-0189,2026-09,Schaefer Quick Stop,SF,6200,Employee Benefits,2831,DR,P,
QB-0190,2026-09,Schaefer Quick Stop,SF,6300,Rent/Lease Expense,11260,DR,P,
QB-0191,2026-09,Schaefer Quick Stop,SF,6400,Utilities,7128,DR,P,
QB-0192,2026-09,Schaefer Quick Stop,SF,6500,Insurance - Property/Liability,2693,DR,P,
QB-0193,2026-09,Schaefer Quick Stop,SF,6600,Card Processor Fees,13907,DR,P,
QB-0194,2026-09,Schaefer Quick Stop,SF,6700,Repairs & Maintenance,1696,DR,P,
QB-0195,2026-09,Schaefer Quick Stop,SF,6800,Supplies & Consumables,1307,DR,P,
QB-0196,2026-09,Warren Road Express,WR,5000,COGS - Fuel,201136,DR,P,
QB-0197,2026-09,Warren Road Express,WR,5100,COGS - Merchandise,47530,DR,P,
QB-0198,2026-09,Warren Road Express,WR,5200,COGS - Tobacco,21380,DR,P,
QB-0199,2026-09,Warren Road Express,WR,6000,Payroll Expense,45659,DR,P,
QB-0200,2026-09,Warren Road Express,WR,6100,Payroll Taxes,4320,DR,P,
QB-0201,2026-09,Warren Road Express,WR,6200,Employee Benefits,3130,DR,P,
QB-0202,2026-09,Warren Road Express,WR,6300,Rent/Lease Expense,11965,DR,P,
QB-0203,2026-09,Warren Road Express,WR,6400,Utilities,8634,DR,P,
QB-0204,2026-09,Warren Road Express,WR,6500,Insurance - Property/Liability,3065,DR,P,
QB-0205,2026-09,Warren Road Express,WR,6600,Card Processor Fees,16582,DR,P,
QB-0206,2026-09,Warren Road Express,WR,6700,Repairs & Maintenance,1804,DR,P,
QB-0207,2026-09,Warren Road Express,WR,6800,Supplies & Consumables,1575,DR,P,
L001,2026-07,ALL STORES,ALL,9900,July Revenue Roll-up,1220000,CR,Y,matches store month sub-ledger
L002,2026-08,ALL STORES,ALL,9900,August Revenue Roll-up,1240000,CR,Y,matches store month sub-ledger
L003,2026-09,ALL STORES,ALL,9900,September Revenue Roll-up (partial),935000,CR,P,Sep 27-30 pending sync
L004,2026-Q3,ALL STORES,ALL,9950,"Adjustments (chargebacks, comps, reclass)",225000,CR,Y,cash-basis adjustments
L005,2026-Q3,ALL STORES,ALL,9999,Q3 CLOSE TOTAL,3620000,CR,P,stale: Sep tail not synced; reconcile against Square daily feed
