pair,time,open,high,low,close,vwap,volume,count
XXBTZCAD,1796157000,39220.90,40005.32,38436.48,39417.00,39220.90,55.2801,93
XXBTZCAD,1796160600,5626.63,5739.17,5514.10,5654.77,5626.63,42.8756,98
XXBTZCAD,1796164200,30672.87,31286.33,30059.41,30826.23,30672.87,41.2464,30
XXBTZCAD,1796167800,89560.22,91351.42,87769.01,90008.02,89560.22,41.8030,33
XETHZCAD,1796063400,49855.56,50852.67,48858.45,50104.84,49855.56,40.8213,185
XETHZCAD,1796067000,70890.89,72308.71,69473.07,71245.34,70890.89,11.2508,86
XETHZCAD,1796070600,80232.76,81837.41,78628.10,80633.92,80232.76,28.3366,111
XETHZCAD,1796074200,24019.21,24499.60,23538.83,24139.31,24019.21,47.4320,140
XETHZCAD,1796077800,46224.82,47149.32,45300.32,46455.95,46224.82,47.0996,116
XETHZCAD,1796081400,21976.75,22416.29,21537.22,22086.64,21976.75,95.1757,14
XETHZCAD,1796085000,8730.85,8905.47,8556.23,8774.51,8730.85,95.4705,109
XETHZCAD,1796088600,32315.62,32961.93,31669.30,32477.19,32315.62,19.5050,182
XETHZCAD,1796092200,7352.56,7499.61,7205.51,7389.32,7352.56,85.3519,33
XETHZCAD,1796095800,15097.81,15399.76,14795.85,15173.30,15097.81,35.6803,188
XETHZCAD,1796099400,66481.54,67811.17,65151.91,66813.94,66481.54,72.1376,67
XETHZCAD,1796103000,73684.38,75158.06,72210.69,74052.80,73684.38,49.7943,195
XETHZCAD,1796106600,36644.45,37377.34,35911.56,36827.67,36644.45,69.3552,158
XETHZCAD,1796110200,83025.08,84685.58,81364.58,83440.21,83025.08,29.7182,90
XETHZCAD,1796113800,56523.24,57653.71,55392.78,56805.86,56523.24,40.9422,62
XETHZCAD,1796117400,28250.35,28815.35,27685.34,28391.60,28250.35,80.9295,181
XETHZCAD,1796121000,23695.35,24169.26,23221.45,23813.83,23695.35,51.4012,94
XETHZCAD,1796124600,87895.28,89653.19,86137.38,88334.76,87895.28,70.1038,139
XETHZCAD,1796128200,46609.59,47541.78,45677.40,46842.64,46609.59,92.4385,167
XETHZCAD,1796131800,7763.15,7918.41,7607.89,7801.97,7763.15,19.1049,48
XETHZCAD,1796135400,20487.07,20896.81,20077.33,20589.51,20487.07,77.1743,56
XETHZCAD,1796139000,38761.04,39536.26,37985.82,38954.84,38761.04,10.8245,29
XETHZCAD,1796142600,9080.53,9262.14,8898.92,9125.93,9080.53,90.9724,28
XETHZCAD,1796146200,87806.78,89562.92,86050.65,88245.82,87806.78,62.3349,54
XETHZCAD,1796149800,81324.88,82951.38,79698.39,81731.51,81324.88,30.2347,135
XETHZCAD,1796153400,84066.04,85747.36,82384.72,84486.37,84066.04,58.4493,200
XETHZCAD,1796157000,34164.32,34847.61,33481.04,34335.15,34164.32,72.9277,186
XETHZCAD,1796160600,46048.97,46969.95,45127.99,46279.22,46048.97,26.7037,105
XETHZCAD,1796164200,14110.10,14392.31,13827.90,14180.65,14110.10,40.1542,126
XETHZCAD,1796167800,67254.11,68599.19,65909.02,67590.38,67254.11,98.7390,33
SOLZCAD,1796063400,33505.62,34175.73,32835.50,33673.14,33505.62,40.9266,155
SOLZCAD,1796067000,37358.44,38105.61,36611.27,37545.23,37358.44,55.9990,96
SOLZCAD,1796070600,68209.91,69574.11,66845.71,68550.96,68209.91,80.5804,33
SOLZCAD,1796074200,30931.15,31549.78,30312.53,31085.81,30931.15,2.6109,98
SOLZCAD,1796077800,16992.03,17331.88,16652.19,17076.99,16992.03,98.0781,170
SOLZCAD,1796081400,84003.21,85683.28,82323.15,84423.23,84003.21,38.7241,40
SOLZCAD,1796085000,75253.98,76759.06,73748.90,75630.25,75253.98,33.1755,39
SOLZCAD,1796088600,15061.96,15363.20,14760.72,15137.27,15061.96,71.0889,10
SOLZCAD,1796092200,29225.93,29810.45,28641.41,29372.06,29225.93,96.3127,52
SOLZCAD,1796095800,24808.88,25305.06,24312.71,24932.93,24808.88,90.8286,120
SOLZCAD,1796099400,11363.35,11590.62,11136.08,11420.17,11363.35,46.9062,100
SOLZCAD,1796103000,36562.23,37293.48,35830.99,36745.04,36562.23,13.1957,66
SOLZCAD,1796106600,16243.14,16568.00,15918.28,16324.36,16243.14,80.6921,38
SOLZCAD,1796110200,28872.94,29450.40,28295.48,29017.30,28872.94,33.8220,124
SOLZCAD,1796113800,69505.81,70895.93,68115.69,69853.34,69505.81,25.5733,58
SOLZCAD,1796117400,89063.30,90844.57,87282.03,89508.62,89063.30,39.8746,178
SOLZCAD,1796121000,53216.63,54280.96,52152.30,53482.72,53216.63,33.9561,121
SOLZCAD,1796124600,72845.97,74302.89,71389.05,73210.20,72845.97,41.2860,170
SOLZCAD,1796128200,31734.69,32369.38,31099.99,31893.36,31734.69,20.3153,47
SOLZCAD,1796131800,34237.71,34922.47,33552.96,34408.90,34237.71,57.4166,98
SOLZCAD,1796135400,62809.42,64065.61,61553.24,63123.47,62809.42,47.0756,182
SOLZCAD,1796139000,38263.38,39028.65,37498.11,38454.70,38263.38,99.5609,52
SOLZCAD,1796142600,28604.42,29176.50,28032.33,28747.44,28604.42,63.1533,34
SOLZCAD,1796146200,62950.92,64209.94,61691.90,63265.68,62950.92,33.6013,89
SOLZCAD,1796149800,70850.47,72267.48,69433.46,71204.72,70850.47,40.0608,144
SOLZCAD,1796153400,21545.55,21976.46,21114.64,21653.28,21545.55,30.2697,101
SOLZCAD,1796157000,75268.71,76774.08,73763.33,75645.05,75268.71,58.9879,122
SOLZCAD,1796160600,39177.78,39961.33,38394.22,39373.67,39177.78,1.0865,62
SOLZCAD,1796164200,2013.97,2054.25,1973.69,2024.04,2013.97,17.1562,130
SOLZCAD,1796167800,56185.72,57309.44,55062.01,56466.65,56185.72,60.8898,53
ADAZCAD,1796063400,78547.42,80118.37,76976.47,78940.16,78547.42,69.0252,147
ADAZCAD,1796067000,71133.02,72555.68,69710.36,71488.69,71133.02,86.4396,55
ADAZCAD,1796070600,70453.20,71862.26,69044.13,70805.46,70453.20,80.3575,16
ADAZCAD,1796074200,20251.99,20657.03,19846.95,20353.25,20251.99,89.2243,191
ADAZCAD,1796077800,78409.94,79978.14,76841.74,78801.99,78409.94,42.0735,158
ADAZCAD,1796081400,59049.01,60229.99,57868.03,59344.25,59049.01,85.8777,177
ADAZCAD,1796085000,86474.30,88203.79,84744.81,86906.67,86474.30,37.2100,44
ADAZCAD,1796088600,28586.10,29157.82,28014.38,28729.03,28586.10,38.1871,62
ADAZCAD,1796092200,69243.12,70627.98,67858.25,69589.33,69243.12,15.1420,158
ADAZCAD,1796095800,14061.92,14343.16,13780.68,14132.23,14061.92,26.0541,147
ADAZCAD,1796099400,63279.55,64545.14,62013.96,63595.95,63279.55,58.1026,137
ADAZCAD,1796103000,65009.06,66309.24,63708.88,65334.11,65009.06,91.9402,66
ADAZCAD,1796106600,22516.42,22966.75,22066.09,22629.01,22516.42,4.1879,142
ADAZCAD,1796110200,3134.48,3197.17,3071.79,3150.15,3134.48,67.6989,169
ADAZCAD,1796113800,68122.17,69484.61,66759.73,68462.78,68122.17,53.5013,130
ADAZCAD,1796117400,62081.39,63323.02,60839.77,62391.80,62081.39,98.3915,59
ADAZCAD,1796121000,29516.38,30106.70,28926.05,29663.96,29516.38,93.9332,171
ADAZCAD,1796124600,17804.05,18160.13,17447.97,17893.07,17804.05,98.5506,106
ADAZCAD,1796128200,52282.49,53328.14,51236.84,52543.90,52282.49,57.0183,107
ADAZCAD,1796131800,15452.74,15761.79,15143.68,15530.00,15452.74,27.0822,77
ADAZCAD,1796135400,65020.93,66321.35,63720.51,65346.04,65020.93,11.3929,179
ADAZCAD,1796139000,31320.40,31946.80,30693.99,31477.00,31320.40,65.7862,108
ADAZCAD,1796142600,82982.45,84642.10,81322.80,83397.36,82982.45,64.5421,90
ADAZCAD,1796146200,52953.16,54012.22,51894.10,53217.93,52953.16,26.1396,151
ADAZCAD,1796149800,88226.45,89990.98,86461.92,88667.58,88226.45,30.1786,139
ADAZCAD,1796153400,16212.51,16536.76,15888.26,16293.58,16212.51,38.1123,106
ADAZCAD,1796157000,809.20,825.39,793.02,813.25,809.20,60.6625,20
ADAZCAD,1796160600,75157.78,76660.94,73654.63,75533.57,75157.78,5.1818,23
ADAZCAD,1796164200,64513.61,65803.88,63223.33,64836.17,64513.61,70.1485,15
ADAZCAD,1796167800,19488.64,19878.41,19098.86,19586.08,19488.64,38.9294,20
