pair,altname,ask,bid,last,volume,high,low,open
ETH41CAD,ETH41CAD,12386.75,31166.0,13239.65,181.0,28216.81,15828.37,53310.5
SOL42CAD,SOL42CAD,36347.41,52418.16,37470.62,3693.69,47159.03,5870.68,22335.73
ADA43CAD,ADA43CAD,32575.33,26764.31,22968.6,2040.47,23623.31,34589.15,52015.35
DOT44CAD,DOT44CAD,49420.62,45995.93,45961.29,2347.1,6743.54,48408.91,31511.66
MATIC45CAD,MATIC45CAD,14145.1,2761.54,56852.72,3544.73,26592.41,19153.09,47762.88
AVAX46CAD,AVAX46CAD,15337.97,36249.1,13836.96,1105.71,56566.52,53191.61,59515.92
LINK47CAD,LINK47CAD,58035.08,29812.81,30690.65,4946.69,39120.12,17052.95,42196.32
UNI48CAD,UNI48CAD,1172.1,26198.8,8705.83,1106.79,21992.72,37457.31,17028.24
ATOM49CAD,ATOM49CAD,33740.0,52618.83,55971.82,976.9,17022.31,23250.03,31562.6
XRP50CAD,XRP50CAD,21987.65,19638.35,3144.02,4049.13,21670.69,53001.06,52231.89
LTC51CAD,LTC51CAD,40626.27,23797.4,2639.08,937.63,38888.29,37923.69,5468.31
BCH52CAD,BCH52CAD,50454.07,44322.92,51914.49,1152.73,10180.09,49078.69,23759.76
ALGO53CAD,ALGO53CAD,13245.88,56386.22,38920.97,4164.5,43964.03,42260.07,57890.65
XLM54CAD,XLM54CAD,45921.57,41855.78,36931.25,4175.85,49357.07,29775.52,33966.45
FIL55CAD,FIL55CAD,21654.7,52433.89,35397.21,1709.93,2398.99,29444.44,19322.35
NEAR56CAD,NEAR56CAD,7391.85,29509.4,32166.04,4050.16,15361.2,50161.8,29225.23
APT57CAD,APT57CAD,33490.79,1417.18,33831.57,1900.39,17741.15,17017.19,11320.21
ARB58CAD,ARB58CAD,29111.61,47045.47,34553.98,2282.85,8754.58,10146.08,8792.07
OP59CAD,OP59CAD,36920.15,44581.34,27427.35,2730.28,9191.78,36909.9,53302.06
BTC60CAD,BTC60CAD,48775.31,11371.73,7252.59,2007.42,45141.67,14225.68,23854.69
ETH61CAD,ETH61CAD,9033.03,29059.01,3912.09,18.22,47991.87,38680.64,3699.89
SOL62CAD,SOL62CAD,18762.62,1892.21,730.15,178.94,53227.44,23218.41,12358.83
ADA63CAD,ADA63CAD,37253.58,1126.66,8138.75,1767.8,42920.39,37546.15,31911.09
DOT64CAD,DOT64CAD,22062.41,52148.92,16521.75,1323.37,22293.38,35697.43,54661.89
MATIC65CAD,MATIC65CAD,16249.45,32710.82,57020.23,860.37,4939.27,13028.25,59060.55
AVAX66CAD,AVAX66CAD,40781.84,34658.86,9392.48,3293.12,45396.66,38819.0,38223.19
LINK67CAD,LINK67CAD,34510.23,46935.81,36731.93,2938.59,30408.91,53552.54,49859.57
UNI68CAD,UNI68CAD,40030.71,22720.37,12586.33,2605.52,55124.12,29057.04,7229.44
ATOM69CAD,ATOM69CAD,36991.42,57760.67,59384.83,416.48,6667.83,50470.36,19389.91
XRP70CAD,XRP70CAD,52553.35,28661.83,6630.53,4335.48,31803.72,11611.73,44419.03
LTC71CAD,LTC71CAD,9867.14,14332.08,19557.88,1337.53,50283.96,47135.35,42017.45
BCH72CAD,BCH72CAD,14186.91,31187.44,55138.32,1577.57,7175.67,8036.53,15618.55
ALGO73CAD,ALGO73CAD,29076.18,9513.28,32969.13,3369.02,3070.7,34177.75,48104.78
XLM74CAD,XLM74CAD,31050.36,46284.52,59371.09,1582.12,31612.32,40459.95,35614.39
FIL75CAD,FIL75CAD,20136.63,4677.01,11155.19,2022.94,14329.48,23368.81,49746.19
NEAR76CAD,NEAR76CAD,39130.66,23507.5,56290.62,4451.09,23759.25,39635.64,11680.95
APT77CAD,APT77CAD,22867.05,31775.46,8247.67,4786.2,11358.23,19838.79,24605.52
ARB78CAD,ARB78CAD,10222.32,31214.23,9870.53,4391.91,43590.67,51247.5,47477.26
OP79CAD,OP79CAD,1590.86,47423.11,33061.79,3008.64,9380.8,1311.8,7895.69
BTC80CAD,BTC80CAD,41350.15,22376.91,50045.05,1124.95,13505.49,42215.14,13529.08
ETH81CAD,ETH81CAD,52712.8,29013.57,20935.63,1082.06,55545.58,55347.1,13561.19
SOL82CAD,SOL82CAD,31091.46,46826.5,24662.58,2933.84,24312.41,19702.29,55740.07
ADA83CAD,ADA83CAD,46920.35,7757.74,13754.75,4093.74,40697.41,22240.19,14331.3
DOT84CAD,DOT84CAD,53486.52,59314.42,56721.58,1087.76,9051.39,38733.94,6997.44
MATIC85CAD,MATIC85CAD,53410.23,1010.08,25774.93,2959.45,2843.9,3688.27,20480.21
AVAX86CAD,AVAX86CAD,54929.23,40684.61,5517.53,1848.71,22281.58,17413.77,1844.21
LINK87CAD,LINK87CAD,25650.93,31357.13,1668.19,2892.53,115.86,37890.09,21704.46
UNI88CAD,UNI88CAD,45800.28,33645.79,30309.17,4604.55,48894.74,56667.16,35831.01
ATOM89CAD,ATOM89CAD,47542.3,45523.57,44546.81,1115.2,36747.44,46546.18,25391.54
XRP90CAD,XRP90CAD,20088.77,51949.38,31880.2,4509.58,60806.8,48875.4,18042.59
LTC91CAD,LTC91CAD,46510.46,1551.39,26763.05,216.61,45004.4,32923.11,3399.84
BCH92CAD,BCH92CAD,34188.63,46660.28,12595.71,1003.53,18484.44,50261.54,15227.03
ALGO93CAD,ALGO93CAD,58362.08,51827.33,22359.03,2496.43,15779.13,53612.59,44300.59
XLM94CAD,XLM94CAD,35957.09,41945.1,38716.45,3924.3,12770.44,17797.41,46526.45
FIL95CAD,FIL95CAD,54117.18,9796.69,12800.66,2052.23,54095.18,12985.89,15378.54
NEAR96CAD,NEAR96CAD,29004.54,32921.56,48924.01,3919.26,7214.7,42702.63,50281.82
APT97CAD,APT97CAD,5611.87,3424.65,4118.19,658.65,13764.91,24670.51,27973.82
ARB98CAD,ARB98CAD,44656.56,35093.68,28252.61,288.9,3122.32,47610.91,18505.58
OP99CAD,OP99CAD,1835.86,2509.65,7353.76,2523.03,39242.42,16875.99,16517.88
BTC100CAD,BTC100CAD,49227.62,51942.01,34456.41,190.29,43855.06,15551.02,42232.3
ETH101CAD,ETH101CAD,20850.36,36519.43,7795.9,3111.71,58252.55,12122.68,37985.55
SOL102CAD,SOL102CAD,6065.81,18135.24,50139.41,4949.31,42841.84,52135.33,30641.63
ADA103CAD,ADA103CAD,56052.43,670.94,26391.97,3843.36,36043.35,28422.21,29835.36
DOT104CAD,DOT104CAD,48757.22,14610.61,15660.46,3579.55,37371.3,18385.21,28249.27
