id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
5512004030,High Lonesome Ranch,,Cattle Ranching,Brothers,OR,12,1040000,2023-05-09T16:00:00.000Z
5512004031,Juniper Hollow Ranch,juniperhollow.example,Cattle Ranching,Tumalo,OR,5,360000,2021-04-13T16:00:00.000Z
5512004032,Tetherow Cattle Co,,Cattle Ranching,Bend,OR,7,520000,2023-01-16T18:00:00.000Z
5512004033,Sage Flat Livestock,sageflatlivestock.example,Cattle Ranching,Madras,OR,9,690000,2021-08-05T15:00:00.000Z
5512004034,Big Falls Ranch,,Cattle Ranching,Culver,OR,11,1190000,2022-03-03T15:00:00.000Z
5512004035,Painted Hills Cattle,paintedhillscattle.example,Cattle Ranching,Mitchell,OR,10,880000,2020-06-29T15:00:00.000Z
5512004036,Diamond M Ranch,diamondmranch.example,Cattle Ranching,Powell Butte,OR,8,640000,2021-08-16T16:00:00.000Z
5512004037,Wychus Creek Ranch,wychuscreek.example,Cattle Ranching,Sisters,OR,6,440000,2023-10-06T16:00:00.000Z
5512004038,Lone Pine Cattle,,Cattle Ranching,La Pine,OR,8,700000,2023-06-21T16:00:00.000Z
5512004039,Aspen Valley Ranch,,Cattle Ranching,Sisters,OR,7,510000,2021-06-23T18:00:00.000Z
5512004040,Bear Creek Livestock,,Cattle Ranching,Prineville,OR,11,950000,2022-10-24T15:00:00.000Z
5512004041,Smith Rock Ranch,smithrockranch.example,Cattle Ranching,Terrebonne,OR,7,580000,2023-07-14T15:00:00.000Z
5512004042,Three Sisters Cattle,,Cattle Ranching,Sisters,OR,8,670000,2024-04-07T18:00:00.000Z
5512004043,Ochoco Cattle Co,ochococattle.example,Cattle Ranching,Prineville,OR,12,1080000,2020-10-22T16:00:00.000Z
5512004044,Pine Mountain Ranch,pinemountainranch.example,Cattle Ranching,Brothers,OR,13,1150000,2020-05-23T17:00:00.000Z
5512004045,Juniper Ridge Equine,juniperridgeequine.example,Equine Boarding,Bend,OR,3,260000,2020-09-09T15:00:00.000Z
5512004046,Henderson Ranch,hendersonranch.com,Cattle Ranching,Terrebonne,OR,7,620000,2022-04-17T17:00:00.000Z
5512004047,Watson Ranch,watson-cattle.example,Cattle Ranching,Powell Butte,OR,5,410000,2023-11-06T16:00:00.000Z
5512004048,Krasicki Ranch,krasickiranch.example,Cattle Ranching,Prineville,OR,8,740000,2023-10-28T17:00:00.000Z
5512004049,Blackwood Cattle Co,,Cattle Ranching,Redmond,OR,9,1250000,2020-09-18T17:00:00.000Z
5512004050,Mercer Family Ranch,mercerranch.example,Cattle Ranching,Bend,OR,6,380000,2023-03-25T15:00:00.000Z
5512004051,Delta Bar Ranch,,Cattle Ranching,Prineville,OR,10,910000,2020-11-18T16:00:00.000Z
5512004052,Holbrook Ranch,holbrookranch.example,Cattle Ranching,Terrebonne,OR,6,470000,2020-08-10T18:00:00.000Z
5512004053,Sanders Livestock,sanderslivestock.example,Cattle Ranching,Madras,OR,8,680000,2022-05-06T15:00:00.000Z
5512004054,Prieto Heifers LLC,,Cattle Ranching,Culver,OR,4,290000,2020-05-05T15:00:00.000Z
5512004055,Vogel Cattle,vogelcattle.example,Cattle Ranching,Powell Butte,OR,7,540000,2021-01-28T18:00:00.000Z
5512004056,Ortega Ranch,,Cattle Ranching,Tumalo,OR,6,420000,2023-11-27T17:00:00.000Z
5512004057,Nichols Dairy,nicholsdairy.example,Dairy Farming,Redmond,OR,14,2100000,2021-04-07T15:00:00.000Z
5512004058,Blain Bros Cattle Co,blainbros.example,Cattle Ranching,Sisters,OR,8,710000,2021-05-06T17:00:00.000Z
5512004059,Crooked River Cattle,crookedrivercattle.example,Cattle Ranching,Prineville,OR,9,830000,2021-05-04T15:00:00.000Z
5512004060,High Lonesome Ranch,highlonesomeranch.example,Cattle Ranching,Brothers,OR,12,1040000,2023-01-15T16:00:00.000Z
5512004061,Juniper Hollow Ranch,,Cattle Ranching,Tumalo,OR,5,360000,2021-09-11T15:00:00.000Z
5512004062,Tetherow Cattle Co,tetherowcattle.example,Cattle Ranching,Bend,OR,7,520000,2022-09-30T17:00:00.000Z
5512004063,Sage Flat Livestock,,Cattle Ranching,Madras,OR,9,690000,2023-08-08T16:00:00.000Z
5512004064,Big Falls Ranch,bigfallsranch.example,Cattle Ranching,Culver,OR,11,1190000,2022-10-20T16:00:00.000Z
5512004065,Painted Hills Cattle,,Cattle Ranching,Mitchell,OR,10,880000,2023-02-12T15:00:00.000Z
5512004066,Diamond M Ranch,,Cattle Ranching,Powell Butte,OR,8,640000,2022-11-12T17:00:00.000Z
5512004067,Wychus Creek Ranch,wychuscreek.example,Cattle Ranching,Sisters,OR,6,440000,2020-07-21T18:00:00.000Z
5512004068,Lone Pine Cattle,lonepinecattle.example,Cattle Ranching,La Pine,OR,8,700000,2021-10-21T16:00:00.000Z
5512004069,Aspen Valley Ranch,aspenvalleyranch.example,Cattle Ranching,Sisters,OR,7,510000,2021-08-17T18:00:00.000Z
5512004070,Bear Creek Livestock,,Cattle Ranching,Prineville,OR,11,950000,2023-11-10T17:00:00.000Z
5512004071,Smith Rock Ranch,smithrockranch.example,Cattle Ranching,Terrebonne,OR,7,580000,2022-04-19T15:00:00.000Z
5512004072,Three Sisters Cattle,,Cattle Ranching,Sisters,OR,8,670000,2022-03-12T15:00:00.000Z
5512004073,Ochoco Cattle Co,ochococattle.example,Cattle Ranching,Prineville,OR,12,1080000,2024-05-28T15:00:00.000Z
5512004074,Pine Mountain Ranch,,Cattle Ranching,Brothers,OR,13,1150000,2024-05-12T18:00:00.000Z
5512004075,Juniper Ridge Equine,,Equine Boarding,Bend,OR,3,260000,2021-10-22T15:00:00.000Z
5512004076,Henderson Ranch,hendersonranch.com,Cattle Ranching,Terrebonne,OR,7,620000,2020-10-13T18:00:00.000Z
5512004077,Watson Ranch,watson-cattle.example,Cattle Ranching,Powell Butte,OR,5,410000,2023-05-29T16:00:00.000Z
5512004078,Krasicki Ranch,krasickiranch.example,Cattle Ranching,Prineville,OR,8,740000,2020-12-08T17:00:00.000Z
5512004079,Blackwood Cattle Co,,Cattle Ranching,Redmond,OR,9,1250000,2023-08-08T17:00:00.000Z
5512004080,Mercer Family Ranch,,Cattle Ranching,Bend,OR,6,380000,2020-11-30T16:00:00.000Z
5512004081,Delta Bar Ranch,deltabarranch.example,Cattle Ranching,Prineville,OR,10,910000,2023-08-18T17:00:00.000Z
5512004082,Holbrook Ranch,,Cattle Ranching,Terrebonne,OR,6,470000,2022-12-01T18:00:00.000Z
5512004083,Sanders Livestock,sanderslivestock.example,Cattle Ranching,Madras,OR,8,680000,2020-05-13T16:00:00.000Z
5512004084,Prieto Heifers LLC,,Cattle Ranching,Culver,OR,4,290000,2020-10-26T16:00:00.000Z
5512004085,Vogel Cattle,vogelcattle.example,Cattle Ranching,Powell Butte,OR,7,540000,2020-05-06T18:00:00.000Z
5512004086,Ortega Ranch,ortegaranch.example,Cattle Ranching,Tumalo,OR,6,420000,2022-09-12T15:00:00.000Z
5512004087,Nichols Dairy,,Dairy Farming,Redmond,OR,14,2100000,2023-07-09T16:00:00.000Z
5512004088,Blain Bros Cattle Co,blainbros.example,Cattle Ranching,Sisters,OR,8,710000,2023-08-14T16:00:00.000Z
5512004089,Crooked River Cattle,crookedrivercattle.example,Cattle Ranching,Prineville,OR,9,830000,2021-09-14T18:00:00.000Z
5512004090,High Lonesome Ranch,highlonesomeranch.example,Cattle Ranching,Brothers,OR,12,1040000,2023-09-04T16:00:00.000Z
5512004091,Juniper Hollow Ranch,,Cattle Ranching,Tumalo,OR,5,360000,2023-05-15T18:00:00.000Z
5512004092,Tetherow Cattle Co,tetherowcattle.example,Cattle Ranching,Bend,OR,7,520000,2023-07-28T17:00:00.000Z
5512004093,Sage Flat Livestock,,Cattle Ranching,Madras,OR,9,690000,2021-05-21T16:00:00.000Z
5512004094,Big Falls Ranch,,Cattle Ranching,Culver,OR,11,1190000,2023-06-09T17:00:00.000Z
5512004095,Painted Hills Cattle,paintedhillscattle.example,Cattle Ranching,Mitchell,OR,10,880000,2022-05-07T18:00:00.000Z
5512004096,Diamond M Ranch,diamondmranch.example,Cattle Ranching,Powell Butte,OR,8,640000,2024-05-31T18:00:00.000Z
5512004097,Wychus Creek Ranch,wychuscreek.example,Cattle Ranching,Sisters,OR,6,440000,2021-06-22T17:00:00.000Z
5512004098,Lone Pine Cattle,lonepinecattle.example,Cattle Ranching,La Pine,OR,8,700000,2024-04-08T17:00:00.000Z
5512004099,Aspen Valley Ranch,aspenvalleyranch.example,Cattle Ranching,Sisters,OR,7,510000,2020-08-15T18:00:00.000Z
5512004100,Bear Creek Livestock,bearcreeklivestock.example,Cattle Ranching,Prineville,OR,11,950000,2024-04-14T18:00:00.000Z
5512004101,Smith Rock Ranch,smithrockranch.example,Cattle Ranching,Terrebonne,OR,7,580000,2021-03-08T18:00:00.000Z
5512004102,Three Sisters Cattle,threesisterscattle.example,Cattle Ranching,Sisters,OR,8,670000,2024-04-09T17:00:00.000Z
5512004103,Ochoco Cattle Co,ochococattle.example,Cattle Ranching,Prineville,OR,12,1080000,2020-09-20T17:00:00.000Z
5512004104,Pine Mountain Ranch,pinemountainranch.example,Cattle Ranching,Brothers,OR,13,1150000,2022-05-21T17:00:00.000Z
5512004105,Juniper Ridge Equine,,Equine Boarding,Bend,OR,3,260000,2021-09-12T18:00:00.000Z
5512004106,Henderson Ranch,,Cattle Ranching,Terrebonne,OR,7,620000,2020-06-08T18:00:00.000Z
5512004107,Watson Ranch,,Cattle Ranching,Powell Butte,OR,5,410000,2021-07-06T18:00:00.000Z
5512004108,Krasicki Ranch,,Cattle Ranching,Prineville,OR,8,740000,2022-10-22T17:00:00.000Z
5512004109,Blackwood Cattle Co,,Cattle Ranching,Redmond,OR,9,1250000,2020-04-04T18:00:00.000Z
5512004110,Mercer Family Ranch,mercerranch.example,Cattle Ranching,Bend,OR,6,380000,2022-04-14T18:00:00.000Z
5512004111,Delta Bar Ranch,deltabarranch.example,Cattle Ranching,Prineville,OR,10,910000,2022-03-30T18:00:00.000Z
5512004112,Holbrook Ranch,holbrookranch.example,Cattle Ranching,Terrebonne,OR,6,470000,2023-03-24T16:00:00.000Z
5512004113,Sanders Livestock,,Cattle Ranching,Madras,OR,8,680000,2023-01-11T17:00:00.000Z
5512004114,Prieto Heifers LLC,prietoheifers.example,Cattle Ranching,Culver,OR,4,290000,2022-10-19T15:00:00.000Z
5512004115,Vogel Cattle,,Cattle Ranching,Powell Butte,OR,7,540000,2021-08-22T15:00:00.000Z
5512004116,Ortega Ranch,ortegaranch.example,Cattle Ranching,Tumalo,OR,6,420000,2023-07-18T16:00:00.000Z
5512004117,Nichols Dairy,,Dairy Farming,Redmond,OR,14,2100000,2024-02-01T17:00:00.000Z
5512004118,Blain Bros Cattle Co,,Cattle Ranching,Sisters,OR,8,710000,2024-03-18T18:00:00.000Z
5512004119,Crooked River Cattle,crookedrivercattle.example,Cattle Ranching,Prineville,OR,9,830000,2022-01-06T15:00:00.000Z
5512004120,High Lonesome Ranch,,Cattle Ranching,Brothers,OR,12,1040000,2022-11-05T17:00:00.000Z
5512004121,Juniper Hollow Ranch,,Cattle Ranching,Tumalo,OR,5,360000,2023-03-26T18:00:00.000Z
5512004122,Tetherow Cattle Co,,Cattle Ranching,Bend,OR,7,520000,2022-07-09T16:00:00.000Z
5512004123,Sage Flat Livestock,,Cattle Ranching,Madras,OR,9,690000,2022-06-27T18:00:00.000Z
5512004124,Big Falls Ranch,,Cattle Ranching,Culver,OR,11,1190000,2023-10-15T17:00:00.000Z
5512004125,Painted Hills Cattle,,Cattle Ranching,Mitchell,OR,10,880000,2022-04-07T15:00:00.000Z
5512004126,Diamond M Ranch,diamondmranch.example,Cattle Ranching,Powell Butte,OR,8,640000,2021-01-17T17:00:00.000Z
5512004127,Wychus Creek Ranch,,Cattle Ranching,Sisters,OR,6,440000,2023-09-02T17:00:00.000Z
5512004128,Lone Pine Cattle,,Cattle Ranching,La Pine,OR,8,700000,2020-01-22T18:00:00.000Z
5512004129,Aspen Valley Ranch,aspenvalleyranch.example,Cattle Ranching,Sisters,OR,7,510000,2024-04-30T15:00:00.000Z
5512004130,Bear Creek Livestock,,Cattle Ranching,Prineville,OR,11,950000,2022-05-30T15:00:00.000Z
5512004131,Smith Rock Ranch,,Cattle Ranching,Terrebonne,OR,7,580000,2023-12-20T17:00:00.000Z
5512004132,Three Sisters Cattle,,Cattle Ranching,Sisters,OR,8,670000,2020-11-21T17:00:00.000Z
5512004133,Ochoco Cattle Co,,Cattle Ranching,Prineville,OR,12,1080000,2022-05-16T15:00:00.000Z
5512004134,Pine Mountain Ranch,pinemountainranch.example,Cattle Ranching,Brothers,OR,13,1150000,2022-07-04T15:00:00.000Z
5512004135,Juniper Ridge Equine,juniperridgeequine.example,Equine Boarding,Bend,OR,3,260000,2022-04-13T18:00:00.000Z
5512004136,Henderson Ranch,,Cattle Ranching,Terrebonne,OR,7,620000,2022-09-16T15:00:00.000Z
5512004137,Watson Ranch,watson-cattle.example,Cattle Ranching,Powell Butte,OR,5,410000,2021-06-13T18:00:00.000Z
5512004138,Krasicki Ranch,,Cattle Ranching,Prineville,OR,8,740000,2022-05-23T18:00:00.000Z
5512004139,Blackwood Cattle Co,blackwoodcattle.example,Cattle Ranching,Redmond,OR,9,1250000,2021-03-17T16:00:00.000Z
5512004140,Mercer Family Ranch,,Cattle Ranching,Bend,OR,6,380000,2020-02-25T17:00:00.000Z
5512004141,Delta Bar Ranch,deltabarranch.example,Cattle Ranching,Prineville,OR,10,910000,2022-03-18T18:00:00.000Z
5512004142,Holbrook Ranch,,Cattle Ranching,Terrebonne,OR,6,470000,2021-09-30T18:00:00.000Z
5512004143,Sanders Livestock,,Cattle Ranching,Madras,OR,8,680000,2023-05-21T18:00:00.000Z
5512004144,Prieto Heifers LLC,prietoheifers.example,Cattle Ranching,Culver,OR,4,290000,2022-09-20T15:00:00.000Z
5512004145,Vogel Cattle,vogelcattle.example,Cattle Ranching,Powell Butte,OR,7,540000,2020-05-15T15:00:00.000Z
5512004146,Ortega Ranch,,Cattle Ranching,Tumalo,OR,6,420000,2023-02-13T15:00:00.000Z
5512004147,Nichols Dairy,,Dairy Farming,Redmond,OR,14,2100000,2023-07-29T18:00:00.000Z
5512004148,Blain Bros Cattle Co,,Cattle Ranching,Sisters,OR,8,710000,2020-03-04T17:00:00.000Z
5512004149,Crooked River Cattle,,Cattle Ranching,Prineville,OR,9,830000,2020-05-30T15:00:00.000Z
5512004150,High Lonesome Ranch,highlonesomeranch.example,Cattle Ranching,Brothers,OR,12,1040000,2024-04-09T16:00:00.000Z
5512004151,Juniper Hollow Ranch,juniperhollow.example,Cattle Ranching,Tumalo,OR,5,360000,2020-08-12T16:00:00.000Z
5512004152,Tetherow Cattle Co,,Cattle Ranching,Bend,OR,7,520000,2024-04-18T17:00:00.000Z
5512004153,Sage Flat Livestock,sageflatlivestock.example,Cattle Ranching,Madras,OR,9,690000,2023-03-08T18:00:00.000Z
5512004154,Big Falls Ranch,,Cattle Ranching,Culver,OR,11,1190000,2022-09-17T15:00:00.000Z
5512004155,Painted Hills Cattle,paintedhillscattle.example,Cattle Ranching,Mitchell,OR,10,880000,2024-05-22T16:00:00.000Z
5512004156,Diamond M Ranch,diamondmranch.example,Cattle Ranching,Powell Butte,OR,8,640000,2023-03-07T16:00:00.000Z
5512004157,Wychus Creek Ranch,,Cattle Ranching,Sisters,OR,6,440000,2023-05-22T16:00:00.000Z
5512004158,Lone Pine Cattle,lonepinecattle.example,Cattle Ranching,La Pine,OR,8,700000,2023-02-09T16:00:00.000Z
5512004159,Aspen Valley Ranch,aspenvalleyranch.example,Cattle Ranching,Sisters,OR,7,510000,2020-11-10T17:00:00.000Z
5512004160,Bear Creek Livestock,,Cattle Ranching,Prineville,OR,11,950000,2023-03-16T15:00:00.000Z
5512004161,Smith Rock Ranch,smithrockranch.example,Cattle Ranching,Terrebonne,OR,7,580000,2023-08-29T17:00:00.000Z
5512004162,Three Sisters Cattle,threesisterscattle.example,Cattle Ranching,Sisters,OR,8,670000,2021-03-03T18:00:00.000Z
5512004163,Ochoco Cattle Co,,Cattle Ranching,Prineville,OR,12,1080000,2023-04-03T15:00:00.000Z
5512004164,Pine Mountain Ranch,pinemountainranch.example,Cattle Ranching,Brothers,OR,13,1150000,2023-10-24T18:00:00.000Z
5512004165,Juniper Ridge Equine,juniperridgeequine.example,Equine Boarding,Bend,OR,3,260000,2020-06-26T18:00:00.000Z
5512004166,Henderson Ranch,hendersonranch.com,Cattle Ranching,Terrebonne,OR,7,620000,2021-01-28T18:00:00.000Z
5512004167,Watson Ranch,watson-cattle.example,Cattle Ranching,Powell Butte,OR,5,410000,2021-12-01T15:00:00.000Z
5512004168,Krasicki Ranch,,Cattle Ranching,Prineville,OR,8,740000,2023-06-13T15:00:00.000Z
5512004169,Blackwood Cattle Co,blackwoodcattle.example,Cattle Ranching,Redmond,OR,9,1250000,2021-04-05T16:00:00.000Z
5512004170,Mercer Family Ranch,,Cattle Ranching,Bend,OR,6,380000,2021-03-10T17:00:00.000Z
5512004171,Delta Bar Ranch,,Cattle Ranching,Prineville,OR,10,910000,2022-01-30T18:00:00.000Z
5512004172,Holbrook Ranch,holbrookranch.example,Cattle Ranching,Terrebonne,OR,6,470000,2022-03-23T15:00:00.000Z
5512004173,Sanders Livestock,sanderslivestock.example,Cattle Ranching,Madras,OR,8,680000,2023-02-20T17:00:00.000Z
5512004174,Prieto Heifers LLC,,Cattle Ranching,Culver,OR,4,290000,2020-04-21T18:00:00.000Z
5512004175,Vogel Cattle,vogelcattle.example,Cattle Ranching,Powell Butte,OR,7,540000,2022-12-27T17:00:00.000Z
5512004176,Ortega Ranch,ortegaranch.example,Cattle Ranching,Tumalo,OR,6,420000,2022-09-29T17:00:00.000Z
5512004177,Nichols Dairy,,Dairy Farming,Redmond,OR,14,2100000,2020-01-27T17:00:00.000Z
5512004178,Blain Bros Cattle Co,blainbros.example,Cattle Ranching,Sisters,OR,8,710000,2022-08-31T16:00:00.000Z
5512004179,Crooked River Cattle,crookedrivercattle.example,Cattle Ranching,Prineville,OR,9,830000,2024-02-02T18:00:00.000Z
5512004180,High Lonesome Ranch,highlonesomeranch.example,Cattle Ranching,Brothers,OR,12,1040000,2023-11-02T17:00:00.000Z
5512004181,Juniper Hollow Ranch,juniperhollow.example,Cattle Ranching,Tumalo,OR,5,360000,2022-11-03T17:00:00.000Z
5512004182,Tetherow Cattle Co,tetherowcattle.example,Cattle Ranching,Bend,OR,7,520000,2021-08-05T17:00:00.000Z
5512004183,Sage Flat Livestock,,Cattle Ranching,Madras,OR,9,690000,2024-05-05T18:00:00.000Z
5512004184,Big Falls Ranch,,Cattle Ranching,Culver,OR,11,1190000,2020-03-29T18:00:00.000Z
5512004185,Painted Hills Cattle,,Cattle Ranching,Mitchell,OR,10,880000,2022-05-04T15:00:00.000Z
5512004186,Diamond M Ranch,diamondmranch.example,Cattle Ranching,Powell Butte,OR,8,640000,2022-01-08T17:00:00.000Z
5512004187,Wychus Creek Ranch,,Cattle Ranching,Sisters,OR,6,440000,2024-01-23T18:00:00.000Z
5512004188,Lone Pine Cattle,lonepinecattle.example,Cattle Ranching,La Pine,OR,8,700000,2021-11-04T18:00:00.000Z
5512004189,Aspen Valley Ranch,,Cattle Ranching,Sisters,OR,7,510000,2023-06-05T16:00:00.000Z
5512004190,Bear Creek Livestock,,Cattle Ranching,Prineville,OR,11,950000,2023-06-04T18:00:00.000Z
5512004191,Smith Rock Ranch,smithrockranch.example,Cattle Ranching,Terrebonne,OR,7,580000,2022-03-24T15:00:00.000Z
5512004192,Three Sisters Cattle,threesisterscattle.example,Cattle Ranching,Sisters,OR,8,670000,2023-08-03T18:00:00.000Z
5512004193,Ochoco Cattle Co,ochococattle.example,Cattle Ranching,Prineville,OR,12,1080000,2022-01-06T17:00:00.000Z
5512004194,Pine Mountain Ranch,pinemountainranch.example,Cattle Ranching,Brothers,OR,13,1150000,2023-01-08T16:00:00.000Z
5512004195,Juniper Ridge Equine,,Equine Boarding,Bend,OR,3,260000,2021-04-25T17:00:00.000Z
5512004196,Henderson Ranch,hendersonranch.com,Cattle Ranching,Terrebonne,OR,7,620000,2022-02-28T16:00:00.000Z
5512004197,Watson Ranch,watson-cattle.example,Cattle Ranching,Powell Butte,OR,5,410000,2020-01-22T18:00:00.000Z
5512004198,Krasicki Ranch,,Cattle Ranching,Prineville,OR,8,740000,2023-05-22T17:00:00.000Z
5512004199,Blackwood Cattle Co,blackwoodcattle.example,Cattle Ranching,Redmond,OR,9,1250000,2020-12-19T18:00:00.000Z
5512004200,Mercer Family Ranch,,Cattle Ranching,Bend,OR,6,380000,2021-02-10T16:00:00.000Z
5512004201,Delta Bar Ranch,,Cattle Ranching,Prineville,OR,10,910000,2020-08-26T16:00:00.000Z
5512004202,Holbrook Ranch,,Cattle Ranching,Terrebonne,OR,6,470000,2023-04-11T16:00:00.000Z
5512004203,Sanders Livestock,sanderslivestock.example,Cattle Ranching,Madras,OR,8,680000,2023-07-23T15:00:00.000Z
5512004204,Prieto Heifers LLC,prietoheifers.example,Cattle Ranching,Culver,OR,4,290000,2020-10-08T16:00:00.000Z
5512004205,Vogel Cattle,,Cattle Ranching,Powell Butte,OR,7,540000,2020-02-19T18:00:00.000Z
5512004206,Ortega Ranch,,Cattle Ranching,Tumalo,OR,6,420000,2020-02-29T18:00:00.000Z
5512004207,Nichols Dairy,nicholsdairy.example,Dairy Farming,Redmond,OR,14,2100000,2021-07-02T16:00:00.000Z
5512004208,Blain Bros Cattle Co,,Cattle Ranching,Sisters,OR,8,710000,2020-06-02T15:00:00.000Z
5512004209,Crooked River Cattle,,Cattle Ranching,Prineville,OR,9,830000,2022-04-07T17:00:00.000Z
5512004210,High Lonesome Ranch,,Cattle Ranching,Brothers,OR,12,1040000,2020-03-03T16:00:00.000Z
5512004211,Juniper Hollow Ranch,juniperhollow.example,Cattle Ranching,Tumalo,OR,5,360000,2022-11-04T18:00:00.000Z
5512004212,Tetherow Cattle Co,,Cattle Ranching,Bend,OR,7,520000,2024-05-16T17:00:00.000Z
5512004213,Sage Flat Livestock,sageflatlivestock.example,Cattle Ranching,Madras,OR,9,690000,2021-02-12T18:00:00.000Z
5512004214,Big Falls Ranch,,Cattle Ranching,Culver,OR,11,1190000,2023-06-21T18:00:00.000Z
5512004215,Painted Hills Cattle,paintedhillscattle.example,Cattle Ranching,Mitchell,OR,10,880000,2022-09-26T17:00:00.000Z
5512004216,Diamond M Ranch,diamondmranch.example,Cattle Ranching,Powell Butte,OR,8,640000,2023-06-18T17:00:00.000Z
5512004217,Wychus Creek Ranch,wychuscreek.example,Cattle Ranching,Sisters,OR,6,440000,2024-04-09T16:00:00.000Z
5512004218,Lone Pine Cattle,lonepinecattle.example,Cattle Ranching,La Pine,OR,8,700000,2020-10-22T15:00:00.000Z
5512004219,Aspen Valley Ranch,,Cattle Ranching,Sisters,OR,7,510000,2022-03-23T17:00:00.000Z
5512004220,Bear Creek Livestock,,Cattle Ranching,Prineville,OR,11,950000,2022-10-30T18:00:00.000Z
5512004221,Smith Rock Ranch,smithrockranch.example,Cattle Ranching,Terrebonne,OR,7,580000,2020-02-19T15:00:00.000Z
5512004222,Three Sisters Cattle,threesisterscattle.example,Cattle Ranching,Sisters,OR,8,670000,2023-08-03T16:00:00.000Z
5512004223,Ochoco Cattle Co,ochococattle.example,Cattle Ranching,Prineville,OR,12,1080000,2023-10-28T16:00:00.000Z
5512004224,Pine Mountain Ranch,pinemountainranch.example,Cattle Ranching,Brothers,OR,13,1150000,2023-04-02T17:00:00.000Z
5512004225,Juniper Ridge Equine,juniperridgeequine.example,Equine Boarding,Bend,OR,3,260000,2021-11-12T18:00:00.000Z
5512004226,Henderson Ranch,,Cattle Ranching,Terrebonne,OR,7,620000,2022-10-26T15:00:00.000Z
5512004227,Watson Ranch,watson-cattle.example,Cattle Ranching,Powell Butte,OR,5,410000,2022-07-20T18:00:00.000Z
5512004228,Krasicki Ranch,,Cattle Ranching,Prineville,OR,8,740000,2021-10-25T15:00:00.000Z
