pipeline_id,pipeline_label,stage_id,stage_label,display_order,probability,closed
herd_health_15,Herd Health Jobs,scheduled_15,Scheduled,1,0.15,False
herd_health_15,Herd Health Jobs,in_progress_15,In Progress,2,0.3,False
herd_health_15,Herd Health Jobs,completed_15,Completed,3,0.45,False
herd_health_15,Herd Health Jobs,invoiced_15,Invoiced,4,0.6,False
herd_health_15,Herd Health Jobs,paid_15,Paid,5,0.75,True
herd_health_15,Herd Health Jobs,cancelled_15,Cancelled,6,0.9,True
farm_calls_16,Farm Call Queue,requested_16,Requested,1,0.15,False
farm_calls_16,Farm Call Queue,confirmed_16,Confirmed,2,0.3,False
farm_calls_16,Farm Call Queue,en_route_16,En Route,3,0.45,False
farm_calls_16,Farm Call Queue,on_site_16,On Site,4,0.6,False
farm_calls_16,Farm Call Queue,closed_16,Closed,5,0.75,True
herd_health_17,Herd Health Jobs,scheduled_17,Scheduled,1,0.15,False
herd_health_17,Herd Health Jobs,in_progress_17,In Progress,2,0.3,False
herd_health_17,Herd Health Jobs,completed_17,Completed,3,0.45,False
herd_health_17,Herd Health Jobs,invoiced_17,Invoiced,4,0.6,False
herd_health_17,Herd Health Jobs,paid_17,Paid,5,0.75,True
herd_health_17,Herd Health Jobs,cancelled_17,Cancelled,6,0.9,True
farm_calls_18,Farm Call Queue,requested_18,Requested,1,0.15,False
farm_calls_18,Farm Call Queue,confirmed_18,Confirmed,2,0.3,False
farm_calls_18,Farm Call Queue,en_route_18,En Route,3,0.45,False
farm_calls_18,Farm Call Queue,on_site_18,On Site,4,0.6,False
farm_calls_18,Farm Call Queue,closed_18,Closed,5,0.75,True
herd_health_19,Herd Health Jobs,scheduled_19,Scheduled,1,0.15,False
herd_health_19,Herd Health Jobs,in_progress_19,In Progress,2,0.3,False
herd_health_19,Herd Health Jobs,completed_19,Completed,3,0.45,False
herd_health_19,Herd Health Jobs,invoiced_19,Invoiced,4,0.6,False
herd_health_19,Herd Health Jobs,paid_19,Paid,5,0.75,True
herd_health_19,Herd Health Jobs,cancelled_19,Cancelled,6,0.9,True
farm_calls_20,Farm Call Queue,requested_20,Requested,1,0.15,False
farm_calls_20,Farm Call Queue,confirmed_20,Confirmed,2,0.3,False
farm_calls_20,Farm Call Queue,en_route_20,En Route,3,0.45,False
farm_calls_20,Farm Call Queue,on_site_20,On Site,4,0.6,False
farm_calls_20,Farm Call Queue,closed_20,Closed,5,0.75,True
herd_health_21,Herd Health Jobs,scheduled_21,Scheduled,1,0.15,False
herd_health_21,Herd Health Jobs,in_progress_21,In Progress,2,0.3,False
herd_health_21,Herd Health Jobs,completed_21,Completed,3,0.45,False
herd_health_21,Herd Health Jobs,invoiced_21,Invoiced,4,0.6,False
herd_health_21,Herd Health Jobs,paid_21,Paid,5,0.75,True
herd_health_21,Herd Health Jobs,cancelled_21,Cancelled,6,0.9,True
farm_calls_22,Farm Call Queue,requested_22,Requested,1,0.15,False
farm_calls_22,Farm Call Queue,confirmed_22,Confirmed,2,0.3,False
farm_calls_22,Farm Call Queue,en_route_22,En Route,3,0.45,False
farm_calls_22,Farm Call Queue,on_site_22,On Site,4,0.6,False
farm_calls_22,Farm Call Queue,closed_22,Closed,5,0.75,True
herd_health_23,Herd Health Jobs,scheduled_23,Scheduled,1,0.15,False
herd_health_23,Herd Health Jobs,in_progress_23,In Progress,2,0.3,False
herd_health_23,Herd Health Jobs,completed_23,Completed,3,0.45,False
herd_health_23,Herd Health Jobs,invoiced_23,Invoiced,4,0.6,False
herd_health_23,Herd Health Jobs,paid_23,Paid,5,0.75,True
herd_health_23,Herd Health Jobs,cancelled_23,Cancelled,6,0.9,True
farm_calls_24,Farm Call Queue,requested_24,Requested,1,0.15,False
farm_calls_24,Farm Call Queue,confirmed_24,Confirmed,2,0.3,False
farm_calls_24,Farm Call Queue,en_route_24,En Route,3,0.45,False
farm_calls_24,Farm Call Queue,on_site_24,On Site,4,0.6,False
farm_calls_24,Farm Call Queue,closed_24,Closed,5,0.75,True
herd_health_25,Herd Health Jobs,scheduled_25,Scheduled,1,0.15,False
herd_health_25,Herd Health Jobs,in_progress_25,In Progress,2,0.3,False
herd_health_25,Herd Health Jobs,completed_25,Completed,3,0.45,False
herd_health_25,Herd Health Jobs,invoiced_25,Invoiced,4,0.6,False
herd_health_25,Herd Health Jobs,paid_25,Paid,5,0.75,True
herd_health_25,Herd Health Jobs,cancelled_25,Cancelled,6,0.9,True
farm_calls_26,Farm Call Queue,requested_26,Requested,1,0.15,False
farm_calls_26,Farm Call Queue,confirmed_26,Confirmed,2,0.3,False
farm_calls_26,Farm Call Queue,en_route_26,En Route,3,0.45,False
farm_calls_26,Farm Call Queue,on_site_26,On Site,4,0.6,False
farm_calls_26,Farm Call Queue,closed_26,Closed,5,0.75,True
herd_health_27,Herd Health Jobs,scheduled_27,Scheduled,1,0.15,False
herd_health_27,Herd Health Jobs,in_progress_27,In Progress,2,0.3,False
herd_health_27,Herd Health Jobs,completed_27,Completed,3,0.45,False
herd_health_27,Herd Health Jobs,invoiced_27,Invoiced,4,0.6,False
herd_health_27,Herd Health Jobs,paid_27,Paid,5,0.75,True
herd_health_27,Herd Health Jobs,cancelled_27,Cancelled,6,0.9,True
farm_calls_28,Farm Call Queue,requested_28,Requested,1,0.15,False
farm_calls_28,Farm Call Queue,confirmed_28,Confirmed,2,0.3,False
farm_calls_28,Farm Call Queue,en_route_28,En Route,3,0.45,False
farm_calls_28,Farm Call Queue,on_site_28,On Site,4,0.6,False
farm_calls_28,Farm Call Queue,closed_28,Closed,5,0.75,True
herd_health_29,Herd Health Jobs,scheduled_29,Scheduled,1,0.15,False
herd_health_29,Herd Health Jobs,in_progress_29,In Progress,2,0.3,False
herd_health_29,Herd Health Jobs,completed_29,Completed,3,0.45,False
herd_health_29,Herd Health Jobs,invoiced_29,Invoiced,4,0.6,False
herd_health_29,Herd Health Jobs,paid_29,Paid,5,0.75,True
herd_health_29,Herd Health Jobs,cancelled_29,Cancelled,6,0.9,True
farm_calls_30,Farm Call Queue,requested_30,Requested,1,0.15,False
farm_calls_30,Farm Call Queue,confirmed_30,Confirmed,2,0.3,False
farm_calls_30,Farm Call Queue,en_route_30,En Route,3,0.45,False
farm_calls_30,Farm Call Queue,on_site_30,On Site,4,0.6,False
farm_calls_30,Farm Call Queue,closed_30,Closed,5,0.75,True
herd_health_31,Herd Health Jobs,scheduled_31,Scheduled,1,0.15,False
herd_health_31,Herd Health Jobs,in_progress_31,In Progress,2,0.3,False
herd_health_31,Herd Health Jobs,completed_31,Completed,3,0.45,False
herd_health_31,Herd Health Jobs,invoiced_31,Invoiced,4,0.6,False
herd_health_31,Herd Health Jobs,paid_31,Paid,5,0.75,True
herd_health_31,Herd Health Jobs,cancelled_31,Cancelled,6,0.9,True
farm_calls_32,Farm Call Queue,requested_32,Requested,1,0.15,False
farm_calls_32,Farm Call Queue,confirmed_32,Confirmed,2,0.3,False
farm_calls_32,Farm Call Queue,en_route_32,En Route,3,0.45,False
farm_calls_32,Farm Call Queue,on_site_32,On Site,4,0.6,False
farm_calls_32,Farm Call Queue,closed_32,Closed,5,0.75,True
herd_health_33,Herd Health Jobs,scheduled_33,Scheduled,1,0.15,False
herd_health_33,Herd Health Jobs,in_progress_33,In Progress,2,0.3,False
herd_health_33,Herd Health Jobs,completed_33,Completed,3,0.45,False
herd_health_33,Herd Health Jobs,invoiced_33,Invoiced,4,0.6,False
herd_health_33,Herd Health Jobs,paid_33,Paid,5,0.75,True
herd_health_33,Herd Health Jobs,cancelled_33,Cancelled,6,0.9,True
farm_calls_34,Farm Call Queue,requested_34,Requested,1,0.15,False
farm_calls_34,Farm Call Queue,confirmed_34,Confirmed,2,0.3,False
farm_calls_34,Farm Call Queue,en_route_34,En Route,3,0.45,False
farm_calls_34,Farm Call Queue,on_site_34,On Site,4,0.6,False
farm_calls_34,Farm Call Queue,closed_34,Closed,5,0.75,True
herd_health_35,Herd Health Jobs,scheduled_35,Scheduled,1,0.15,False
herd_health_35,Herd Health Jobs,in_progress_35,In Progress,2,0.3,False
herd_health_35,Herd Health Jobs,completed_35,Completed,3,0.45,False
herd_health_35,Herd Health Jobs,invoiced_35,Invoiced,4,0.6,False
herd_health_35,Herd Health Jobs,paid_35,Paid,5,0.75,True
herd_health_35,Herd Health Jobs,cancelled_35,Cancelled,6,0.9,True
farm_calls_36,Farm Call Queue,requested_36,Requested,1,0.15,False
farm_calls_36,Farm Call Queue,confirmed_36,Confirmed,2,0.3,False
farm_calls_36,Farm Call Queue,en_route_36,En Route,3,0.45,False
farm_calls_36,Farm Call Queue,on_site_36,On Site,4,0.6,False
farm_calls_36,Farm Call Queue,closed_36,Closed,5,0.75,True
herd_health_37,Herd Health Jobs,scheduled_37,Scheduled,1,0.15,False
herd_health_37,Herd Health Jobs,in_progress_37,In Progress,2,0.3,False
herd_health_37,Herd Health Jobs,completed_37,Completed,3,0.45,False
herd_health_37,Herd Health Jobs,invoiced_37,Invoiced,4,0.6,False
herd_health_37,Herd Health Jobs,paid_37,Paid,5,0.75,True
herd_health_37,Herd Health Jobs,cancelled_37,Cancelled,6,0.9,True
farm_calls_38,Farm Call Queue,requested_38,Requested,1,0.15,False
farm_calls_38,Farm Call Queue,confirmed_38,Confirmed,2,0.3,False
farm_calls_38,Farm Call Queue,en_route_38,En Route,3,0.45,False
farm_calls_38,Farm Call Queue,on_site_38,On Site,4,0.6,False
farm_calls_38,Farm Call Queue,closed_38,Closed,5,0.75,True
herd_health_39,Herd Health Jobs,scheduled_39,Scheduled,1,0.15,False
herd_health_39,Herd Health Jobs,in_progress_39,In Progress,2,0.3,False
herd_health_39,Herd Health Jobs,completed_39,Completed,3,0.45,False
herd_health_39,Herd Health Jobs,invoiced_39,Invoiced,4,0.6,False
herd_health_39,Herd Health Jobs,paid_39,Paid,5,0.75,True
herd_health_39,Herd Health Jobs,cancelled_39,Cancelled,6,0.9,True
farm_calls_40,Farm Call Queue,requested_40,Requested,1,0.15,False
farm_calls_40,Farm Call Queue,confirmed_40,Confirmed,2,0.3,False
farm_calls_40,Farm Call Queue,en_route_40,En Route,3,0.45,False
farm_calls_40,Farm Call Queue,on_site_40,On Site,4,0.6,False
farm_calls_40,Farm Call Queue,closed_40,Closed,5,0.75,True
herd_health_41,Herd Health Jobs,scheduled_41,Scheduled,1,0.15,False
herd_health_41,Herd Health Jobs,in_progress_41,In Progress,2,0.3,False
herd_health_41,Herd Health Jobs,completed_41,Completed,3,0.45,False
herd_health_41,Herd Health Jobs,invoiced_41,Invoiced,4,0.6,False
herd_health_41,Herd Health Jobs,paid_41,Paid,5,0.75,True
herd_health_41,Herd Health Jobs,cancelled_41,Cancelled,6,0.9,True
farm_calls_42,Farm Call Queue,requested_42,Requested,1,0.15,False
farm_calls_42,Farm Call Queue,confirmed_42,Confirmed,2,0.3,False
farm_calls_42,Farm Call Queue,en_route_42,En Route,3,0.45,False
farm_calls_42,Farm Call Queue,on_site_42,On Site,4,0.6,False
farm_calls_42,Farm Call Queue,closed_42,Closed,5,0.75,True
herd_health_43,Herd Health Jobs,scheduled_43,Scheduled,1,0.15,False
herd_health_43,Herd Health Jobs,in_progress_43,In Progress,2,0.3,False
herd_health_43,Herd Health Jobs,completed_43,Completed,3,0.45,False
herd_health_43,Herd Health Jobs,invoiced_43,Invoiced,4,0.6,False
herd_health_43,Herd Health Jobs,paid_43,Paid,5,0.75,True
herd_health_43,Herd Health Jobs,cancelled_43,Cancelled,6,0.9,True
farm_calls_44,Farm Call Queue,requested_44,Requested,1,0.15,False
farm_calls_44,Farm Call Queue,confirmed_44,Confirmed,2,0.3,False
farm_calls_44,Farm Call Queue,en_route_44,En Route,3,0.45,False
farm_calls_44,Farm Call Queue,on_site_44,On Site,4,0.6,False
farm_calls_44,Farm Call Queue,closed_44,Closed,5,0.75,True
herd_health_45,Herd Health Jobs,scheduled_45,Scheduled,1,0.15,False
herd_health_45,Herd Health Jobs,in_progress_45,In Progress,2,0.3,False
herd_health_45,Herd Health Jobs,completed_45,Completed,3,0.45,False
herd_health_45,Herd Health Jobs,invoiced_45,Invoiced,4,0.6,False
herd_health_45,Herd Health Jobs,paid_45,Paid,5,0.75,True
herd_health_45,Herd Health Jobs,cancelled_45,Cancelled,6,0.9,True
farm_calls_46,Farm Call Queue,requested_46,Requested,1,0.15,False
farm_calls_46,Farm Call Queue,confirmed_46,Confirmed,2,0.3,False
farm_calls_46,Farm Call Queue,en_route_46,En Route,3,0.45,False
farm_calls_46,Farm Call Queue,on_site_46,On Site,4,0.6,False
farm_calls_46,Farm Call Queue,closed_46,Closed,5,0.75,True
herd_health_47,Herd Health Jobs,scheduled_47,Scheduled,1,0.15,False
herd_health_47,Herd Health Jobs,in_progress_47,In Progress,2,0.3,False
herd_health_47,Herd Health Jobs,completed_47,Completed,3,0.45,False
herd_health_47,Herd Health Jobs,invoiced_47,Invoiced,4,0.6,False
herd_health_47,Herd Health Jobs,paid_47,Paid,5,0.75,True
herd_health_47,Herd Health Jobs,cancelled_47,Cancelled,6,0.9,True
farm_calls_48,Farm Call Queue,requested_48,Requested,1,0.15,False
farm_calls_48,Farm Call Queue,confirmed_48,Confirmed,2,0.3,False
farm_calls_48,Farm Call Queue,en_route_48,En Route,3,0.45,False
farm_calls_48,Farm Call Queue,on_site_48,On Site,4,0.6,False
farm_calls_48,Farm Call Queue,closed_48,Closed,5,0.75,True
herd_health_49,Herd Health Jobs,scheduled_49,Scheduled,1,0.15,False
herd_health_49,Herd Health Jobs,in_progress_49,In Progress,2,0.3,False
herd_health_49,Herd Health Jobs,completed_49,Completed,3,0.45,False
herd_health_49,Herd Health Jobs,invoiced_49,Invoiced,4,0.6,False
herd_health_49,Herd Health Jobs,paid_49,Paid,5,0.75,True
herd_health_49,Herd Health Jobs,cancelled_49,Cancelled,6,0.9,True
farm_calls_50,Farm Call Queue,requested_50,Requested,1,0.15,False
farm_calls_50,Farm Call Queue,confirmed_50,Confirmed,2,0.3,False
farm_calls_50,Farm Call Queue,en_route_50,En Route,3,0.45,False
farm_calls_50,Farm Call Queue,on_site_50,On Site,4,0.6,False
farm_calls_50,Farm Call Queue,closed_50,Closed,5,0.75,True
herd_health_51,Herd Health Jobs,scheduled_51,Scheduled,1,0.15,False
herd_health_51,Herd Health Jobs,in_progress_51,In Progress,2,0.3,False
herd_health_51,Herd Health Jobs,completed_51,Completed,3,0.45,False
herd_health_51,Herd Health Jobs,invoiced_51,Invoiced,4,0.6,False
