row_id,date,category_letter,category,supervised,minutes,note,audit_action,reason
AT-2023-09-15-F3,2023-09-15,F,splinting_orthotics,N,75,wrist cock-up fab,duplicate,"duplicate of adjacent session, deduped"
AT-2023-09-15-F4,2023-09-15,F,splinting_orthotics,N,60,buddy strap adj,keep,
AT-2023-09-15-I1,2023-09-15,I,modality_supervision_only,N,60,FES obs,keep,
AT-2023-09-18-A1,2023-09-18,A,peripheral_nerve,N,60,graded exposure,keep,
AT-2023-09-18-H1,2023-09-18,H,pediatric,Y,30,peds bilateral,keep,
AT-2023-09-19-A1,2023-09-19,A,peripheral_nerve,Y,60,nerve mobilization,keep,
AT-2023-09-19-B1,2023-09-19,B,tendon,Y,60,extensor rehab,keep,
AT-2023-09-19-E1,2023-09-19,E,wound,Y,60,silicone gel,keep,
AT-2023-09-20-D1,2023-09-20,D,arthritis,N,45,energy conservation,keep,
AT-2023-09-20-F1,2023-09-20,F,splinting_orthotics,Y,45,buddy strap adj,keep,
AT-2023-09-20-I1,2023-09-20,I,modality_supervision_only,Y,45,iontophoresis obs,keep,
AT-2023-09-22-A1,2023-09-22,A,peripheral_nerve,N,60,desensitization,keep,
AT-2023-09-22-B1,2023-09-22,B,tendon,N,65,flexor post-op ROM,keep,
AT-2023-09-22-B2,2023-09-22,B,tendon,Y,60,differential glide,keep,
AT-2023-09-22-D1,2023-09-22,D,arthritis,N,65,energy conservation,keep,
AT-2023-09-22-D2,2023-09-22,D,arthritis,Y,65,joint protection,keep,
AT-2023-09-22-E1,2023-09-22,E,wound,Y,75,wound care f/u,keep,
AT-2023-09-22-E2,2023-09-22,E,wound,N,65,scar management,keep,
AT-2023-09-22-F1,2023-09-22,F,splinting_orthotics,Y,60,custom thermoplastic,keep,
AT-2023-09-22-F2,2023-09-22,F,splinting_orthotics,Y,50,dynamic outrigger,keep,
AT-2023-09-25-B1,2023-09-25,B,tendon,Y,60,strengthening prog,keep,
AT-2023-09-25-B2,2023-09-25,B,tendon,N,75,extensor rehab,keep,
AT-2023-09-25-C1,2023-09-25,C,fracture,Y,65,PIP joint work,keep,
AT-2023-09-25-F1,2023-09-25,F,splinting_orthotics,N,60,dynamic outrigger,keep,
AT-2023-09-26-A1,2023-09-26,A,peripheral_nerve,N,45,desensitization,keep,
AT-2023-09-26-A2,2023-09-26,A,peripheral_nerve,N,95,graded exposure,keep,
AT-2023-09-26-A3,2023-09-26,A,peripheral_nerve,Y,60,nerve mobilization,keep,
AT-2023-09-26-D1,2023-09-26,D,arthritis,Y,60,joint protection,keep,
AT-2023-09-26-I1,2023-09-26,I,modality_supervision_only,Y,65,FES obs,keep,
AT-2023-09-27-E1,2023-09-27,E,wound,Y,35,wound care f/u,keep,
AT-2023-09-27-F1,2023-09-27,F,splinting_orthotics,N,50,buddy strap adj,keep,
AT-2023-09-27-I1,2023-09-27,I,modality_supervision_only,N,50,paraffin only,keep,
AT-2023-09-28-G1,2023-09-28,G,amputation,N,30,pre-prosthetic,keep,
AT-2023-09-28-H1,2023-09-28,H,pediatric,N,65,peds bilateral,keep,
AT-2023-09-29-B1,2023-09-29,B,tendon,Y,50,differential glide,keep,
AT-2023-09-29-C1,2023-09-29,C,fracture,Y,50,distal radius rehab,keep,
AT-2023-09-29-C2,2023-09-29,C,fracture,Y,60,PIP joint work,keep,
AT-2023-09-29-E1,2023-09-29,E,wound,N,50,scar management,keep,
AT-2023-09-29-F1,2023-09-29,F,splinting_orthotics,Y,95,PIP capener,keep,
AT-2023-09-29-F2,2023-09-29,F,splinting_orthotics,N,60,buddy strap adj,keep,
AT-2023-09-29-F3,2023-09-29,F,splinting_orthotics,Y,45,dynamic outrigger,keep,
AT-2023-09-29-I1,2023-09-29,I,modality_supervision_only,Y,65,iontophoresis obs,keep,
AT-2023-09-29-J1,2023-09-29,J,other_eligible,Y,45,documentation cluster,keep,
AT-2023-10-02-A1,2023-10-02,A,peripheral_nerve,Y,60,nerve glide ROM,keep,
AT-2023-10-02-B1,2023-10-02,B,tendon,Y,60,extensor rehab,keep,
AT-2023-10-02-D1,2023-10-02,D,arthritis,Y,45,energy conservation,keep,
AT-2023-10-03-A1,2023-10-03,A,peripheral_nerve,N,60,sensory re-ed,keep,
AT-2023-10-03-D1,2023-10-03,D,arthritis,Y,60,CMC support,keep,
AT-2023-10-03-F1,2023-10-03,F,splinting_orthotics,Y,90,wrist cock-up fab,keep,
AT-2023-10-03-I1,2023-10-03,I,modality_supervision_only,Y,45,ultrasound obs,drop_eligibility,fails eligibility per Box memo 2026-09-24 - modality-supervision-only
AT-2023-10-04-A1,2023-10-04,A,peripheral_nerve,Y,30,nerve glide ROM,keep,
AT-2023-10-04-A2,2023-10-04,A,peripheral_nerve,N,60,sensory re-ed,reclassify_to_solo,supervised-in-building-not-in-room per Box memo 2026-09-24
AT-2023-10-04-C1,2023-10-04,C,fracture,Y,45,ORIF f/u,keep,
AT-2023-10-04-I1,2023-10-04,I,modality_supervision_only,Y,45,iontophoresis obs,keep,
AT-2023-10-05-B1,2023-10-05,B,tendon,Y,65,protective ROM,keep,
AT-2023-10-05-C1,2023-10-05,C,fracture,N,60,metacarpal ROM,keep,
AT-2023-10-05-E1,2023-10-05,E,wound,Y,30,wound care f/u,keep,
AT-2023-10-05-F1,2023-10-05,F,splinting_orthotics,N,30,dynamic outrigger,keep,
AT-2023-10-06-C1,2023-10-06,C,fracture,Y,75,metacarpal ROM,keep,
AT-2023-10-06-D1,2023-10-06,D,arthritis,N,60,thermoplastic thumb,keep,
AT-2023-10-06-E1,2023-10-06,E,wound,Y,50,MEM technique,keep,
AT-2023-10-06-E2,2023-10-06,E,wound,N,60,MEM technique,keep,
AT-2023-10-06-E3,2023-10-06,E,wound,Y,35,edema control,keep,
AT-2023-10-06-E4,2023-10-06,E,wound,N,50,silicone gel,keep,
AT-2023-10-06-F1,2023-10-06,F,splinting_orthotics,Y,45,dynamic outrigger,keep,
AT-2023-10-06-J1,2023-10-06,J,other_eligible,N,60,IDT participation,keep,
AT-2023-10-09-A1,2023-10-09,A,peripheral_nerve,Y,60,graded exposure,keep,
AT-2023-10-09-I1,2023-10-09,I,modality_supervision_only,N,60,ultrasound obs,keep,
AT-2023-10-10-B1,2023-10-10,B,tendon,Y,45,flexor post-op ROM,keep,
AT-2023-10-10-H1,2023-10-10,H,pediatric,Y,45,peds splinting,keep,
AT-2023-10-10-J1,2023-10-10,J,other_eligible,Y,60,documentation cluster,keep,
AT-2023-10-11-F1,2023-10-11,F,splinting_orthotics,N,65,buddy strap adj,keep,
AT-2023-10-11-I1,2023-10-11,I,modality_supervision_only,Y,90,paraffin only,keep,
AT-2023-10-11-I2,2023-10-11,I,modality_supervision_only,Y,90,FES obs,duplicate,"duplicate of adjacent session, deduped"
AT-2023-10-13-A1,2023-10-13,A,peripheral_nerve,Y,75,desensitization,keep,
AT-2023-10-13-A2,2023-10-13,A,peripheral_nerve,N,45,graded exposure,keep,
AT-2023-10-13-B1,2023-10-13,B,tendon,N,60,protective ROM,keep,
AT-2023-10-13-B2,2023-10-13,B,tendon,N,90,strengthening prog,keep,
AT-2023-10-13-C1,2023-10-13,C,fracture,N,30,scaphoid protection,keep,
AT-2023-10-13-C2,2023-10-13,C,fracture,N,60,ORIF f/u,keep,
AT-2023-10-13-C3,2023-10-13,C,fracture,Y,60,distal radius rehab,keep,
AT-2023-10-13-E1,2023-10-13,E,wound,Y,60,edema control,keep,
AT-2023-10-13-G1,2023-10-13,G,amputation,N,60,prosthetic training,keep,
AT-2023-10-13-J1,2023-10-13,J,other_eligible,Y,60,IDT participation,keep,
AT-2023-10-16-B1,2023-10-16,B,tendon,N,50,protective ROM,keep,
AT-2023-10-16-B2,2023-10-16,B,tendon,Y,45,protective ROM,keep,
AT-2023-10-16-E1,2023-10-16,E,wound,N,75,silicone gel,duplicate,"duplicate of adjacent session, deduped"
AT-2023-10-16-I1,2023-10-16,I,modality_supervision_only,N,45,aide-run modality,keep,
AT-2023-10-16-J1,2023-10-16,J,other_eligible,N,60,HEP review,keep,
AT-2023-10-17-C1,2023-10-17,C,fracture,Y,75,scaphoid protection,keep,
AT-2023-10-17-C2,2023-10-17,C,fracture,Y,50,distal radius rehab,keep,
AT-2023-10-17-E1,2023-10-17,E,wound,N,60,scar management,keep,
AT-2023-10-17-I1,2023-10-17,I,modality_supervision_only,N,45,ultrasound obs,duplicate,"duplicate of adjacent session, deduped"
AT-2023-10-17-J1,2023-10-17,J,other_eligible,Y,60,FCE partial,keep,
AT-2023-10-18-A1,2023-10-18,A,peripheral_nerve,N,80,sensory re-ed,keep,
AT-2023-10-19-B1,2023-10-19,B,tendon,N,60,flexor post-op ROM,keep,
AT-2023-10-19-B2,2023-10-19,B,tendon,Y,60,protective ROM,keep,
AT-2023-10-19-D1,2023-10-19,D,arthritis,Y,30,CMC support,keep,
AT-2023-10-19-F1,2023-10-19,F,splinting_orthotics,Y,65,wrist cock-up fab,reclassify_to_supervised,modality run under supervision per Box memo 2026-09-24
AT-2023-10-20-B1,2023-10-20,B,tendon,Y,45,flexor post-op ROM,keep,
AT-2023-10-20-C1,2023-10-20,C,fracture,Y,60,distal radius rehab,keep,
AT-2023-10-20-E1,2023-10-20,E,wound,N,60,scar management,keep,
AT-2023-10-20-F1,2023-10-20,F,splinting_orthotics,Y,50,PIP capener,keep,
AT-2023-10-20-I1,2023-10-20,I,modality_supervision_only,N,45,aide-run modality,keep,
AT-2023-10-20-J1,2023-10-20,J,other_eligible,N,60,documentation cluster,keep,
AT-2023-10-23-B1,2023-10-23,B,tendon,N,60,strengthening prog,keep,
AT-2023-10-23-B2,2023-10-23,B,tendon,Y,45,differential glide,keep,
AT-2023-10-23-D1,2023-10-23,D,arthritis,Y,45,CMC support,keep,
AT-2023-10-23-I1,2023-10-23,I,modality_supervision_only,N,95,iontophoresis obs,keep,
AT-2023-10-24-A1,2023-10-24,A,peripheral_nerve,Y,75,nerve mobilization,keep,
AT-2023-10-24-G1,2023-10-24,G,amputation,Y,45,phantom desens,keep,
AT-2023-10-24-I1,2023-10-24,I,modality_supervision_only,N,60,FES obs,keep,
AT-2023-10-25-E1,2023-10-25,E,wound,Y,75,edema control,keep,
AT-2023-10-25-J1,2023-10-25,J,other_eligible,N,60,HEP review,keep,
AT-2023-10-26-A1,2023-10-26,A,peripheral_nerve,Y,65,desensitization,keep,
AT-2023-10-26-B1,2023-10-26,B,tendon,Y,45,flexor post-op ROM,keep,
AT-2023-10-26-B2,2023-10-26,B,tendon,Y,90,protective ROM,keep,
AT-2023-10-26-J1,2023-10-26,J,other_eligible,N,65,FCE partial,keep,
AT-2023-10-27-B1,2023-10-27,B,tendon,N,45,flexor post-op ROM,keep,
AT-2023-10-27-B2,2023-10-27,B,tendon,N,45,extensor rehab,keep,
AT-2023-10-27-D1,2023-10-27,D,arthritis,Y,60,thermoplastic thumb,keep,
AT-2023-10-27-I1,2023-10-27,I,modality_supervision_only,Y,90,aide-run modality,keep,
AT-2023-10-27-I2,2023-10-27,I,modality_supervision_only,N,35,ultrasound obs,keep,
AT-2023-10-27-J1,2023-10-27,J,other_eligible,N,60,assessment,keep,
AT-2023-10-30-A1,2023-10-30,A,peripheral_nerve,Y,65,graded exposure,keep,
AT-2023-10-30-B1,2023-10-30,B,tendon,N,45,protective ROM,keep,
AT-2023-10-30-C1,2023-10-30,C,fracture,Y,80,distal radius rehab,keep,
AT-2023-10-30-H1,2023-10-30,H,pediatric,Y,45,peds splinting,keep,
AT-2023-10-30-I1,2023-10-30,I,modality_supervision_only,Y,45,iontophoresis obs,keep,
AT-2023-10-31-A1,2023-10-31,A,peripheral_nerve,N,30,desensitization,keep,
AT-2023-10-31-C1,2023-10-31,C,fracture,Y,65,ORIF f/u,keep,
AT-2023-10-31-C2,2023-10-31,C,fracture,Y,50,metacarpal ROM,keep,
AT-2023-10-31-D1,2023-10-31,D,arthritis,N,30,energy conservation,keep,
AT-2023-10-31-I1,2023-10-31,I,modality_supervision_only,Y,60,iontophoresis obs,keep,
AT-2023-11-02-B1,2023-11-02,B,tendon,N,65,protective ROM,keep,
AT-2023-11-02-I1,2023-11-02,I,modality_supervision_only,N,65,iontophoresis obs,keep,
AT-2023-11-03-A1,2023-11-03,A,peripheral_nerve,Y,45,nerve mobilization,keep,
AT-2023-11-03-A2,2023-11-03,A,peripheral_nerve,N,60,desensitization,keep,
AT-2023-11-03-B1,2023-11-03,B,tendon,N,50,strengthening prog,keep,
AT-2023-11-03-G1,2023-11-03,G,amputation,N,60,pre-prosthetic,keep,
AT-2023-11-06-B1,2023-11-06,B,tendon,N,45,extensor rehab,keep,
AT-2023-11-06-C1,2023-11-06,C,fracture,Y,60,scaphoid protection,keep,
AT-2023-11-06-D1,2023-11-06,D,arthritis,N,60,thermoplastic thumb,keep,
AT-2023-11-07-B1,2023-11-07,B,tendon,Y,60,protective ROM,keep,
AT-2023-11-07-B2,2023-11-07,B,tendon,N,60,protective ROM,keep,
AT-2023-11-07-D1,2023-11-07,D,arthritis,N,65,RA hand pack,keep,
AT-2023-11-07-F1,2023-11-07,F,splinting_orthotics,Y,45,wrist cock-up fab,duplicate,"duplicate of adjacent session, deduped"
AT-2023-11-09-B1,2023-11-09,B,tendon,N,45,strengthening prog,keep,
AT-2023-11-09-F1,2023-11-09,F,splinting_orthotics,Y,90,dynamic outrigger,duplicate,"duplicate of adjacent session, deduped"
AT-2023-11-10-B1,2023-11-10,B,tendon,Y,60,strengthening prog,keep,
AT-2023-11-10-F1,2023-11-10,F,splinting_orthotics,Y,60,buddy strap adj,keep,
AT-2023-11-10-I1,2023-11-10,I,modality_supervision_only,N,30,ultrasound obs,keep,
AT-2023-11-10-I2,2023-11-10,I,modality_supervision_only,N,90,paraffin only,keep,
AT-2023-11-10-J1,2023-11-10,J,other_eligible,Y,90,FCE partial,keep,
AT-2023-11-13-B1,2023-11-13,B,tendon,Y,95,strengthening prog,keep,
AT-2023-11-13-D1,2023-11-13,D,arthritis,Y,50,joint protection,keep,
AT-2023-11-13-F1,2023-11-13,F,splinting_orthotics,Y,45,custom thermoplastic,keep,
AT-2023-11-14-E1,2023-11-14,E,wound,Y,60,wound care f/u,keep,
AT-2023-11-15-J1,2023-11-15,J,other_eligible,N,60,IDT participation,keep,
AT-2023-11-16-A1,2023-11-16,A,peripheral_nerve,N,90,graded exposure,keep,
AT-2023-11-17-A1,2023-11-17,A,peripheral_nerve,Y,60,graded exposure,keep,
AT-2023-11-17-A2,2023-11-17,A,peripheral_nerve,Y,60,nerve glide ROM,keep,
AT-2023-11-17-A3,2023-11-17,A,peripheral_nerve,N,45,sensory re-ed,keep,
AT-2023-11-17-A4,2023-11-17,A,peripheral_nerve,Y,45,nerve glide ROM,keep,
AT-2023-11-17-E1,2023-11-17,E,wound,N,60,wound care f/u,keep,
AT-2023-11-17-E2,2023-11-17,E,wound,Y,65,scar management,keep,
AT-2023-11-17-F1,2023-11-17,F,splinting_orthotics,N,65,PIP capener,keep,
AT-2023-11-17-F2,2023-11-17,F,splinting_orthotics,Y,65,dynamic outrigger,keep,
AT-2023-11-17-I1,2023-11-17,I,modality_supervision_only,Y,80,paraffin only,keep,
AT-2023-11-20-A1,2023-11-20,A,peripheral_nerve,N,45,nerve glide ROM,keep,
AT-2023-11-20-A2,2023-11-20,A,peripheral_nerve,Y,65,desensitization,keep,
AT-2023-11-20-F1,2023-11-20,F,splinting_orthotics,N,60,buddy strap adj,keep,
AT-2023-11-20-G1,2023-11-20,G,amputation,Y,75,pre-prosthetic,keep,
AT-2023-11-21-C1,2023-11-21,C,fracture,N,75,distal radius rehab,keep,
AT-2023-11-21-C2,2023-11-21,C,fracture,N,65,scaphoid protection,keep,
AT-2023-11-21-E1,2023-11-21,E,wound,N,60,MEM technique,keep,
AT-2023-11-21-I1,2023-11-21,I,modality_supervision_only,N,60,paraffin only,duplicate,"duplicate of adjacent session, deduped"
AT-2023-11-22-A1,2023-11-22,A,peripheral_nerve,N,60,nerve glide ROM,keep,
AT-2023-11-22-B1,2023-11-22,B,tendon,Y,60,protective ROM,keep,
AT-2023-11-22-F1,2023-11-22,F,splinting_orthotics,Y,50,custom thermoplastic,keep,
AT-2023-11-22-J1,2023-11-22,J,other_eligible,Y,80,IDT participation,keep,
AT-2023-11-22-J2,2023-11-22,J,other_eligible,N,45,IDT participation,keep,
AT-2023-11-23-A1,2023-11-23,A,peripheral_nerve,Y,60,graded exposure,keep,
AT-2023-11-24-A1,2023-11-24,A,peripheral_nerve,Y,65,graded exposure,keep,
AT-2023-11-24-C1,2023-11-24,C,fracture,N,65,scaphoid protection,keep,
AT-2023-11-24-E1,2023-11-24,E,wound,Y,65,edema control,keep,
AT-2023-11-24-H1,2023-11-24,H,pediatric,N,60,peds splinting,keep,
AT-2023-11-24-I1,2023-11-24,I,modality_supervision_only,N,60,iontophoresis obs,keep,
AT-2023-11-24-J1,2023-11-24,J,other_eligible,N,60,assessment,keep,
AT-2023-11-28-A1,2023-11-28,A,peripheral_nerve,Y,65,desensitization,keep,
AT-2023-11-28-E1,2023-11-28,E,wound,Y,45,silicone gel,keep,
AT-2023-11-28-F1,2023-11-28,F,splinting_orthotics,Y,75,custom thermoplastic,keep,
AT-2023-11-28-F2,2023-11-28,F,splinting_orthotics,Y,60,buddy strap adj,keep,
AT-2023-11-29-A1,2023-11-29,A,peripheral_nerve,N,60,graded exposure,keep,
AT-2023-11-29-C1,2023-11-29,C,fracture,N,95,metacarpal ROM,keep,
AT-2023-11-29-E1,2023-11-29,E,wound,Y,45,silicone gel,keep,
AT-2023-11-29-G1,2023-11-29,G,amputation,Y,35,shrinker fitting,keep,
AT-2023-11-29-J1,2023-11-29,J,other_eligible,Y,50,FCE partial,keep,
AT-2023-11-29-J2,2023-11-29,J,other_eligible,Y,60,assessment,keep,
AT-2023-11-30-B1,2023-11-30,B,tendon,Y,60,strengthening prog,keep,
AT-2023-11-30-F1,2023-11-30,F,splinting_orthotics,N,95,dynamic outrigger,keep,
AT-2023-12-01-A1,2023-12-01,A,peripheral_nerve,N,75,graded exposure,keep,
AT-2023-12-01-B1,2023-12-01,B,tendon,Y,90,protective ROM,keep,
AT-2023-12-01-B2,2023-12-01,B,tendon,Y,45,flexor post-op ROM,keep,
AT-2023-12-01-B3,2023-12-01,B,tendon,Y,90,differential glide,keep,
AT-2023-12-01-C1,2023-12-01,C,fracture,N,90,PIP joint work,keep,
AT-2023-12-01-D1,2023-12-01,D,arthritis,Y,30,thermoplastic thumb,keep,
AT-2023-12-01-D2,2023-12-01,D,arthritis,N,45,CMC support,keep,
AT-2023-12-01-E1,2023-12-01,E,wound,Y,60,scar management,keep,
AT-2023-12-01-E2,2023-12-01,E,wound,Y,65,silicone gel,keep,
AT-2023-12-01-F1,2023-12-01,F,splinting_orthotics,Y,45,PIP capener,keep,
AT-2023-12-01-J1,2023-12-01,J,other_eligible,N,35,FCE partial,keep,
AT-2023-12-06-A1,2023-12-06,A,peripheral_nerve,Y,60,sensory re-ed,keep,
AT-2023-12-06-I1,2023-12-06,I,modality_supervision_only,N,45,iontophoresis obs,keep,
AT-2023-12-07-B1,2023-12-07,B,tendon,Y,90,flexor post-op ROM,keep,
AT-2023-12-07-E1,2023-12-07,E,wound,N,35,MEM technique,keep,
AT-2023-12-08-A1,2023-12-08,A,peripheral_nerve,Y,60,sensory re-ed,keep,
AT-2023-12-08-B1,2023-12-08,B,tendon,Y,30,protective ROM,keep,
AT-2023-12-08-B2,2023-12-08,B,tendon,Y,60,differential glide,keep,
AT-2023-12-08-B3,2023-12-08,B,tendon,N,30,flexor post-op ROM,keep,
AT-2023-12-08-B4,2023-12-08,B,tendon,N,75,flexor post-op ROM,keep,
AT-2023-12-08-E1,2023-12-08,E,wound,N,30,wound care f/u,keep,
AT-2023-12-08-E2,2023-12-08,E,wound,N,30,edema control,keep,
AT-2023-12-08-F1,2023-12-08,F,splinting_orthotics,Y,65,custom thermoplastic,keep,
AT-2023-12-08-H1,2023-12-08,H,pediatric,N,30,peds bilateral,keep,
AT-2023-12-08-I1,2023-12-08,I,modality_supervision_only,N,60,FES obs,keep,
AT-2023-12-11-C1,2023-12-11,C,fracture,N,60,metacarpal ROM,keep,
AT-2023-12-13-A1,2023-12-13,A,peripheral_nerve,Y,30,desensitization,keep,
AT-2023-12-13-B1,2023-12-13,B,tendon,Y,95,strengthening prog,keep,
AT-2023-12-15-A1,2023-12-15,A,peripheral_nerve,N,65,nerve glide ROM,keep,
AT-2023-12-15-B1,2023-12-15,B,tendon,N,95,flexor post-op ROM,keep,
AT-2023-12-15-B2,2023-12-15,B,tendon,N,75,strengthening prog,keep,
AT-2023-12-15-C1,2023-12-15,C,fracture,Y,60,PIP joint work,keep,
AT-2023-12-15-F1,2023-12-15,F,splinting_orthotics,Y,60,PIP capener,keep,
AT-2023-12-15-F2,2023-12-15,F,splinting_orthotics,Y,60,buddy strap adj,keep,
AT-2023-12-15-F3,2023-12-15,F,splinting_orthotics,N,30,dynamic outrigger,keep,
AT-2023-12-15-G1,2023-12-15,G,amputation,Y,90,phantom desens,keep,
AT-2023-12-15-I1,2023-12-15,I,modality_supervision_only,Y,60,iontophoresis obs,keep,
AT-2023-12-15-J1,2023-12-15,J,other_eligible,Y,60,assessment,keep,
AT-2023-12-15-J2,2023-12-15,J,other_eligible,Y,90,assessment,keep,
AT-2023-12-18-A1,2023-12-18,A,peripheral_nerve,N,80,graded exposure,keep,
AT-2023-12-18-I1,2023-12-18,I,modality_supervision_only,N,65,ultrasound obs,keep,
AT-2023-12-19-B1,2023-12-19,B,tendon,N,90,flexor post-op ROM,keep,
AT-2023-12-20-C1,2023-12-20,C,fracture,Y,30,scaphoid protection,keep,
AT-2023-12-20-I1,2023-12-20,I,modality_supervision_only,Y,65,ultrasound obs,keep,
AT-2023-12-21-A1,2023-12-21,A,peripheral_nerve,Y,50,desensitization,keep,
AT-2023-12-21-B1,2023-12-21,B,tendon,N,60,extensor rehab,keep,
AT-2023-12-21-B2,2023-12-21,B,tendon,Y,30,protective ROM,keep,
AT-2023-12-21-B3,2023-12-21,B,tendon,Y,45,flexor post-op ROM,keep,
AT-2023-12-21-F1,2023-12-21,F,splinting_orthotics,Y,45,buddy strap adj,keep,
AT-2023-12-21-H1,2023-12-21,H,pediatric,Y,60,peds bilateral,keep,
AT-2023-12-21-I1,2023-12-21,I,modality_supervision_only,Y,45,aide-run modality,drop_eligibility,fails eligibility per Box memo 2026-09-24 - modality-supervision-only
AT-2023-12-22-B1,2023-12-22,B,tendon,N,45,strengthening prog,keep,
AT-2023-12-22-B2,2023-12-22,B,tendon,Y,60,strengthening prog,keep,
AT-2023-12-22-C1,2023-12-22,C,fracture,Y,45,metacarpal ROM,keep,
AT-2023-12-22-E1,2023-12-22,E,wound,Y,35,wound care f/u,keep,
AT-2023-12-22-F1,2023-12-22,F,splinting_orthotics,N,45,wrist cock-up fab,keep,
AT-2023-12-25-A1,2023-12-25,A,peripheral_nerve,Y,60,nerve glide ROM,keep,
AT-2023-12-25-B1,2023-12-25,B,tendon,Y,45,strengthening prog,keep,
AT-2023-12-25-B2,2023-12-25,B,tendon,N,45,differential glide,keep,
AT-2023-12-25-C1,2023-12-25,C,fracture,Y,50,distal radius rehab,keep,
AT-2023-12-26-A1,2023-12-26,A,peripheral_nerve,Y,50,graded exposure,keep,
AT-2023-12-26-A2,2023-12-26,A,peripheral_nerve,Y,50,nerve mobilization,keep,
AT-2023-12-26-F1,2023-12-26,F,splinting_orthotics,N,45,PIP capener,duplicate,"duplicate of adjacent session, deduped"
AT-2023-12-27-B1,2023-12-27,B,tendon,N,75,strengthening prog,keep,
AT-2023-12-28-B1,2023-12-28,B,tendon,Y,60,extensor rehab,keep,
AT-2023-12-28-J1,2023-12-28,J,other_eligible,N,80,documentation cluster,keep,
AT-2023-12-29-E1,2023-12-29,E,wound,Y,75,MEM technique,keep,
AT-2023-12-29-F1,2023-12-29,F,splinting_orthotics,Y,50,PIP capener,keep,
AT-2023-12-29-G1,2023-12-29,G,amputation,N,60,prosthetic training,keep,
AT-2023-12-29-J1,2023-12-29,J,other_eligible,N,45,FCE partial,keep,
AT-2023-12-29-J2,2023-12-29,J,other_eligible,Y,60,FCE partial,keep,
AT-2024-01-01-A1,2024-01-01,A,peripheral_nerve,N,45,nerve glide ROM,keep,
AT-2024-01-01-B1,2024-01-01,B,tendon,N,50,strengthening prog,keep,
AT-2024-01-01-E1,2024-01-01,E,wound,Y,60,scar management,keep,
AT-2024-01-01-I1,2024-01-01,I,modality_supervision_only,N,30,ultrasound obs,keep,
AT-2024-01-02-B1,2024-01-02,B,tendon,Y,95,strengthening prog,keep,
AT-2024-01-02-E1,2024-01-02,E,wound,N,45,scar management,keep,
AT-2024-01-02-I1,2024-01-02,I,modality_supervision_only,N,45,iontophoresis obs,keep,
AT-2024-01-02-I2,2024-01-02,I,modality_supervision_only,N,60,aide-run modality,drop_eligibility,fails eligibility per Box memo 2026-09-24 - modality-supervision-only
AT-2024-01-03-C1,2024-01-03,C,fracture,N,45,distal radius rehab,keep,
