Id,Name,Industry,AnnualRevenue,Phone,Website,BillingCity,BillingState,NumberOfEmployees
001Ax0000000000059,Center Point Civic Trust Holdings 79,Architecture,2400000,+1-205-555-7738,,Bessemer,AL,22
001Ax0000000000060,Berry Family Trust,Education,500000,+1-205-555-8240,,Center Point,AL,14
001Ax0000000000061,Brent Banking Group LLC 85,Construction,500000,+1-205-555-2929,,Tuscaloosa,AL,22
001Ax0000000000062,Sweet Water Heritage LLC 19,Healthcare,9600000,+1-205-555-3211,,Tarrant,AL,1
001Ax0000000000063,Magnolia Heights Hospital,Insurance,0,+1-205-555-9305,,Hoover,AL,110
001Ax0000000000064,Sylacauga Heritage,Manufacturing,1200000,+1-205-555-4321,,Birmingham,AL,8
001Ax0000000000065,Bermuda Educational Group 31,Media,4800000,+1-205-555-1890,,Hoover,AL,8
001Ax0000000000066,Cordova Heritage,Construction,9600000,+1-205-555-2707,,Tarrant,AL,38
001Ax0000000000067,Greensboro Insurance Group 15,Marketing,0,+1-205-555-3813,,Bessemer,AL,8
001Ax0000000000068,Opelika Manufacturing,Architecture,500000,+1-205-555-8946,,Bessemer,AL,8
001Ax0000000000069,Sumiton Holdings Trust 60,Religious Organization,500000,+1-205-555-4534,,Hoover,AL,22
001Ax0000000000070,Reform Holdings,Civic Organization,4800000,+1-205-555-3922,,Vestavia Hills,AL,14
001Ax0000000000071,Sloss Furnaces Preservation LLC 5,Healthcare,0,+1-205-555-2674,,Center Point,AL,110
001Ax0000000000072,Mountain Brook Country Club,Marketing,9600000,+1-205-555-3494,,Tuscaloosa,AL,110
001Ax0000000000073,West Blocton Civic Trust,Architecture,2400000,+1-205-555-8205,,Tarrant,AL,8
001Ax0000000000074,Possum Bend Insurance Group 99,Healthcare,2400000,+1-205-555-5828,,Mountain Brook,AL,38
001Ax0000000000075,Center Point Civic Trust Group 73,Retail,500000,+1-205-555-6188,,Hoover,AL,8
001Ax0000000000076,Moundville Educational Trust 49,Architecture,9600000,+1-205-555-7976,,Tuscaloosa,AL,8
001Ax0000000000077,Hueytown Insurance Group 75,Manufacturing,500000,+1-205-555-5302,,Center Point,AL,60
001Ax0000000000078,Ridgewood Educational Trust Trust 19,Retail,4800000,+1-205-555-9510,,Mountain Brook,AL,14
001Ax0000000000079,Carbon Hill Holdings,Insurance,4800000,+1-205-555-6838,,Bessemer,AL,1
001Ax0000000000080,Chickasaw Civic Society,Insurance,1200000,+1-205-555-3768,,Hoover,AL,22
001Ax0000000000081,Chickasaw Civic Society Trust 86,Legal,500000,+1-205-555-1648,,Mountain Brook,AL,110
001Ax0000000000082,Megargel Insurance,Hospitality,2400000,+1-205-555-6406,,Birmingham,AL,38
001Ax0000000000083,Hueytown Iron Works LLC 22,Religious Organization,9600000,+1-205-555-7066,,Tuscaloosa,AL,110
001Ax0000000000084,Helena Lakeside Resort Holdings 19,Finance,4800000,+1-205-555-3087,,Mountain Brook,AL,4
001Ax0000000000085,Adamsville Holdings,Healthcare,1200000,+1-205-555-6499,,Hoover,AL,8
001Ax0000000000086,Tuscaloosa Banking Group,Media,1200000,+1-205-555-3208,,Mountain Brook,AL,110
001Ax0000000000087,Magnolia Heights Hospital Trust 10,Media,0,+1-205-555-7543,,Vestavia Hills,AL,8
001Ax0000000000088,Daphne Banking Group,Marketing,1200000,+1-205-555-1527,,Hoover,AL,14
001Ax0000000000089,Foley Holdings,Media,0,+1-205-555-9409,,Mountain Brook,AL,4
001Ax0000000000090,Berry Family Trust Group 25,Education,0,+1-205-555-8375,,Birmingham,AL,1
001Ax0000000000091,Prichard Improvement Fund,Manufacturing,1200000,+1-205-555-2409,,Mountain Brook,AL,110
001Ax0000000000092,Moundville Educational Group 45,Manufacturing,2400000,+1-205-555-2147,,Birmingham,AL,60
001Ax0000000000093,Bessemer Family Practice,Education,4800000,+1-205-555-8385,,Alabaster,AL,14
001Ax0000000000094,Berry Family Trust Holdings 89,Insurance,4800000,+1-205-555-2719,,Mountain Brook,AL,4
001Ax0000000000095,Brent Banking Group LLC 89,Retail,2400000,+1-205-555-6977,,Trussville,AL,60
001Ax0000000000096,Carbon Hill Real Estate Group 94,Religious Organization,1200000,+1-205-555-4557,,Center Point,AL,14
001Ax0000000000097,Sylacauga Heritage LLC 91,Media,2400000,+1-205-555-4210,,Trussville,AL,8
001Ax0000000000098,Fairfield Education Coalition,Manufacturing,9600000,+1-205-555-8128,,Pelham,AL,1
001Ax0000000000099,Birmingham Civic Review Holdings 22,Education,4800000,+1-205-555-5249,,Bessemer,AL,60
001Ax0000000000100,Sweet Water Heritage Holdings 99,Hospitality,1200000,+1-205-555-3397,,Trussville,AL,8
001Ax0000000000101,Dora Logistics Trust 41,Manufacturing,1200000,+1-205-555-3632,,Center Point,AL,8
001Ax0000000000102,Spanish Fort Real Estate,Civic Organization,500000,+1-205-555-6888,,Bessemer,AL,14
001Ax0000000000103,Cordova Family Trust Trust 98,Healthcare,0,+1-205-555-1829,,Hoover,AL,60
001Ax0000000000104,Wallace Logistics Trust 94,Architecture,0,+1-205-555-2829,,Hoover,AL,4
001Ax0000000000105,Pelham Logistics,Manufacturing,0,+1-205-555-2481,,Bessemer,AL,14
001Ax0000000000106,Pineville Civic Trust,Real Estate,0,+1-205-555-7373,,Alabaster,AL,22
001Ax0000000000107,Cornerstone Press,Retail,500000,+1-205-555-9391,,Mountain Brook,AL,60
001Ax0000000000108,Sumiton Hospitality,Education,500000,+1-205-555-8774,,Center Point,AL,8
001Ax0000000000109,Hamburg Insurance Group 74,Hospitality,2400000,+1-205-555-5117,,Bessemer,AL,4
