id,issue_number,repo,user,body,created_at
3000000114,203,brianhenderson/etl-jobs,sthompson,"See CI logs.",2026-10-05T00:00:00Z
3000000115,201,windbridge-partners/power-calc,mstevens,"LGTM.",2026-09-25T00:00:00Z
3000000116,204,windbridge-partners/sample-tracker,dmiller,"Needs rebase.",2026-01-09T00:00:00Z
3000000117,206,brianhenderson/viz-components,rfoster,"Fixed in latest push.",2026-02-17T00:00:00Z
3000000118,203,brianhenderson/survival-models,jarcher,"Reproduced locally.",2026-05-25T00:00:00Z
3000000119,205,windbridge-partners/sample-tracker,mstevens,"See CI logs.",2026-03-07T00:00:00Z
3000000120,201,windbridge-partners/clinical-reports,brianhenderson,"Reproduced locally.",2026-01-11T00:00:00Z
3000000121,202,windbridge-partners/power-calc,jpowell,"LGTM.",2026-10-02T00:00:00Z
3000000122,201,windbridge-partners/biostat-notebooks,mstevens,"See CI logs.",2026-04-24T00:00:00Z
3000000123,203,windbridge-partners/sample-tracker,klee,"Fixed in latest push.",2026-07-04T00:00:00Z
3000000124,205,windbridge-partners/analysis-utils,rfoster,"Thanks for the fix.",2026-06-15T00:00:00Z
3000000125,204,windbridge-partners/analysis-utils,mstevens,"Thanks for the fix.",2026-01-09T00:00:00Z
3000000126,201,brianhenderson/viz-components,mstevens,"Approved.",2026-07-14T00:00:00Z
3000000127,203,windbridge-partners/qc-pipeline,jpowell,"Thanks for the fix.",2026-07-18T00:00:00Z
3000000128,202,windbridge-partners/sample-tracker,mstevens,"Fixed in latest push.",2026-01-02T00:00:00Z
3000000129,203,brianhenderson/etl-jobs,jarcher,"LGTM.",2026-06-12T00:00:00Z
3000000130,201,windbridge-partners/mrna4157-analysis,dmiller,"Fixed in latest push.",2026-02-19T00:00:00Z
3000000131,201,windbridge-partners/dashboard-api,jarcher,"See CI logs.",2026-06-27T00:00:00Z
3000000132,203,windbridge-partners/sample-tracker,klee,"LGTM.",2026-07-27T00:00:00Z
3000000133,201,brianhenderson/survival-models,jpowell,"Fixed in latest push.",2026-09-03T00:00:00Z
3000000134,201,windbridge-partners/mrna4157-analysis,rfoster,"Needs rebase.",2026-10-24T00:00:00Z
3000000135,201,windbridge-partners/clinical-reports,awong,"Reproduced locally.",2026-05-20T00:00:00Z
3000000136,203,brianhenderson/survival-models,mstevens,"LGTM.",2026-06-07T00:00:00Z
3000000137,202,brianhenderson/stats-toolkit,dmiller,"Thanks for the fix.",2026-10-09T00:00:00Z
3000000138,203,brianhenderson/manuscript-tools,jarcher,"See CI logs.",2026-07-05T00:00:00Z
3000000139,201,windbridge-partners/grant-templates,brianhenderson,"Needs rebase.",2026-02-18T00:00:00Z
3000000140,203,brianhenderson/viz-components,mstevens,"Can you add a test?",2026-05-10T00:00:00Z
3000000141,204,brianhenderson/ivf-data-tracker,rfoster,"Fixed in latest push.",2026-03-07T00:00:00Z
3000000142,204,windbridge-partners/dashboard-api,brianhenderson,"Thanks for the fix.",2026-09-03T00:00:00Z
3000000143,202,windbridge-partners/ci-config,klee,"Reproduced locally.",2026-04-21T00:00:00Z
3000000144,201,windbridge-partners/biostat-notebooks,klee,"Reproduced locally.",2026-06-21T00:00:00Z
3000000145,206,windbridge-partners/dashboard-api,rfoster,"See CI logs.",2026-09-09T00:00:00Z
3000000146,201,brianhenderson/report-generator,rfoster,"Fixed in latest push.",2026-09-10T00:00:00Z
3000000147,205,brianhenderson/protocol-docs,dmiller,"Thanks for the fix.",2026-03-09T00:00:00Z
3000000148,207,brianhenderson/viz-components,jarcher,"Fixed in latest push.",2026-07-02T00:00:00Z
3000000149,201,windbridge-partners/power-calc,awong,"Can you add a test?",2026-07-22T00:00:00Z
3000000150,203,brianhenderson/ivf-data-tracker,sthompson,"Fixed in latest push.",2026-04-04T00:00:00Z
3000000151,202,windbridge-partners/dataviz-pipeline,sthompson,"Needs rebase.",2026-08-19T00:00:00Z
3000000152,202,windbridge-partners/power-calc,rfoster,"Thanks for the fix.",2026-10-25T00:00:00Z
3000000153,201,windbridge-partners/infra-terraform,klee,"Needs rebase.",2026-05-08T00:00:00Z
3000000154,202,windbridge-partners/nejm-manuscript,mstevens,"Can you add a test?",2026-01-22T00:00:00Z
3000000155,201,windbridge-partners/back-pain-analysis,jarcher,"Approved.",2026-06-14T00:00:00Z
3000000156,203,windbridge-partners/biostat-notebooks,brianhenderson,"Fixed in latest push.",2026-01-13T00:00:00Z
3000000157,205,brianhenderson/lab-inventory,dmiller,"See CI logs.",2026-08-19T00:00:00Z
3000000158,202,brianhenderson/lab-inventory,rfoster,"Approved.",2026-06-18T00:00:00Z
3000000159,204,brianhenderson/protocol-docs,awong,"Fixed in latest push.",2026-08-01T00:00:00Z
3000000160,201,windbridge-partners/biostat-notebooks,rfoster,"Needs rebase.",2026-04-09T00:00:00Z
3000000161,204,windbridge-partners/infra-terraform,jpowell,"Fixed in latest push.",2026-06-01T00:00:00Z
3000000162,202,brianhenderson/stats-toolkit,awong,"Can you add a test?",2026-03-25T00:00:00Z
3000000163,207,windbridge-partners/analysis-utils,awong,"Thanks for the fix.",2026-05-06T00:00:00Z
3000000164,203,brianhenderson/lab-inventory,klee,"See CI logs.",2026-08-05T00:00:00Z
3000000165,202,brianhenderson/manuscript-tools,rfoster,"Needs rebase.",2026-04-02T00:00:00Z
3000000166,201,windbridge-partners/dashboard-api,brianhenderson,"LGTM.",2026-06-26T00:00:00Z
3000000167,201,windbridge-partners/biostat-notebooks,jpowell,"LGTM.",2026-07-22T00:00:00Z
3000000168,202,windbridge-partners/data-cleaning,rbarrera,"Reproduced locally.",2026-07-14T00:00:00Z
3000000169,202,windbridge-partners/analysis-utils,mstevens,"Needs rebase.",2026-07-02T00:00:00Z
3000000170,203,windbridge-partners/qc-pipeline,jpowell,"See CI logs.",2026-06-23T00:00:00Z
3000000171,203,windbridge-partners/qc-pipeline,rfoster,"See CI logs.",2026-02-03T00:00:00Z
3000000172,203,brianhenderson/viz-components,sthompson,"See CI logs.",2026-06-23T00:00:00Z
3000000173,201,windbridge-partners/analysis-utils,awong,"Needs rebase.",2026-03-10T00:00:00Z
3000000174,203,brianhenderson/stats-toolkit,awong,"Approved.",2026-08-23T00:00:00Z
3000000175,206,brianhenderson/viz-components,jpowell,"Fixed in latest push.",2026-03-01T00:00:00Z
3000000176,202,brianhenderson/lab-inventory,sthompson,"LGTM.",2026-04-08T00:00:00Z
3000000177,204,windbridge-partners/sample-tracker,mstevens,"Reproduced locally.",2026-07-05T00:00:00Z
3000000178,203,windbridge-partners/analysis-utils,jarcher,"Approved.",2026-06-11T00:00:00Z
3000000179,202,windbridge-partners/ml-baselines,klee,"Approved.",2026-09-10T00:00:00Z
3000000180,202,brianhenderson/manuscript-tools,jarcher,"Reproduced locally.",2026-04-22T00:00:00Z
3000000181,206,windbridge-partners/infra-terraform,rbarrera,"Can you add a test?",2026-08-07T00:00:00Z
3000000182,201,windbridge-partners/clinical-reports,awong,"Thanks for the fix.",2026-02-01T00:00:00Z
3000000183,203,windbridge-partners/biostat-notebooks,sthompson,"Thanks for the fix.",2026-03-01T00:00:00Z
3000000184,204,brianhenderson/etl-jobs,jarcher,"See CI logs.",2026-02-01T00:00:00Z
3000000185,202,windbridge-partners/clinical-reports,brianhenderson,"Fixed in latest push.",2026-04-05T00:00:00Z
3000000186,202,brianhenderson/report-generator,rbarrera,"Reproduced locally.",2026-10-22T00:00:00Z
3000000187,207,windbridge-partners/analysis-utils,rfoster,"Needs rebase.",2026-06-11T00:00:00Z
3000000188,202,brianhenderson/viz-components,brianhenderson,"Approved.",2026-05-20T00:00:00Z
3000000189,203,brianhenderson/viz-components,dmiller,"Needs rebase.",2026-06-17T00:00:00Z
3000000190,206,brianhenderson/protocol-docs,mstevens,"Needs rebase.",2026-08-11T00:00:00Z
3000000191,202,windbridge-partners/qc-pipeline,rbarrera,"Fixed in latest push.",2026-04-02T00:00:00Z
3000000192,203,windbridge-partners/clinical-reports,rfoster,"Approved.",2026-06-10T00:00:00Z
3000000193,209,windbridge-partners/analysis-utils,jarcher,"Needs rebase.",2026-04-11T00:00:00Z
3000000194,201,windbridge-partners/biostat-notebooks,brianhenderson,"See CI logs.",2026-09-20T00:00:00Z
3000000195,204,brianhenderson/etl-jobs,klee,"Reproduced locally.",2026-04-17T00:00:00Z
3000000196,203,brianhenderson/survival-models,jpowell,"Needs rebase.",2026-08-05T00:00:00Z
3000000197,204,windbridge-partners/infra-terraform,dmiller,"Needs rebase.",2026-06-02T00:00:00Z
3000000198,201,brianhenderson/viz-components,awong,"Fixed in latest push.",2026-06-16T00:00:00Z
3000000199,201,windbridge-partners/infra-terraform,mstevens,"Can you add a test?",2026-02-22T00:00:00Z
