zpid,event_date,event,price,price_per_sqft,source
zpid_80000198,2025-01-29,Sold,550553,458,BRIGHT MLS
zpid_80000182,2023-12-16,Price change,522561,452,Agent Report
zpid_80000167,2025-06-23,Listed,435227,369,Agent Report
zpid_80000203,2026-11-26,Listed for rent,505047,363,BRIGHT MLS
zpid_80000006,2025-07-03,Listed for rent,413041,320,Agent Report
zpid_80000168,2025-09-25,Pending,412392,299,Agent Report
zpid_80000087,2025-02-01,Pending,419976,440,BRIGHT MLS
zpid_80000113,2023-02-08,Listed for rent,428302,305,BRIGHT MLS
zpid_80000119,2026-08-19,Listed,431069,428,MRIS
zpid_80000203,2023-02-26,Sold,528140,379,MRIS
zpid_80000042,2025-04-08,Listed for rent,402660,441,BRIGHT MLS
zpid_80000065,2023-05-03,Sold,435448,362,BRIGHT MLS
zpid_80000194,2025-12-01,Listed for rent,555925,423,Agent Report
zpid_80000089,2025-05-24,Price change,447484,335,BRIGHT MLS
zpid_80000170,2025-06-03,Price change,401993,395,BRIGHT MLS
zpid_80000154,2025-02-01,Price change,431546,419,Public Record
zpid_80000139,2024-04-19,Sold,396309,302,MRIS
zpid_80000067,2025-09-21,Price change,398766,282,Public Record
zpid_80000010,2024-03-04,Listed,456114,363,BRIGHT MLS
zpid_80000141,2025-08-11,Pending,390903,393,Agent Report
zpid_80000067,2024-09-13,Sold,406021,287,Public Record
zpid_80000124,2024-09-12,Price change,459723,319,MRIS
zpid_80000146,2024-01-29,Listed,391006,437,Public Record
zpid_80000004,2025-11-18,Price change,371890,302,Agent Report
zpid_80000019,2025-05-19,Pending,400011,285,Agent Report
zpid_80000119,2025-07-07,Price change,419977,417,Agent Report
zpid_80000053,2023-03-06,Listed,383855,263,BRIGHT MLS
zpid_80000132,2025-01-16,Price change,375569,372,Public Record
zpid_80000141,2026-09-02,Listed,405581,408,Public Record
zpid_80000106,2026-05-08,Listed,398141,332,BRIGHT MLS
zpid_80000177,2023-09-14,Listed,385724,272,Agent Report
zpid_80000034,2025-05-20,Listed for rent,429487,314,MRIS
zpid_80000083,2025-10-03,Pending,413087,287,MRIS
zpid_80000168,2024-04-21,Price change,399005,289,BRIGHT MLS
zpid_80000163,2026-06-25,Listed for rent,415087,347,BRIGHT MLS
zpid_80000160,2025-04-15,Listed,417755,428,Agent Report
zpid_80000042,2024-02-17,Listed for rent,392305,430,Agent Report
zpid_80000003,2025-07-27,Listed for rent,362360,359,Public Record
zpid_80000047,2026-10-24,Listed for rent,378233,273,Public Record
zpid_80000173,2023-04-01,Listed,420944,352,Agent Report
zpid_80000050,2024-08-19,Price change,432707,460,Public Record
zpid_80000066,2024-06-29,Listed,391712,406,Agent Report
zpid_80000071,2026-02-07,Price change,367425,288,MRIS
zpid_80000133,2025-09-15,Price change,437373,438,MRIS
zpid_80000181,2024-07-03,Price change,628681,564,MRIS
zpid_80000087,2023-04-29,Price change,431797,452,BRIGHT MLS
zpid_80000159,2024-04-18,Price change,423314,371,MRIS
zpid_80000045,2023-09-20,Sold,411702,373,BRIGHT MLS
zpid_80000173,2023-09-09,Listed,440647,369,Public Record
zpid_80000166,2024-03-26,Pending,404568,282,BRIGHT MLS
zpid_80000198,2024-11-09,Pending,570532,475,Agent Report
zpid_80000172,2023-04-11,Listed for rent,453772,451,Public Record
zpid_80000147,2024-09-07,Pending,414285,322,Agent Report
zpid_80000107,2026-03-12,Price change,469631,530,Public Record
zpid_80000085,2026-01-07,Pending,461381,473,Public Record
zpid_80000015,2024-03-01,Listed,465588,442,Agent Report
zpid_80000115,2025-01-23,Listed for rent,405690,372,Agent Report
zpid_80000143,2025-08-14,Price change,436804,357,MRIS
zpid_80000095,2025-05-12,Pending,421245,362,Agent Report
zpid_80000076,2023-03-24,Listed,368641,335,BRIGHT MLS
zpid_80000086,2026-02-23,Price change,419424,376,Public Record
zpid_80000024,2026-10-31,Price change,425506,294,BRIGHT MLS
zpid_80000079,2023-08-07,Pending,390111,425,MRIS
zpid_80000199,2026-05-15,Price change,533756,422,Agent Report
zpid_80000068,2023-05-27,Price change,417072,293,Public Record
zpid_80000055,2023-12-28,Listed for rent,419900,354,MRIS
zpid_80000072,2024-01-30,Sold,403388,270,Public Record
zpid_80000109,2026-05-06,Listed for rent,402924,273,Public Record
zpid_80000179,2026-07-01,Price change,447038,432,BRIGHT MLS
zpid_80000080,2024-01-22,Price change,463391,417,BRIGHT MLS
zpid_80000114,2025-09-09,Listed,422582,405,BRIGHT MLS
zpid_80000092,2024-11-05,Listed for rent,420879,327,Public Record
zpid_80000061,2025-08-14,Price change,418005,461,Public Record
zpid_80000138,2025-05-28,Price change,434199,307,Agent Report
zpid_80000041,2025-03-12,Listed for rent,372186,315,BRIGHT MLS
zpid_80000171,2024-08-02,Price change,409882,333,Public Record
zpid_80000068,2023-11-09,Price change,424720,298,Agent Report
zpid_80000100,2023-02-13,Pending,448709,488,Agent Report
zpid_80000018,2024-11-03,Price change,401341,323,BRIGHT MLS
zpid_80000182,2025-02-20,Price change,530490,458,Public Record
zpid_80000046,2023-03-20,Sold,396600,410,MRIS
zpid_80000082,2024-02-05,Sold,467065,332,Agent Report
zpid_80000136,2024-12-14,Listed for rent,424292,352,Public Record
zpid_80000036,2023-04-18,Listed,420395,280,Public Record
zpid_80000164,2024-02-21,Price change,374419,312,BRIGHT MLS
zpid_80000151,2024-06-24,Sold,415119,422,Agent Report
zpid_80000152,2026-01-29,Sold,424615,373,BRIGHT MLS
zpid_80000109,2023-06-21,Sold,436882,296,Public Record
zpid_80000184,2026-06-26,Price change,509219,465,Public Record
zpid_80000124,2024-10-16,Listed for rent,472702,328,BRIGHT MLS
zpid_80000161,2025-10-20,Listed,473511,339,Public Record
zpid_80000021,2024-03-22,Price change,392005,281,BRIGHT MLS
zpid_80000153,2023-06-14,Sold,394284,383,BRIGHT MLS
zpid_80000148,2025-08-08,Listed for rent,430757,338,Public Record
zpid_80000111,2026-08-12,Price change,405284,346,Agent Report
zpid_80000072,2023-01-16,Pending,409970,274,MRIS
zpid_80000177,2023-01-23,Listed,407681,287,Agent Report
zpid_80000130,2026-06-14,Listed for rent,454948,318,Agent Report
zpid_80000196,2025-02-17,Price change,611619,625,Agent Report
zpid_80000050,2024-10-14,Listed,477853,508,Public Record
zpid_80000120,2023-03-29,Sold,406977,427,MRIS
zpid_80000052,2023-02-24,Price change,462978,386,MRIS
zpid_80000017,2024-06-01,Listed,428585,287,BRIGHT MLS
zpid_80000194,2025-12-17,Pending,549146,417,MRIS
zpid_80000120,2024-02-03,Sold,429204,451,BRIGHT MLS
zpid_80000158,2023-03-01,Pending,454167,483,MRIS
zpid_80000042,2025-06-22,Price change,429797,471,Public Record
zpid_80000065,2023-06-15,Pending,405817,338,Public Record
zpid_80000123,2025-11-03,Listed for rent,429574,338,Agent Report
zpid_80000104,2024-04-10,Price change,400345,409,BRIGHT MLS
zpid_80000061,2023-07-17,Listed,438871,484,BRIGHT MLS
zpid_80000129,2026-01-18,Pending,401414,278,Public Record
zpid_80000087,2025-03-18,Listed,426329,446,Agent Report
zpid_80000135,2023-10-20,Sold,457150,353,Agent Report
zpid_80000165,2023-03-26,Price change,476753,372,Agent Report
zpid_80000101,2023-08-02,Listed,421473,409,BRIGHT MLS
zpid_80000185,2024-01-17,Sold,521236,387,BRIGHT MLS
zpid_80000178,2026-10-30,Listed for rent,373716,321,Public Record
zpid_80000087,2026-01-16,Price change,441349,462,MRIS
zpid_80000170,2023-12-20,Pending,409234,402,Public Record
zpid_80000177,2024-12-19,Sold,392315,276,MRIS
zpid_80000049,2026-11-23,Price change,456184,392,Public Record
zpid_80000010,2024-11-24,Listed,436632,347,Public Record
zpid_80000082,2025-01-30,Pending,442415,314,Agent Report
zpid_80000054,2026-03-28,Sold,448936,490,BRIGHT MLS
zpid_80000139,2026-08-23,Pending,359801,274,Agent Report
zpid_80000050,2023-05-07,Price change,450197,479,MRIS
zpid_80000126,2025-11-27,Listed,459178,496,Agent Report
zpid_80000047,2025-03-31,Pending,408239,294,Agent Report
zpid_80000135,2026-11-04,Listed for rent,416036,321,MRIS
zpid_80000055,2023-12-16,Sold,456779,385,Public Record
zpid_80000101,2025-06-08,Price change,411895,400,Public Record
zpid_80000043,2024-03-24,Price change,432032,409,MRIS
zpid_80000057,2025-02-06,Pending,382794,334,Agent Report
zpid_80000118,2024-05-30,Pending,418284,410,Public Record
zpid_80000142,2023-10-01,Sold,459246,377,BRIGHT MLS
zpid_80000025,2023-12-07,Pending,434586,429,Agent Report
zpid_80000155,2023-08-11,Price change,440846,308,Public Record
zpid_80000153,2024-09-26,Sold,375613,365,BRIGHT MLS
zpid_80000039,2025-07-24,Sold,428054,287,Public Record
zpid_80000033,2024-04-05,Price change,413399,346,Public Record
zpid_80000060,2026-05-16,Price change,445369,450,MRIS
zpid_80000121,2024-04-01,Pending,430564,369,Public Record
zpid_80000025,2025-12-06,Listed,474483,468,Agent Report
zpid_80000128,2026-01-18,Listed,406431,323,MRIS
zpid_80000087,2024-05-01,Listed for rent,445472,466,Public Record
zpid_80000141,2026-10-03,Listed for rent,432482,435,BRIGHT MLS
zpid_80000089,2023-05-06,Price change,468548,351,BRIGHT MLS
zpid_80000058,2024-04-08,Listed for rent,374779,273,BRIGHT MLS
zpid_80000192,2024-02-18,Listed for rent,514894,383,Public Record
zpid_80000182,2025-11-22,Price change,518781,448,BRIGHT MLS
zpid_80000087,2026-09-29,Listed,425549,446,BRIGHT MLS
zpid_80000190,2023-04-03,Listed for rent,628443,503,BRIGHT MLS
zpid_80000059,2025-05-01,Listed for rent,456827,422,Agent Report
zpid_80000063,2023-09-03,Sold,424532,333,MRIS
zpid_80000181,2026-08-29,Sold,591630,531,Agent Report
zpid_80000016,2024-02-28,Price change,392274,362,MRIS
zpid_80000071,2025-08-29,Pending,412260,323,MRIS
zpid_80000035,2024-01-07,Sold,393995,272,Public Record
zpid_80000181,2026-09-29,Listed,623389,559,MRIS
zpid_80000050,2024-03-05,Listed for rent,470408,500,Public Record
zpid_80000050,2023-07-04,Price change,452878,482,BRIGHT MLS
zpid_80000096,2026-09-29,Listed for rent,421554,286,MRIS
zpid_80000193,2023-12-28,Listed for rent,605967,411,BRIGHT MLS
zpid_80000106,2023-04-25,Listed for rent,404676,338,Public Record
zpid_80000174,2025-07-02,Pending,409653,360,Agent Report
zpid_80000077,2024-08-19,Listed for rent,398020,434,Agent Report
zpid_80000185,2023-06-22,Pending,516925,384,MRIS
zpid_80000114,2023-09-07,Price change,418890,402,Public Record
zpid_80000042,2026-03-14,Price change,394151,432,Public Record
zpid_80000034,2026-05-03,Pending,437024,320,BRIGHT MLS
zpid_80000063,2026-08-22,Price change,429542,337,BRIGHT MLS
zpid_80000036,2023-12-23,Pending,390448,260,BRIGHT MLS
zpid_80000155,2024-01-22,Price change,435549,305,BRIGHT MLS
zpid_80000071,2024-12-18,Pending,398081,312,Agent Report
zpid_80000145,2024-05-04,Listed,414056,392,BRIGHT MLS
zpid_80000117,2024-03-27,Pending,410494,283,Agent Report
zpid_80000150,2025-10-23,Sold,471549,342,BRIGHT MLS
zpid_80000127,2023-07-22,Price change,388185,316,Agent Report
zpid_80000068,2026-06-05,Listed for rent,454405,319,Public Record
zpid_80000127,2024-11-17,Listed for rent,386483,314,MRIS
zpid_80000179,2023-07-18,Sold,471199,455,MRIS
zpid_80000053,2026-08-15,Listed for rent,401510,275,BRIGHT MLS
zpid_80000045,2025-05-08,Price change,370030,336,MRIS
zpid_80000114,2025-07-02,Listed for rent,407166,390,MRIS
zpid_80000045,2023-06-28,Price change,370038,336,MRIS
zpid_80000000,2024-01-02,Price change,404684,280,MRIS
zpid_80000148,2024-08-07,Price change,389982,306,BRIGHT MLS
zpid_80000041,2024-05-06,Price change,364199,308,BRIGHT MLS
zpid_80000078,2023-08-09,Price change,441422,371,BRIGHT MLS
zpid_80000053,2026-01-10,Price change,372761,255,Public Record
zpid_80000117,2023-10-09,Sold,413326,285,BRIGHT MLS
zpid_80000055,2024-05-20,Price change,455302,384,BRIGHT MLS
zpid_80000138,2025-02-27,Listed,453258,320,Public Record
zpid_80000095,2024-12-11,Price change,416528,358,Public Record
zpid_80000013,2023-05-14,Listed,390928,412,BRIGHT MLS
zpid_80000103,2026-07-18,Sold,456655,438,MRIS
zpid_80000153,2023-03-27,Price change,386674,376,Public Record
zpid_80000145,2024-07-21,Pending,428074,406,MRIS
zpid_80000193,2026-11-25,Sold,581077,395,Agent Report
zpid_80000152,2024-06-08,Listed for rent,402339,353,BRIGHT MLS
zpid_80000203,2024-05-17,Listed for rent,489371,351,Public Record
zpid_80000089,2025-12-06,Listed,470590,353,Public Record
zpid_80000155,2023-06-02,Listed for rent,437595,306,Public Record
zpid_80000184,2026-03-07,Listed for rent,532748,486,Agent Report
zpid_80000105,2025-07-26,Sold,405116,318,BRIGHT MLS
zpid_80000131,2024-01-29,Sold,411966,322,MRIS
zpid_80000177,2026-09-26,Price change,396522,279,Agent Report
zpid_80000155,2025-11-18,Price change,407377,285,Public Record
zpid_80000059,2024-11-13,Price change,460407,425,BRIGHT MLS
zpid_80000013,2026-02-08,Sold,410131,433,MRIS
zpid_80000116,2025-01-26,Pending,396329,439,Public Record
zpid_80000197,2024-08-10,Pending,496208,531,BRIGHT MLS
zpid_80000114,2025-02-06,Listed for rent,425976,408,Agent Report
zpid_80000074,2026-11-04,Listed for rent,415356,355,MRIS
zpid_80000090,2024-07-15,Sold,470769,352,Agent Report
zpid_80000182,2023-08-09,Listed,537670,465,Agent Report
zpid_80000008,2024-08-24,Pending,423520,308,BRIGHT MLS
zpid_80000188,2024-03-21,Sold,582660,389,BRIGHT MLS
zpid_80000147,2024-09-20,Listed for rent,392803,306,Agent Report
zpid_80000116,2025-08-15,Sold,388496,430,BRIGHT MLS
zpid_80000021,2023-02-25,Sold,397842,285,Agent Report
zpid_80000198,2023-11-29,Listed for rent,585200,487,Agent Report
zpid_80000196,2026-05-16,Listed for rent,595957,609,MRIS
zpid_80000132,2026-01-28,Pending,369248,365,Public Record
zpid_80000180,2026-01-18,Listed,609368,495,Public Record
zpid_80000165,2026-01-14,Price change,469483,366,Agent Report
zpid_80000160,2025-06-17,Listed,375116,384,BRIGHT MLS
zpid_80000087,2026-11-15,Listed,424163,444,MRIS
zpid_80000199,2023-08-03,Listed,517836,409,BRIGHT MLS
zpid_80000058,2025-11-15,Listed,386950,282,Public Record
zpid_80000005,2023-02-17,Sold,432871,476,Agent Report
zpid_80000143,2026-02-02,Sold,456847,373,MRIS
zpid_80000070,2026-04-04,Price change,433461,342,Agent Report
zpid_80000146,2023-02-02,Listed,403116,451,Public Record
zpid_80000183,2024-06-25,Price change,542963,588,Public Record
zpid_80000002,2026-08-20,Listed for rent,423959,293,BRIGHT MLS
zpid_80000077,2026-08-20,Sold,426053,465,Agent Report
zpid_80000016,2024-12-26,Pending,372403,343,MRIS
zpid_80000050,2026-08-02,Pending,455800,485,BRIGHT MLS
zpid_80000117,2023-02-17,Pending,420951,290,BRIGHT MLS
zpid_80000177,2024-07-24,Pending,380463,268,Public Record
zpid_80000119,2023-05-15,Pending,410441,407,Public Record
zpid_80000160,2026-02-28,Listed,389216,398,MRIS
zpid_80000159,2025-04-26,Pending,421210,369,BRIGHT MLS
zpid_80000169,2025-11-26,Pending,429889,344,BRIGHT MLS
zpid_80000170,2025-10-06,Price change,419138,412,MRIS
zpid_80000074,2026-03-05,Price change,418473,358,Agent Report
zpid_80000074,2025-10-11,Listed,418347,358,Public Record
zpid_80000158,2024-12-04,Listed for rent,428561,456,Public Record
zpid_80000050,2023-07-09,Pending,453309,482,BRIGHT MLS
zpid_80000119,2024-06-28,Listed,447237,444,MRIS
zpid_80000199,2025-10-18,Price change,500915,396,BRIGHT MLS
zpid_80000040,2023-07-11,Listed for rent,386079,316,MRIS
zpid_80000109,2023-05-24,Listed for rent,429420,291,BRIGHT MLS
zpid_80000097,2026-08-16,Price change,372488,355,MRIS
zpid_80000042,2024-05-24,Listed for rent,423049,464,Public Record
zpid_80000098,2023-07-09,Pending,382810,417,MRIS
zpid_80000122,2023-04-15,Sold,456923,370,Agent Report
zpid_80000100,2026-10-13,Listed for rent,426326,464,Agent Report
zpid_80000033,2026-06-10,Listed for rent,439642,368,MRIS
zpid_80000070,2024-08-27,Listed for rent,407756,321,BRIGHT MLS
zpid_80000159,2023-04-04,Listed,387765,340,MRIS
zpid_80000127,2026-10-25,Price change,406226,331,Agent Report
zpid_80000139,2024-09-24,Sold,380298,290,MRIS
zpid_80000072,2024-02-13,Price change,393918,263,BRIGHT MLS
zpid_80000194,2024-08-02,Sold,551775,419,MRIS
