entity	code	year	sea_temperature_anomaly_annual	sea_temperature_anomaly_low_annual	sea_temperature_anomaly_high_annual
Northern Hemisphere	OWID_NH	1882	-0.0626785	-0.11336825	-0.0008995033
Northern Hemisphere	OWID_NH	1883	-0.09441084	-0.14104092	-0.036936507
Northern Hemisphere	OWID_NH	1884	-0.17460033	-0.22455367	-0.116448835
Northern Hemisphere	OWID_NH	1885	-0.066698834	-0.11501567	-0.008336418
Northern Hemisphere	OWID_NH	1886	-0.106380254	-0.15960374	-0.04564208
Northern Hemisphere	OWID_NH	1887	-0.1536325	-0.21039075	-0.09307092
Northern Hemisphere	OWID_NH	1888	0.07551541	0.01809533	0.134012
Northern Hemisphere	OWID_NH	1889	0.099415414	0.041056328	0.15720125
Northern Hemisphere	OWID_NH	1890	-0.21806617	-0.2795683	-0.15594667
Northern Hemisphere	OWID_NH	1891	-0.003970503	-0.06515525	0.060643
Northern Hemisphere	OWID_NH	1892	-0.22512317	-0.28818908	-0.16077974
Northern Hemisphere	OWID_NH	1893	-0.26172584	-0.33003524	-0.19614358
Northern Hemisphere	OWID_NH	1894	-0.28333518	-0.35065573	-0.21877417
Northern Hemisphere	OWID_NH	1895	-0.103219256	-0.17551866	-0.036160007
Northern Hemisphere	OWID_NH	1896	0.09677016	0.023212662	0.16448016
Northern Hemisphere	OWID_NH	1897	0.08817758	0.01422358	0.1566424
Northern Hemisphere	OWID_NH	1898	-0.10656292	-0.18557858	-0.035454504
Northern Hemisphere	OWID_NH	1899	-0.05327892	-0.13408309	0.019418748
Northern Hemisphere	OWID_NH	1900	0.10588825	0.023965081	0.17994933
Northern Hemisphere	OWID_NH	1901	-0.06518609	-0.14982067	0.01673233
Northern Hemisphere	OWID_NH	1902	-0.20727625	-0.29515827	-0.12553409
Northern Hemisphere	OWID_NH	1903	-0.3086214	-0.4001765	-0.22328508
Northern Hemisphere	OWID_NH	1904	-0.391628	-0.48444557	-0.30442718
Northern Hemisphere	OWID_NH	1905	-0.21656933	-0.3108405	-0.13341233
Northern Hemisphere	OWID_NH	1906	-0.15291384	-0.25138602	-0.06371725
Northern Hemisphere	OWID_NH	1907	-0.266852	-0.34169966	-0.1746495
Northern Hemisphere	OWID_NH	1908	-0.34958118	-0.41158974	-0.26048625
Northern Hemisphere	OWID_NH	1909	-0.35635334	-0.4078029	-0.2695229
Northern Hemisphere	OWID_NH	1910	-0.37362516	-0.4315021	-0.29598925
Northern Hemisphere	OWID_NH	1911	-0.2937485	-0.35164225	-0.21832325
Northern Hemisphere	OWID_NH	1912	-0.25068027	-0.31264508	-0.17621017
Northern Hemisphere	OWID_NH	1913	-0.36359668	-0.42698666	-0.29043767
Northern Hemisphere	OWID_NH	1914	-0.16911893	-0.22641917	-0.08546217
Northern Hemisphere	OWID_NH	1915	-0.018498087	-0.078642085	0.06781225
Northern Hemisphere	OWID_NH	1916	-0.24951875	-0.3083725	-0.164516
Northern Hemisphere	OWID_NH	1917	-0.2913689	-0.34962767	-0.2038561
Northern Hemisphere	OWID_NH	1918	-0.28535	-0.3442331	-0.19240491
Northern Hemisphere	OWID_NH	1919	-0.21414459	-0.2759606	-0.11718717
Northern Hemisphere	OWID_NH	1920	-0.15533425	-0.21893024	-0.05843025
Northern Hemisphere	OWID_NH	1921	-0.06053634	-0.1235995	0.041319996
Northern Hemisphere	OWID_NH	1922	-0.128221	-0.19271018	-0.027779087
Northern Hemisphere	OWID_NH	1923	-0.1293105	-0.19622467	-0.026719088
Northern Hemisphere	OWID_NH	1924	-0.081965335	-0.14703692	0.026180245
Northern Hemisphere	OWID_NH	1925	-0.053647336	-0.11928242	0.04537108
Northern Hemisphere	OWID_NH	1926	0.126312	0.05736891	0.22762783
Northern Hemisphere	OWID_NH	1927	0.06949042	0.0016298301	0.17952283
Northern Hemisphere	OWID_NH	1928	0.0013174142	-0.066746086	0.11067308
Northern Hemisphere	OWID_NH	1929	-0.058269	-0.12804225	0.05252133
Northern Hemisphere	OWID_NH	1930	0.11878525	0.051185083	0.23213692
Northern Hemisphere	OWID_NH	1931	0.13893458	0.067609414	0.24587774
Northern Hemisphere	OWID_NH	1932	0.026479164	-0.04386242	0.13572575
Northern Hemisphere	OWID_NH	1933	0.11610333	0.050716165	0.21803741
Northern Hemisphere	OWID_NH	1934	0.11254233	0.046895582	0.2105309
Northern Hemisphere	OWID_NH	1935	0.13569917	0.072924994	0.23684166
Northern Hemisphere	OWID_NH	1936	0.22143483	0.1559029	0.3162249
Northern Hemisphere	OWID_NH	1937	0.36427924	0.29779574	0.46156865
Northern Hemisphere	OWID_NH	1938	0.21435116	0.14954166	0.309338
Northern Hemisphere	OWID_NH	1939	0.21737142	0.15407982	0.31031382
Northern Hemisphere	OWID_NH	1940	0.31100467	0.23893541	0.4068065
Northern Hemisphere	OWID_NH	1941	0.22201167	0.08609566	0.37520957
Northern Hemisphere	OWID_NH	1942	0.2631854	0.11272958	0.4102921
Northern Hemisphere	OWID_NH	1943	0.20146933	0.04881125	0.34767434
Northern Hemisphere	OWID_NH	1944	0.32339734	0.16716741	0.46771884
Northern Hemisphere	OWID_NH	1945	0.33329874	0.17736308	0.4788469
Northern Hemisphere	OWID_NH	1946	0.18696208	0.06682058	0.307225
Northern Hemisphere	OWID_NH	1947	0.08580633	-0.04242375	0.20030308
Northern Hemisphere	OWID_NH	1948	0.12005725	-0.0033732543	0.23516475
Northern Hemisphere	OWID_NH	1949	0.08333416	-0.0070758355	0.17275542
Northern Hemisphere	OWID_NH	1950	0.10748558	0.028395247	0.18538183
Northern Hemisphere	OWID_NH	1951	0.27253842	0.20506407	0.3475535
Northern Hemisphere	OWID_NH	1952	0.27249467	0.20914567	0.35655043
Northern Hemisphere	OWID_NH	1953	0.2740025	0.20662217	0.3544441
Northern Hemisphere	OWID_NH	1954	0.10596816	0.035630498	0.18491949
Northern Hemisphere	OWID_NH	1955	0.04075958	-0.03231842	0.11675558
Northern Hemisphere	OWID_NH	1956	-0.027296	-0.10351834	0.042867664
Northern Hemisphere	OWID_NH	1957	0.19310567	0.117239416	0.25733125
Northern Hemisphere	OWID_NH	1958	0.27877924	0.21096107	0.34935334
Northern Hemisphere	OWID_NH	1959	0.18878299	0.12876008	0.25894484
Northern Hemisphere	OWID_NH	1960	0.147531	0.091946416	0.20901866
Northern Hemisphere	OWID_NH	1961	0.17123717	0.12805599	0.23025042
Northern Hemisphere	OWID_NH	1962	0.122047916	0.084753	0.17088766
Northern Hemisphere	OWID_NH	1963	0.22236058	0.1800345	0.28371283
Northern Hemisphere	OWID_NH	1964	0.033201996	-0.013060257	0.09582183
Northern Hemisphere	OWID_NH	1965	0.01548908	-0.034507502	0.075916916
Northern Hemisphere	OWID_NH	1966	0.20991975	0.16083325	0.260938
Northern Hemisphere	OWID_NH	1967	0.13799508	0.09720391	0.18310724
Northern Hemisphere	OWID_NH	1968	0.10454241	0.07539541	0.13400374
Northern Hemisphere	OWID_NH	1969	0.17637134	0.15066583	0.20147724
Northern Hemisphere	OWID_NH	1970	0.07759983	0.05881983	0.09766408
Northern Hemisphere	OWID_NH	1971	-0.110993005	-0.13151209	-0.08838834
Northern Hemisphere	OWID_NH	1972	0.06138475	0.03988416	0.0830945
Northern Hemisphere	OWID_NH	1973	0.117879495	0.094374746	0.13976675
Northern Hemisphere	OWID_NH	1974	-0.0177765	-0.04313658	0.0027161639
Northern Hemisphere	OWID_NH	1975	-0.017033169	-0.04338767	0.0034315817
Northern Hemisphere	OWID_NH	1976	-0.007551836	-0.031801336	0.013125412
Northern Hemisphere	OWID_NH	1977	0.20713817	0.18482992	0.22738183
Northern Hemisphere	OWID_NH	1978	0.19345008	0.168246	0.215106
Northern Hemisphere	OWID_NH	1979	0.28772432	0.26254025	0.309288
Northern Hemisphere	OWID_NH	1980	0.29130083	0.26557684	0.3110275
Northern Hemisphere	OWID_NH	1981	0.29482132	0.26806575	0.31416792
Northern Hemisphere	OWID_NH	1982	0.26747924	0.2417675	0.28659257
Northern Hemisphere	OWID_NH	1983	0.30327615	0.277891	0.32299992
Northern Hemisphere	OWID_NH	1984	0.16334675	0.13779233	0.18432741
Northern Hemisphere	OWID_NH	1985	0.11923708	0.094078	0.14108124
Northern Hemisphere	OWID_NH	1986	0.19779041	0.17235467	0.22003967
Northern Hemisphere	OWID_NH	1987	0.35511425	0.3305696	0.37758082
Northern Hemisphere	OWID_NH	1988	0.36135417	0.33668676	0.3827771
Northern Hemisphere	OWID_NH	1989	0.33671516	0.31173158	0.35848466
Northern Hemisphere	OWID_NH	1990	0.513726	0.48839208	0.53489184
Northern Hemisphere	OWID_NH	1991	0.46569833	0.4392749	0.48583525
Northern Hemisphere	OWID_NH	1992	0.3409369	0.31320924	0.36151075
Northern Hemisphere	OWID_NH	1993	0.35427415	0.32684925	0.37464792
Northern Hemisphere	OWID_NH	1994	0.48213723	0.45408142	0.50328565
Northern Hemisphere	OWID_NH	1995	0.55337375	0.5239209	0.575203
Northern Hemisphere	OWID_NH	1996	0.42182007	0.3925385	0.44347793
Northern Hemisphere	OWID_NH	1997	0.6414033	0.61226773	0.66365093
Northern Hemisphere	OWID_NH	1998	0.71424	0.6850425	0.7363529
Northern Hemisphere	OWID_NH	1999	0.47744307	0.4482466	0.49917668
Northern Hemisphere	OWID_NH	2000	0.50079834	0.47362667	0.5223773
Northern Hemisphere	OWID_NH	2001	0.6009441	0.573095	0.62350327
Northern Hemisphere	OWID_NH	2002	0.63223577	0.6044742	0.65460825
Northern Hemisphere	OWID_NH	2003	0.70786446	0.67973226	0.7304256
Northern Hemisphere	OWID_NH	2004	0.7237407	0.6955788	0.7465177
Northern Hemisphere	OWID_NH	2005	0.73087734	0.7023293	0.7529315
Northern Hemisphere	OWID_NH	2006	0.6914213	0.6624105	0.7127036
Northern Hemisphere	OWID_NH	2007	0.6354911	0.60665905	0.65704775
Northern Hemisphere	OWID_NH	2008	0.6093409	0.5805371	0.631433
Northern Hemisphere	OWID_NH	2009	0.6970745	0.66828877	0.7186587
Northern Hemisphere	OWID_NH	2010	0.73286694	0.7048109	0.7550129
Northern Hemisphere	OWID_NH	2011	0.5926944	0.5646326	0.6149849
Northern Hemisphere	OWID_NH	2012	0.7034309	0.67510533	0.7256586
Northern Hemisphere	OWID_NH	2013	0.7334866	0.7057346	0.75507617
Northern Hemisphere	OWID_NH	2014	0.8894523	0.8625656	0.9105207
Northern Hemisphere	OWID_NH	2015	1.0388516	1.0128486	1.0599434
Northern Hemisphere	OWID_NH	2016	1.0313716	1.005133	1.052628
Northern Hemisphere	OWID_NH	2017	0.95906234	0.93246883	0.9807511
Northern Hemisphere	OWID_NH	2018	0.9079462	0.8810464	0.9298695
Northern Hemisphere	OWID_NH	2019	1.035973	1.0090172	1.0585786
Northern Hemisphere	OWID_NH	2020	1.1062831	1.0792823	1.1292622
Northern Hemisphere	OWID_NH	2021	0.9557207	0.928109	0.9780787
Northern Hemisphere	OWID_NH	2022	0.9953111	0.9670899	1.0176662
Northern Hemisphere	OWID_NH	2023	1.2437657	1.2149312	1.2674322
Northern Hemisphere	OWID_NH	2024	1.3128114	1.284007	1.336876
Northern Hemisphere	OWID_NH	2025	1.1302434	1.1014287	1.1529139
Southern Hemisphere	OWID_SH	1850	-0.06565441	-0.11643758	-0.017325403
Southern Hemisphere	OWID_SH	1851	0.044140924	-0.004949497	0.094834514
Southern Hemisphere	OWID_SH	1852	-0.0067121647	-0.05399841	0.040920004
Southern Hemisphere	OWID_SH	1853	-0.026582912	-0.06797416	0.018930089
Southern Hemisphere	OWID_SH	1854	-0.10490999	-0.14519423	-0.06251541
Southern Hemisphere	OWID_SH	1855	-0.06411049	-0.104852244	-0.021044157
Southern Hemisphere	OWID_SH	1856	-0.0117289135	-0.049997825	0.029824091
Southern Hemisphere	OWID_SH	1857	-0.20075399	-0.23768075	-0.16211557
Southern Hemisphere	OWID_SH	1858	-0.12199282	-0.15563057	-0.0829804
Southern Hemisphere	OWID_SH	1859	-0.00013790611	-0.032527987	0.038646925
Southern Hemisphere	OWID_SH	1860	0.04458467	0.012491511	0.08331851
Southern Hemisphere	OWID_SH	1861	-0.13877532	-0.17242733	-0.09981624
Southern Hemisphere	OWID_SH	1862	-0.033296574	-0.06364715	0.0032382589
Southern Hemisphere	OWID_SH	1863	-0.026658405	-0.057420574	0.010567682
Southern Hemisphere	OWID_SH	1864	-0.11157257	-0.14063683	-0.07375016
Southern Hemisphere	OWID_SH	1865	0.042964675	0.014580173	0.07997242
Southern Hemisphere	OWID_SH	1866	0.055408176	0.026580673	0.09173243
Southern Hemisphere	OWID_SH	1867	0.038643844	0.012060506	0.07506267
Southern Hemisphere	OWID_SH	1868	0.0054412605	-0.02115074	0.040031336
Southern Hemisphere	OWID_SH	1869	-0.08530357	-0.112921074	-0.05174641
Southern Hemisphere	OWID_SH	1870	-0.012022324	-0.038007822	0.021219091
Southern Hemisphere	OWID_SH	1871	0.058591425	0.034342512	0.09115402
Southern Hemisphere	OWID_SH	1872	0.048532095	0.024048004	0.081557676
Southern Hemisphere	OWID_SH	1873	-0.0004871586	-0.025952827	0.02980076
Southern Hemisphere	OWID_SH	1874	-0.12248583	-0.1474555	-0.09049499
Southern Hemisphere	OWID_SH	1875	0.056036174	0.028416092	0.08898884
Southern Hemisphere	OWID_SH	1876	-0.10407749	-0.13130175	-0.07258525
Southern Hemisphere	OWID_SH	1877	0.17072734	0.14124143	0.2015275
Southern Hemisphere	OWID_SH	1878	0.1999701	0.1705301	0.23358676
Southern Hemisphere	OWID_SH	1879	0.09278467	0.063113175	0.12477601
Southern Hemisphere	OWID_SH	1880	0.091836676	0.059756506	0.124865174
Southern Hemisphere	OWID_SH	1881	0.15746276	0.12441476	0.19054067
Southern Hemisphere	OWID_SH	1882	0.12314226	0.08591726	0.15677209
Southern Hemisphere	OWID_SH	1883	0.09075518	0.057521675	0.124208845
Southern Hemisphere	OWID_SH	1884	-0.033504494	-0.06842308	0.0008228404
Southern Hemisphere	OWID_SH	1885	-0.099073574	-0.13388358	-0.06276007
Southern Hemisphere	OWID_SH	1886	-0.09115891	-0.1279625	-0.05122049
Southern Hemisphere	OWID_SH	1887	-0.17984082	-0.220277	-0.13946308
Southern Hemisphere	OWID_SH	1888	-0.052996162	-0.09367032	-0.014350654
Southern Hemisphere	OWID_SH	1889	0.08299401	0.04150776	0.12361992
Southern Hemisphere	OWID_SH	1890	-0.1504585	-0.19423732	-0.107520826
Southern Hemisphere	OWID_SH	1891	-0.050012656	-0.09329858	-0.0059171584
Southern Hemisphere	OWID_SH	1892	-0.11224192	-0.15607274	-0.070011325
Southern Hemisphere	OWID_SH	1893	-0.07948391	-0.1264334	-0.035419744
Southern Hemisphere	OWID_SH	1894	-0.10575249	-0.1539514	-0.059254576
Southern Hemisphere	OWID_SH	1895	-0.08549841	-0.13781108	-0.03522607
Southern Hemisphere	OWID_SH	1896	0.09425584	0.04133551	0.14612076
Southern Hemisphere	OWID_SH	1897	0.02398251	-0.028706163	0.07718317
Southern Hemisphere	OWID_SH	1898	-0.25237074	-0.30871773	-0.19736375
Southern Hemisphere	OWID_SH	1899	-0.06540499	-0.12353374	-0.010767576
Southern Hemisphere	OWID_SH	1900	-0.051879913	-0.11055999	0.003258428
Southern Hemisphere	OWID_SH	1901	-0.150222	-0.20971708	-0.091143906
Southern Hemisphere	OWID_SH	1902	-0.19271666	-0.25578225	-0.13224733
Southern Hemisphere	OWID_SH	1903	-0.32701474	-0.39150515	-0.26355916
Southern Hemisphere	OWID_SH	1904	-0.31325173	-0.3792299	-0.24661323
Southern Hemisphere	OWID_SH	1905	-0.15415382	-0.22171116	-0.09124799
Southern Hemisphere	OWID_SH	1906	-0.1139965	-0.18457349	-0.046129737
Southern Hemisphere	OWID_SH	1907	-0.18096091	-0.23118392	-0.11007065
Southern Hemisphere	OWID_SH	1908	-0.30684665	-0.34704083	-0.23715815
Southern Hemisphere	OWID_SH	1909	-0.33809775	-0.3722801	-0.2715244
Southern Hemisphere	OWID_SH	1910	-0.313691	-0.35425633	-0.25689933
Southern Hemisphere	OWID_SH	1911	-0.3946719	-0.44060633	-0.33933708
Southern Hemisphere	OWID_SH	1912	-0.16438007	-0.21314749	-0.106833406
Southern Hemisphere	OWID_SH	1913	-0.12064291	-0.17353924	-0.06387874
Southern Hemisphere	OWID_SH	1914	-0.02371174	-0.07564482	0.045989424
Southern Hemisphere	OWID_SH	1915	0.02511026	-0.02913816	0.09943293
Southern Hemisphere	OWID_SH	1916	-0.10031091	-0.16445792	-0.02362324
Southern Hemisphere	OWID_SH	1917	-0.14352615	-0.20485574	-0.060596157
Southern Hemisphere	OWID_SH	1918	-0.018651992	-0.087425075	0.07327759
Southern Hemisphere	OWID_SH	1919	-0.030747825	-0.09438232	0.066144094
Southern Hemisphere	OWID_SH	1920	0.08299401	0.020685257	0.17556243
Southern Hemisphere	OWID_SH	1921	0.0028446733	-0.057292078	0.10096901
Southern Hemisphere	OWID_SH	1922	-0.09195549	-0.14777066	0.0019426744
Southern Hemisphere	OWID_SH	1923	-0.035734158	-0.09616049	0.060657673
Southern Hemisphere	OWID_SH	1924	-0.0807199	-0.14035165	0.023193924
Southern Hemisphere	OWID_SH	1925	-0.018371657	-0.07810741	0.07502351
Southern Hemisphere	OWID_SH	1926	0.046005093	-0.016383575	0.1418395
Southern Hemisphere	OWID_SH	1927	-0.03832441	-0.09890783	0.06488367
Southern Hemisphere	OWID_SH	1928	-0.035934325	-0.098905325	0.066421345
Southern Hemisphere	OWID_SH	1929	-0.119673155	-0.18570758	-0.013069573
Southern Hemisphere	OWID_SH	1930	-0.0033730746	-0.06961474	0.11038793
Southern Hemisphere	OWID_SH	1931	0.09688401	0.030523926	0.20318526
Southern Hemisphere	OWID_SH	1932	0.051022008	-0.012129988	0.1604341
Southern Hemisphere	OWID_SH	1933	-0.008998239	-0.07000557	0.10038026
Southern Hemisphere	OWID_SH	1934	0.10805126	0.04635993	0.20881733
Southern Hemisphere	OWID_SH	1935	0.06606126	0.005178754	0.17780343
Southern Hemisphere	OWID_SH	1936	0.055834673	-0.00486016	0.15337576
Southern Hemisphere	OWID_SH	1937	0.20000134	0.13823342	0.30035418
Southern Hemisphere	OWID_SH	1938	0.17775868	0.120802596	0.27838102
Southern Hemisphere	OWID_SH	1939	0.26140168	0.19997676	0.36034936
Southern Hemisphere	OWID_SH	1940	0.45785758	0.39285994	0.5444279
Southern Hemisphere	OWID_SH	1941	0.27059186	0.1337241	0.4279755
Southern Hemisphere	OWID_SH	1942	0.13916975	-0.008774991	0.29094392
Southern Hemisphere	OWID_SH	1943	0.18705809	0.034014843	0.33545318
Southern Hemisphere	OWID_SH	1944	0.35504776	0.19908017	0.5061799
Southern Hemisphere	OWID_SH	1945	0.3068376	0.15558526	0.4596661
Southern Hemisphere	OWID_SH	1946	0.051220093	-0.08851433	0.17367418
Southern Hemisphere	OWID_SH	1947	0.04291484	-0.10755458	0.18368609
Southern Hemisphere	OWID_SH	1948	0.029126428	-0.11724391	0.18747643
Southern Hemisphere	OWID_SH	1949	0.085590586	-0.046110246	0.23920876
Southern Hemisphere	OWID_SH	1950	0.035138506	-0.08762833	0.18768717
Southern Hemisphere	OWID_SH	1951	0.06195726	-0.04947591	0.21182442
Southern Hemisphere	OWID_SH	1952	0.27329084	0.17363551	0.42491618
Southern Hemisphere	OWID_SH	1953	0.2975391	0.20011526	0.4367255
Southern Hemisphere	OWID_SH	1954	0.08031125	-0.017002575	0.21025935
Southern Hemisphere	OWID_SH	1955	-0.014450827	-0.10485116	0.09349093
Southern Hemisphere	OWID_SH	1956	0.050330177	-0.03607891	0.14643635
Southern Hemisphere	OWID_SH	1957	0.22627692	0.14786942	0.30791542
Southern Hemisphere	OWID_SH	1958	0.17692642	0.09651284	0.26445785
Southern Hemisphere	OWID_SH	1959	0.16637325	0.09503876	0.25700793
Southern Hemisphere	OWID_SH	1960	0.12431518	0.051854677	0.19956192
Southern Hemisphere	OWID_SH	1961	0.22042343	0.16702767	0.30047616
Southern Hemisphere	OWID_SH	1962	0.15647101	0.107702926	0.22171518
Southern Hemisphere	OWID_SH	1963	0.16449976	0.11419551	0.23164175
Southern Hemisphere	OWID_SH	1964	-0.057540823	-0.1065924	0.006013429
Southern Hemisphere	OWID_SH	1965	0.041991174	-0.00946316	0.10561401
Southern Hemisphere	OWID_SH	1966	0.067254595	0.015703678	0.12042967
Southern Hemisphere	OWID_SH	1967	0.00423784	-0.040610578	0.04669501
Southern Hemisphere	OWID_SH	1968	0.05584859	0.017321426	0.09193026
Southern Hemisphere	OWID_SH	1969	0.324893	0.28982267	0.35809076
Southern Hemisphere	OWID_SH	1970	0.19471884	0.16640493	0.22693759
Southern Hemisphere	OWID_SH	1971	0.07810993	0.049596094	0.10649967
Southern Hemisphere	OWID_SH	1972	0.37742934	0.34993958	0.40340993
Southern Hemisphere	OWID_SH	1973	0.38789117	0.36328793	0.41472444
Southern Hemisphere	OWID_SH	1974	0.21926084	0.19104734	0.2441071
Southern Hemisphere	OWID_SH	1975	0.20728818	0.17917368	0.23051085
Southern Hemisphere	OWID_SH	1976	0.24010368	0.21417567	0.26341033
Southern Hemisphere	OWID_SH	1977	0.44219768	0.4192256	0.46427983
Southern Hemisphere	OWID_SH	1978	0.34355026	0.31974092	0.3671741
Southern Hemisphere	OWID_SH	1979	0.48261127	0.45945442	0.5044841
Southern Hemisphere	OWID_SH	1980	0.4704812	0.44305977	0.49349052
Southern Hemisphere	OWID_SH	1981	0.4181271	0.38869852	0.4393945
Southern Hemisphere	OWID_SH	1982	0.4137825	0.3862486	0.43482068
Southern Hemisphere	OWID_SH	1983	0.5622951	0.53565294	0.5841801
Southern Hemisphere	OWID_SH	1984	0.4385391	0.41054735	0.45995867
Southern Hemisphere	OWID_SH	1985	0.44583294	0.41970843	0.4674819
Southern Hemisphere	OWID_SH	1986	0.43247268	0.40499467	0.4548047
Southern Hemisphere	OWID_SH	1987	0.5879415	0.5605664	0.61036766
Southern Hemisphere	OWID_SH	1988	0.53789634	0.51112217	0.5605218
Southern Hemisphere	OWID_SH	1989	0.4786556	0.45077175	0.5025991
Southern Hemisphere	OWID_SH	1990	0.55717295	0.52847874	0.5819607
Southern Hemisphere	OWID_SH	1991	0.569718	0.53890383	0.5944768
Southern Hemisphere	OWID_SH	1992	0.4991521	0.46792683	0.5232108
Southern Hemisphere	OWID_SH	1993	0.5460282	0.51615	0.5702979
Southern Hemisphere	OWID_SH	1994	0.4967215	0.4661265	0.5222257
Southern Hemisphere	OWID_SH	1995	0.5412525	0.5084369	0.5657661
Southern Hemisphere	OWID_SH	1996	0.5456656	0.5132635	0.5694963
Southern Hemisphere	OWID_SH	1997	0.69243556	0.66015095	0.7193106
Southern Hemisphere	OWID_SH	1998	0.7927163	0.7592475	0.8185093
Southern Hemisphere	OWID_SH	1999	0.5594869	0.52712995	0.58597606
Southern Hemisphere	OWID_SH	2000	0.5441921	0.51222944	0.57089436
Southern Hemisphere	OWID_SH	2001	0.66630566	0.6342621	0.69367725
Southern Hemisphere	OWID_SH	2002	0.7181923	0.68591875	0.74492717
Southern Hemisphere	OWID_SH	2003	0.69774634	0.66610473	0.7224842
Southern Hemisphere	OWID_SH	2004	0.64310807	0.61070645	0.6666095
Southern Hemisphere	OWID_SH	2005	0.65969086	0.6279328	0.68221
Southern Hemisphere	OWID_SH	2006	0.65465593	0.6234951	0.6761344
Southern Hemisphere	OWID_SH	2007	0.58234733	0.55095536	0.6051154
Southern Hemisphere	OWID_SH	2008	0.55709773	0.52662593	0.58062875
Southern Hemisphere	OWID_SH	2009	0.7590814	0.72805476	0.78309935
Southern Hemisphere	OWID_SH	2010	0.738472	0.70818424	0.76210874
Southern Hemisphere	OWID_SH	2011	0.65872216	0.6275328	0.6823913
Southern Hemisphere	OWID_SH	2012	0.69193757	0.6602559	0.7162286
Southern Hemisphere	OWID_SH	2013	0.70579416	0.67274034	0.73073816
Southern Hemisphere	OWID_SH	2014	0.75853634	0.72728753	0.7825394
Southern Hemisphere	OWID_SH	2015	0.871964	0.84147793	0.8947958
Southern Hemisphere	OWID_SH	2016	0.9172508	0.88660866	0.93937826
Southern Hemisphere	OWID_SH	2017	0.8366492	0.8055975	0.8592776
Southern Hemisphere	OWID_SH	2018	0.81239015	0.78139216	0.8345168
Southern Hemisphere	OWID_SH	2019	0.8673374	0.83611965	0.889083
Southern Hemisphere	OWID_SH	2020	0.79416716	0.7629115	0.8158659
Southern Hemisphere	OWID_SH	2021	0.78388673	0.752954	0.8053724
Southern Hemisphere	OWID_SH	2022	0.844838	0.8137926	0.8672481
Southern Hemisphere	OWID_SH	2023	1.0883547	1.0555987	1.1119676
Southern Hemisphere	OWID_SH	2024	1.0764554	1.0444481	1.1005421
Southern Hemisphere	OWID_SH	2025	1.0312009	0.9996201	1.0540898
World	OWID_WRL	1850	-0.034916274	-0.101752356	0.013306311
World	OWID_WRL	1851	0.08074214	0.016504062	0.13038789
World	OWID_WRL	1852	0.08905106	0.02935456	0.13731757
World	OWID_WRL	1853	0.06128806	0.008967479	0.10710048
World	OWID_WRL	1854	0.003241808	-0.047738023	0.047704313
