water_id,date,cups,notes
86,2025-09-24,7,
87,2025-09-25,5,Good day
88,2025-09-26,10,
89,2025-09-27,11,"Long shift, low water"
90,2025-09-28,9,Good day
91,2025-09-29,6,Good day
92,2025-09-30,8,"Long shift, low water"
93,2025-10-01,6,"Long shift, low water"
94,2025-10-02,4,
95,2025-10-03,10,Good day
96,2025-10-04,11,"Long shift, low water"
97,2025-10-05,10,"Long shift, low water"
98,2025-10-06,12,
99,2025-10-07,12,
100,2025-10-08,5,
101,2025-10-09,4,
102,2025-10-10,4,
103,2025-10-11,5,
104,2025-10-12,4,"Long shift, low water"
105,2025-10-13,7,Good day
106,2025-10-14,7,
107,2025-10-15,7,
108,2025-10-16,5,"Long shift, low water"
109,2025-10-17,11,"Long shift, low water"
110,2025-10-18,12,
111,2025-10-19,10,Good day
112,2025-10-20,6,
113,2025-10-21,10,
114,2025-10-22,10,
115,2025-10-23,10,
116,2025-10-24,11,
117,2025-10-25,12,
118,2025-10-26,5,Good day
119,2025-10-27,12,Good day
120,2025-10-28,6,"Long shift, low water"
121,2025-10-29,4,
122,2025-10-30,4,Good day
123,2025-10-31,11,Good day
124,2025-11-01,12,
125,2025-11-02,5,
126,2025-11-03,12,
127,2025-11-04,7,
128,2025-11-05,10,Good day
129,2025-11-06,12,"Long shift, low water"
130,2025-11-07,11,"Long shift, low water"
131,2025-11-08,9,"Long shift, low water"
132,2025-11-09,9,
133,2025-11-10,8,
134,2025-11-11,6,
135,2025-11-12,8,
136,2025-11-13,8,Good day
137,2025-11-14,5,
138,2025-11-15,11,
139,2025-11-16,8,
140,2025-11-17,5,
141,2025-11-18,5,
142,2025-11-19,9,
143,2025-11-20,10,Good day
144,2025-11-21,4,
145,2025-11-22,6,Good day
146,2025-11-23,6,
147,2025-11-24,12,"Long shift, low water"
148,2025-11-25,12,
149,2025-11-26,10,
150,2025-11-27,6,Good day
151,2025-11-28,9,"Long shift, low water"
152,2025-11-29,11,
153,2025-11-30,5,
154,2025-12-01,4,Good day
155,2025-12-02,12,"Long shift, low water"
156,2025-12-03,7,"Long shift, low water"
157,2025-12-04,12,"Long shift, low water"
158,2025-12-05,7,Good day
159,2025-12-06,5,Good day
160,2025-12-07,8,"Long shift, low water"
161,2025-12-08,8,"Long shift, low water"
162,2025-12-09,4,"Long shift, low water"
163,2025-12-10,4,"Long shift, low water"
164,2025-12-11,10,
165,2025-12-12,11,"Long shift, low water"
166,2025-12-13,4,Good day
167,2025-12-14,6,"Long shift, low water"
168,2025-12-15,4,Good day
169,2025-12-16,11,Good day
170,2025-12-17,12,
171,2025-12-18,12,"Long shift, low water"
172,2025-12-19,4,Good day
173,2025-12-20,8,Good day
174,2025-12-21,4,
175,2025-12-22,9,
176,2025-12-23,8,Good day
177,2025-12-24,8,"Long shift, low water"
178,2025-12-25,10,Good day
179,2025-12-26,11,"Long shift, low water"
180,2025-12-27,7,Good day
181,2025-12-28,8,
182,2025-12-29,6,
183,2025-12-30,8,
184,2025-12-31,12,
185,2026-01-01,5,"Long shift, low water"
186,2026-01-02,10,"Long shift, low water"
187,2026-01-03,12,
188,2026-01-04,9,
189,2026-01-05,10,
190,2026-01-06,4,"Long shift, low water"
191,2026-01-07,6,Good day
192,2026-01-08,7,Good day
193,2026-01-09,4,"Long shift, low water"
194,2026-01-10,12,Good day
195,2026-01-11,9,"Long shift, low water"
196,2026-01-12,5,"Long shift, low water"
197,2026-01-13,4,
198,2026-01-14,9,"Long shift, low water"
199,2026-01-15,4,
200,2026-01-16,9,
201,2026-01-17,12,
202,2026-01-18,5,"Long shift, low water"
203,2026-01-19,7,
204,2026-01-20,10,"Long shift, low water"
205,2026-01-21,9,
206,2026-01-22,6,Good day
207,2026-01-23,5,Good day
208,2026-01-24,10,
209,2026-01-25,12,"Long shift, low water"
210,2026-01-26,12,
211,2026-01-27,10,"Long shift, low water"
212,2026-01-28,7,
213,2026-01-29,4,
214,2026-01-30,9,
215,2026-01-31,6,Good day
216,2026-02-01,11,
217,2026-02-02,8,Good day
218,2026-02-03,7,
219,2026-02-04,7,Good day
220,2026-02-05,10,
221,2026-02-06,10,
222,2025-12-19,4,Good day
223,2025-10-16,8,
224,2025-12-15,6,Good day
225,2025-10-27,12,
226,2025-08-08,5,"Long shift, low water"
227,2025-12-14,11,"Long shift, low water"
228,2025-08-02,12,
229,2025-07-31,4,
230,2025-10-09,10,"Long shift, low water"
231,2025-08-15,4,
232,2025-08-29,9,Good day
233,2025-10-23,7,
234,2025-10-30,11,"Long shift, low water"
235,2025-12-07,10,"Long shift, low water"
236,2025-09-11,12,Good day
237,2026-01-07,7,
238,2025-07-01,11,Good day
239,2025-08-29,10,Good day
240,2025-09-06,6,"Long shift, low water"
241,2025-08-30,7,
242,2025-12-20,10,
243,2025-09-06,7,
244,2025-07-23,10,"Long shift, low water"
245,2025-08-19,10,Good day
246,2025-12-13,4,Good day
247,2025-11-20,7,
248,2025-09-07,6,"Long shift, low water"
249,2025-12-14,7,
250,2025-11-24,8,Good day
251,2025-08-10,12,
252,2026-01-14,4,
253,2025-11-28,9,
254,2025-08-05,9,Good day
255,2025-08-05,12,
256,2025-10-09,9,
257,2025-11-06,7,Good day
258,2025-10-10,4,Good day
259,2026-01-09,10,
260,2026-02-04,12,"Long shift, low water"
261,2026-02-03,12,
262,2025-12-26,6,Good day
263,2025-12-21,5,"Long shift, low water"
264,2025-12-31,8,Good day
265,2025-07-14,5,Good day
266,2025-09-02,9,
267,2025-09-27,10,
268,2025-12-13,5,"Long shift, low water"
269,2025-11-29,8,Good day
270,2025-08-24,5,"Long shift, low water"
271,2025-10-18,5,
272,2025-07-23,7,
273,2025-10-14,10,Good day
274,2026-01-26,7,Good day
275,2025-10-17,11,
276,2026-01-23,5,Good day
277,2025-11-22,4,"Long shift, low water"
278,2025-09-06,5,Good day
279,2025-12-15,8,"Long shift, low water"
280,2025-07-17,10,
