id,key,project_key,issue_type,summary,description,status,priority,assignee,reporter,sprint_id,story_points,created,updated
46,URDE-46,URDE,Task,Routine pipeline task 46,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
47,URDE-47,URDE,Task,Routine pipeline task 47,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
48,URDE-48,URDE,Task,Routine pipeline task 48,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
49,URDE-49,URDE,Task,Routine pipeline task 49,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
50,URDE-50,URDE,Task,Routine pipeline task 50,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
51,URDE-51,URDE,Task,Routine pipeline task 51,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
52,URDE-52,URDE,Task,Routine pipeline task 52,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
53,URDE-53,URDE,Task,Routine pipeline task 53,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
54,URDE-54,URDE,Task,Routine pipeline task 54,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
55,URDE-55,URDE,Task,Routine pipeline task 55,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
56,URDE-56,URDE,Task,Routine pipeline task 56,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
57,URDE-57,URDE,Task,Routine pipeline task 57,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
58,URDE-58,URDE,Task,Routine pipeline task 58,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
59,URDE-59,URDE,Task,Routine pipeline task 59,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
60,URDE-60,URDE,Task,Routine pipeline task 60,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
61,URDE-61,URDE,Task,Routine pipeline task 61,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
62,URDE-62,URDE,Task,Routine pipeline task 62,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
63,URDE-63,URDE,Task,Routine pipeline task 63,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
64,URDE-64,URDE,Task,Routine pipeline task 64,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
65,URDE-65,URDE,Task,Routine pipeline task 65,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
66,URDE-66,URDE,Task,Routine pipeline task 66,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
67,URDE-67,URDE,Task,Routine pipeline task 67,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
68,URDE-68,URDE,Task,Routine pipeline task 68,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
69,URDE-69,URDE,Task,Routine pipeline task 69,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
70,URDE-70,URDE,Task,Routine pipeline task 70,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
71,URDE-71,URDE,Task,Routine pipeline task 71,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
72,URDE-72,URDE,Task,Routine pipeline task 72,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
73,URDE-73,URDE,Task,Routine pipeline task 73,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
74,URDE-74,URDE,Task,Routine pipeline task 74,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
75,URDE-75,URDE,Task,Routine pipeline task 75,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
76,URDE-76,URDE,Task,Routine pipeline task 76,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
77,URDE-77,URDE,Task,Routine pipeline task 77,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
78,URDE-78,URDE,Task,Routine pipeline task 78,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
79,URDE-79,URDE,Task,Routine pipeline task 79,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
80,URDE-80,URDE,Task,Routine pipeline task 80,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
81,URDE-81,URDE,Task,Routine pipeline task 81,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
82,URDE-82,URDE,Task,Routine pipeline task 82,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
83,URDE-83,URDE,Task,Routine pipeline task 83,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
84,URDE-84,URDE,Task,Routine pipeline task 84,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
85,URDE-85,URDE,Task,Routine pipeline task 85,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
86,URDE-86,URDE,Task,Routine pipeline task 86,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
87,URDE-87,URDE,Task,Routine pipeline task 87,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
88,URDE-88,URDE,Task,Routine pipeline task 88,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
89,URDE-89,URDE,Task,Routine pipeline task 89,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
90,URDE-90,URDE,Task,Routine pipeline task 90,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
91,URDE-91,URDE,Task,Routine pipeline task 91,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
92,URDE-92,URDE,Task,Routine pipeline task 92,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
93,URDE-93,URDE,Task,Routine pipeline task 93,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
94,URDE-94,URDE,Task,Routine pipeline task 94,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
95,URDE-95,URDE,Task,Routine pipeline task 95,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
96,URDE-96,URDE,Task,Routine pipeline task 96,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
97,URDE-97,URDE,Task,Routine pipeline task 97,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
98,URDE-98,URDE,Task,Routine pipeline task 98,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
99,URDE-99,URDE,Task,Routine pipeline task 99,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
100,URDE-100,URDE,Task,Routine pipeline task 100,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
101,URDE-101,URDE,Task,Routine pipeline task 101,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
102,URDE-102,URDE,Task,Routine pipeline task 102,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
