Id,DisplayName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr,Balance,Active,AcctNum,Vendor1099
3010,Salazar Tannery,Salazar Tannery,"{""Address"": ""orders@salazar-010.example.com""}","{""FreeFormNumber"": ""+15755558010""}","{""Line1"": ""210 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",890,true,V00011,true
3011,Salazar Leather Supply,Salazar Leather Supply,"{""Address"": ""orders@salazar-011.example.com""}","{""FreeFormNumber"": ""+15755558011""}","{""Line1"": ""211 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",979,true,V00012,false
3012,Salazar Hardware,Salazar Hardware,"{""Address"": ""orders@salazar-012.example.com""}","{""FreeFormNumber"": ""+15755558012""}","{""Line1"": ""212 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",1068,true,V00013,false
3013,Salazar Buckle Co,Salazar Buckle Co,"{""Address"": ""orders@salazar-013.example.com""}","{""FreeFormNumber"": ""+15755558013""}","{""Line1"": ""213 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",1157,true,V00014,false
3014,Salazar Dyes & Finishes,Salazar Dyes & Finishes,"{""Address"": ""orders@salazar-014.example.com""}","{""FreeFormNumber"": ""+15755558014""}","{""Line1"": ""214 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",1246,true,V00015,false
3015,Salazar Sewing Supplies,Salazar Sewing Supplies,"{""Address"": ""orders@salazar-015.example.com""}","{""FreeFormNumber"": ""+15755558015""}","{""Line1"": ""215 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",1335,true,V00016,true
3016,Salazar Craft Wholesale,Salazar Craft Wholesale,"{""Address"": ""orders@salazar-016.example.com""}","{""FreeFormNumber"": ""+15755558016""}","{""Line1"": ""216 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",1424,true,V00017,false
3017,Salazar Ranch Supply,Salazar Ranch Supply,"{""Address"": ""orders@salazar-017.example.com""}","{""FreeFormNumber"": ""+15755558017""}","{""Line1"": ""217 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",1513,true,V00018,false
3018,Salazar Freight & Shipping,Salazar Freight & Shipping,"{""Address"": ""orders@salazar-018.example.com""}","{""FreeFormNumber"": ""+15755558018""}","{""Line1"": ""218 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",1602,true,V00019,false
3019,Salazar Print & Signage,Salazar Print & Signage,"{""Address"": ""orders@salazar-019.example.com""}","{""FreeFormNumber"": ""+15755558019""}","{""Line1"": ""219 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",1691,true,V00020,false
3020,Marquez Tannery,Marquez Tannery,"{""Address"": ""orders@marquez-020.example.com""}","{""FreeFormNumber"": ""+15755558020""}","{""Line1"": ""220 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",1780,true,V00021,true
3021,Marquez Leather Supply,Marquez Leather Supply,"{""Address"": ""orders@marquez-021.example.com""}","{""FreeFormNumber"": ""+15755558021""}","{""Line1"": ""221 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",1869,true,V00022,false
3022,Marquez Hardware,Marquez Hardware,"{""Address"": ""orders@marquez-022.example.com""}","{""FreeFormNumber"": ""+15755558022""}","{""Line1"": ""222 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",1958,true,V00023,false
3023,Marquez Buckle Co,Marquez Buckle Co,"{""Address"": ""orders@marquez-023.example.com""}","{""FreeFormNumber"": ""+15755558023""}","{""Line1"": ""223 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",2047,true,V00024,false
3024,Marquez Dyes & Finishes,Marquez Dyes & Finishes,"{""Address"": ""orders@marquez-024.example.com""}","{""FreeFormNumber"": ""+15755558024""}","{""Line1"": ""224 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",2136,true,V00025,false
3025,Marquez Sewing Supplies,Marquez Sewing Supplies,"{""Address"": ""orders@marquez-025.example.com""}","{""FreeFormNumber"": ""+15755558025""}","{""Line1"": ""225 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",2225,true,V00026,true
3026,Marquez Craft Wholesale,Marquez Craft Wholesale,"{""Address"": ""orders@marquez-026.example.com""}","{""FreeFormNumber"": ""+15755558026""}","{""Line1"": ""226 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",2314,true,V00027,false
3027,Marquez Ranch Supply,Marquez Ranch Supply,"{""Address"": ""orders@marquez-027.example.com""}","{""FreeFormNumber"": ""+15755558027""}","{""Line1"": ""227 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",2403,true,V00028,false
3028,Marquez Freight & Shipping,Marquez Freight & Shipping,"{""Address"": ""orders@marquez-028.example.com""}","{""FreeFormNumber"": ""+15755558028""}","{""Line1"": ""228 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",2492,true,V00029,false
3029,Marquez Print & Signage,Marquez Print & Signage,"{""Address"": ""orders@marquez-029.example.com""}","{""FreeFormNumber"": ""+15755558029""}","{""Line1"": ""229 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",2581,true,V00030,false
3030,Marquez Tannery,Marquez Tannery,"{""Address"": ""orders@marquez-030.example.com""}","{""FreeFormNumber"": ""+15755558030""}","{""Line1"": ""230 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",2670,true,V00031,true
3031,Marquez Leather Supply,Marquez Leather Supply,"{""Address"": ""orders@marquez-031.example.com""}","{""FreeFormNumber"": ""+15755558031""}","{""Line1"": ""231 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",2759,true,V00032,false
3032,Marquez Hardware,Marquez Hardware,"{""Address"": ""orders@marquez-032.example.com""}","{""FreeFormNumber"": ""+15755558032""}","{""Line1"": ""232 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",2848,true,V00033,false
3033,Marquez Buckle Co,Marquez Buckle Co,"{""Address"": ""orders@marquez-033.example.com""}","{""FreeFormNumber"": ""+15755558033""}","{""Line1"": ""233 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",2937,true,V00034,false
3034,Marquez Dyes & Finishes,Marquez Dyes & Finishes,"{""Address"": ""orders@marquez-034.example.com""}","{""FreeFormNumber"": ""+15755558034""}","{""Line1"": ""234 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",3026,true,V00035,false
3035,Marquez Sewing Supplies,Marquez Sewing Supplies,"{""Address"": ""orders@marquez-035.example.com""}","{""FreeFormNumber"": ""+15755558035""}","{""Line1"": ""235 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",3115,true,V00036,true
3036,Marquez Craft Wholesale,Marquez Craft Wholesale,"{""Address"": ""orders@marquez-036.example.com""}","{""FreeFormNumber"": ""+15755558036""}","{""Line1"": ""236 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",3204,true,V00037,false
3037,Marquez Ranch Supply,Marquez Ranch Supply,"{""Address"": ""orders@marquez-037.example.com""}","{""FreeFormNumber"": ""+15755558037""}","{""Line1"": ""237 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",3293,true,V00038,false
3038,Marquez Freight & Shipping,Marquez Freight & Shipping,"{""Address"": ""orders@marquez-038.example.com""}","{""FreeFormNumber"": ""+15755558038""}","{""Line1"": ""238 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",3382,true,V00039,false
3039,Marquez Print & Signage,Marquez Print & Signage,"{""Address"": ""orders@marquez-039.example.com""}","{""FreeFormNumber"": ""+15755558039""}","{""Line1"": ""239 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",3471,true,V00040,false
3040,Delgado Tannery,Delgado Tannery,"{""Address"": ""orders@delgado-040.example.com""}","{""FreeFormNumber"": ""+15755558040""}","{""Line1"": ""240 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",3560,true,V00041,true
3041,Delgado Leather Supply,Delgado Leather Supply,"{""Address"": ""orders@delgado-041.example.com""}","{""FreeFormNumber"": ""+15755558041""}","{""Line1"": ""241 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",3649,true,V00042,false
3042,Delgado Hardware,Delgado Hardware,"{""Address"": ""orders@delgado-042.example.com""}","{""FreeFormNumber"": ""+15755558042""}","{""Line1"": ""242 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",3738,true,V00043,false
3043,Delgado Buckle Co,Delgado Buckle Co,"{""Address"": ""orders@delgado-043.example.com""}","{""FreeFormNumber"": ""+15755558043""}","{""Line1"": ""243 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",3827,true,V00044,false
3044,Delgado Dyes & Finishes,Delgado Dyes & Finishes,"{""Address"": ""orders@delgado-044.example.com""}","{""FreeFormNumber"": ""+15755558044""}","{""Line1"": ""244 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",3916,true,V00045,false
3045,Delgado Sewing Supplies,Delgado Sewing Supplies,"{""Address"": ""orders@delgado-045.example.com""}","{""FreeFormNumber"": ""+15755558045""}","{""Line1"": ""245 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",4005,true,V00046,true
3046,Delgado Craft Wholesale,Delgado Craft Wholesale,"{""Address"": ""orders@delgado-046.example.com""}","{""FreeFormNumber"": ""+15755558046""}","{""Line1"": ""246 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",4094,true,V00047,false
3047,Delgado Ranch Supply,Delgado Ranch Supply,"{""Address"": ""orders@delgado-047.example.com""}","{""FreeFormNumber"": ""+15755558047""}","{""Line1"": ""247 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",4183,true,V00048,false
3048,Delgado Freight & Shipping,Delgado Freight & Shipping,"{""Address"": ""orders@delgado-048.example.com""}","{""FreeFormNumber"": ""+15755558048""}","{""Line1"": ""248 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",4272,true,V00049,false
3049,Delgado Print & Signage,Delgado Print & Signage,"{""Address"": ""orders@delgado-049.example.com""}","{""FreeFormNumber"": ""+15755558049""}","{""Line1"": ""249 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",4361,true,V00050,false
3050,Delgado Tannery,Delgado Tannery,"{""Address"": ""orders@delgado-050.example.com""}","{""FreeFormNumber"": ""+15755558050""}","{""Line1"": ""250 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",4450,true,V00051,true
3051,Delgado Leather Supply,Delgado Leather Supply,"{""Address"": ""orders@delgado-051.example.com""}","{""FreeFormNumber"": ""+15755558051""}","{""Line1"": ""251 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",4539,true,V00052,false
3052,Delgado Hardware,Delgado Hardware,"{""Address"": ""orders@delgado-052.example.com""}","{""FreeFormNumber"": ""+15755558052""}","{""Line1"": ""252 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",4628,true,V00053,false
3053,Delgado Buckle Co,Delgado Buckle Co,"{""Address"": ""orders@delgado-053.example.com""}","{""FreeFormNumber"": ""+15755558053""}","{""Line1"": ""253 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",4717,true,V00054,false
3054,Delgado Dyes & Finishes,Delgado Dyes & Finishes,"{""Address"": ""orders@delgado-054.example.com""}","{""FreeFormNumber"": ""+15755558054""}","{""Line1"": ""254 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",4806,true,V00055,false
3055,Delgado Sewing Supplies,Delgado Sewing Supplies,"{""Address"": ""orders@delgado-055.example.com""}","{""FreeFormNumber"": ""+15755558055""}","{""Line1"": ""255 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",4895,true,V00056,true
3056,Delgado Craft Wholesale,Delgado Craft Wholesale,"{""Address"": ""orders@delgado-056.example.com""}","{""FreeFormNumber"": ""+15755558056""}","{""Line1"": ""256 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",4984,true,V00057,false
3057,Delgado Ranch Supply,Delgado Ranch Supply,"{""Address"": ""orders@delgado-057.example.com""}","{""FreeFormNumber"": ""+15755558057""}","{""Line1"": ""257 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",73,true,V00058,false
3058,Delgado Freight & Shipping,Delgado Freight & Shipping,"{""Address"": ""orders@delgado-058.example.com""}","{""FreeFormNumber"": ""+15755558058""}","{""Line1"": ""258 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",162,true,V00059,false
3059,Delgado Print & Signage,Delgado Print & Signage,"{""Address"": ""orders@delgado-059.example.com""}","{""FreeFormNumber"": ""+15755558059""}","{""Line1"": ""259 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",251,true,V00060,false
3060,Nava Tannery,Nava Tannery,"{""Address"": ""orders@nava-060.example.com""}","{""FreeFormNumber"": ""+15755558060""}","{""Line1"": ""260 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",340,true,V00061,true
3061,Nava Leather Supply,Nava Leather Supply,"{""Address"": ""orders@nava-061.example.com""}","{""FreeFormNumber"": ""+15755558061""}","{""Line1"": ""261 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",429,true,V00062,false
3062,Nava Hardware,Nava Hardware,"{""Address"": ""orders@nava-062.example.com""}","{""FreeFormNumber"": ""+15755558062""}","{""Line1"": ""262 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",518,true,V00063,false
3063,Nava Buckle Co,Nava Buckle Co,"{""Address"": ""orders@nava-063.example.com""}","{""FreeFormNumber"": ""+15755558063""}","{""Line1"": ""263 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",607,true,V00064,false
3064,Nava Dyes & Finishes,Nava Dyes & Finishes,"{""Address"": ""orders@nava-064.example.com""}","{""FreeFormNumber"": ""+15755558064""}","{""Line1"": ""264 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",696,true,V00065,false
3065,Nava Sewing Supplies,Nava Sewing Supplies,"{""Address"": ""orders@nava-065.example.com""}","{""FreeFormNumber"": ""+15755558065""}","{""Line1"": ""265 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",785,true,V00066,true
3066,Nava Craft Wholesale,Nava Craft Wholesale,"{""Address"": ""orders@nava-066.example.com""}","{""FreeFormNumber"": ""+15755558066""}","{""Line1"": ""266 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",874,true,V00067,false
3067,Nava Ranch Supply,Nava Ranch Supply,"{""Address"": ""orders@nava-067.example.com""}","{""FreeFormNumber"": ""+15755558067""}","{""Line1"": ""267 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",963,true,V00068,false
3068,Nava Freight & Shipping,Nava Freight & Shipping,"{""Address"": ""orders@nava-068.example.com""}","{""FreeFormNumber"": ""+15755558068""}","{""Line1"": ""268 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",1052,true,V00069,false
3069,Nava Print & Signage,Nava Print & Signage,"{""Address"": ""orders@nava-069.example.com""}","{""FreeFormNumber"": ""+15755558069""}","{""Line1"": ""269 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",1141,true,V00070,false
3070,Nava Tannery,Nava Tannery,"{""Address"": ""orders@nava-070.example.com""}","{""FreeFormNumber"": ""+15755558070""}","{""Line1"": ""270 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",1230,true,V00071,true
3071,Nava Leather Supply,Nava Leather Supply,"{""Address"": ""orders@nava-071.example.com""}","{""FreeFormNumber"": ""+15755558071""}","{""Line1"": ""271 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",1319,true,V00072,false
3072,Nava Hardware,Nava Hardware,"{""Address"": ""orders@nava-072.example.com""}","{""FreeFormNumber"": ""+15755558072""}","{""Line1"": ""272 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",1408,true,V00073,false
3073,Nava Buckle Co,Nava Buckle Co,"{""Address"": ""orders@nava-073.example.com""}","{""FreeFormNumber"": ""+15755558073""}","{""Line1"": ""273 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",1497,true,V00074,false
3074,Nava Dyes & Finishes,Nava Dyes & Finishes,"{""Address"": ""orders@nava-074.example.com""}","{""FreeFormNumber"": ""+15755558074""}","{""Line1"": ""274 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",1586,true,V00075,false
3075,Nava Sewing Supplies,Nava Sewing Supplies,"{""Address"": ""orders@nava-075.example.com""}","{""FreeFormNumber"": ""+15755558075""}","{""Line1"": ""275 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",1675,true,V00076,true
3076,Nava Craft Wholesale,Nava Craft Wholesale,"{""Address"": ""orders@nava-076.example.com""}","{""FreeFormNumber"": ""+15755558076""}","{""Line1"": ""276 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",1764,true,V00077,false
3077,Nava Ranch Supply,Nava Ranch Supply,"{""Address"": ""orders@nava-077.example.com""}","{""FreeFormNumber"": ""+15755558077""}","{""Line1"": ""277 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",1853,true,V00078,false
3078,Nava Freight & Shipping,Nava Freight & Shipping,"{""Address"": ""orders@nava-078.example.com""}","{""FreeFormNumber"": ""+15755558078""}","{""Line1"": ""278 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",1942,true,V00079,false
3079,Nava Print & Signage,Nava Print & Signage,"{""Address"": ""orders@nava-079.example.com""}","{""FreeFormNumber"": ""+15755558079""}","{""Line1"": ""279 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",2031,true,V00080,false
3080,Cerda Tannery,Cerda Tannery,"{""Address"": ""orders@cerda-080.example.com""}","{""FreeFormNumber"": ""+15755558080""}","{""Line1"": ""280 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",2120,true,V00081,true
3081,Cerda Leather Supply,Cerda Leather Supply,"{""Address"": ""orders@cerda-081.example.com""}","{""FreeFormNumber"": ""+15755558081""}","{""Line1"": ""281 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",2209,true,V00082,false
3082,Cerda Hardware,Cerda Hardware,"{""Address"": ""orders@cerda-082.example.com""}","{""FreeFormNumber"": ""+15755558082""}","{""Line1"": ""282 Industrial Blvd"", ""City"": ""Alamogordo"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88310""}",2298,true,V00083,false
3083,Cerda Buckle Co,Cerda Buckle Co,"{""Address"": ""orders@cerda-083.example.com""}","{""FreeFormNumber"": ""+15755558083""}","{""Line1"": ""283 Industrial Blvd"", ""City"": ""Deming"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88030""}",2387,true,V00084,false
3084,Cerda Dyes & Finishes,Cerda Dyes & Finishes,"{""Address"": ""orders@cerda-084.example.com""}","{""FreeFormNumber"": ""+15755558084""}","{""Line1"": ""284 Industrial Blvd"", ""City"": ""Las Cruces"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88001""}",2476,true,V00085,false
3085,Cerda Sewing Supplies,Cerda Sewing Supplies,"{""Address"": ""orders@cerda-085.example.com""}","{""FreeFormNumber"": ""+15755558085""}","{""Line1"": ""285 Industrial Blvd"", ""City"": ""El Paso"", ""CountrySubDivisionCode"": ""TX"", ""PostalCode"": ""79912""}",2565,true,V00086,true
3086,Cerda Craft Wholesale,Cerda Craft Wholesale,"{""Address"": ""orders@cerda-086.example.com""}","{""FreeFormNumber"": ""+15755558086""}","{""Line1"": ""286 Industrial Blvd"", ""City"": ""Albuquerque"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87102""}",2654,true,V00087,false
3087,Cerda Ranch Supply,Cerda Ranch Supply,"{""Address"": ""orders@cerda-087.example.com""}","{""FreeFormNumber"": ""+15755558087""}","{""Line1"": ""287 Industrial Blvd"", ""City"": ""Santa Fe"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""87501""}",2743,true,V00088,false
3088,Cerda Freight & Shipping,Cerda Freight & Shipping,"{""Address"": ""orders@cerda-088.example.com""}","{""FreeFormNumber"": ""+15755558088""}","{""Line1"": ""288 Industrial Blvd"", ""City"": ""Roswell"", ""CountrySubDivisionCode"": ""NM"", ""PostalCode"": ""88203""}",2832,true,V00089,false
