Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
1047,Accounts Payable — Vendor A #5,Accounts Payable,AccountsPayable,7439,true,Equity,Salazar Leathercraft ledger account row #48
1048,Income — Vendor B #5,Income,SalesOfProductIncome,7576,true,Revenue,Salazar Leathercraft ledger account row #49
1049,Expense — Sales #5,Expense,OtherMiscellaneousExpense,7713,true,Expense,Salazar Leathercraft ledger account row #50
1050,Cost of Goods Sold — Inventory #5,Cost of Goods Sold,SuppliesMaterialsCogs,7850,true,Asset,Salazar Leathercraft ledger account row #51
1051,Other Current Asset — Equipment #5,Other Current Asset,OtherCurrentAssets,7987,true,Liability,Salazar Leathercraft ledger account row #52
1052,Fixed Asset — Deposits #5,Fixed Asset,FurnitureAndFixtures,8124,true,Equity,Salazar Leathercraft ledger account row #53
1053,Other Current Liability — Loans #5,Other Current Liability,LineOfCredit,8261,true,Revenue,Salazar Leathercraft ledger account row #54
1054,Equity — Retained #5,Equity,OwnersEquity,8398,true,Expense,Salazar Leathercraft ledger account row #55
1055,Bank — Main #6,Bank,Checking,8535,true,Asset,Salazar Leathercraft ledger account row #56
1056,Credit Card — Secondary #6,Credit Card,CreditCard,8672,true,Liability,Salazar Leathercraft ledger account row #57
1057,Accounts Receivable — Reserve #6,Accounts Receivable,AccountsReceivable,8809,true,Equity,Salazar Leathercraft ledger account row #58
1058,Accounts Payable — Vendor A #6,Accounts Payable,AccountsPayable,8946,true,Revenue,Salazar Leathercraft ledger account row #59
1059,Income — Vendor B #6,Income,SalesOfProductIncome,9083,true,Expense,Salazar Leathercraft ledger account row #60
1060,Expense — Sales #6,Expense,OtherMiscellaneousExpense,9220,true,Asset,Salazar Leathercraft ledger account row #61
1061,Cost of Goods Sold — Inventory #6,Cost of Goods Sold,SuppliesMaterialsCogs,9357,true,Liability,Salazar Leathercraft ledger account row #62
1062,Other Current Asset — Equipment #6,Other Current Asset,OtherCurrentAssets,9494,true,Equity,Salazar Leathercraft ledger account row #63
1063,Fixed Asset — Deposits #6,Fixed Asset,FurnitureAndFixtures,9631,true,Revenue,Salazar Leathercraft ledger account row #64
1064,Other Current Liability — Loans #6,Other Current Liability,LineOfCredit,9768,true,Expense,Salazar Leathercraft ledger account row #65
1065,Equity — Retained #6,Equity,OwnersEquity,9905,true,Asset,Salazar Leathercraft ledger account row #66
1066,Bank — Main #7,Bank,Checking,10042,true,Liability,Salazar Leathercraft ledger account row #67
1067,Credit Card — Secondary #7,Credit Card,CreditCard,10179,true,Equity,Salazar Leathercraft ledger account row #68
1068,Accounts Receivable — Reserve #7,Accounts Receivable,AccountsReceivable,10316,true,Revenue,Salazar Leathercraft ledger account row #69
1069,Accounts Payable — Vendor A #7,Accounts Payable,AccountsPayable,10453,true,Expense,Salazar Leathercraft ledger account row #70
1070,Income — Vendor B #7,Income,SalesOfProductIncome,10590,true,Asset,Salazar Leathercraft ledger account row #71
1071,Expense — Sales #7,Expense,OtherMiscellaneousExpense,10727,true,Liability,Salazar Leathercraft ledger account row #72
1072,Cost of Goods Sold — Inventory #7,Cost of Goods Sold,SuppliesMaterialsCogs,10864,true,Equity,Salazar Leathercraft ledger account row #73
1073,Other Current Asset — Equipment #7,Other Current Asset,OtherCurrentAssets,11001,true,Revenue,Salazar Leathercraft ledger account row #74
1074,Fixed Asset — Deposits #7,Fixed Asset,FurnitureAndFixtures,11138,true,Expense,Salazar Leathercraft ledger account row #75
1075,Other Current Liability — Loans #7,Other Current Liability,LineOfCredit,11275,true,Asset,Salazar Leathercraft ledger account row #76
1076,Equity — Retained #7,Equity,OwnersEquity,11412,true,Liability,Salazar Leathercraft ledger account row #77
1077,Bank — Main #8,Bank,Checking,11549,true,Equity,Salazar Leathercraft ledger account row #78
1078,Credit Card — Secondary #8,Credit Card,CreditCard,11686,true,Revenue,Salazar Leathercraft ledger account row #79
1079,Accounts Receivable — Reserve #8,Accounts Receivable,AccountsReceivable,11823,true,Expense,Salazar Leathercraft ledger account row #80
1080,Accounts Payable — Vendor A #8,Accounts Payable,AccountsPayable,11960,true,Asset,Salazar Leathercraft ledger account row #81
1081,Income — Vendor B #8,Income,SalesOfProductIncome,12097,true,Liability,Salazar Leathercraft ledger account row #82
1082,Expense — Sales #8,Expense,OtherMiscellaneousExpense,12234,true,Equity,Salazar Leathercraft ledger account row #83
1083,Cost of Goods Sold — Inventory #8,Cost of Goods Sold,SuppliesMaterialsCogs,12371,true,Revenue,Salazar Leathercraft ledger account row #84
1084,Other Current Asset — Equipment #8,Other Current Asset,OtherCurrentAssets,12508,true,Expense,Salazar Leathercraft ledger account row #85
1085,Fixed Asset — Deposits #8,Fixed Asset,FurnitureAndFixtures,12645,true,Asset,Salazar Leathercraft ledger account row #86
1086,Other Current Liability — Loans #8,Other Current Liability,LineOfCredit,12782,true,Liability,Salazar Leathercraft ledger account row #87
1087,Equity — Retained #8,Equity,OwnersEquity,12919,true,Equity,Salazar Leathercraft ledger account row #88
1088,Bank — Main #9,Bank,Checking,13056,true,Revenue,Salazar Leathercraft ledger account row #89
1089,Credit Card — Secondary #9,Credit Card,CreditCard,13193,true,Expense,Salazar Leathercraft ledger account row #90
1090,Accounts Receivable — Reserve #9,Accounts Receivable,AccountsReceivable,13330,true,Asset,Salazar Leathercraft ledger account row #91
1091,Accounts Payable — Vendor A #9,Accounts Payable,AccountsPayable,13467,true,Liability,Salazar Leathercraft ledger account row #92
1092,Income — Vendor B #9,Income,SalesOfProductIncome,13604,true,Equity,Salazar Leathercraft ledger account row #93
1093,Expense — Sales #9,Expense,OtherMiscellaneousExpense,13741,true,Revenue,Salazar Leathercraft ledger account row #94
1094,Cost of Goods Sold — Inventory #9,Cost of Goods Sold,SuppliesMaterialsCogs,13878,true,Expense,Salazar Leathercraft ledger account row #95
1095,Other Current Asset — Equipment #9,Other Current Asset,OtherCurrentAssets,14015,true,Asset,Salazar Leathercraft ledger account row #96
1096,Fixed Asset — Deposits #9,Fixed Asset,FurnitureAndFixtures,14152,true,Liability,Salazar Leathercraft ledger account row #97
1097,Other Current Liability — Loans #9,Other Current Liability,LineOfCredit,14289,true,Equity,Salazar Leathercraft ledger account row #98
1098,Equity — Retained #9,Equity,OwnersEquity,14426,true,Revenue,Salazar Leathercraft ledger account row #99
1099,Bank — Main #10,Bank,Checking,14563,true,Expense,Salazar Leathercraft ledger account row #100
1100,Credit Card — Secondary #10,Credit Card,CreditCard,14700,true,Asset,Salazar Leathercraft ledger account row #101
1101,Accounts Receivable — Reserve #10,Accounts Receivable,AccountsReceivable,14837,true,Liability,Salazar Leathercraft ledger account row #102
1102,Accounts Payable — Vendor A #10,Accounts Payable,AccountsPayable,14974,true,Equity,Salazar Leathercraft ledger account row #103
1103,Income — Vendor B #10,Income,SalesOfProductIncome,15111,true,Revenue,Salazar Leathercraft ledger account row #104
1104,Expense — Sales #10,Expense,OtherMiscellaneousExpense,15248,true,Expense,Salazar Leathercraft ledger account row #105
