record_id,stop_id,month,driver_count,avg_hours_used,incident_tag,notes
FL00076,TS007,2026-04,35,7.5,none,
FL00077,TS007,2026-05,22,8.1,none,
FL00078,TS007,2026-06,21,10.2,none,
FL00079,TS007,2026-07,6,9.0,mechanical,pump outage
FL00080,TS007,2026-08,38,6.8,none,
FL00081,TS007,2026-09,15,7.0,none,
FL00082,TS007,2026-10,24,10.0,none,
FL00083,TS007,2026-11,25,8.3,none,
FL00084,TS007,2026-12,36,8.9,none,
FL00085,TS008,2026-01,35,9.8,mechanical,pump outage
FL00086,TS008,2026-02,21,6.9,none,
FL00087,TS008,2026-03,10,10.1,none,
FL00088,TS008,2026-04,37,7.6,none,
FL00089,TS008,2026-05,15,7.3,none,
FL00090,TS008,2026-06,18,7.5,none,
FL00091,TS008,2026-07,5,8.2,minor,
FL00092,TS008,2026-08,19,7.8,mechanical,pump outage
FL00093,TS008,2026-09,10,7.5,none,
FL00094,TS008,2026-10,30,8.2,none,
FL00095,TS008,2026-11,2,10.3,none,
FL00096,TS008,2026-12,11,9.8,none,
FL00097,TS009,2026-01,39,8.2,none,
FL00098,TS009,2026-02,4,10.1,none,
FL00099,TS009,2026-03,4,7.3,none,
FL00100,TS009,2026-04,17,7.9,none,
FL00101,TS009,2026-05,37,8.1,none,
FL00102,TS009,2026-06,11,7.4,none,
FL00103,TS009,2026-07,12,9.7,none,
FL00104,TS009,2026-08,28,9.4,mechanical,pump outage
FL00105,TS009,2026-09,23,8.1,none,
FL00106,TS009,2026-10,17,9.6,none,
FL00107,TS009,2026-11,8,6.7,none,
FL00108,TS009,2026-12,32,9.8,none,
FL00109,TS010,2026-01,31,9.8,none,
FL00110,TS010,2026-02,16,9.1,none,
FL00111,TS010,2026-03,27,10.0,none,
FL00112,TS010,2026-04,19,8.5,none,
FL00113,TS010,2026-05,36,6.6,none,
FL00114,TS010,2026-06,18,10.4,none,
FL00115,TS010,2026-07,18,8.9,mechanical,pump outage
FL00116,TS010,2026-08,24,7.8,none,
FL00117,TS010,2026-09,40,7.0,none,
FL00118,TS010,2026-10,38,6.7,none,
FL00119,TS010,2026-11,29,10.2,mechanical,pump outage
FL00120,TS010,2026-12,36,10.3,none,
FL00121,TS011,2026-01,14,6.8,none,
FL00122,TS011,2026-02,23,9.2,none,
FL00123,TS011,2026-03,9,7.7,none,
FL00124,TS011,2026-04,21,7.8,none,
FL00125,TS011,2026-05,20,7.3,none,
FL00126,TS011,2026-06,26,10.1,none,
FL00127,TS011,2026-07,38,8.7,none,
FL00128,TS011,2026-08,2,7.3,none,
FL00129,TS011,2026-09,39,7.8,none,
FL00130,TS011,2026-10,30,7.4,none,
FL00131,TS011,2026-11,32,10.3,none,
FL00132,TS011,2026-12,12,7.6,none,
FL00133,TS012,2026-01,23,10.3,minor,
FL00134,TS012,2026-02,17,7.4,none,
FL00135,TS012,2026-03,14,6.7,none,
FL00136,TS012,2026-04,32,9.6,none,
FL00137,TS012,2026-05,31,9.0,none,
FL00138,TS012,2026-06,14,8.0,none,
FL00139,TS012,2026-07,27,9.1,none,
FL00140,TS012,2026-08,2,9.9,none,
FL00141,TS012,2026-09,8,7.4,none,
FL00142,TS012,2026-10,35,8.7,none,
FL00143,TS012,2026-11,9,9.7,none,
FL00144,TS012,2026-12,35,8.9,none,
FL00145,TS013,2026-01,30,9.4,none,
FL00146,TS013,2026-02,34,10.1,none,
FL00147,TS013,2026-03,30,9.5,none,
FL00148,TS013,2026-04,32,9.5,none,
FL00149,TS013,2026-05,19,8.6,none,
FL00150,TS013,2026-06,17,6.8,none,
FL00151,TS013,2026-07,20,7.8,none,
FL00152,TS013,2026-08,36,7.1,minor,
FL00153,TS013,2026-09,26,9.3,none,
FL00154,TS013,2026-10,6,7.8,none,
FL00155,TS013,2026-11,31,7.3,none,
FL00156,TS013,2026-12,28,9.6,none,
FL00157,TS014,2026-01,3,9.6,none,
FL00158,TS014,2026-02,26,10.3,none,
FL00159,TS014,2026-03,21,9.9,none,
FL00160,TS014,2026-04,28,9.4,none,
FL00161,TS014,2026-05,40,8.5,none,
FL00162,TS014,2026-06,19,6.6,none,
FL00163,TS014,2026-07,23,9.7,none,
FL00164,TS014,2026-08,12,10.2,none,
FL00165,TS014,2026-09,36,8.1,mechanical,pump outage
FL00166,TS014,2026-10,38,6.8,none,
FL00167,TS014,2026-11,29,8.3,none,
FL00168,TS014,2026-12,5,7.8,none,
FL00169,TS015,2026-01,5,10.0,security,reported theft or approach
FL00170,TS015,2026-02,6,6.8,security,reported theft or approach
FL00171,TS015,2026-03,8,10.3,security,reported theft or approach
FL00172,TS015,2026-04,1,9.1,none,
FL00173,TS015,2026-05,3,6.6,security,reported theft or approach
FL00174,TS015,2026-06,3,9.2,security,reported theft or approach
FL00175,TS015,2026-07,3,7.5,none,
FL00176,TS015,2026-08,2,10.4,none,
FL00177,TS015,2026-09,2,6.9,none,
FL00178,TS015,2026-10,4,10.1,none,
FL00179,TS015,2026-11,6,7.3,none,
FL00180,TS015,2026-12,3,9.6,security,reported theft or approach
FL00181,TS016,2026-01,40,9.7,none,
FL00182,TS016,2026-02,38,7.9,none,
FL00183,TS016,2026-03,29,6.8,none,
FL00184,TS016,2026-04,23,8.2,mechanical,pump outage
FL00185,TS016,2026-05,33,10.3,none,
FL00186,TS016,2026-06,31,8.2,none,
FL00187,TS016,2026-07,35,7.6,none,
FL00188,TS016,2026-08,36,8.4,none,
FL00189,TS016,2026-09,39,9.9,none,
FL00190,TS016,2026-10,7,8.3,none,
FL00191,TS016,2026-11,31,9.2,none,
FL00192,TS016,2026-12,23,9.9,mechanical,pump outage
FL00193,TS017,2026-01,13,7.9,none,
FL00194,TS017,2026-02,18,10.0,none,
FL00195,TS017,2026-03,19,8.6,none,
FL00196,TS017,2026-04,14,9.4,minor,
FL00197,TS017,2026-05,33,7.5,none,
FL00198,TS017,2026-06,32,8.5,none,
FL00199,TS017,2026-07,3,7.4,minor,
FL00200,TS017,2026-08,17,8.8,none,
FL00201,TS017,2026-09,32,7.9,none,
FL00202,TS017,2026-10,37,9.3,none,
FL00203,TS017,2026-11,19,7.4,none,
FL00204,TS017,2026-12,14,9.5,none,
FL00205,TS018,2026-01,3,8.4,none,
FL00206,TS018,2026-02,8,10.4,none,
FL00207,TS018,2026-03,4,7.2,none,
FL00208,TS018,2026-04,8,6.7,none,
FL00209,TS018,2026-05,8,10.3,none,
FL00210,TS018,2026-06,1,8.8,none,
FL00211,TS018,2026-07,7,7.2,none,
FL00212,TS018,2026-08,4,8.4,none,
FL00213,TS018,2026-09,6,8.8,none,
FL00214,TS018,2026-10,2,8.8,none,
FL00215,TS018,2026-11,1,7.0,none,
FL00216,TS018,2026-12,3,8.0,none,
FL00217,TS019,2026-01,30,8.9,none,
FL00218,TS019,2026-02,29,9.0,none,
FL00219,TS019,2026-03,8,7.3,none,
FL00220,TS019,2026-04,15,6.8,none,
FL00221,TS019,2026-05,17,6.8,none,
FL00222,TS019,2026-06,2,9.3,none,
FL00223,TS019,2026-07,32,7.4,none,
FL00224,TS019,2026-08,20,8.3,none,
FL00225,TS019,2026-09,16,9.7,none,
FL00226,TS019,2026-10,39,10.2,none,
FL00227,TS019,2026-11,29,7.4,none,
FL00228,TS019,2026-12,11,9.8,none,
FL00229,TS020,2026-01,6,9.7,minor,
FL00230,TS020,2026-02,40,8.8,none,
FL00231,TS020,2026-03,20,8.4,none,
FL00232,TS020,2026-04,21,10.3,none,
FL00233,TS020,2026-05,34,8.3,none,
FL00234,TS020,2026-06,40,8.2,mechanical,pump outage
FL00235,TS020,2026-07,22,6.6,none,
FL00236,TS020,2026-08,16,9.8,none,
FL00237,TS020,2026-09,38,6.6,none,
FL00238,TS020,2026-10,19,9.6,none,
FL00239,TS020,2026-11,13,9.1,none,
FL00240,TS020,2026-12,19,8.8,none,
FL00241,TS021,2026-01,1,8.1,none,
FL00242,TS021,2026-02,1,7.8,none,
FL00243,TS021,2026-03,4,8.1,none,
FL00244,TS021,2026-04,0,7.8,none,
FL00245,TS021,2026-05,1,8.1,none,
FL00246,TS021,2026-06,0,8.7,none,
FL00247,TS021,2026-07,0,7.9,security,reported theft or approach
FL00248,TS021,2026-08,7,7.3,none,
FL00249,TS021,2026-09,2,8.3,none,
FL00250,TS021,2026-10,1,9.0,security,reported theft or approach
FL00251,TS021,2026-11,2,6.6,security,reported theft or approach
FL00252,TS021,2026-12,1,9.9,security,reported theft or approach
FL00253,TS022,2026-01,9,7.0,none,
FL00254,TS022,2026-02,11,9.4,none,
FL00255,TS022,2026-03,34,8.2,none,
FL00256,TS022,2026-04,32,7.5,none,
FL00257,TS022,2026-05,37,7.3,none,
FL00258,TS022,2026-06,40,10.0,none,
FL00259,TS022,2026-07,6,9.7,none,
FL00260,TS022,2026-08,28,9.7,none,
FL00261,TS022,2026-09,19,7.6,none,
FL00262,TS022,2026-10,21,8.8,none,
FL00263,TS022,2026-11,33,8.3,none,
FL00264,TS022,2026-12,32,8.7,none,
FL00265,TS023,2026-01,36,10.2,none,
FL00266,TS023,2026-02,14,7.5,none,
FL00267,TS023,2026-03,26,9.6,none,
FL00268,TS023,2026-04,4,8.4,none,
FL00269,TS023,2026-05,26,9.2,none,
FL00270,TS023,2026-06,11,6.6,none,
FL00271,TS023,2026-07,34,7.8,none,
FL00272,TS023,2026-08,8,8.3,none,
FL00273,TS023,2026-09,35,6.6,none,
FL00274,TS023,2026-10,11,9.1,none,
FL00275,TS023,2026-11,11,9.6,minor,
FL00276,TS023,2026-12,18,9.3,none,
FL00277,TS024,2026-01,5,9.9,none,
FL00278,TS024,2026-02,5,10.0,none,
FL00279,TS024,2026-03,8,6.8,mechanical,pump outage
FL00280,TS024,2026-04,3,8.2,none,
FL00281,TS024,2026-05,1,9.3,none,
FL00282,TS024,2026-06,0,6.7,none,
FL00283,TS024,2026-07,5,7.5,none,
FL00284,TS024,2026-08,2,6.8,none,
FL00285,TS024,2026-09,3,8.8,none,
FL00286,TS024,2026-10,7,8.3,none,
FL00287,TS024,2026-11,7,9.2,none,
FL00288,TS024,2026-12,1,7.9,none,
FL00289,TS025,2026-01,39,10.3,none,
FL00290,TS025,2026-02,18,7.7,none,
FL00291,TS025,2026-03,26,6.9,none,
FL00292,TS025,2026-04,26,8.8,none,
FL00293,TS025,2026-05,20,9.8,mechanical,pump outage
FL00294,TS025,2026-06,27,8.8,none,
FL00295,TS025,2026-07,5,9.5,none,
FL00296,TS025,2026-08,20,7.4,none,
FL00297,TS025,2026-09,24,7.3,none,
FL00298,TS025,2026-10,18,9.4,none,
FL00299,TS025,2026-11,10,10.1,none,
FL00300,TS025,2026-12,4,8.3,none,
FL00301,TS026,2026-01,39,7.0,none,
FL00302,TS026,2026-02,20,8.2,none,
FL00303,TS026,2026-03,14,8.7,none,
FL00304,TS026,2026-04,25,10.2,none,
FL00305,TS026,2026-05,12,9.8,none,
FL00306,TS026,2026-06,32,7.7,none,
FL00307,TS026,2026-07,23,8.4,none,
FL00308,TS026,2026-08,6,10.4,none,
FL00309,TS026,2026-09,27,9.7,none,
FL00310,TS026,2026-10,25,8.1,minor,
FL00311,TS026,2026-11,18,8.3,none,
FL00312,TS026,2026-12,18,9.8,none,
FL00313,TS027,2026-01,25,7.4,none,
FL00314,TS027,2026-02,3,10.3,none,
FL00315,TS027,2026-03,22,7.4,none,
FL00316,TS027,2026-04,6,8.4,none,
FL00317,TS027,2026-05,21,7.0,none,
FL00318,TS027,2026-06,4,7.7,none,
FL00319,TS027,2026-07,33,7.4,none,
FL00320,TS027,2026-08,36,8.3,none,
FL00321,TS027,2026-09,36,9.5,none,
FL00322,TS027,2026-10,11,9.1,none,
FL00323,TS027,2026-11,33,10.3,none,
FL00324,TS027,2026-12,19,8.0,mechanical,pump outage
FL00325,TS028,2026-01,30,7.4,none,
FL00326,TS028,2026-02,25,9.2,minor,
FL00327,TS028,2026-03,36,9.1,none,
FL00328,TS028,2026-04,5,7.3,none,
FL00329,TS028,2026-05,9,9.8,none,
FL00330,TS028,2026-06,7,9.1,none,
FL00331,TS028,2026-07,40,6.7,none,
FL00332,TS028,2026-08,23,7.0,none,
FL00333,TS028,2026-09,38,9.8,none,
FL00334,TS028,2026-10,37,7.4,none,
FL00335,TS028,2026-11,16,7.1,none,
FL00336,TS028,2026-12,40,9.9,mechanical,pump outage
FL00337,TS029,2026-01,2,9.7,none,
FL00338,TS029,2026-02,0,7.9,security,reported theft or approach
FL00339,TS029,2026-03,5,7.6,security,reported theft or approach
FL00340,TS029,2026-04,6,9.5,none,
FL00341,TS029,2026-05,7,8.6,none,
FL00342,TS029,2026-06,7,10.3,none,
FL00343,TS029,2026-07,8,9.1,security,reported theft or approach
FL00344,TS029,2026-08,0,9.9,none,
FL00345,TS029,2026-09,1,10.1,none,
FL00346,TS029,2026-10,1,7.1,security,reported theft or approach
FL00347,TS029,2026-11,4,8.8,none,
FL00348,TS029,2026-12,6,8.6,none,
FL00349,TS030,2026-01,31,8.2,none,
FL00350,TS030,2026-02,9,9.1,none,
FL00351,TS030,2026-03,37,7.4,none,
FL00352,TS030,2026-04,30,8.2,none,
FL00353,TS030,2026-05,31,9.4,none,
FL00354,TS030,2026-06,22,9.2,none,
FL00355,TS030,2026-07,25,9.2,none,
FL00356,TS030,2026-08,32,9.8,minor,
FL00357,TS030,2026-09,7,9.5,none,
FL00358,TS030,2026-10,25,8.7,none,
FL00359,TS030,2026-11,39,8.7,none,
FL00360,TS030,2026-12,9,10.0,none,
FL00361,TS031,2026-01,29,9.4,none,
FL00362,TS031,2026-02,20,7.9,none,
FL00363,TS031,2026-03,38,7.1,none,
FL00364,TS031,2026-04,32,6.9,none,
FL00365,TS031,2026-05,37,9.6,none,
FL00366,TS031,2026-06,38,8.2,none,
FL00367,TS031,2026-07,37,9.8,none,
FL00368,TS031,2026-08,37,10.2,mechanical,pump outage
FL00369,TS031,2026-09,19,7.6,mechanical,pump outage
FL00370,TS031,2026-10,21,7.9,none,
FL00371,TS031,2026-11,13,8.8,none,
FL00372,TS031,2026-12,27,9.5,minor,
FL00373,TS032,2026-01,3,8.6,minor,
FL00374,TS032,2026-02,26,7.9,none,
FL00375,TS032,2026-03,25,7.8,none,
FL00376,TS032,2026-04,38,10.0,none,
FL00377,TS032,2026-05,11,9.0,none,
FL00378,TS032,2026-06,7,9.1,none,
FL00379,TS032,2026-07,33,8.2,none,
FL00380,TS032,2026-08,15,7.0,none,
FL00381,TS032,2026-09,29,9.2,none,
FL00382,TS032,2026-10,39,9.2,none,
FL00383,TS032,2026-11,4,10.4,none,
FL00384,TS032,2026-12,5,7.7,mechanical,pump outage
FL00385,TS033,2026-01,15,9.6,none,
FL00386,TS033,2026-02,20,6.5,none,
FL00387,TS033,2026-03,29,8.0,none,
FL00388,TS033,2026-04,16,9.8,none,
FL00389,TS033,2026-05,24,9.9,minor,
FL00390,TS033,2026-06,4,8.3,none,
FL00391,TS033,2026-07,6,8.8,none,
FL00392,TS033,2026-08,38,9.1,none,
FL00393,TS033,2026-09,20,6.6,none,
FL00394,TS033,2026-10,22,10.3,none,
FL00395,TS033,2026-11,31,10.2,none,
FL00396,TS033,2026-12,7,6.9,none,
FL00397,TS034,2026-01,29,8.6,none,
FL00398,TS034,2026-02,27,9.5,none,
FL00399,TS034,2026-03,16,7.2,none,
FL00400,TS034,2026-04,34,8.6,none,
FL00401,TS034,2026-05,14,7.9,none,
FL00402,TS034,2026-06,11,7.1,none,
FL00403,TS034,2026-07,14,7.1,none,
FL00404,TS034,2026-08,6,9.6,none,
FL00405,TS034,2026-09,33,8.8,none,
FL00406,TS034,2026-10,39,10.2,none,
FL00407,TS034,2026-11,38,10.4,none,
FL00408,TS034,2026-12,22,9.0,none,
FL00409,TS035,2026-01,11,8.4,none,
FL00410,TS035,2026-02,21,8.9,none,
FL00411,TS035,2026-03,24,7.7,none,
FL00412,TS035,2026-04,30,8.0,mechanical,pump outage
FL00413,TS035,2026-05,20,10.0,minor,
FL00414,TS035,2026-06,7,8.5,none,
FL00415,TS035,2026-07,31,10.3,none,
FL00416,TS035,2026-08,4,9.7,none,
FL00417,TS035,2026-09,14,8.4,none,
FL00418,TS035,2026-10,11,8.3,none,
FL00419,TS035,2026-11,23,6.8,none,
FL00420,TS035,2026-12,13,9.3,mechanical,pump outage
FL00421,TS036,2026-01,30,8.9,none,
FL00422,TS036,2026-02,25,7.6,none,
FL00423,TS036,2026-03,28,9.2,none,
FL00424,TS036,2026-04,5,9.1,none,
FL00425,TS036,2026-05,6,8.7,none,
FL00426,TS036,2026-06,26,9.4,none,
FL00427,TS036,2026-07,40,7.8,none,
FL00428,TS036,2026-08,39,10.2,none,
FL00429,TS036,2026-09,21,9.3,none,
FL00430,TS036,2026-10,27,9.3,safety,lot lighting failed
FL00431,TS036,2026-11,7,8.0,none,
FL00432,TS036,2026-12,23,9.2,none,
FL00433,TS037,2026-01,1,8.2,none,
FL00434,TS037,2026-02,0,7.2,none,
FL00435,TS037,2026-03,5,8.4,none,
FL00436,TS037,2026-04,2,7.7,none,
FL00437,TS037,2026-05,8,9.8,none,
FL00438,TS037,2026-06,0,10.0,none,
FL00439,TS037,2026-07,6,7.2,none,
FL00440,TS037,2026-08,7,8.0,mechanical,pump outage
FL00441,TS037,2026-09,7,9.5,none,
FL00442,TS037,2026-10,3,7.7,none,
FL00443,TS037,2026-11,3,10.3,none,
FL00444,TS037,2026-12,7,9.6,none,
FL00445,TS038,2026-01,34,10.4,none,
FL00446,TS038,2026-02,14,7.1,none,
FL00447,TS038,2026-03,18,8.4,minor,
FL00448,TS038,2026-04,25,6.9,none,
FL00449,TS038,2026-05,35,7.6,none,
FL00450,TS038,2026-06,12,10.1,none,
FL00451,TS038,2026-07,11,6.9,none,
FL00452,TS038,2026-08,16,10.0,none,
FL00453,TS038,2026-09,3,8.1,none,
FL00454,TS038,2026-10,25,10.5,none,
FL00455,TS038,2026-11,25,7.8,none,
FL00456,TS038,2026-12,8,9.1,none,
FL00457,TS039,2026-01,2,10.2,security,reported theft or approach
FL00458,TS039,2026-02,2,8.4,none,
FL00459,TS039,2026-03,1,7.4,security,reported theft or approach
FL00460,TS039,2026-04,8,8.9,none,
FL00461,TS039,2026-05,1,7.5,none,
FL00462,TS039,2026-06,0,9.1,security,reported theft or approach
FL00463,TS039,2026-07,1,10.1,security,reported theft or approach
FL00464,TS039,2026-08,8,8.6,security,reported theft or approach
FL00465,TS039,2026-09,2,6.5,security,reported theft or approach
FL00466,TS039,2026-10,3,7.2,none,
FL00467,TS039,2026-11,8,6.8,none,
FL00468,TS039,2026-12,8,10.5,none,
FL00469,TS040,2026-01,37,10.0,mechanical,pump outage
FL00470,TS040,2026-02,4,10.4,none,
FL00471,TS040,2026-03,18,7.9,none,
FL00472,TS040,2026-04,6,9.4,none,
FL00473,TS040,2026-05,8,9.4,none,
FL00474,TS040,2026-06,23,7.9,none,
FL00475,TS040,2026-07,23,7.2,none,
FL00476,TS040,2026-08,31,8.4,none,
FL00477,TS040,2026-09,13,6.8,none,
FL00478,TS040,2026-10,31,7.3,mechanical,pump outage
FL00479,TS040,2026-11,14,7.8,none,
FL00480,TS040,2026-12,21,10.5,none,
FL00481,TS041,2026-01,36,6.6,none,
FL00482,TS041,2026-02,14,9.9,none,
FL00483,TS041,2026-03,5,7.8,none,
FL00484,TS041,2026-04,9,8.2,none,
FL00485,TS041,2026-05,27,10.1,none,
FL00486,TS041,2026-06,26,7.2,none,
FL00487,TS041,2026-07,33,9.7,none,
FL00488,TS041,2026-08,19,9.4,none,
FL00489,TS041,2026-09,7,10.5,none,
FL00490,TS041,2026-10,13,7.8,none,
FL00491,TS041,2026-11,7,7.7,none,
FL00492,TS041,2026-12,30,8.2,none,
FL00493,TS042,2026-01,30,6.7,none,
FL00494,TS042,2026-02,24,8.2,none,
FL00495,TS042,2026-03,5,9.1,minor,
FL00496,TS042,2026-04,25,9.5,none,
FL00497,TS042,2026-05,12,7.1,none,
FL00498,TS042,2026-06,40,8.3,none,
FL00499,TS042,2026-07,10,9.6,minor,
FL00500,TS042,2026-08,25,10.3,none,
FL00501,TS042,2026-09,4,9.2,none,
FL00502,TS042,2026-10,25,9.6,none,
FL00503,TS042,2026-11,38,8.0,none,
FL00504,TS042,2026-12,22,7.5,none,
FL00505,TS043,2026-01,9,7.2,mechanical,pump outage
FL00506,TS043,2026-02,35,8.7,none,
FL00507,TS043,2026-03,18,9.3,none,
FL00508,TS043,2026-04,15,7.6,none,
FL00509,TS043,2026-05,33,7.0,none,
FL00510,TS043,2026-06,6,10.1,none,
FL00511,TS043,2026-07,30,9.7,none,
FL00512,TS043,2026-08,22,9.3,none,
FL00513,TS043,2026-09,37,10.1,none,
FL00514,TS043,2026-10,12,10.2,none,
FL00515,TS043,2026-11,13,8.5,none,
FL00516,TS043,2026-12,9,9.7,none,
FL00517,TS044,2026-01,17,6.6,none,
FL00518,TS044,2026-02,37,8.4,none,
FL00519,TS044,2026-03,37,10.0,none,
FL00520,TS044,2026-04,6,10.5,none,
FL00521,TS044,2026-05,32,9.6,none,
FL00522,TS044,2026-06,38,10.4,minor,
FL00523,TS044,2026-07,6,9.2,none,
FL00524,TS044,2026-08,24,9.8,none,
FL00525,TS044,2026-09,37,7.2,none,
FL00526,TS044,2026-10,10,10.1,none,
FL00527,TS044,2026-11,5,8.6,none,
FL00528,TS044,2026-12,21,7.8,none,
FL00529,TS045,2026-01,16,10.3,none,
FL00530,TS045,2026-02,20,7.5,none,
FL00531,TS045,2026-03,37,9.0,none,
FL00532,TS045,2026-04,36,9.1,minor,
FL00533,TS045,2026-05,39,7.1,none,
FL00534,TS045,2026-06,40,10.2,none,
FL00535,TS045,2026-07,4,6.6,none,
FL00536,TS045,2026-08,4,9.6,none,
FL00537,TS045,2026-09,18,9.6,none,
FL00538,TS045,2026-10,28,6.6,none,
FL00539,TS045,2026-11,36,10.3,none,
FL00540,TS045,2026-12,32,9.7,none,
