id,name,parent_id,owner_id,description,created_at,modified_at,item_count
bf_9dz56eh1,Folder u109,bf_bucy,user_001,,2025-02-13T14:33:00,2025-04-29T23:06:00,3
bf_sz9rw6ju,Folder hfzm,bf_5wkp,user_001,,2025-09-01T03:10:00,2025-10-13T14:20:00,19
bf_ihgwzqyw,Folder z64t,bf_19wt,user_001,,2025-03-10T01:03:00,2025-08-23T00:37:00,1
bf_k0e283jd,Folder qgsf,bf_2a3a,user_001,,2025-06-29T02:00:00,2026-02-14T11:22:00,15
bf_bi38bxve,Folder g18b,bf_5uha,user_001,,2025-05-31T05:08:00,2026-08-01T02:39:00,8
bf_t10orlrj,Folder 16uq,bf_qmgf,user_001,,2025-09-05T07:39:00,2025-02-18T19:36:00,15
bf_25dbl8g6,Folder w2vf,bf_s997,user_001,,2025-06-09T05:11:00,2026-05-14T00:59:00,6
bf_vh0qgxc5,Folder cs97,bf_wfxm,user_001,,2026-09-11T06:37:00,2025-12-29T15:23:00,10
bf_qgkdp0r5,Folder 1x9j,bf_8u1f,user_001,,2025-02-09T11:22:00,2025-06-14T06:04:00,8
bf_8s9ehjj9,Folder chha,bf_hj12,user_001,,2025-11-28T18:51:00,2026-02-01T19:27:00,6
bf_1kic9z0q,Folder nwpg,bf_bzz8,user_001,,2025-01-10T16:18:00,2026-07-10T12:09:00,5
bf_217n3vta,Folder wu36,bf_twtk,user_001,,2026-05-25T18:22:00,2025-05-23T20:38:00,4
bf_4bzzpiqa,Folder 3ssy,bf_bspw,user_001,,2026-01-22T08:17:00,2026-09-06T16:57:00,11
bf_9m191uq3,Folder w09p,bf_x4lb,user_001,,2025-02-02T17:11:00,2026-05-14T12:29:00,6
bf_l9ljuu96,Folder 4h4f,bf_sj8y,user_001,,2025-03-01T06:32:00,2025-11-21T16:54:00,9
bf_m75spmsl,Folder a1js,bf_hgs2,user_001,,2025-03-06T21:32:00,2025-09-22T18:37:00,12
bf_0dmj0nh9,Folder p55g,bf_eiqx,user_001,,2026-06-13T09:46:00,2026-06-02T14:11:00,14
bf_p32fqa3y,Folder utn4,bf_rsvy,user_001,,2026-04-13T06:42:00,2026-09-21T12:35:00,1
bf_16m48x0k,Folder dlyo,bf_4mxw,user_001,,2026-09-11T05:29:00,2025-06-10T13:37:00,20
bf_bm3b3fxv,Folder coki,bf_lrck,user_001,,2025-05-28T17:29:00,2026-07-30T21:33:00,9
bf_j7y9sysq,Folder m4bh,bf_gwx3,user_001,,2026-04-17T02:19:00,2025-12-17T14:16:00,9
bf_w6qy7gaj,Folder k1jd,bf_79c2,user_001,,2026-06-08T18:15:00,2025-11-19T16:34:00,11
bf_lq6tvn1e,Folder o5sq,bf_5y85,user_001,,2026-03-17T03:07:00,2026-02-14T15:55:00,19
bf_fisgrn10,Folder 3m30,bf_jwlo,user_001,,2025-06-18T00:34:00,2025-09-07T16:27:00,10
bf_iyfgsto6,Folder 0q2s,bf_3n4e,user_001,,2025-02-20T01:39:00,2026-04-02T17:52:00,0
bf_mvz5dzbg,Folder g6fh,bf_jyyd,user_001,,2025-08-06T06:29:00,2025-08-25T11:58:00,4
bf_bats6k5i,Folder uohs,bf_razq,user_001,,2026-08-17T14:15:00,2025-03-03T07:15:00,6
bf_jpmxzkm0,Folder f8mc,bf_ns7h,user_001,,2025-07-15T17:44:00,2026-08-04T15:12:00,14
bf_7v3vcew9,Folder o6yk,bf_re50,user_001,,2026-04-09T03:53:00,2025-07-05T18:49:00,15
bf_7xzwvm45,Folder tqul,bf_vrg0,user_001,,2026-04-02T20:19:00,2026-07-22T10:19:00,17
bf_s2d8jowz,Folder uroa,bf_laml,user_001,,2025-03-25T17:23:00,2026-03-27T15:57:00,2
bf_k2smstod,Folder 9mjz,bf_yxlx,user_001,,2026-05-23T06:50:00,2026-07-27T03:29:00,2
bf_32w7ds8g,Folder aiga,bf_6rub,user_001,,2025-08-01T22:46:00,2025-03-02T17:28:00,2
bf_c2ez5l77,Folder f8kh,bf_8dmf,user_001,,2025-03-15T15:15:00,2025-10-18T21:50:00,8
bf_2tliiosc,Folder qw4p,bf_74w2,user_001,,2026-02-03T23:09:00,2025-12-07T06:19:00,3
bf_ke5qwmvn,Folder 8poy,bf_j08u,user_001,,2026-07-17T20:09:00,2025-03-06T03:18:00,12
bf_vayulaw4,Folder 574k,bf_w9kp,user_001,,2025-07-29T17:40:00,2025-02-24T06:21:00,1
bf_szi5exhx,Folder fmqm,bf_wztv,user_001,,2025-11-30T17:51:00,2026-08-09T05:17:00,13
bf_i0ct1hnj,Folder rigz,bf_5sbi,user_001,,2025-03-18T04:30:00,2025-09-19T21:25:00,16
bf_r1h1fldm,Folder 3bvt,bf_q60h,user_001,,2025-04-21T19:54:00,2025-04-23T05:13:00,20
bf_7ywgrj0y,Folder 7l2j,bf_1mp4,user_001,,2026-03-15T19:10:00,2025-01-14T05:04:00,4
bf_rw3d3m5o,Folder hlpp,bf_f75i,user_001,,2025-11-18T07:45:00,2026-01-29T08:22:00,12
bf_xhvhzty4,Folder 2d2u,bf_e47o,user_001,,2025-04-07T06:09:00,2026-03-27T14:05:00,20
bf_samtlz9n,Folder sw93,bf_tp59,user_001,,2025-09-15T20:55:00,2026-06-01T16:50:00,15
bf_6kkyc3si,Folder xd3u,bf_ikv7,user_001,,2025-12-15T23:00:00,2026-07-10T04:20:00,10
bf_x2804n9w,Folder pxqk,bf_fypt,user_001,,2025-08-26T04:14:00,2026-04-30T23:45:00,19
bf_jdizcr69,Folder ho0z,bf_qr28,user_001,,2025-09-30T11:58:00,2025-04-05T22:47:00,4
bf_rhq7jmxr,Folder u8ja,bf_bv4z,user_001,,2026-08-09T18:49:00,2026-05-13T23:49:00,20
bf_dwaoi2f7,Folder 0v73,bf_9cup,user_001,,2025-06-22T12:06:00,2025-09-11T09:32:00,7
bf_d6v9hyqi,Folder 3nvz,bf_jsem,user_001,,2026-04-02T00:05:00,2026-02-24T02:48:00,10
bf_bnwj2ksx,Folder lcsr,bf_j5qi,user_001,,2026-04-29T22:00:00,2025-12-10T12:27:00,14
bf_sn5146ne,Folder 40lq,bf_1onv,user_001,,2026-03-03T03:49:00,2025-07-05T19:51:00,14
bf_t608zb07,Folder ss2t,bf_dwtt,user_001,,2026-05-09T19:49:00,2026-03-07T23:49:00,17
bf_qze2e3hk,Folder mxjl,bf_deas,user_001,,2026-05-22T23:00:00,2026-04-28T04:35:00,1
bf_zayedv3e,Folder w03c,bf_3wha,user_001,,2025-12-19T23:35:00,2025-09-12T10:05:00,20
bf_2djr2cqf,Folder 7qc6,bf_q9oi,user_001,,2025-05-13T19:44:00,2025-03-05T20:34:00,6
bf_50njd3lc,Folder 7lbs,bf_d150,user_001,,2026-01-12T14:49:00,2026-07-29T05:42:00,8
bf_wzphsslt,Folder j7nv,bf_9kws,user_001,,2025-04-04T14:25:00,2025-01-11T14:35:00,12
bf_w9pkqsml,Folder 1a3f,bf_jyn9,user_001,,2026-03-20T20:37:00,2026-05-06T19:45:00,9
bf_6ujok3e3,Folder 0g1s,bf_vbd6,user_001,,2025-07-15T22:45:00,2026-07-16T06:58:00,4
bf_gjedih9d,Folder y2fj,bf_xgve,user_001,,2026-06-06T18:04:00,2026-05-13T18:56:00,12
bf_7pj6r14i,Folder 4tic,bf_o5ju,user_001,,2026-01-12T17:03:00,2025-04-02T01:44:00,18
bf_i3k49sz7,Folder zris,bf_gyu6,user_001,,2025-05-13T03:35:00,2026-01-18T19:48:00,15
bf_tmeq0gyg,Folder dft1,bf_m0hv,user_001,,2025-05-31T10:14:00,2026-01-15T13:10:00,0
bf_ms9erfdp,Folder 3lv0,bf_ux99,user_001,,2026-09-21T21:58:00,2026-02-13T16:27:00,8
bf_0fwq2u3v,Folder q8mk,bf_c8bg,user_001,,2025-12-01T21:31:00,2026-03-02T19:01:00,15
bf_rqfqw94x,Folder kr5u,bf_goa6,user_001,,2025-06-11T15:27:00,2026-02-11T00:53:00,9
bf_hnct1alf,Folder v1e4,bf_c6ms,user_001,,2026-06-14T15:57:00,2026-01-19T04:55:00,2
bf_3pc7dq61,Folder ooa5,bf_i9v1,user_001,,2026-02-17T06:03:00,2025-09-03T00:19:00,9
bf_b2mst5id,Folder t1e5,bf_bqem,user_001,,2025-01-24T12:32:00,2026-06-11T11:59:00,1
bf_vk5jhjlg,Folder siv8,bf_e7h3,user_001,,2025-01-30T16:24:00,2025-06-05T01:38:00,10
bf_xfdh12zp,Folder steu,bf_geq5,user_001,,2025-02-14T11:22:00,2025-09-01T10:06:00,20
bf_zjj2ah0m,Folder lbg9,bf_n0zp,user_001,,2026-01-19T10:22:00,2026-02-19T21:29:00,17
bf_j45w4u4j,Folder 9zk3,bf_eze2,user_001,,2026-02-15T09:01:00,2025-04-29T12:38:00,18
bf_4hvffkns,Folder f928,bf_pxuf,user_001,,2026-09-13T22:55:00,2026-03-08T19:58:00,18
bf_6xrjjfn8,Folder y6d4,bf_y7vf,user_001,,2025-11-17T22:08:00,2026-05-17T03:33:00,4
bf_s5988c15,Folder ctov,bf_yn5o,user_001,,2025-08-14T19:46:00,2025-08-22T00:02:00,17
bf_2rbt1j82,Folder 7pl6,bf_18j5,user_001,,2026-04-23T22:09:00,2026-07-28T00:07:00,13
bf_ov7t5z46,Folder 8yvo,bf_aw6b,user_001,,2026-08-21T12:25:00,2025-12-26T13:31:00,14
bf_s3ue9y8g,Folder dtdb,bf_b2d7,user_001,,2026-02-12T23:36:00,2026-07-04T07:29:00,16
bf_qf7pq7ht,Folder k9w3,bf_2tst,user_001,,2026-01-24T02:35:00,2026-06-16T23:47:00,5
bf_fshtpvkl,Folder tv5c,bf_8lk0,user_001,,2026-08-29T23:09:00,2026-06-02T14:18:00,15
bf_jw4slnpm,Folder 7j6y,bf_sczj,user_001,,2026-08-19T17:40:00,2026-05-12T16:48:00,10
bf_z1z10ydn,Folder u55k,bf_cs0x,user_001,,2025-05-15T21:20:00,2025-05-11T03:01:00,6
bf_r2nnzxzg,Folder wb10,bf_58dt,user_001,,2026-01-10T02:54:00,2025-05-20T20:44:00,5
bf_8g5bb2sf,Folder xjnv,bf_67vn,user_001,,2026-09-03T18:03:00,2025-04-05T12:56:00,5
bf_nizwmihl,Folder aao8,bf_65uc,user_001,,2025-07-27T18:35:00,2026-05-07T07:41:00,10
bf_3z8cckkx,Folder punv,bf_pm0m,user_001,,2025-04-29T05:11:00,2025-10-06T20:28:00,17
bf_gbk6ge2r,Folder kwcd,bf_0t4p,user_001,,2026-05-23T11:31:00,2026-03-22T12:34:00,17
bf_a1rosbky,Folder jo2v,bf_9bhj,user_001,,2025-05-17T22:28:00,2026-09-02T04:44:00,20
bf_nlvy86w4,Folder nqko,bf_qq9f,user_001,,2025-06-26T15:44:00,2026-09-14T23:27:00,19
bf_b19i9gjq,Folder fdl8,bf_v75k,user_001,,2026-03-03T07:02:00,2025-04-07T02:34:00,12
bf_fokpwd5v,Folder kgwt,bf_izgr,user_001,,2025-02-24T10:39:00,2025-07-20T14:40:00,17
bf_ilml3p1n,Folder wp36,bf_j68g,user_001,,2026-09-21T13:17:00,2026-07-11T15:07:00,17
bf_kt813l9f,Folder 007w,bf_scst,user_001,,2025-09-22T11:15:00,2025-06-11T00:32:00,9
bf_oz9x9i5x,Folder dj6k,bf_52ve,user_001,,2025-12-30T00:55:00,2025-05-24T06:44:00,10
bf_7tzhdsr3,Folder 62qw,bf_jrlb,user_001,,2026-07-20T07:34:00,2025-07-05T15:54:00,2
bf_lw5uxjzh,Folder 1hpz,bf_xmyi,user_001,,2026-04-29T18:45:00,2025-12-05T07:00:00,11
bf_39gbnr8f,Folder qb1y,bf_c67z,user_001,,2026-01-07T17:51:00,2025-10-09T10:34:00,18
bf_fnq74fjz,Folder sins,bf_vdoa,user_001,,2026-05-29T08:05:00,2025-09-07T03:01:00,6
bf_mvacn01s,Folder 2rfd,bf_5pfr,user_001,,2025-04-19T22:01:00,2025-11-21T08:34:00,3
bf_uif31b8l,Folder 1n6r,bf_311n,user_001,,2025-03-21T23:17:00,2025-11-26T01:25:00,7
bf_lp2elllc,Folder qtx8,bf_7er9,user_001,,2026-04-30T06:27:00,2025-06-21T11:36:00,1
bf_qp55bism,Folder cfz2,bf_bu86,user_001,,2025-03-12T00:57:00,2026-01-01T05:33:00,19
bf_cyfqxgb1,Folder dny4,bf_mem7,user_001,,2025-01-15T08:55:00,2025-03-26T12:18:00,18
bf_1klcgdku,Folder uq41,bf_063r,user_001,,2026-02-17T11:30:00,2026-01-14T04:49:00,6
bf_8pug5e5s,Folder rwpl,bf_wklp,user_001,,2026-06-13T02:17:00,2025-08-08T00:59:00,10
bf_kz47vxg7,Folder dk0b,bf_0nv4,user_001,,2026-03-15T14:34:00,2025-03-18T00:04:00,0
bf_2h70d8at,Folder sham,bf_cymo,user_001,,2025-12-10T22:02:00,2026-07-21T09:18:00,15
bf_dmqzlxif,Folder obj7,bf_mmyg,user_001,,2025-09-04T06:27:00,2026-04-19T04:15:00,2
bf_so9nl45q,Folder iwu5,bf_ius6,user_001,,2025-08-19T17:34:00,2026-03-21T17:26:00,20
bf_70fvcb07,Folder 3m9y,bf_yza7,user_001,,2026-02-28T13:45:00,2025-06-18T18:04:00,13
bf_dhr6vsmq,Folder nwf8,bf_y8o2,user_001,,2026-03-13T13:48:00,2026-03-27T00:57:00,8
bf_qaagbftq,Folder zgli,bf_zs7i,user_001,,2025-06-13T10:15:00,2025-02-06T04:14:00,18
bf_zo8hljho,Folder vpuo,bf_p7j8,user_001,,2025-10-20T21:32:00,2025-03-06T10:04:00,1
bf_9exvyw0f,Folder 6l0e,bf_qw6d,user_001,,2025-05-09T13:31:00,2026-02-25T18:51:00,8
bf_4d1feu10,Folder u441,bf_4xqj,user_001,,2026-03-10T01:09:00,2026-02-15T02:48:00,17
bf_0w8wxshf,Folder b6oz,bf_4hzl,user_001,,2025-08-03T09:25:00,2025-08-22T13:23:00,4
bf_quclsckz,Folder b908,bf_2csz,user_001,,2026-03-09T00:17:00,2025-06-08T23:46:00,11
bf_ccbnw5cl,Folder uqgb,bf_jzph,user_001,,2025-07-29T23:48:00,2026-03-13T00:22:00,13
bf_3a3vcjfc,Folder 7ztv,bf_122q,user_001,,2025-05-14T10:54:00,2025-10-06T14:53:00,18
bf_yl7ixctp,Folder 62gf,bf_kxnn,user_001,,2025-06-07T00:33:00,2026-07-05T03:34:00,15
bf_d50cfqg3,Folder 0z1i,bf_3w0a,user_001,,2025-08-29T20:23:00,2026-06-27T02:22:00,7
bf_qpo4s5ub,Folder wa6y,bf_8q8p,user_001,,2025-04-22T07:05:00,2025-02-10T05:06:00,17
bf_8n4p9qet,Folder eo3l,bf_bhja,user_001,,2025-11-01T20:14:00,2025-02-20T18:34:00,18
bf_0pie5kbh,Folder cuaf,bf_e5p2,user_001,,2026-01-22T00:02:00,2026-07-01T04:21:00,14
bf_m60vgbwo,Folder kb5o,bf_fyuo,user_001,,2025-05-16T05:17:00,2025-09-20T18:53:00,17
bf_m0enrr3p,Folder klat,bf_kwyq,user_001,,2025-12-27T23:52:00,2026-09-02T12:43:00,10
bf_wdvfttwp,Folder hc2o,bf_tmsw,user_001,,2026-05-02T19:10:00,2025-02-01T17:22:00,4
bf_6gm3b9sn,Folder 988g,bf_sab3,user_001,,2025-06-20T16:25:00,2025-04-08T08:24:00,19
bf_4pldrpvl,Folder gfw5,bf_4cr8,user_001,,2025-10-14T20:07:00,2025-05-05T04:51:00,9
bf_oterg1an,Folder sft7,bf_b6w3,user_001,,2025-01-12T03:22:00,2025-06-07T17:24:00,10
bf_7i738asn,Folder bpfx,bf_0gyi,user_001,,2026-01-23T19:12:00,2026-02-09T02:14:00,18
bf_kr925e7f,Folder mfr0,bf_z2cy,user_001,,2026-06-06T16:15:00,2025-05-27T02:59:00,8
bf_bfyi00ag,Folder jaoy,bf_bq10,user_001,,2025-04-17T06:22:00,2026-07-21T19:47:00,10
bf_ilikdsc1,Folder dv6v,bf_cwfr,user_001,,2025-08-07T22:45:00,2026-02-11T08:45:00,13
bf_tsd9wj7s,Folder w8xb,bf_brez,user_001,,2026-05-10T09:32:00,2025-03-27T04:31:00,8
