artist_id,name,genres,followers,popularity
artist_0000,Clark Thomas Jessup,ranger|safety,73,142
artist_0041,Petra Ueda,family|trail,290,405
artist_0042,Rosa Diaz,safety|interp,137,232
artist_0043,Sam Kaur,gear|photography,6,274
artist_0044,Tara Ramirez,interp|family,425,265
artist_0045,Ursula Young,interp|gear,298,323
artist_0046,Viktor Ferrari,ranger|glacier,285,16
artist_0047,Wanda Meyer,ranger|interp,108,315
artist_0048,Xander Ueda,backcountry|ranger,302,379
artist_0049,Yusuf Diaz,backcountry|winter,177,388
artist_0050,Zola Kaur,interp|family,481,468
artist_0051,Adele Ramirez,safety|interp,299,275
artist_0052,Bruno Young,winter|photography,265,361
artist_0053,Camila Ferrari,safety|glacier,401,247
artist_0054,Dario Meyer,winter|family,164,482
artist_0055,Efe Ueda,interp|safety,438,188
artist_0056,Fionn Diaz,winter|photography,49,372
artist_0057,Gwen Kaur,interp|winter,72,104
artist_0058,Hector Ramirez,ranger|interp,378,52
artist_0059,Iris Young,photography|winter,332,454
artist_0060,Julius Ferrari,winter|family,312,237
artist_0061,Kenji Meyer,backcountry|photography,136,158
artist_0062,Alice Ueda,family|photography,426,462
artist_0063,Ben Diaz,glacier|trail,273,277
artist_0064,Chloe Kaur,winter|backcountry,123,368
artist_0065,Diego Ramirez,photography|winter,133,31
artist_0066,Elena Young,interp|trail,422,313
artist_0067,Farhan Ferrari,gear|trail,292,284
artist_0068,Grace Meyer,photography|interp,217,166
artist_0069,Hiro Ueda,photography|ranger,420,426
artist_0070,Isabelle Diaz,safety|trail,190,59
artist_0071,Jamal Kaur,trail|ranger,42,269
artist_0072,Kira Ramirez,trail|gear,202,141
artist_0073,Luis Young,glacier|safety,132,172
artist_0074,Maya Ferrari,trail|winter,367,69
artist_0075,Noah Meyer,trail|glacier,287,330
artist_0076,Olivia Ueda,winter|gear,118,479
artist_0077,Pablo Diaz,gear|family,67,115
artist_0078,Quinn Kaur,ranger|trail,155,146
artist_0079,Ravi Ramirez,gear|safety,122,279
artist_0080,Sofia Young,glacier|safety,112,87
artist_0081,Tomas Ferrari,ranger|photography,321,134
artist_0082,Uma Meyer,trail|interp,359,154
artist_0083,Vince Ueda,family|glacier,242,115
artist_0084,Wren Diaz,glacier|winter,302,424
artist_0085,Xiao Kaur,safety|ranger,246,145
artist_0086,Yara Ramirez,family|safety,434,236
artist_0087,Zane Young,ranger|family,310,358
artist_0088,Anika Ferrari,winter|family,151,438
artist_0089,Bram Meyer,backcountry|photography,325,16
artist_0090,Cora Ueda,trail|photography,320,419
artist_0091,Deshaun Diaz,ranger|photography,360,452
artist_0092,Eli Kaur,backcountry|trail,11,312
artist_0093,Freya Ramirez,interp|backcountry,468,235
artist_0094,Gabriel Young,ranger|interp,107,54
artist_0095,Hana Ferrari,interp|safety,114,77
artist_0096,Ian Meyer,gear|interp,217,421
artist_0097,Jessa Ueda,family|safety,250,447
artist_0098,Kai Diaz,photography|gear,297,53
artist_0099,Lena Kaur,winter|family,58,439
artist_0100,Mateo Ramirez,safety|gear,490,488
artist_0101,Nia Young,ranger|interp,495,197
artist_0102,Owen Ferrari,ranger|glacier,7,247
artist_0103,Petra Meyer,ranger|glacier,65,189
artist_0104,Rosa Ueda,winter|photography,181,126
artist_0105,Sam Diaz,backcountry|trail,281,314
artist_0106,Tara Kaur,trail|interp,240,43
artist_0107,Ursula Ramirez,photography|backcountry,436,474
artist_0108,Viktor Young,safety|glacier,329,332
artist_0109,Wanda Ferrari,ranger|family,241,167
artist_0110,Xander Meyer,glacier|backcountry,357,416
artist_0111,Yusuf Ueda,gear|winter,90,150
artist_0112,Zola Diaz,backcountry|family,260,319
artist_0113,Adele Kaur,gear|interp,74,21
artist_0114,Bruno Ramirez,photography|glacier,74,18
artist_0115,Camila Young,trail|interp,51,259
artist_0116,Dario Ferrari,photography|gear,5,84
artist_0117,Efe Meyer,safety|glacier,484,400
artist_0118,Fionn Ueda,interp|winter,235,483
artist_0119,Gwen Diaz,gear|photography,213,388
artist_0120,Hector Kaur,ranger|trail,179,176
artist_0121,Iris Ramirez,trail|interp,392,419
artist_0122,Julius Young,trail|safety,52,249
artist_0123,Kenji Ferrari,photography|winter,399,322
artist_0124,Alice Meyer,glacier|family,260,321
artist_0125,Ben Ueda,backcountry|interp,36,214
artist_0126,Chloe Diaz,family|ranger,352,29
artist_0127,Diego Kaur,trail|safety,469,255
artist_0128,Elena Ramirez,glacier|safety,241,300
artist_0129,Farhan Young,glacier|backcountry,450,288
artist_0130,Grace Ferrari,winter|ranger,189,29
artist_0131,Hiro Meyer,glacier|family,33,238
artist_0132,Isabelle Ueda,ranger|family,288,84
artist_0133,Jamal Diaz,family|ranger,283,19
artist_0134,Kira Kaur,glacier|trail,268,402
artist_0135,Luis Ramirez,interp|safety,208,8
artist_0136,Maya Young,backcountry|gear,164,93
artist_0137,Noah Ferrari,family|winter,28,271
artist_0138,Olivia Meyer,ranger|photography,38,396
artist_0139,Pablo Ueda,photography|winter,112,198
artist_0140,Quinn Diaz,glacier|photography,160,495
artist_0141,Ravi Kaur,interp|backcountry,263,396
artist_0142,Sofia Ramirez,backcountry|trail,411,335
artist_0143,Tomas Young,family|ranger,238,373
artist_0144,Uma Ferrari,winter|family,109,316
artist_0145,Vince Meyer,glacier|ranger,25,259
artist_0146,Wren Ueda,backcountry|family,134,67
artist_0147,Xiao Diaz,backcountry|glacier,92,216
artist_0148,Yara Kaur,photography|family,70,7
artist_0149,Zane Ramirez,gear|winter,99,377
artist_0150,Anika Young,interp|photography,364,427
artist_0151,Bram Ferrari,gear|photography,188,455
artist_0152,Cora Meyer,glacier|winter,20,52
artist_0153,Deshaun Ueda,glacier|safety,414,256
artist_0154,Eli Diaz,ranger|winter,189,212
artist_0155,Freya Kaur,family|ranger,345,463
artist_0156,Gabriel Ramirez,interp|backcountry,68,20
artist_0157,Hana Young,trail|safety,371,401
artist_0158,Ian Ferrari,family|photography,395,438
artist_0159,Jessa Meyer,interp|trail,276,64
artist_0160,Kai Ueda,family|backcountry,356,495
artist_0161,Lena Diaz,safety|family,209,412
artist_0162,Mateo Kaur,photography|winter,355,465
artist_0163,Nia Ramirez,ranger|photography,237,75
artist_0164,Owen Young,trail|winter,270,426
artist_0165,Petra Ferrari,ranger|family,376,447
artist_0166,Rosa Meyer,interp|winter,227,460
artist_0167,Sam Ueda,gear|photography,354,92
artist_0168,Tara Diaz,interp|safety,251,75
artist_0169,Ursula Kaur,gear|ranger,380,195
artist_0170,Viktor Ramirez,trail|interp,429,160
artist_0171,Wanda Young,winter|family,343,256
artist_0172,Xander Ferrari,family|trail,409,69
artist_0173,Yusuf Meyer,trail|photography,181,496
artist_0174,Zola Ueda,winter|glacier,71,5
artist_0175,Adele Diaz,gear|safety,474,62
artist_0176,Bruno Kaur,photography|trail,348,223
artist_0177,Camila Ramirez,winter|interp,46,286
artist_0178,Dario Young,ranger|interp,406,297
artist_0179,Efe Ferrari,safety|glacier,229,219
artist_0180,Fionn Meyer,backcountry|trail,386,485
artist_0181,Gwen Ueda,ranger|glacier,429,478
artist_0182,Hector Diaz,family|safety,411,58
artist_0183,Iris Kaur,interp|ranger,439,392
artist_0184,Julius Ramirez,family|photography,26,59
artist_0185,Kenji Young,safety|backcountry,474,453
artist_0186,Alice Ferrari,family|trail,419,364
artist_0187,Ben Meyer,trail|winter,291,498
artist_0188,Chloe Ueda,winter|photography,348,279
artist_0189,Diego Diaz,gear|safety,271,165
artist_0190,Elena Kaur,safety|backcountry,338,398
artist_0191,Farhan Ramirez,safety|ranger,431,68
artist_0192,Grace Young,gear|ranger,62,426
artist_0193,Hiro Ferrari,winter|glacier,262,74
artist_0194,Isabelle Meyer,interp|trail,386,225
artist_0195,Jamal Ueda,photography|family,202,482
artist_0196,Kira Diaz,glacier|gear,407,138
artist_0197,Luis Kaur,gear|glacier,421,40
artist_0198,Maya Ramirez,safety|photography,378,82
artist_0199,Noah Young,family|ranger,494,279
artist_0200,Olivia Ferrari,winter|ranger,467,149
artist_0201,Pablo Meyer,backcountry|photography,60,20
artist_0202,Quinn Ueda,backcountry|winter,207,371
artist_0203,Ravi Diaz,family|glacier,201,421
artist_0204,Sofia Kaur,backcountry|glacier,460,483
artist_0205,Tomas Ramirez,ranger|safety,114,354
