id,name,type,segment,genre,upcoming_events
att-d104,Denver Symphony-x99,orchestra,Music,Classical,5
att-d105,Natalia Lafourcade-x100,artist,Music,Regional Mexican,1
att-d106,Mariachi Vargas-x101,orchestra,Music,Classical,5
att-d107,Natalia Lafourcade-x102,artist,Music,Latin Urban,4
att-d108,Denver Symphony-x103,artist,Music,Latin Urban,4
att-d109,Mariachi Vargas-x104,artist,Music,Latin Urban,4
att-d110,Natalia Lafourcade-x105,artist,Music,Latin Urban,4
att-d111,Mariachi Vargas-x106,artist,Music,Latin Pop,3
att-d112,Bad Bunny-x107,artist,Music,Latin Urban,4
att-d113,Bad Bunny-x108,artist,Music,Latin,2
att-d114,Rosalia-x109,artist,Music,Latin Urban,4
att-d115,Natalia Lafourcade-x110,artist,Music,Regional Mexican,1
att-d116,Denver Symphony-x111,artist,Music,Latin Urban,4
att-d117,Bad Bunny-x112,artist,Music,Latin Urban,4
att-d118,Denver Symphony-x113,orchestra,Music,Classical,5
att-d119,Natalia Lafourcade-x114,artist,Music,Regional Mexican,1
att-d120,Natalia Lafourcade-x115,artist,Music,Latin,2
att-d121,Rosalia-x116,artist,Music,Regional Mexican,1
att-d122,Bad Bunny-x117,artist,Music,Latin Urban,4
att-d123,Mariachi Vargas-x118,artist,Music,Latin,2
att-d124,Bad Bunny-x119,artist,Music,Latin Urban,4
att-d125,Denver Symphony-x120,artist,Music,Latin,2
att-d126,Rosalia-x121,artist,Music,Regional Mexican,1
att-d127,Mariachi Vargas-x122,artist,Music,Latin,2
att-d128,Rosalia-x123,artist,Music,Latin Pop,3
att-d129,Rosalia-x124,orchestra,Music,Classical,5
att-d130,Rosalia-x125,artist,Music,Latin Urban,4
att-d131,Bad Bunny-x126,artist,Music,Latin Urban,4
att-d132,Denver Symphony-x127,orchestra,Music,Classical,5
att-d133,Mariachi Vargas-x128,artist,Music,Regional Mexican,1
att-d134,Natalia Lafourcade-x129,orchestra,Music,Classical,5
att-d135,Rosalia-x130,orchestra,Music,Classical,5
att-d136,Natalia Lafourcade-x131,orchestra,Music,Classical,5
att-d137,Natalia Lafourcade-x132,artist,Music,Latin Urban,4
att-d138,Natalia Lafourcade-x133,artist,Music,Latin Urban,4
att-d139,Rosalia-x134,orchestra,Music,Classical,5
att-d140,Bad Bunny-x135,orchestra,Music,Classical,5
att-d141,Bad Bunny-x136,artist,Music,Regional Mexican,1
att-d142,Mariachi Vargas-x137,artist,Music,Regional Mexican,1
att-d143,Rosalia-x138,artist,Music,Latin Urban,4
att-d144,Mariachi Vargas-x139,artist,Music,Latin Urban,4
att-d145,Rosalia-x140,artist,Music,Latin,2
att-d146,Bad Bunny-x141,artist,Music,Latin Pop,3
att-d147,Mariachi Vargas-x142,artist,Music,Latin,2
att-d148,Denver Symphony-x143,orchestra,Music,Classical,5
att-d149,Mariachi Vargas-x144,artist,Music,Latin,2
att-d150,Denver Symphony-x145,artist,Music,Latin,2
att-d151,Mariachi Vargas-x146,artist,Music,Regional Mexican,1
att-d152,Natalia Lafourcade-x147,artist,Music,Latin,2
att-d153,Rosalia-x148,artist,Music,Latin,2
att-d154,Rosalia-x149,artist,Music,Latin Pop,3
att-d155,Natalia Lafourcade-x150,orchestra,Music,Classical,5
att-d156,Bad Bunny-x151,artist,Music,Latin,2
att-d157,Denver Symphony-x152,artist,Music,Latin Pop,3
att-d158,Natalia Lafourcade-x153,artist,Music,Latin Pop,3
att-d159,Natalia Lafourcade-x154,artist,Music,Latin Urban,4
att-d160,Mariachi Vargas-x155,orchestra,Music,Classical,5
att-d161,Denver Symphony-x156,artist,Music,Latin Urban,4
att-d162,Denver Symphony-x157,orchestra,Music,Classical,5
att-d163,Denver Symphony-x158,orchestra,Music,Classical,5
att-d164,Mariachi Vargas-x159,artist,Music,Latin,2
att-d165,Mariachi Vargas-x160,artist,Music,Latin Urban,4
att-d166,Denver Symphony-x161,orchestra,Music,Classical,5
att-d167,Mariachi Vargas-x162,artist,Music,Latin Urban,4
att-d168,Mariachi Vargas-x163,orchestra,Music,Classical,5
att-d169,Natalia Lafourcade-x164,artist,Music,Latin Pop,3
att-d170,Mariachi Vargas-x165,artist,Music,Latin Pop,3
att-d171,Natalia Lafourcade-x166,artist,Music,Latin Pop,3
att-d172,Bad Bunny-x167,artist,Music,Latin,2
att-d173,Denver Symphony-x168,artist,Music,Latin Urban,4
att-d174,Bad Bunny-x169,artist,Music,Latin Pop,3
att-d175,Mariachi Vargas-x170,artist,Music,Latin Pop,3
att-d176,Bad Bunny-x171,artist,Music,Latin,2
att-d177,Rosalia-x172,artist,Music,Latin,2
att-d178,Denver Symphony-x173,orchestra,Music,Classical,5
att-d179,Denver Symphony-x174,orchestra,Music,Classical,5
att-d180,Natalia Lafourcade-x175,artist,Music,Latin,2
att-d181,Mariachi Vargas-x176,artist,Music,Latin Urban,4
att-d182,Mariachi Vargas-x177,orchestra,Music,Classical,5
att-d183,Mariachi Vargas-x178,artist,Music,Regional Mexican,1
att-d184,Mariachi Vargas-x179,artist,Music,Latin Urban,4
att-d185,Denver Symphony-x180,artist,Music,Latin Urban,4
att-d186,Rosalia-x181,orchestra,Music,Classical,5
att-d187,Bad Bunny-x182,orchestra,Music,Classical,5
att-d188,Rosalia-x183,artist,Music,Latin Urban,4
att-d189,Rosalia-x184,artist,Music,Regional Mexican,1
att-d190,Bad Bunny-x185,artist,Music,Latin,2
att-d191,Rosalia-x186,artist,Music,Latin,2
att-d192,Denver Symphony-x187,artist,Music,Latin,2
att-d193,Bad Bunny-x188,artist,Music,Latin,2
att-d194,Mariachi Vargas-x189,artist,Music,Latin Pop,3
att-d195,Denver Symphony-x190,artist,Music,Regional Mexican,1
att-d196,Denver Symphony-x191,orchestra,Music,Classical,5
att-d197,Denver Symphony-x192,artist,Music,Latin Pop,3
att-d198,Denver Symphony-x193,orchestra,Music,Classical,5
att-d199,Mariachi Vargas-x194,orchestra,Music,Classical,5
att-d200,Rosalia-x195,artist,Music,Latin Urban,4
att-d201,Rosalia-x196,artist,Music,Regional Mexican,1
att-d202,Natalia Lafourcade-x197,artist,Music,Latin Pop,3
att-d203,Natalia Lafourcade-x198,orchestra,Music,Classical,5
att-d204,Mariachi Vargas-x199,artist,Music,Latin,2
att-d205,Denver Symphony-x200,artist,Music,Latin Urban,4
att-d206,Denver Symphony-x201,orchestra,Music,Classical,5
att-d207,Bad Bunny-x202,artist,Music,Latin Pop,3
