delivery_id,sent_date,channel,provider,recipient_language,recipient_ward,message_type,status,bounce_reason,retry_count
EML-0502111,2026-04-10,email,mailgun,es,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502226,2026-04-10,email,mailgun,fr,Plateau-Mont-Royal,follow_up,delivered,,0
EML-0502480,2026-04-10,email,sendgrid,fr,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502553,2026-04-10,email,sendgrid,ur,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500068,2026-04-10,sms,twilio,bn,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500368,2026-04-10,sms,twilio,ur,Mile End,consultation_reminder,delivered,,0
SMS-0500593,2026-04-10,sms,twilio,en,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500746,2026-04-10,sms,twilio,ur,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0501058,2026-04-10,sms,twilio,es,Mile End,survey_link,delivered,,0
SMS-0501203,2026-04-10,sms,twilio,vi,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0501241,2026-04-10,sms,twilio,en,Milton-Parc,follow_up,delivered,,0
SMS-0501394,2026-04-10,sms,twilio,fr,Milton-Parc,translated_summary,delivered,,0
SMS-0501423,2026-04-10,sms,twilio,vi,Mile End,follow_up,delivered,,0
EML-0501810,2026-04-11,email,mailgun,fr,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502325,2026-04-11,email,mailgun,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502440,2026-04-11,email,sendgrid,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502460,2026-04-11,email,sendgrid,fr,Milton-Parc,follow_up,delivered,,0
EML-0502529,2026-04-11,email,sendgrid,en,Jeanne-Mance,consultation_reminder,delivered,,0
EML-0502651,2026-04-11,email,sendgrid,en,Mile End,translated_summary,delivered,,0
SMS-0500166,2026-04-11,sms,twilio,en,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500214,2026-04-11,sms,twilio,fr,Milton-Parc,survey_link,delivered,,0
SMS-0500253,2026-04-11,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500390,2026-04-11,sms,twilio,ar,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500979,2026-04-11,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0501264,2026-04-11,sms,twilio,en,Mile End,meeting_invite,delivered,,0
EML-0501818,2026-04-12,email,mailgun,ar,Plateau-Mont-Royal,translated_summary,delivered,,0
EML-0501953,2026-04-12,email,mailgun,ur,Jeanne-Mance,follow_up,delivered,,0
EML-0502010,2026-04-12,email,mailgun,en,Mile End,translated_summary,delivered,,0
EML-0502395,2026-04-12,email,sendgrid,fr,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502483,2026-04-12,email,sendgrid,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500081,2026-04-12,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500377,2026-04-12,sms,twilio,en,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500955,2026-04-12,sms,twilio,vi,Mile End,follow_up,delivered,,0
SMS-0501027,2026-04-12,sms,twilio,vi,Mile End,translated_summary,delivered,,0
SMS-0501462,2026-04-12,sms,twilio,fr,Milton-Parc,translated_summary,delivered,,0
EML-0502039,2026-04-13,email,mailgun,en,Mile End,translated_summary,delivered,,0
EML-0502073,2026-04-13,email,mailgun,fr,Jeanne-Mance,follow_up,delivered,,0
EML-0502137,2026-04-13,email,mailgun,fr,Milton-Parc,follow_up,delivered,,0
EML-0502153,2026-04-13,email,mailgun,vi,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502419,2026-04-13,email,sendgrid,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502485,2026-04-13,email,sendgrid,en,Plateau-Mont-Royal,follow_up,delivered,,0
EML-0502577,2026-04-13,email,sendgrid,ur,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500149,2026-04-13,sms,twilio,fr,Jeanne-Mance,consultation_reminder,delivered,,0
SMS-0500365,2026-04-13,sms,twilio,ar,Mile End,meeting_invite,undelivered,unknown_number,2
SMS-0500387,2026-04-13,sms,twilio,ar,Mile End,meeting_invite,delivered,,0
SMS-0500640,2026-04-13,sms,twilio,fr,Milton-Parc,consultation_reminder,delivered,,0
SMS-0500643,2026-04-13,sms,twilio,en,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500984,2026-04-13,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0501009,2026-04-13,sms,twilio,fr,Milton-Parc,consultation_reminder,delivered,,0
SMS-0501042,2026-04-13,sms,twilio,ur,Mile End,meeting_invite,delivered,,0
SMS-0501460,2026-04-13,sms,twilio,bn,Mile End,meeting_invite,delivered,,0
EML-0501883,2026-04-14,email,mailgun,en,Mile End,follow_up,delivered,,0
EML-0501929,2026-04-14,email,mailgun,ar,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0501952,2026-04-14,email,mailgun,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
EML-0501979,2026-04-14,email,mailgun,fr,Milton-Parc,follow_up,delivered,,0
EML-0502179,2026-04-14,email,mailgun,fr,Mile End,meeting_invite,delivered,,0
EML-0502301,2026-04-14,email,mailgun,fr,Jeanne-Mance,follow_up,delivered,,0
EML-0502461,2026-04-14,email,sendgrid,vi,Plateau-Mont-Royal,follow_up,delivered,,0
EML-0502698,2026-04-14,email,sendgrid,fr,Mile End,meeting_invite,delivered,,0
EML-0502736,2026-04-14,email,sendgrid,fr,Mile End,follow_up,delivered,,0
SMS-0500446,2026-04-14,sms,twilio,ar,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0501019,2026-04-14,sms,twilio,es,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0501031,2026-04-14,sms,twilio,fr,Jeanne-Mance,meeting_invite,delivered,,0
SMS-0501155,2026-04-14,sms,twilio,fr,Mile End,survey_link,delivered,,0
EML-0501932,2026-04-15,email,mailgun,fr,Jeanne-Mance,meeting_invite,delivered,,0
EML-0502113,2026-04-15,email,mailgun,vi,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502215,2026-04-15,email,mailgun,fr,Plateau-Mont-Royal,follow_up,delivered,,0
EML-0502323,2026-04-15,email,mailgun,fr,Mile End,survey_link,delivered,,0
EML-0502387,2026-04-15,email,sendgrid,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502486,2026-04-15,email,sendgrid,en,Plateau-Mont-Royal,survey_link,queued,,1
EML-0502525,2026-04-15,email,sendgrid,fr,Mile End,translated_summary,delivered,,0
EML-0502721,2026-04-15,email,sendgrid,es,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502735,2026-04-15,email,sendgrid,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500357,2026-04-15,sms,twilio,ar,Milton-Parc,survey_link,delivered,,0
SMS-0500502,2026-04-15,sms,twilio,en,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500576,2026-04-15,sms,twilio,en,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500706,2026-04-15,sms,twilio,bn,Milton-Parc,survey_link,undelivered,carrier_reject,0
SMS-0500731,2026-04-15,sms,twilio,es,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0501021,2026-04-15,sms,twilio,en,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0501096,2026-04-15,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502040,2026-04-16,email,mailgun,fr,Mile End,meeting_invite,delivered,,0
EML-0502118,2026-04-16,email,mailgun,vi,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502189,2026-04-16,email,mailgun,bn,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502288,2026-04-16,email,mailgun,fr,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502452,2026-04-16,email,sendgrid,fr,Jeanne-Mance,follow_up,delivered,,0
SMS-0500058,2026-04-16,sms,twilio,es,Jeanne-Mance,translated_summary,delivered,,0
SMS-0500413,2026-04-16,sms,twilio,fr,Mile End,follow_up,delivered,,0
SMS-0500438,2026-04-16,sms,twilio,bn,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500452,2026-04-16,sms,twilio,fr,Milton-Parc,translated_summary,delivered,,0
SMS-0500454,2026-04-16,sms,twilio,vi,Jeanne-Mance,translated_summary,delivered,,0
SMS-0500459,2026-04-16,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500535,2026-04-16,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,undelivered,carrier_reject,1
SMS-0500699,2026-04-16,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500713,2026-04-16,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500818,2026-04-16,sms,twilio,en,Mile End,consultation_reminder,delivered,,0
SMS-0500965,2026-04-16,sms,twilio,en,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0501183,2026-04-16,sms,twilio,fr,Milton-Parc,consultation_reminder,delivered,,0
SMS-0501434,2026-04-16,sms,twilio,fr,Mile End,survey_link,delivered,,0
EML-0501947,2026-04-17,email,mailgun,bn,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502089,2026-04-17,email,mailgun,es,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502133,2026-04-17,email,mailgun,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502570,2026-04-17,email,sendgrid,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502671,2026-04-17,email,sendgrid,bn,Mile End,translated_summary,delivered,,0
SMS-0500221,2026-04-17,sms,twilio,en,Milton-Parc,translated_summary,delivered,,0
SMS-0500222,2026-04-17,sms,twilio,en,Milton-Parc,survey_link,delivered,,0
SMS-0500246,2026-04-17,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500364,2026-04-17,sms,twilio,bn,Mile End,translated_summary,delivered,,0
SMS-0500463,2026-04-17,sms,twilio,ar,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500483,2026-04-17,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500598,2026-04-17,sms,twilio,fr,Mile End,meeting_invite,delivered,,0
SMS-0500838,2026-04-17,sms,twilio,fr,Mile End,survey_link,delivered,,0
SMS-0500904,2026-04-17,sms,twilio,fr,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500908,2026-04-17,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0501063,2026-04-17,sms,twilio,fr,Mile End,translated_summary,delivered,,0
SMS-0501324,2026-04-17,sms,twilio,fr,Mile End,meeting_invite,delivered,,0
SMS-0501389,2026-04-17,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
EML-0502309,2026-04-18,email,mailgun,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502493,2026-04-18,email,sendgrid,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
EML-0502650,2026-04-18,email,sendgrid,fr,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500129,2026-04-18,sms,twilio,ur,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500292,2026-04-18,sms,twilio,en,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500297,2026-04-18,sms,twilio,en,Mile End,consultation_reminder,delivered,,0
SMS-0500355,2026-04-18,sms,twilio,vi,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500759,2026-04-18,sms,twilio,fr,Mile End,consultation_reminder,delivered,,0
SMS-0500788,2026-04-18,sms,twilio,fr,Milton-Parc,consultation_reminder,delivered,,0
SMS-0500911,2026-04-18,sms,twilio,fr,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0501286,2026-04-18,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502155,2026-04-19,email,mailgun,fr,Plateau-Mont-Royal,follow_up,delivered,,0
EML-0502385,2026-04-19,email,sendgrid,en,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502416,2026-04-19,email,sendgrid,ar,Jeanne-Mance,follow_up,delivered,,0
EML-0502563,2026-04-19,email,sendgrid,en,Milton-Parc,meeting_invite,delivered,,0
SMS-0500056,2026-04-19,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500190,2026-04-19,sms,twilio,en,Milton-Parc,translated_summary,delivered,,0
SMS-0500310,2026-04-19,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500646,2026-04-19,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500824,2026-04-19,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0501230,2026-04-19,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0501442,2026-04-19,sms,twilio,en,Mile End,follow_up,delivered,,0
EML-0502243,2026-04-20,email,mailgun,en,Plateau-Mont-Royal,translated_summary,delivered,,0
EML-0502306,2026-04-20,email,mailgun,fr,Mile End,translated_summary,delivered,,0
EML-0502391,2026-04-20,email,sendgrid,en,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502450,2026-04-20,email,sendgrid,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502636,2026-04-20,email,sendgrid,es,Milton-Parc,survey_link,delivered,,0
SMS-0500290,2026-04-20,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500337,2026-04-20,sms,twilio,es,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500372,2026-04-20,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500751,2026-04-20,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500961,2026-04-20,sms,twilio,en,Milton-Parc,meeting_invite,delivered,,0
SMS-0500974,2026-04-20,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0501310,2026-04-20,sms,twilio,ar,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0501453,2026-04-20,sms,twilio,fr,Jeanne-Mance,follow_up,delivered,,0
EML-0501913,2026-04-21,email,mailgun,fr,Plateau-Mont-Royal,follow_up,delivered,,0
EML-0502048,2026-04-21,email,mailgun,fr,Milton-Parc,survey_link,delivered,,0
EML-0502242,2026-04-21,email,mailgun,en,Mile End,translated_summary,delivered,,0
EML-0502341,2026-04-21,email,mailgun,ur,Plateau-Mont-Royal,follow_up,bounced,mailbox_full,1
EML-0502706,2026-04-21,email,sendgrid,fr,Milton-Parc,survey_link,delivered,,0
SMS-0500070,2026-04-21,sms,twilio,fr,Jeanne-Mance,meeting_invite,delivered,,0
SMS-0500230,2026-04-21,sms,twilio,fr,Jeanne-Mance,meeting_invite,delivered,,0
SMS-0500256,2026-04-21,sms,twilio,fr,Jeanne-Mance,translated_summary,delivered,,0
SMS-0500361,2026-04-21,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500383,2026-04-21,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500548,2026-04-21,sms,twilio,fr,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500627,2026-04-21,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500647,2026-04-21,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500806,2026-04-21,sms,twilio,en,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0501100,2026-04-21,sms,twilio,ar,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0501170,2026-04-21,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0501258,2026-04-21,sms,twilio,bn,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502035,2026-04-22,email,mailgun,fr,Plateau-Mont-Royal,follow_up,delivered,,0
EML-0502209,2026-04-22,email,mailgun,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500043,2026-04-22,sms,twilio,en,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500405,2026-04-22,sms,twilio,fr,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500680,2026-04-22,sms,twilio,fr,Mile End,survey_link,delivered,,0
SMS-0500697,2026-04-22,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500704,2026-04-22,sms,twilio,es,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500842,2026-04-22,sms,twilio,en,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500893,2026-04-22,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500993,2026-04-22,sms,twilio,fr,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0501049,2026-04-22,sms,twilio,fr,Jeanne-Mance,follow_up,delivered,,0
SMS-0501126,2026-04-22,sms,twilio,ur,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0501180,2026-04-22,sms,twilio,bn,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0501977,2026-04-23,email,mailgun,en,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502436,2026-04-23,email,sendgrid,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
EML-0502447,2026-04-23,email,sendgrid,fr,Mile End,follow_up,bounced,temporary_failure,0
SMS-0500208,2026-04-23,sms,twilio,en,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500336,2026-04-23,sms,twilio,fr,Mile End,survey_link,delivered,,0
SMS-0500344,2026-04-23,sms,twilio,es,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500461,2026-04-23,sms,twilio,en,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0500852,2026-04-23,sms,twilio,ur,Milton-Parc,translated_summary,delivered,,0
SMS-0500873,2026-04-23,sms,twilio,fr,Mile End,follow_up,delivered,,0
SMS-0500985,2026-04-23,sms,twilio,ar,Plateau-Mont-Royal,follow_up,delivered,,0
SMS-0501045,2026-04-23,sms,twilio,fr,Milton-Parc,meeting_invite,delivered,,0
SMS-0501177,2026-04-23,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0501178,2026-04-23,sms,twilio,en,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502292,2026-04-24,email,mailgun,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502352,2026-04-24,email,mailgun,fr,Jeanne-Mance,consultation_reminder,delivered,,0
EML-0502568,2026-04-24,email,sendgrid,fr,Plateau-Mont-Royal,survey_link,delivered,,0
EML-0502605,2026-04-24,email,sendgrid,en,Mile End,meeting_invite,delivered,,0
SMS-0500273,2026-04-24,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500284,2026-04-24,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500392,2026-04-24,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500584,2026-04-24,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500763,2026-04-24,sms,twilio,fr,Jeanne-Mance,meeting_invite,delivered,,0
SMS-0501195,2026-04-24,sms,twilio,fr,Milton-Parc,meeting_invite,delivered,,0
EML-0501842,2026-04-25,email,mailgun,en,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0501954,2026-04-25,email,mailgun,ur,Milton-Parc,follow_up,delivered,,0
EML-0502184,2026-04-25,email,mailgun,en,Plateau-Mont-Royal,translated_summary,delivered,,0
EML-0502263,2026-04-25,email,mailgun,fr,Milton-Parc,meeting_invite,delivered,,0
EML-0502361,2026-04-25,email,mailgun,fr,Mile End,survey_link,delivered,,0
SMS-0500212,2026-04-25,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500733,2026-04-25,sms,twilio,ur,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0501114,2026-04-25,sms,twilio,en,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0501246,2026-04-25,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
EML-0502053,2026-04-26,email,mailgun,fr,Jeanne-Mance,translated_summary,delivered,,0
EML-0502524,2026-04-26,email,sendgrid,fr,Mile End,translated_summary,delivered,,0
EML-0502676,2026-04-26,email,sendgrid,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500349,2026-04-26,sms,twilio,en,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500391,2026-04-26,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500429,2026-04-26,sms,twilio,fr,Jeanne-Mance,survey_link,delivered,,0
SMS-0500485,2026-04-26,sms,twilio,fr,Plateau-Mont-Royal,translated_summary,delivered,,0
SMS-0500501,2026-04-26,sms,twilio,fr,Milton-Parc,meeting_invite,delivered,,0
SMS-0500578,2026-04-26,sms,twilio,fr,Mile End,translated_summary,delivered,,0
SMS-0500665,2026-04-26,sms,twilio,fr,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500677,2026-04-26,sms,twilio,en,Milton-Parc,translated_summary,undelivered,unknown_number,1
SMS-0500781,2026-04-26,sms,twilio,fr,Mile End,follow_up,delivered,,0
SMS-0501150,2026-04-26,sms,twilio,fr,Plateau-Mont-Royal,follow_up,delivered,,0
EML-0501869,2026-04-27,email,mailgun,fr,Milton-Parc,translated_summary,delivered,,0
EML-0502131,2026-04-27,email,mailgun,ur,Plateau-Mont-Royal,consultation_reminder,delivered,,0
EML-0502264,2026-04-27,email,mailgun,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
EML-0502280,2026-04-27,email,mailgun,en,Plateau-Mont-Royal,follow_up,failed,smtp_error,1
EML-0502556,2026-04-27,email,sendgrid,ur,Jeanne-Mance,translated_summary,delivered,,0
EML-0502579,2026-04-27,email,sendgrid,bn,Plateau-Mont-Royal,survey_link,queued,,1
EML-0502596,2026-04-27,email,sendgrid,ar,Mile End,meeting_invite,delivered,,0
SMS-0500371,2026-04-27,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
SMS-0500457,2026-04-27,sms,twilio,vi,Plateau-Mont-Royal,consultation_reminder,delivered,,0
SMS-0500628,2026-04-27,sms,twilio,vi,Milton-Parc,follow_up,delivered,,0
SMS-0500899,2026-04-27,sms,twilio,fr,Plateau-Mont-Royal,meeting_invite,delivered,,0
SMS-0500953,2026-04-27,sms,twilio,fr,Mile End,translated_summary,delivered,,0
SMS-0500957,2026-04-27,sms,twilio,fr,Plateau-Mont-Royal,survey_link,delivered,,0
