playlist_item_id,playlistId,videoId,channelId,title,position,publishedAt
pli-0015,pl-0015,vid-0015,yt-jhc,Complications of TAVR: Prevention and Management,1,2026-01-25T09:00:00Z
pli-0016,pl-0016,vid-0016,yt-jhc,Structural Interventions Journal Club,6,2026-02-24T09:00:00Z
pli-0017,pl-0017,vid-0017,yt-jhc,Case Report: Aortic Valve Regurgitation,9,2026-04-03T09:00:00Z
pli-0018,pl-0018,vid-0018,yt-jhc,Case Report: Left Main Coronary Intervention,4,2026-08-09T09:00:00Z
pli-0019,pl-0019,vid-0019,yt-jhc,Live Case: Bifurcation Stenting Technique,25,2026-07-14T09:00:00Z
pli-0020,pl-0020,vid-0020,yt-jhc,Fellowship Program Highlights - Coastal Cardiology,21,2026-03-20T09:00:00Z
pli-0021,pl-0021,vid-0021,yt-jhc,Cath Lab Setup and Workflow,17,2026-03-28T09:00:00Z
pli-0022,pl-0022,vid-0022,yt-jhc,Emergency PCI: The First 30 Minutes,7,2026-02-23T09:00:00Z
pli-0023,pl-0023,vid-0023,yt-jhc,Bruce Springsteen 'Thunder Road' Piano Cover,16,2026-02-28T09:00:00Z
pli-0024,pl-0024,vid-0024,yt-jhc,Chopin Etude Op. 10 No. 4 Practice Session,13,2026-05-08T09:00:00Z
pli-0025,pl-0025,vid-0025,yt-jhc,Debussy Preludes Complete - Piano Recital,2,2026-05-02T09:00:00Z
pli-0026,pl-0026,vid-0026,yt-jhc,Cardiac Cath Lab Team Roles Explained,22,2026-05-23T09:00:00Z
pli-0027,pl-0027,vid-0027,yt-jhc,Bruce Springsteen 'Dancing in the Dark' Cover,15,2026-01-22T09:00:00Z
pli-0028,pl-0028,vid-0028,yt-jhc,Piano Practice Session - Chopin Ballade No. 1,14,2026-09-18T09:00:00Z
pli-0029,pl-0029,vid-0029,yt-jhc,USTA 4.0 Tennis Match Highlights,24,2026-03-16T09:00:00Z
pli-0030,pl-0030,vid-0030,yt-jhc,TAVR Procedure Live Demonstration - ACC 2026,24,2026-04-08T09:00:00Z
pli-0031,pl-0031,vid-0031,yt-jhc,Complex PCI: Chronic Total Occlusion Case,3,2026-05-11T09:00:00Z
pli-0032,pl-0032,vid-0032,yt-jhc,Structural Heart Interventions: State of the Art,6,2026-08-11T09:00:00Z
pli-0033,pl-0033,vid-0033,yt-jhc,Chopin Nocturne Op. 9 No. 2 - Full Performance,13,2026-03-28T09:00:00Z
pli-0034,pl-0034,vid-0034,yt-jhc,Debussy Clair de Lune - Piano Cover,8,2026-05-28T09:00:00Z
pli-0035,pl-0035,vid-0035,yt-jhc,Bruce Springsteen 'Born to Run' - Live 1978,18,2026-01-19T09:00:00Z
pli-0036,pl-0036,vid-0036,yt-jhc,John Mellencamp 'Small Town' - Farm Aid,21,2026-05-16T09:00:00Z
pli-0037,pl-0037,vid-0037,yt-jhc,Sicilian Defense: Najdorf Variation Explained,21,2026-02-13T09:00:00Z
pli-0038,pl-0038,vid-0038,yt-jhc,Sicilian Defense: Sveshnikov Complete Guide,12,2026-02-12T09:00:00Z
pli-0039,pl-0039,vid-0039,yt-jhc,Chess.com Rapid Chess Highlights - Under 1800,24,2026-04-19T09:00:00Z
pli-0040,pl-0040,vid-0040,yt-jhc,Interventional Cardiology Grand Rounds - Duke,22,2026-05-18T09:00:00Z
pli-0041,pl-0041,vid-0041,yt-jhc,Heart Team Approach for TAVR Patient Selection,11,2026-03-02T09:00:00Z
pli-0042,pl-0042,vid-0042,yt-jhc,Transradial Access Techniques for Complex PCI,23,2026-04-26T09:00:00Z
pli-0043,pl-0043,vid-0043,yt-jhc,IVUS-Guided PCI: Best Practices,11,2026-03-26T09:00:00Z
pli-0044,pl-0044,vid-0044,yt-jhc,FFR in Multi-Vessel Disease,9,2026-09-07T09:00:00Z
pli-0045,pl-0045,vid-0045,yt-jhc,Complications of TAVR: Prevention and Management,10,2026-05-19T09:00:00Z
pli-0046,pl-0046,vid-0046,yt-jhc,Structural Interventions Journal Club,5,2026-01-16T09:00:00Z
pli-0047,pl-0047,vid-0047,yt-jhc,Case Report: Aortic Valve Regurgitation,10,2026-06-15T09:00:00Z
pli-0048,pl-0048,vid-0048,yt-jhc,Case Report: Left Main Coronary Intervention,7,2026-01-13T09:00:00Z
pli-0049,pl-0049,vid-0049,yt-jhc,Live Case: Bifurcation Stenting Technique,20,2026-09-28T09:00:00Z
pli-0050,pl-0050,vid-0050,yt-jhc,Fellowship Program Highlights - Coastal Cardiology,1,2026-03-20T09:00:00Z
pli-0051,pl-0051,vid-0051,yt-jhc,Cath Lab Setup and Workflow,24,2026-06-17T09:00:00Z
pli-0052,pl-0052,vid-0052,yt-jhc,Emergency PCI: The First 30 Minutes,4,2026-08-18T09:00:00Z
pli-0053,pl-0053,vid-0053,yt-jhc,Bruce Springsteen 'Thunder Road' Piano Cover,21,2026-08-20T09:00:00Z
pli-0054,pl-0054,vid-0054,yt-jhc,Chopin Etude Op. 10 No. 4 Practice Session,13,2026-06-02T09:00:00Z
pli-0055,pl-0055,vid-0055,yt-jhc,Debussy Preludes Complete - Piano Recital,7,2026-09-03T09:00:00Z
pli-0056,pl-0056,vid-0056,yt-jhc,Cardiac Cath Lab Team Roles Explained,3,2026-09-24T09:00:00Z
pli-0057,pl-0057,vid-0057,yt-jhc,Bruce Springsteen 'Dancing in the Dark' Cover,11,2026-01-11T09:00:00Z
pli-0058,pl-0058,vid-0058,yt-jhc,Piano Practice Session - Chopin Ballade No. 1,25,2026-03-14T09:00:00Z
pli-0059,pl-0059,vid-0059,yt-jhc,USTA 4.0 Tennis Match Highlights,23,2026-03-28T09:00:00Z
pli-0060,pl-0060,vid-0060,yt-jhc,TAVR Procedure Live Demonstration - ACC 2026,19,2026-07-28T09:00:00Z
pli-0061,pl-0061,vid-0061,yt-jhc,Complex PCI: Chronic Total Occlusion Case,7,2026-05-24T09:00:00Z
pli-0062,pl-0062,vid-0062,yt-jhc,Structural Heart Interventions: State of the Art,11,2026-09-07T09:00:00Z
pli-0063,pl-0063,vid-0063,yt-jhc,Chopin Nocturne Op. 9 No. 2 - Full Performance,4,2026-01-08T09:00:00Z
pli-0064,pl-0064,vid-0064,yt-jhc,Debussy Clair de Lune - Piano Cover,18,2026-06-18T09:00:00Z
pli-0065,pl-0065,vid-0065,yt-jhc,Bruce Springsteen 'Born to Run' - Live 1978,12,2026-04-24T09:00:00Z
pli-0066,pl-0066,vid-0066,yt-jhc,John Mellencamp 'Small Town' - Farm Aid,19,2026-06-23T09:00:00Z
pli-0067,pl-0067,vid-0067,yt-jhc,Sicilian Defense: Najdorf Variation Explained,7,2026-01-10T09:00:00Z
pli-0068,pl-0068,vid-0068,yt-jhc,Sicilian Defense: Sveshnikov Complete Guide,14,2026-01-05T09:00:00Z
pli-0069,pl-0069,vid-0069,yt-jhc,Chess.com Rapid Chess Highlights - Under 1800,4,2026-01-01T09:00:00Z
pli-0070,pl-0070,vid-0070,yt-jhc,Interventional Cardiology Grand Rounds - Duke,15,2026-06-09T09:00:00Z
pli-0071,pl-0071,vid-0071,yt-jhc,Heart Team Approach for TAVR Patient Selection,17,2026-02-14T09:00:00Z
pli-0072,pl-0072,vid-0072,yt-jhc,Transradial Access Techniques for Complex PCI,17,2026-01-13T09:00:00Z
pli-0073,pl-0073,vid-0073,yt-jhc,IVUS-Guided PCI: Best Practices,10,2026-03-11T09:00:00Z
pli-0074,pl-0074,vid-0074,yt-jhc,FFR in Multi-Vessel Disease,12,2026-07-01T09:00:00Z
pli-0075,pl-0075,vid-0075,yt-jhc,Complications of TAVR: Prevention and Management,8,2026-03-04T09:00:00Z
pli-0076,pl-0076,vid-0076,yt-jhc,Structural Interventions Journal Club,10,2026-09-20T09:00:00Z
pli-0077,pl-0077,vid-0077,yt-jhc,Case Report: Aortic Valve Regurgitation,2,2026-08-02T09:00:00Z
pli-0078,pl-0078,vid-0078,yt-jhc,Case Report: Left Main Coronary Intervention,12,2026-06-10T09:00:00Z
pli-0079,pl-0079,vid-0079,yt-jhc,Live Case: Bifurcation Stenting Technique,11,2026-08-10T09:00:00Z
pli-0080,pl-0080,vid-0080,yt-jhc,Fellowship Program Highlights - Coastal Cardiology,25,2026-07-25T09:00:00Z
pli-0081,pl-0081,vid-0081,yt-jhc,Cath Lab Setup and Workflow,24,2026-09-10T09:00:00Z
pli-0082,pl-0082,vid-0082,yt-jhc,Emergency PCI: The First 30 Minutes,14,2026-06-19T09:00:00Z
pli-0083,pl-0083,vid-0083,yt-jhc,Bruce Springsteen 'Thunder Road' Piano Cover,22,2026-06-28T09:00:00Z
pli-0084,pl-0084,vid-0084,yt-jhc,Chopin Etude Op. 10 No. 4 Practice Session,20,2026-09-05T09:00:00Z
pli-0085,pl-0085,vid-0085,yt-jhc,Debussy Preludes Complete - Piano Recital,1,2026-01-06T09:00:00Z
pli-0086,pl-0086,vid-0086,yt-jhc,Cardiac Cath Lab Team Roles Explained,15,2026-02-11T09:00:00Z
pli-0087,pl-0087,vid-0087,yt-jhc,Bruce Springsteen 'Dancing in the Dark' Cover,25,2026-01-15T09:00:00Z
pli-0088,pl-0088,vid-0088,yt-jhc,Piano Practice Session - Chopin Ballade No. 1,24,2026-07-25T09:00:00Z
pli-0089,pl-0089,vid-0089,yt-jhc,USTA 4.0 Tennis Match Highlights,20,2026-08-24T09:00:00Z
pli-0090,pl-0090,vid-0090,yt-jhc,TAVR Procedure Live Demonstration - ACC 2026,11,2026-09-16T09:00:00Z
pli-0091,pl-0091,vid-0091,yt-jhc,Complex PCI: Chronic Total Occlusion Case,12,2026-09-12T09:00:00Z
pli-0092,pl-0092,vid-0092,yt-jhc,Structural Heart Interventions: State of the Art,10,2026-05-01T09:00:00Z
pli-0093,pl-0093,vid-0093,yt-jhc,Chopin Nocturne Op. 9 No. 2 - Full Performance,20,2026-05-24T09:00:00Z
pli-0094,pl-0094,vid-0094,yt-jhc,Debussy Clair de Lune - Piano Cover,1,2026-08-21T09:00:00Z
pli-0095,pl-0095,vid-0095,yt-jhc,Bruce Springsteen 'Born to Run' - Live 1978,4,2026-07-17T09:00:00Z
pli-0096,pl-0096,vid-0096,yt-jhc,John Mellencamp 'Small Town' - Farm Aid,22,2026-08-14T09:00:00Z
pli-0097,pl-0097,vid-0097,yt-jhc,Sicilian Defense: Najdorf Variation Explained,12,2026-05-18T09:00:00Z
pli-0098,pl-0098,vid-0098,yt-jhc,Sicilian Defense: Sveshnikov Complete Guide,20,2026-05-28T09:00:00Z
pli-0099,pl-0099,vid-0099,yt-jhc,Chess.com Rapid Chess Highlights - Under 1800,6,2026-07-01T09:00:00Z
pli-0100,pl-0100,vid-0100,yt-jhc,Interventional Cardiology Grand Rounds - Duke,1,2026-06-13T09:00:00Z
pli-0101,pl-0101,vid-0101,yt-jhc,Heart Team Approach for TAVR Patient Selection,20,2026-04-11T09:00:00Z
pli-0102,pl-0102,vid-0102,yt-jhc,Transradial Access Techniques for Complex PCI,22,2026-04-25T09:00:00Z
pli-0103,pl-0103,vid-0103,yt-jhc,IVUS-Guided PCI: Best Practices,2,2026-04-07T09:00:00Z
pli-0104,pl-0104,vid-0104,yt-jhc,FFR in Multi-Vessel Disease,13,2026-03-27T09:00:00Z
pli-0105,pl-0000,vid-0105,yt-jhc,Complications of TAVR: Prevention and Management,4,2026-05-17T09:00:00Z
pli-0106,pl-0001,vid-0106,yt-jhc,Structural Interventions Journal Club,3,2026-04-18T09:00:00Z
pli-0107,pl-0002,vid-0107,yt-jhc,Case Report: Aortic Valve Regurgitation,10,2026-05-02T09:00:00Z
pli-0108,pl-0003,vid-0108,yt-jhc,Case Report: Left Main Coronary Intervention,9,2026-07-03T09:00:00Z
pli-0109,pl-0004,vid-0109,yt-jhc,Live Case: Bifurcation Stenting Technique,7,2026-08-23T09:00:00Z
