comment_id,videoId,channelId,parentId,authorDisplayName,authorChannelId,textDisplay,likeCount,publishedAt,updatedAt,moderationStatus
cmt-0011,vid-0011,yt-jhc,UgxYt0009,Julia Lee,ch-011,Great discussion on protocol lock timing.,32,2026-08-21T09:00:00Z,2026-04-28T09:00:00Z,published
cmt-0012,vid-0012,yt-jhc,root,Chris Rivera,ch-012,This is why journal club matters. Thank you.,1,2026-03-07T09:00:00Z,2026-04-14T09:00:00Z,published
cmt-0013,vid-0013,yt-jhc,UgxYt0011,Marta Patel,ch-013,The CTO wire technique here is much appreciated.,9,2026-01-22T09:00:00Z,2026-06-12T09:00:00Z,published
cmt-0014,vid-0014,yt-jhc,UgxYt0012,Nancy Martinez,ch-014,For fellows: watch this before your first solo TAVR case.,8,2026-09-24T09:00:00Z,2026-09-02T09:00:00Z,published
cmt-0015,vid-0015,yt-jhc,UgxYt0013,Steven Brooks,ch-015,Chopin Op. 9 No. 2 is my favorite - beautiful rendition.,42,2026-04-01T09:00:00Z,2026-09-23T09:00:00Z,published
cmt-0016,vid-0016,yt-jhc,root,Diane Johnson,ch-016,The manuscript discussion is very helpful.,24,2026-02-24T09:00:00Z,2026-07-25T09:00:00Z,published
cmt-0017,vid-0017,yt-jhc,UgxYt0015,Curtis Davis,ch-017,Watching this while eating dinner with family. Thanks for the content.,49,2026-03-27T09:00:00Z,2026-03-21T09:00:00Z,published
cmt-0018,vid-0018,yt-jhc,UgxYt0016,Elizabeth Mitchell,ch-018,The pedal control here is world-class.,25,2026-08-10T09:00:00Z,2026-08-16T09:00:00Z,published
cmt-0019,vid-0019,yt-jhc,UgxYt0017,Frank Clark,ch-019,This kind of teaching is invaluable for training programs.,18,2026-08-27T09:00:00Z,2026-04-22T09:00:00Z,published
cmt-0020,vid-0020,yt-jhc,root,Hannah Hall,ch-020,Great explanation of the STS score approach.,28,2026-07-22T09:00:00Z,2026-08-10T09:00:00Z,published
cmt-0021,vid-0021,yt-jhc,UgxYt0019,Ira White,ch-021,This is exactly what we needed for our fellowship.,27,2026-09-18T09:00:00Z,2026-09-02T09:00:00Z,published
cmt-0022,vid-0022,yt-jhc,UgxYt0020,Jennifer Young,ch-022,Beautifully played - the ornaments at 2:34 are incredible.,7,2026-08-01T09:00:00Z,2026-05-02T09:00:00Z,published
cmt-0023,vid-0023,yt-jhc,UgxYt0021,Practice Cardiology Fellow,ch-023,Bruce still crushes it - what an anthem.,26,2026-03-01T09:00:00Z,2026-05-08T09:00:00Z,published
cmt-0024,vid-0024,yt-jhc,root,Interventional Cardiology 101,ch-024,Wong Kar-wai references make this even better.,33,2026-03-20T09:00:00Z,2026-09-22T09:00:00Z,published
cmt-0025,vid-0025,yt-jhc,UgxYt0023,Cardiology Journal Club,ch-025,The IVUS approach on this case was flawless.,50,2026-09-11T09:00:00Z,2026-07-18T09:00:00Z,published
cmt-0026,vid-0026,yt-jhc,UgxYt0024,TAVR Fellowship,ch-026,Please make a follow-up on FFR in real-world cases.,40,2026-03-28T09:00:00Z,2026-09-27T09:00:00Z,published
cmt-0027,vid-0027,yt-jhc,UgxYt0025,Structural Heart Team,ch-027,Watching this before my TAVR fellowship interview.,8,2026-01-12T09:00:00Z,2026-03-23T09:00:00Z,published
cmt-0028,vid-0028,yt-jhc,root,Cath Lab Insights,ch-028,This case reminds me of Dr. Whitfield's teaching.,6,2026-07-07T09:00:00Z,2026-05-14T09:00:00Z,published
cmt-0029,vid-0029,yt-jhc,UgxYt0027,Cardiology Grand Rounds,ch-029,The bifurcation strategy is textbook - well done.,16,2026-08-01T09:00:00Z,2026-05-26T09:00:00Z,published
cmt-0030,vid-0030,yt-jhc,UgxYt0028,The Cardiology Podcast,ch-030,Debussy is so difficult - your voicing is exceptional.,24,2026-02-21T09:00:00Z,2026-05-11T09:00:00Z,published
cmt-0031,vid-0031,yt-jhc,UgxYt0029,JIP Reader,ch-031,Great discussion on protocol lock timing.,4,2026-04-22T09:00:00Z,2026-03-11T09:00:00Z,published
cmt-0032,vid-0032,yt-jhc,root,JACC Reader,ch-032,This is why journal club matters. Thank you.,18,2026-05-16T09:00:00Z,2026-07-14T09:00:00Z,published
cmt-0033,vid-0033,yt-jhc,UgxYt0031,Circulation Reader,ch-033,The CTO wire technique here is much appreciated.,35,2026-09-11T09:00:00Z,2026-09-12T09:00:00Z,published
cmt-0034,vid-0034,yt-jhc,UgxYt0032,Piano Practice Daily,ch-034,For fellows: watch this before your first solo TAVR case.,5,2026-09-01T09:00:00Z,2026-03-24T09:00:00Z,published
cmt-0035,vid-0035,yt-jhc,UgxYt0033,Chopin Enthusiast,ch-035,Chopin Op. 9 No. 2 is my favorite - beautiful rendition.,21,2026-05-03T09:00:00Z,2026-07-16T09:00:00Z,published
cmt-0036,vid-0036,yt-jhc,root,Debussy Fan,ch-036,The manuscript discussion is very helpful.,7,2026-07-18T09:00:00Z,2026-02-10T09:00:00Z,published
cmt-0037,vid-0037,yt-jhc,UgxYt0035,Sicilian Defense Fan,ch-037,Watching this while eating dinner with family. Thanks for the content.,36,2026-04-25T09:00:00Z,2026-03-11T09:00:00Z,published
cmt-0038,vid-0038,yt-jhc,UgxYt0036,Chess.com Regular,ch-038,The pedal control here is world-class.,34,2026-01-08T09:00:00Z,2026-09-13T09:00:00Z,published
cmt-0039,vid-0039,yt-jhc,UgxYt0037,5AM Runner,ch-039,This kind of teaching is invaluable for training programs.,8,2026-04-15T09:00:00Z,2026-07-13T09:00:00Z,published
cmt-0040,vid-0040,yt-jhc,root,St Johns River Regular,ch-040,Great explanation of the STS score approach.,2,2026-02-09T09:00:00Z,2026-02-27T09:00:00Z,published
cmt-0041,vid-0041,yt-jhc,UgxYt0039,Springsteen Fan,ch-041,This is exactly what we needed for our fellowship.,4,2026-06-06T09:00:00Z,2026-08-12T09:00:00Z,published
cmt-0042,vid-0042,yt-jhc,UgxYt0040,Mellencamp Fan,ch-042,Beautifully played - the ornaments at 2:34 are incredible.,1,2026-05-13T09:00:00Z,2026-05-05T09:00:00Z,published
cmt-0043,vid-0043,yt-jhc,UgxYt0041,Farm Aid Watcher,ch-043,Bruce still crushes it - what an anthem.,27,2026-04-10T09:00:00Z,2026-04-06T09:00:00Z,published
cmt-0044,vid-0044,yt-jhc,root,Jazz Lounger,ch-044,Wong Kar-wai references make this even better.,13,2026-05-22T09:00:00Z,2026-04-27T09:00:00Z,published
cmt-0045,vid-0045,yt-jhc,UgxYt0043,Miles Davis Fan,ch-045,The IVUS approach on this case was flawless.,20,2026-08-20T09:00:00Z,2026-05-09T09:00:00Z,published
cmt-0046,vid-0046,yt-jhc,UgxYt0044,Coltrane Fan,ch-046,Please make a follow-up on FFR in real-world cases.,49,2026-08-17T09:00:00Z,2026-03-17T09:00:00Z,published
cmt-0047,vid-0047,yt-jhc,UgxYt0045,Bill Evans Fan,ch-047,Watching this before my TAVR fellowship interview.,6,2026-04-26T09:00:00Z,2026-09-02T09:00:00Z,published
cmt-0048,vid-0048,yt-jhc,root,Piano Enthusiast,ch-048,This case reminds me of Dr. Whitfield's teaching.,20,2026-04-02T09:00:00Z,2026-03-11T09:00:00Z,published
cmt-0049,vid-0049,yt-jhc,UgxYt0047,Fellowship Chief,ch-049,The bifurcation strategy is textbook - well done.,7,2026-06-16T09:00:00Z,2026-07-18T09:00:00Z,published
cmt-0050,vid-0050,yt-jhc,UgxYt0048,TAVR Coordinator,ch-050,Debussy is so difficult - your voicing is exceptional.,49,2026-04-13T09:00:00Z,2026-03-12T09:00:00Z,published
cmt-0051,vid-0051,yt-jhc,UgxYt0049,Cath Lab Nurse,ch-051,Great discussion on protocol lock timing.,20,2026-03-06T09:00:00Z,2026-03-03T09:00:00Z,published
cmt-0052,vid-0052,yt-jhc,root,Second-Year Fellow,ch-052,This is why journal club matters. Thank you.,22,2026-07-13T09:00:00Z,2026-03-09T09:00:00Z,published
cmt-0053,vid-0053,yt-jhc,UgxYt0051,First-Year Fellow,ch-053,The CTO wire technique here is much appreciated.,45,2026-07-10T09:00:00Z,2026-09-22T09:00:00Z,published
cmt-0054,vid-0054,yt-jhc,UgxYt0052,Practice Manager,ch-054,For fellows: watch this before your first solo TAVR case.,18,2026-08-03T09:00:00Z,2026-07-24T09:00:00Z,published
cmt-0055,vid-0055,yt-jhc,UgxYt0053,Cath Lab Tech,ch-055,Chopin Op. 9 No. 2 is my favorite - beautiful rendition.,7,2026-04-28T09:00:00Z,2026-02-06T09:00:00Z,published
cmt-0056,vid-0056,yt-jhc,root,IR Nurse,ch-056,The manuscript discussion is very helpful.,23,2026-01-26T09:00:00Z,2026-03-17T09:00:00Z,published
cmt-0057,vid-0057,yt-jhc,UgxYt0055,Perfusionist,ch-057,Watching this while eating dinner with family. Thanks for the content.,5,2026-01-15T09:00:00Z,2026-02-24T09:00:00Z,published
cmt-0058,vid-0058,yt-jhc,UgxYt0056,Anesthesia Team,ch-058,The pedal control here is world-class.,10,2026-08-12T09:00:00Z,2026-09-17T09:00:00Z,published
cmt-0059,vid-0059,yt-jhc,UgxYt0057,Structural Heart Physician,ch-059,This kind of teaching is invaluable for training programs.,7,2026-07-21T09:00:00Z,2026-04-14T09:00:00Z,published
cmt-0060,vid-0060,yt-jhc,root,Interventional Fellow,ch-060,Great explanation of the STS score approach.,32,2026-02-19T09:00:00Z,2026-01-13T09:00:00Z,published
cmt-0061,vid-0061,yt-jhc,UgxYt0059,Adult Congenital Fellow,ch-061,This is exactly what we needed for our fellowship.,1,2026-06-03T09:00:00Z,2026-08-05T09:00:00Z,published
cmt-0062,vid-0062,yt-jhc,UgxYt0060,EP Fellow,ch-062,Beautifully played - the ornaments at 2:34 are incredible.,3,2026-08-08T09:00:00Z,2026-09-23T09:00:00Z,published
cmt-0063,vid-0063,yt-jhc,UgxYt0061,Advanced HF Fellow,ch-063,Bruce still crushes it - what an anthem.,44,2026-05-13T09:00:00Z,2026-09-08T09:00:00Z,published
cmt-0064,vid-0064,yt-jhc,root,Non-Invasive Cardiologist,ch-064,Wong Kar-wai references make this even better.,24,2026-08-26T09:00:00Z,2026-01-03T09:00:00Z,published
cmt-0065,vid-0065,yt-jhc,UgxYt0063,General Cardiologist,ch-065,The IVUS approach on this case was flawless.,29,2026-05-28T09:00:00Z,2026-04-02T09:00:00Z,published
cmt-0066,vid-0066,yt-jhc,UgxYt0064,Preventive Cardiologist,ch-066,Please make a follow-up on FFR in real-world cases.,14,2026-02-24T09:00:00Z,2026-04-14T09:00:00Z,published
cmt-0067,vid-0067,yt-jhc,UgxYt0065,Sports Cardiologist,ch-067,Watching this before my TAVR fellowship interview.,37,2026-03-15T09:00:00Z,2026-08-18T09:00:00Z,published
cmt-0068,vid-0068,yt-jhc,root,Cardio-Oncology Fellow,ch-068,This case reminds me of Dr. Whitfield's teaching.,20,2026-03-06T09:00:00Z,2026-03-07T09:00:00Z,published
cmt-0069,vid-0069,yt-jhc,UgxYt0067,Amyloidosis Team,ch-069,The bifurcation strategy is textbook - well done.,23,2026-02-04T09:00:00Z,2026-08-18T09:00:00Z,published
cmt-0070,vid-0070,yt-jhc,UgxYt0068,LVAD Team,ch-070,Debussy is so difficult - your voicing is exceptional.,37,2026-06-26T09:00:00Z,2026-08-12T09:00:00Z,published
cmt-0071,vid-0071,yt-jhc,UgxYt0069,Heart Failure Nurse,ch-071,Great discussion on protocol lock timing.,24,2026-01-02T09:00:00Z,2026-08-09T09:00:00Z,published
cmt-0072,vid-0072,yt-jhc,root,Heart Failure MD,ch-072,This is why journal club matters. Thank you.,10,2026-02-24T09:00:00Z,2026-05-15T09:00:00Z,published
cmt-0073,vid-0073,yt-jhc,UgxYt0071,PA/NP Fellow,ch-073,The CTO wire technique here is much appreciated.,44,2026-02-26T09:00:00Z,2026-06-22T09:00:00Z,published
cmt-0074,vid-0074,yt-jhc,UgxYt0072,Chest Pain Nurse,ch-074,For fellows: watch this before your first solo TAVR case.,7,2026-04-03T09:00:00Z,2026-07-07T09:00:00Z,published
cmt-0075,vid-0075,yt-jhc,UgxYt0073,STEMI Team,ch-075,Chopin Op. 9 No. 2 is my favorite - beautiful rendition.,13,2026-04-14T09:00:00Z,2026-04-13T09:00:00Z,published
cmt-0076,vid-0076,yt-jhc,root,CTO PCI Enthusiast,ch-076,The manuscript discussion is very helpful.,25,2026-05-12T09:00:00Z,2026-02-26T09:00:00Z,published
cmt-0077,vid-0077,yt-jhc,UgxYt0075,LM Bifurcation Team,ch-077,Watching this while eating dinner with family. Thanks for the content.,46,2026-06-02T09:00:00Z,2026-07-17T09:00:00Z,published
cmt-0078,vid-0078,yt-jhc,UgxYt0076,Radial Access Team,ch-078,The pedal control here is world-class.,13,2026-08-02T09:00:00Z,2026-01-21T09:00:00Z,published
cmt-0079,vid-0079,yt-jhc,UgxYt0077,IVUS Team,ch-079,This kind of teaching is invaluable for training programs.,40,2026-09-14T09:00:00Z,2026-09-02T09:00:00Z,published
cmt-0080,vid-0080,yt-jhc,root,OCT Team,ch-080,Great explanation of the STS score approach.,1,2026-07-22T09:00:00Z,2026-06-07T09:00:00Z,published
cmt-0081,vid-0081,yt-jhc,UgxYt0079,FFR Team,ch-081,This is exactly what we needed for our fellowship.,12,2026-08-20T09:00:00Z,2026-02-06T09:00:00Z,published
cmt-0082,vid-0082,yt-jhc,UgxYt0080,Rotational Atherectomy Team,ch-082,Beautifully played - the ornaments at 2:34 are incredible.,40,2026-08-10T09:00:00Z,2026-09-07T09:00:00Z,published
cmt-0083,vid-0083,yt-jhc,UgxYt0081,Balloon Angioplasty Team,ch-083,Bruce still crushes it - what an anthem.,30,2026-07-11T09:00:00Z,2026-02-19T09:00:00Z,published
cmt-0084,vid-0084,yt-jhc,root,Stent Team,ch-084,Wong Kar-wai references make this even better.,26,2026-02-13T09:00:00Z,2026-03-06T09:00:00Z,published
cmt-0085,vid-0085,yt-jhc,UgxYt0083,Bare Metal Stent,ch-085,The IVUS approach on this case was flawless.,36,2026-09-21T09:00:00Z,2026-07-23T09:00:00Z,published
cmt-0086,vid-0086,yt-jhc,UgxYt0084,DES Team,ch-086,Please make a follow-up on FFR in real-world cases.,1,2026-01-10T09:00:00Z,2026-03-03T09:00:00Z,published
cmt-0087,vid-0087,yt-jhc,UgxYt0085,BVS Team,ch-087,Watching this before my TAVR fellowship interview.,44,2026-02-25T09:00:00Z,2026-05-18T09:00:00Z,published
cmt-0088,vid-0088,yt-jhc,root,Chronic Total Occlusion,ch-088,This case reminds me of Dr. Whitfield's teaching.,35,2026-08-11T09:00:00Z,2026-03-23T09:00:00Z,published
cmt-0089,vid-0089,yt-jhc,UgxYt0087,Two-Stent Bifurcation,ch-089,The bifurcation strategy is textbook - well done.,39,2026-02-25T09:00:00Z,2026-08-13T09:00:00Z,published
cmt-0090,vid-0090,yt-jhc,UgxYt0088,Culottes Technique,ch-090,Debussy is so difficult - your voicing is exceptional.,40,2026-04-28T09:00:00Z,2026-06-07T09:00:00Z,published
cmt-0091,vid-0091,yt-jhc,UgxYt0089,T-Stenting,ch-091,Great discussion on protocol lock timing.,42,2026-03-18T09:00:00Z,2026-06-02T09:00:00Z,published
cmt-0092,vid-0092,yt-jhc,root,Crush Stenting,ch-092,This is why journal club matters. Thank you.,38,2026-05-08T09:00:00Z,2026-06-17T09:00:00Z,published
cmt-0093,vid-0093,yt-jhc,UgxYt0091,MI Team,ch-093,The CTO wire technique here is much appreciated.,19,2026-03-20T09:00:00Z,2026-05-15T09:00:00Z,published
cmt-0094,vid-0094,yt-jhc,UgxYt0092,STEMI Team,ch-094,For fellows: watch this before your first solo TAVR case.,27,2026-01-04T09:00:00Z,2026-02-13T09:00:00Z,published
cmt-0095,vid-0095,yt-jhc,UgxYt0093,NSTEMI Team,ch-095,Chopin Op. 9 No. 2 is my favorite - beautiful rendition.,5,2026-06-10T09:00:00Z,2026-07-09T09:00:00Z,published
cmt-0096,vid-0096,yt-jhc,root,Unstable Angina,ch-096,The manuscript discussion is very helpful.,24,2026-06-08T09:00:00Z,2026-07-16T09:00:00Z,published
cmt-0097,vid-0097,yt-jhc,UgxYt0095,ACS Team,ch-097,Watching this while eating dinner with family. Thanks for the content.,19,2026-01-14T09:00:00Z,2026-04-08T09:00:00Z,published
cmt-0098,vid-0098,yt-jhc,UgxYt0096,Cardiogenic Shock Team,ch-098,The pedal control here is world-class.,14,2026-08-18T09:00:00Z,2026-02-17T09:00:00Z,published
cmt-0099,vid-0099,yt-jhc,UgxYt0097,Impella Team,ch-099,This kind of teaching is invaluable for training programs.,35,2026-03-17T09:00:00Z,2026-03-27T09:00:00Z,published
cmt-0100,vid-0100,yt-jhc,root,IABP Team,ch-100,Great explanation of the STS score approach.,16,2026-09-25T09:00:00Z,2026-05-09T09:00:00Z,published
cmt-0101,vid-0101,yt-jhc,UgxYt0099,ECMO Team,ch-101,This is exactly what we needed for our fellowship.,8,2026-04-06T09:00:00Z,2026-04-05T09:00:00Z,published
cmt-0102,vid-0102,yt-jhc,UgxYt0100,LVAD Bridge Team,ch-102,Beautifully played - the ornaments at 2:34 are incredible.,34,2026-08-05T09:00:00Z,2026-09-16T09:00:00Z,published
cmt-0103,vid-0103,yt-jhc,UgxYt0101,Transplant Team,ch-103,Bruce still crushes it - what an anthem.,1,2026-03-21T09:00:00Z,2026-08-11T09:00:00Z,published
cmt-0104,vid-0104,yt-jhc,root,Structural TAVR Team,ch-104,Wong Kar-wai references make this even better.,10,2026-01-20T09:00:00Z,2026-07-27T09:00:00Z,published
cmt-0105,vid-0105,yt-jhc,UgxYt0103,MitraClip Team,ch-105,The IVUS approach on this case was flawless.,21,2026-09-12T09:00:00Z,2026-04-20T09:00:00Z,published
cmt-0106,vid-0106,yt-jhc,UgxYt0104,Watchman Team,ch-106,Please make a follow-up on FFR in real-world cases.,45,2026-02-05T09:00:00Z,2026-07-18T09:00:00Z,published
cmt-0107,vid-0107,yt-jhc,UgxYt0105,Amplatzer Team,ch-107,Watching this before my TAVR fellowship interview.,22,2026-09-11T09:00:00Z,2026-05-28T09:00:00Z,published
cmt-0108,vid-0108,yt-jhc,root,LAA Closure Team,ch-108,This case reminds me of Dr. Whitfield's teaching.,14,2026-09-18T09:00:00Z,2026-09-16T09:00:00Z,published
cmt-0109,vid-0109,yt-jhc,UgxYt0107,Dr. Sarah Chen,ch-109,The bifurcation strategy is textbook - well done.,19,2026-04-10T09:00:00Z,2026-06-02T09:00:00Z,published
