event_ts	error_type	station_id	count_per_event_group	severity	last_seen	notes
2026-09-08T10:19:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-08T10:19:00-05:00	Hero image 404 on asset retry
2026-09-09T11:26:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-09T11:26:00-05:00	Minor buffer hiccup, recovered
2026-09-10T12:33:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-10T12:33:00-05:00	PWA cache eviction triggered
2026-09-11T13:40:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-11T13:40:00-05:00	Audio fetch timeout > 8s
2026-09-12T14:47:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-12T14:47:00-05:00	Driver crash on photo zoom
2026-09-13T15:54:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-13T15:54:00-05:00	Double-tap registered as drag
2026-09-14T16:01:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-14T16:01:00-05:00	cdn.contentful.com unreachable 2s
2026-09-15T17:08:00-05:00	DonationCardDecline	station-05	5	info	2026-09-15T17:08:00-05:00	Card declined; user redirected to retry
2026-09-16T18:15:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-16T18:15:00-05:00	Hero image 404 on asset retry
2026-09-17T19:22:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-17T19:22:00-05:00	Minor buffer hiccup, recovered
2026-09-18T20:29:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-18T20:29:00-05:00	PWA cache eviction triggered
2026-09-19T09:36:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-19T09:36:00-05:00	Audio fetch timeout > 8s
2026-09-20T10:43:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-20T10:43:00-05:00	Driver crash on photo zoom
2026-09-21T11:50:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-21T11:50:00-05:00	Double-tap registered as drag
2026-09-22T12:57:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-22T12:57:00-05:00	cdn.contentful.com unreachable 2s
2026-09-23T13:04:00-05:00	DonationCardDecline	station-05	5	info	2026-09-23T13:04:00-05:00	Card declined; user redirected to retry
2026-09-24T14:11:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-24T14:11:00-05:00	Hero image 404 on asset retry
2026-09-25T15:18:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-25T15:18:00-05:00	Minor buffer hiccup, recovered
2026-09-26T16:25:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-26T16:25:00-05:00	PWA cache eviction triggered
2026-09-27T17:32:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-27T17:32:00-05:00	Audio fetch timeout > 8s
2026-09-28T18:39:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-28T18:39:00-05:00	Driver crash on photo zoom
2026-09-29T19:46:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-29T19:46:00-05:00	Double-tap registered as drag
2026-09-30T20:53:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-30T20:53:00-05:00	cdn.contentful.com unreachable 2s
2026-09-01T09:00:00-05:00	DonationCardDecline	station-05	5	info	2026-09-01T09:00:00-05:00	Card declined; user redirected to retry
2026-09-02T10:07:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-02T10:07:00-05:00	Hero image 404 on asset retry
2026-09-03T11:14:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-03T11:14:00-05:00	Minor buffer hiccup, recovered
2026-09-04T12:21:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-04T12:21:00-05:00	PWA cache eviction triggered
2026-09-05T13:28:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-05T13:28:00-05:00	Audio fetch timeout > 8s
2026-09-06T14:35:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-06T14:35:00-05:00	Driver crash on photo zoom
2026-09-07T15:42:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-07T15:42:00-05:00	Double-tap registered as drag
2026-09-08T16:49:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-08T16:49:00-05:00	cdn.contentful.com unreachable 2s
2026-09-09T17:56:00-05:00	DonationCardDecline	station-05	5	info	2026-09-09T17:56:00-05:00	Card declined; user redirected to retry
2026-09-10T18:03:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-10T18:03:00-05:00	Hero image 404 on asset retry
2026-09-11T19:10:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-11T19:10:00-05:00	Minor buffer hiccup, recovered
2026-09-12T20:17:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-12T20:17:00-05:00	PWA cache eviction triggered
2026-09-13T09:24:00-05:00	KioskTimeoutError	station-01	1	warning	2026-09-13T09:24:00-05:00	Audio fetch timeout > 8s
2026-09-14T10:31:00-05:00	WebGLContextLost	station-02	2	warning	2026-09-14T10:31:00-05:00	Driver crash on photo zoom
2026-09-15T11:38:00-05:00	TouchEventDebounceFailure	station-03	3	info	2026-09-15T11:38:00-05:00	Double-tap registered as drag
2026-09-16T12:45:00-05:00	NetworkTimeout	station-04	4	warning	2026-09-16T12:45:00-05:00	cdn.contentful.com unreachable 2s
2026-09-17T13:52:00-05:00	DonationCardDecline	station-05	5	info	2026-09-17T13:52:00-05:00	Card declined; user redirected to retry
2026-09-18T14:59:00-05:00	ImageAssetMissing	station-06	6	warning	2026-09-18T14:59:00-05:00	Hero image 404 on asset retry
2026-09-19T15:06:00-05:00	AudioPlaybackBuffer	station-07	7	info	2026-09-19T15:06:00-05:00	Minor buffer hiccup, recovered
2026-09-20T16:13:00-05:00	LocalStorageFull	station-multi	8	warning	2026-09-20T16:13:00-05:00	PWA cache eviction triggered
2026-10-01T18:47:00-05:00	KioskTimeoutError	station-03	14	warning	2026-10-01T18:47:00-05:00	Audio fetch timeout > 8s
2026-10-01T19:12:00-05:00	ContentEntryNotFound	station-08	22	error	2026-10-01T19:12:00-05:00	slug oh-station-08-jubilee-singers returns 404
2026-10-01T19:38:00-05:00	WebGLContextLost	station-05	8	warning	2026-10-01T19:38:00-05:00	Driver crash on photo zoom
2026-10-01T20:01:00-05:00	AudioPlaybackBuffer	station-03	6	warning	2026-10-01T20:01:00-05:00	Buffer underrun on oral history clip 3:47-4:12
2026-10-01T20:24:00-05:00	TouchEventDebounceFailure	station-06	4	info	2026-10-01T20:24:00-05:00	Double-tap registered as drag
2026-10-01T20:55:00-05:00	NetworkTimeout	station-multi	11	warning	2026-10-01T20:55:00-05:00	cdn.contentful.com unreachable 4s
2026-10-01T21:14:00-05:00	ServiceWorkerRegistrationFailure	station-02	3	error	2026-10-01T21:14:00-05:00	PWA shell update failed on cold start
2026-10-01T21:42:00-05:00	KioskHeartbeatMissed	station-08	19	error	2026-10-01T21:42:00-05:00	Station offline 22+ minutes
