week_of	branch	pr_or_mr_id	summary	author	status
2026-08-31	audio/normalize-pass-38	!138	Audio level normalization sweep, batch 38	digitization-vendor-bot	merged
2026-08-31	metadata/cleanup-39	!139	Dublin Core metadata cleanup batch 39	digitization-vendor-bot	merged
2026-08-31	backup/quota-40	!140	Backup quota check pass 40	digitization-vendor-bot	merged
2026-09-07	digitize/batch-41	!141	OCR retry pass on archival batch 41	digitization-vendor-bot	merged
2026-09-07	audio/normalize-pass-42	!142	Audio level normalization sweep, batch 42	digitization-vendor-bot	merged
2026-09-07	metadata/cleanup-43	!143	Dublin Core metadata cleanup batch 43	digitization-vendor-bot	merged
2026-09-07	backup/quota-44	!144	Backup quota check pass 44	digitization-vendor-bot	merged
2026-09-07	calibration/drift-45	!145	Scanner calibration drift check 45	digitization-vendor-bot	merged
2026-09-14	audio/normalize-pass-46	!146	Audio level normalization sweep, batch 46	digitization-vendor-bot	merged
2026-09-14	metadata/cleanup-47	!147	Dublin Core metadata cleanup batch 47	digitization-vendor-bot	merged
2026-09-14	backup/quota-48	!148	Backup quota check pass 48	digitization-vendor-bot	merged
2026-09-14	calibration/drift-49	!149	Scanner calibration drift check 49	digitization-vendor-bot	merged
2026-09-14	dependency/sync-50	!150	Dependency lock sync batch 50	digitization-vendor-bot	merged
2026-09-21	metadata/cleanup-51	!151	Dublin Core metadata cleanup batch 51	digitization-vendor-bot	merged
2026-09-21	backup/quota-52	!152	Backup quota check pass 52	digitization-vendor-bot	merged
2026-09-21	calibration/drift-53	!153	Scanner calibration drift check 53	digitization-vendor-bot	merged
2026-09-21	dependency/sync-54	!154	Dependency lock sync batch 54	digitization-vendor-bot	merged
2026-09-21	archive/checksum-55	!155	Archive checksum verification 55	digitization-vendor-bot	merged
2026-09-28	backup/quota-56	!156	Backup quota check pass 56	digitization-vendor-bot	merged
2026-09-28	calibration/drift-57	!157	Scanner calibration drift check 57	digitization-vendor-bot	merged
2026-09-28	dependency/sync-58	!158	Dependency lock sync batch 58	digitization-vendor-bot	merged
2026-09-28	archive/checksum-59	!159	Archive checksum verification 59	digitization-vendor-bot	merged
2026-09-28	rendering/preview-60	!160	Web rendering preview tweaks 60	digitization-vendor-bot	merged
2026-09-28	hotfix/kiosk-audio-buffer	!147	AudioPlaybackBuffer retry on Station 3 oral history clip	digitization-vendor-bot	open / awaiting museum review
