item_id,column_id,text,value
monday_column_values_1086,monday_column_values_1086,text_86,value_86
monday_column_values_1087,monday_column_values_1087,text_87,value_87
monday_column_values_1088,monday_column_values_1088,text_88,value_88
monday_column_values_1089,monday_column_values_1089,text_89,value_89
monday_column_values_1090,monday_column_values_1090,text_90,value_90
monday_column_values_1091,monday_column_values_1091,text_91,value_91
monday_column_values_1092,monday_column_values_1092,text_92,value_92
monday_column_values_1093,monday_column_values_1093,text_93,value_93
monday_column_values_1094,monday_column_values_1094,text_94,value_94
monday_column_values_1095,monday_column_values_1095,text_95,value_95
monday_column_values_1096,monday_column_values_1096,text_96,value_96
monday_column_values_1097,monday_column_values_1097,text_97,value_97
monday_column_values_1098,monday_column_values_1098,text_98,value_98
monday_column_values_1099,monday_column_values_1099,text_99,value_99
