board_id,workspace_id,name,description,state,board_kind
monday_boards_1075,monday_boards_1075,Monday item 75,description_75,active,board_kind_75
monday_boards_1076,monday_boards_1076,Monday item 76,description_76,closed,board_kind_76
monday_boards_1077,monday_boards_1077,Monday item 77,description_77,open,board_kind_77
monday_boards_1078,monday_boards_1078,Monday item 78,description_78,active,board_kind_78
monday_boards_1079,monday_boards_1079,Monday item 79,description_79,active,board_kind_79
monday_boards_1080,monday_boards_1080,Monday item 80,description_80,closed,board_kind_80
monday_boards_1081,monday_boards_1081,Monday item 81,description_81,done,board_kind_81
monday_boards_1082,monday_boards_1082,Monday item 82,description_82,done,board_kind_82
monday_boards_1083,monday_boards_1083,Monday item 83,description_83,open,board_kind_83
monday_boards_1084,monday_boards_1084,Monday item 84,description_84,open,board_kind_84
monday_boards_1085,monday_boards_1085,Monday item 85,description_85,active,board_kind_85
monday_boards_1086,monday_boards_1086,Monday item 86,description_86,active,board_kind_86
monday_boards_1087,monday_boards_1087,Monday item 87,description_87,open,board_kind_87
monday_boards_1088,monday_boards_1088,Monday item 88,description_88,closed,board_kind_88
monday_boards_1089,monday_boards_1089,Monday item 89,description_89,active,board_kind_89
monday_boards_1090,monday_boards_1090,Monday item 90,description_90,open,board_kind_90
monday_boards_1091,monday_boards_1091,Monday item 91,description_91,open,board_kind_91
monday_boards_1092,monday_boards_1092,Monday item 92,description_92,active,board_kind_92
monday_boards_1093,monday_boards_1093,Monday item 93,description_93,open,board_kind_93
monday_boards_1094,monday_boards_1094,Monday item 94,description_94,open,board_kind_94
monday_boards_1095,monday_boards_1095,Monday item 95,description_95,active,board_kind_95
monday_boards_1096,monday_boards_1096,Monday item 96,description_96,active,board_kind_96
monday_boards_1097,monday_boards_1097,Monday item 97,description_97,done,board_kind_97
monday_boards_1098,monday_boards_1098,Monday item 98,description_98,done,board_kind_98
monday_boards_1099,monday_boards_1099,Monday item 99,description_99,done,board_kind_99
