"id","name","overview","first_air_date","vote_average","vote_count","genre_ids","popularity","number_of_seasons","number_of_episodes"
"20078","Series Mountain Juliet","valley echo charlie forest juliet delta hotel stone juliet bravo","2024-03-19","7.7","7331","19","182.461","6","68"
"20079","Series India Mountain","foxtrot golf charlie stone forest cloud cloud cloud forest delta","2024-12-17","6.2","14859","4|14|5","49.161","2","91"
"20080","Series Ocean Cloud","hotel market river forest golf juliet charlie river cloud cloud","2017-12-27","7.4","15238","7","69.657","8","123"
"20081","Series Golf Market","bridge juliet mountain juliet bridge mountain tower mountain river alpha","2016-04-13","5.9","19537","8","119.016","9","88"
"20082","Series Tower Cloud","bravo tower market hotel delta delta bravo foxtrot market juliet","2017-05-08","8.5","12007","19|2","197.423","9","90"
"20083","Series Tower Bridge","forest echo bravo charlie bridge juliet market tower market charlie","2021-03-03","8.0","12919","5|19","125.009","11","54"
"20084","Series Alpha Echo","stone alpha river india golf cloud foxtrot ocean delta juliet","2016-09-02","8.4","2814","5","88.693","1","19"
"20085","Series Cloud Bravo","hotel river cloud bravo bridge market forest charlie juliet alpha","2022-09-08","6.7","13516","11","148.44","8","91"
"20086","Series Golf India","market charlie foxtrot market bravo stone bravo tower market mountain","2016-08-03","7.2","15033","8|1|18","70.866","4","77"
"20087","Series Forest Market","delta mountain river india river hotel charlie valley valley delta","2025-01-15","8.1","11895","16|12","150.576","11","83"
"20088","Series Valley Stone","foxtrot india foxtrot delta river valley delta alpha golf echo","2018-02-23","6.6","2001","19","84.559","6","175"
"20089","Series Bravo Market","india india market alpha forest delta echo foxtrot valley juliet","2018-02-17","7.0","152","7|19","140.177","10","31"
"20090","Series Hotel Bravo","cloud stone delta ocean juliet foxtrot india stone cloud bridge","2015-04-20","7.4","17170","17|16|14","171.586","7","44"
"20091","Series Valley River","cloud tower foxtrot alpha tower echo stone forest mountain bridge","2021-10-07","6.3","14919","4","139.425","7","193"
"20092","Series Golf Golf","juliet stone charlie cloud bravo stone cloud ocean golf delta","2022-06-14","8.3","18333","19|4","172.87","5","33"
"20093","Series Charlie Tower","forest bridge charlie golf ocean cloud forest stone tower tower","2017-05-20","7.0","12103","7|2|9","168.28","7","8"
"20094","Series Golf Juliet","cloud ocean charlie ocean valley valley valley golf foxtrot bravo","2017-07-11","8.4","10001","18","71.294","2","195"
"20095","Series Alpha Hotel","alpha golf golf bravo alpha golf echo valley bravo river","2018-10-22","5.2","13835","18|5|19","127.117","10","104"
"20096","Series Echo Echo","river bravo hotel juliet forest ocean delta market market alpha","2019-09-30","7.1","6754","7","76.233","11","10"
"20097","Series Bridge Valley","bravo bridge bridge bravo river hotel stone hotel charlie tower","2025-06-27","7.4","14684","19","70.248","2","191"
"20098","Series Charlie Delta","golf charlie hotel foxtrot valley golf ocean stone cloud delta","2018-10-21","7.6","13895","5|2|8","93.794","12","180"
"20099","Series Alpha Ocean","ocean valley market bridge charlie mountain ocean mountain valley stone","2015-09-30","6.5","8503","4","126.876","1","171"
"20100","Series Ocean Golf","ocean juliet river cloud delta ocean hotel stone delta cloud","2024-04-23","6.1","2020","2|17","165.715","1","178"
"20101","Series Hotel Delta","bravo india echo juliet juliet hotel market juliet juliet bridge","2021-05-20","8.6","7537","18|10","71.773","5","153"
"20102","Series Market Golf","cloud cloud bridge juliet golf juliet charlie juliet bravo charlie","2017-04-03","7.0","2623","6|16","32.195","1","193"
"20103","Series Juliet India","india charlie river river tower market valley river charlie forest","2024-11-05","8.6","4427","1|2","175.039","10","93"
"20104","Series Mountain Market","mountain bravo charlie foxtrot charlie foxtrot charlie echo bravo river","2020-04-08","6.4","12296","8","188.972","1","150"
"20105","Series Forest Echo","bravo market bridge foxtrot hotel foxtrot juliet market juliet forest","2018-12-28","7.4","15228","14","16.474","12","119"
"20106","Series Foxtrot Foxtrot","delta stone echo golf echo india delta tower market stone","2015-02-20","6.4","13884","9|12","55.89","1","15"
"20107","Series Cloud Alpha","juliet stone ocean foxtrot ocean bridge ocean ocean juliet market","2025-07-02","8.1","12246","14","33.082","10","97"
"20108","Series Market Valley","ocean market juliet market forest bravo alpha india tower tower","2022-08-17","5.8","16022","2|13|6","50.255","5","133"
"20109","Series Delta Cloud","foxtrot valley echo golf delta cloud river golf alpha mountain","2022-08-28","5.1","15663","12|9","75.047","7","36"
"20110","Series Echo Echo","india stone delta bridge golf hotel hotel bravo alpha golf","2019-11-16","7.4","15427","2","88.84","6","143"
"20111","Series Market India","ocean bravo charlie india mountain foxtrot stone delta echo ocean","2024-06-09","6.8","14846","13|6","175.73","4","59"
"20112","Series Echo Valley","golf market stone bridge bridge delta delta stone bravo cloud","2024-06-13","7.6","799","11|15|6","99.604","2","88"
"20113","Series Foxtrot Mountain","ocean india river valley delta hotel valley alpha market charlie","2017-07-22","8.2","283","1","102.615","9","50"
"20114","Series Alpha Bridge","echo golf stone alpha bridge charlie echo tower foxtrot juliet","2019-11-25","6.2","11321","13|1","107.945","1","115"
"20115","Series Ocean Valley","golf foxtrot bravo foxtrot echo stone foxtrot bravo hotel river","2016-07-05","6.6","12109","6|7","95.517","11","49"
"20116","Series Forest Juliet","charlie ocean hotel foxtrot forest foxtrot bravo bridge ocean forest","2021-02-10","5.5","15529","18","199.87","10","168"
"20117","Series India Stone","mountain ocean forest bravo bravo market stone bridge hotel golf","2023-04-25","8.1","16174","11|18","147.561","3","56"
"20118","Series Bridge Delta","golf alpha juliet foxtrot bridge forest india stone golf mountain","2016-03-04","6.2","3732","6","193.499","10","88"
"20119","Series India Golf","river bravo charlie river india valley tower echo market golf","2022-07-09","6.1","2602","18|16|3","130.917","10","30"
"20120","Series Alpha Hotel","stone bravo charlie forest foxtrot foxtrot valley india cloud alpha","2024-06-23","7.4","12659","2|17|2","75.069","8","101"
"20121","Series Echo Delta","delta echo hotel forest golf hotel tower echo tower alpha","2022-06-24","5.4","2509","1","92.107","12","97"
"20122","Series Stone Forest","cloud valley foxtrot alpha forest tower india bravo golf stone","2017-10-14","6.8","14592","14","191.525","7","118"
"20123","Series Echo Charlie","charlie bridge india market india charlie charlie river charlie bravo","2022-12-22","8.5","13154","9","157.764","11","102"
"20124","Series Mountain Valley","tower bravo juliet bravo cloud valley mountain delta echo stone","2020-06-02","8.6","18523","11|19|18","27.924","2","55"
"20125","Series Bravo Bridge","forest stone charlie india bridge valley foxtrot tower juliet tower","2023-06-04","6.2","4120","9","159.349","12","72"
"20126","Series Golf Hotel","market alpha foxtrot bravo cloud golf alpha juliet mountain golf","2019-03-26","7.2","348","7|5","123.889","7","31"
"20127","Series Stone Charlie","juliet charlie foxtrot alpha echo market tower cloud foxtrot foxtrot","2022-06-28","7.5","14346","7|6","134.023","9","144"
"20128","Series Foxtrot Echo","tower juliet bravo tower hotel mountain mountain delta forest foxtrot","2020-11-14","6.5","2735","12|2|19","186.698","4","128"
"20129","Series Cloud River","golf echo ocean delta golf echo tower market juliet forest","2023-02-21","7.0","18965","15","42.157","2","6"
"20130","Series Bridge Alpha","golf river alpha alpha tower market foxtrot bridge valley juliet","2023-04-30","5.2","7007","14","165.136","2","200"
"20131","Series Tower River","bridge stone cloud river mountain market stone bridge cloud bridge","2016-08-13","6.0","16711","13","92.071","7","101"
"20132","Series Stone Valley","forest tower cloud foxtrot bravo ocean valley stone echo river","2017-01-02","5.3","10072","7|14|11","56.834","1","195"
"20133","Series Golf Golf","market alpha tower golf valley mountain bravo bridge river alpha","2019-05-21","8.6","15188","10|19","118.93","9","9"
"20134","Series India India","river ocean alpha mountain hotel forest charlie mountain market stone","2021-12-14","8.6","15229","7","108.623","3","61"
"20135","Series Bridge Golf","bridge golf alpha india charlie delta foxtrot cloud alpha delta","2022-04-05","8.5","3985","16|6","73.889","8","9"
"20136","Series Market Valley","market hotel alpha echo delta golf bravo cloud foxtrot echo","2024-04-28","6.0","9689","17|14","122.768","2","35"
"20137","Series River Echo","valley forest golf cloud foxtrot echo cloud river tower cloud","2016-03-28","8.5","10322","15","45.862","11","67"
"20138","Series Cloud Alpha","stone cloud india echo river charlie valley bridge valley forest","2019-07-24","7.0","17500","7","43.526","9","183"
"20139","Series Golf Forest","bridge india market ocean stone delta foxtrot valley hotel golf","2018-10-25","8.0","6462","16|17|15","41.166","6","126"
"20140","Series Bravo Echo","charlie tower juliet ocean golf golf market delta market market","2016-07-21","5.6","2539","5|9|11","166.167","2","40"
"20141","Series Golf Echo","river charlie echo bridge juliet stone juliet ocean river mountain","2024-09-11","5.7","16222","3","80.271","10","111"
"20142","Series Bridge River","alpha forest golf delta india bridge ocean mountain mountain ocean","2015-02-04","7.4","14181","7|8|7","153.624","1","46"
"20143","Series Market Bravo","golf stone stone delta delta juliet bridge india hotel cloud","2015-03-01","6.8","14720","6|6","75.544","8","180"
"20144","Series Delta Delta","golf valley valley market mountain juliet golf market charlie market","2022-09-23","5.9","9592","3|17","111.391","1","98"
"20145","Series Stone Forest","cloud ocean charlie golf forest bravo river tower valley echo","2015-03-06","5.1","17708","8","48.362","3","197"
"20146","Series India Valley","cloud mountain india alpha mountain tower alpha cloud tower alpha","2023-06-29","5.5","10837","6","60.512","12","164"
"20147","Series Bridge Forest","bravo cloud hotel cloud mountain cloud cloud bridge juliet cloud","2016-04-20","6.5","191","10|1|15","140.504","12","109"
"20148","Series Ocean Ocean","valley bravo hotel bravo river river delta foxtrot charlie mountain","2022-08-14","8.5","5228","12|17","157.27","2","103"
"20149","Series Bridge Market","delta cloud river charlie foxtrot market ocean india stone bridge","2020-03-01","7.9","13163","2|12","135.883","10","43"
"20150","Series Bridge Market","ocean tower hotel market alpha ocean valley juliet alpha hotel","2021-04-02","5.3","9382","5","60.814","2","138"
