pipeline_id,pipeline_label,stage_id,stage_label,display_order,probability,closed
default-e006,Sales Pipeline,closedwon-e006,Closed Won,5,1.0,true
default-e006,Sales Pipeline,closedlost-e006,Closed Lost,6,0.0,true
default-e007,Sales Pipeline,appointmentscheduled-e007,Appointment Scheduled,0,0.2,false
default-e007,Sales Pipeline,qualifiedtobuy-e007,Qualified To Buy,1,0.4,false
default-e007,Sales Pipeline,presentationscheduled-e007,Presentation Scheduled,2,0.6,false
default-e007,Sales Pipeline,decisionmakerboughtin-e007,Decision Maker Bought-In,3,0.8,false
default-e007,Sales Pipeline,contractsent-e007,Contract Sent,4,0.9,false
default-e007,Sales Pipeline,closedwon-e007,Closed Won,5,1.0,true
default-e007,Sales Pipeline,closedlost-e007,Closed Lost,6,0.0,true
default-e008,Sales Pipeline,appointmentscheduled-e008,Appointment Scheduled,0,0.2,false
default-e008,Sales Pipeline,qualifiedtobuy-e008,Qualified To Buy,1,0.4,false
default-e008,Sales Pipeline,presentationscheduled-e008,Presentation Scheduled,2,0.6,false
default-e008,Sales Pipeline,decisionmakerboughtin-e008,Decision Maker Bought-In,3,0.8,false
default-e008,Sales Pipeline,contractsent-e008,Contract Sent,4,0.9,false
default-e008,Sales Pipeline,closedwon-e008,Closed Won,5,1.0,true
default-e008,Sales Pipeline,closedlost-e008,Closed Lost,6,0.0,true
default-e009,Sales Pipeline,appointmentscheduled-e009,Appointment Scheduled,0,0.2,false
default-e009,Sales Pipeline,qualifiedtobuy-e009,Qualified To Buy,1,0.4,false
default-e009,Sales Pipeline,presentationscheduled-e009,Presentation Scheduled,2,0.6,false
default-e009,Sales Pipeline,decisionmakerboughtin-e009,Decision Maker Bought-In,3,0.8,false
default-e009,Sales Pipeline,contractsent-e009,Contract Sent,4,0.9,false
default-e009,Sales Pipeline,closedwon-e009,Closed Won,5,1.0,true
default-e009,Sales Pipeline,closedlost-e009,Closed Lost,6,0.0,true
default-e010,Sales Pipeline,appointmentscheduled-e010,Appointment Scheduled,0,0.2,false
default-e010,Sales Pipeline,qualifiedtobuy-e010,Qualified To Buy,1,0.4,false
default-e010,Sales Pipeline,presentationscheduled-e010,Presentation Scheduled,2,0.6,false
default-e010,Sales Pipeline,decisionmakerboughtin-e010,Decision Maker Bought-In,3,0.8,false
default-e010,Sales Pipeline,contractsent-e010,Contract Sent,4,0.9,false
default-e010,Sales Pipeline,closedwon-e010,Closed Won,5,1.0,true
default-e010,Sales Pipeline,closedlost-e010,Closed Lost,6,0.0,true
default-e011,Sales Pipeline,appointmentscheduled-e011,Appointment Scheduled,0,0.2,false
default-e011,Sales Pipeline,qualifiedtobuy-e011,Qualified To Buy,1,0.4,false
default-e011,Sales Pipeline,presentationscheduled-e011,Presentation Scheduled,2,0.6,false
