id,name,contact_count,created_at
sg-lst-00131,Alumni v2,46,2026-06-26T16:39:00-07:00
sg-lst-00132,Waiver Reminders v3,383,2025-04-09T14:46:00-07:00
sg-lst-00133,Vendor Alerts v4,262,2024-06-19T15:23:00-07:00
sg-lst-00134,Instructor Corp v5,64,2026-09-28T08:11:00-07:00
sg-lst-00135,Waiver Reminders v6,183,2024-02-01T19:34:00-07:00
sg-lst-00136,Vendor Alerts v7,216,2025-07-17T09:33:00-07:00
sg-lst-00137,Transactional v8,402,2026-09-29T15:43:00-07:00
sg-lst-00138,Class Confirmations v9,465,2026-08-06T18:18:00-07:00
sg-lst-00139,Parents Circle v10,637,2026-06-19T20:13:00-07:00
sg-lst-00140,Sponsor Ack v1,476,2024-09-27T11:35:00-07:00
sg-lst-00141,Parents Circle v2,139,2026-01-23T18:06:00-07:00
sg-lst-00142,Drop-In Prospects v3,127,2024-12-08T15:51:00-07:00
sg-lst-00143,Alumni v4,275,2025-02-23T18:00:00-07:00
sg-lst-00144,Vendor Alerts v5,530,2025-12-30T18:12:00-07:00
sg-lst-00145,Sponsor Ack v6,92,2026-08-21T13:22:00-07:00
sg-lst-00146,Drop-In Prospects v7,304,2025-07-23T11:19:00-07:00
sg-lst-00147,Waiver Reminders v8,264,2024-04-07T11:29:00-07:00
sg-lst-00148,Class Confirmations v9,545,2025-06-26T12:58:00-07:00
sg-lst-00149,Vendor Alerts v10,263,2026-08-31T09:41:00-07:00
sg-lst-00150,Parents Circle v1,493,2024-05-11T10:31:00-07:00
sg-lst-00151,Parents Circle v2,260,2026-02-12T10:32:00-07:00
sg-lst-00152,Transactional v3,112,2024-12-02T16:57:00-07:00
sg-lst-00153,Parents Circle v4,246,2024-04-14T14:27:00-07:00
sg-lst-00154,Vendor Alerts v5,450,2024-11-30T14:15:00-07:00
sg-lst-00155,Waiver Reminders v6,495,2026-03-08T13:05:00-07:00
sg-lst-00156,Waiver Reminders v7,515,2025-05-03T09:46:00-07:00
sg-lst-00157,Parents Circle v8,371,2025-12-15T11:39:00-07:00
sg-lst-00158,Vendor Alerts v9,296,2024-08-23T15:08:00-07:00
sg-lst-00159,Drop-In Prospects v10,60,2025-12-20T13:04:00-07:00
sg-lst-00160,Alumni v1,345,2024-12-18T19:52:00-07:00
sg-lst-00161,Class Confirmations v2,415,2025-11-25T08:54:00-07:00
sg-lst-00162,Class Confirmations v3,639,2026-07-03T11:16:00-07:00
sg-lst-00163,Transactional v4,156,2024-07-13T15:47:00-07:00
sg-lst-00164,Instructor Corp v5,294,2025-01-07T20:57:00-07:00
sg-lst-00165,Class Confirmations v6,594,2025-09-30T15:19:00-07:00
sg-lst-00166,Waiver Reminders v7,407,2024-03-14T16:35:00-07:00
sg-lst-00167,Sponsor Ack v8,242,2025-07-18T09:36:00-07:00
sg-lst-00168,Sponsor Ack v9,419,2026-10-07T20:56:00-07:00
sg-lst-00169,Drop-In Prospects v10,562,2025-10-13T13:47:00-07:00
sg-lst-00170,Parents Circle v1,491,2026-02-12T12:34:00-07:00
sg-lst-00171,Vendor Alerts v2,272,2024-12-08T10:23:00-07:00
sg-lst-00172,Parents Circle v3,409,2024-10-16T09:02:00-07:00
sg-lst-00173,Class Confirmations v4,162,2025-09-02T17:26:00-07:00
sg-lst-00174,Transactional v5,81,2026-08-09T19:14:00-07:00
sg-lst-00175,Instructor Corp v6,42,2026-05-27T08:49:00-07:00
sg-lst-00176,Alumni v7,52,2024-10-02T19:22:00-07:00
sg-lst-00177,Waiver Reminders v8,646,2026-09-12T15:06:00-07:00
sg-lst-00178,Class Confirmations v9,227,2025-12-06T13:09:00-07:00
sg-lst-00179,Sponsor Ack v10,102,2025-03-24T09:05:00-07:00
sg-lst-00180,Waiver Reminders v1,313,2025-12-18T12:42:00-07:00
sg-lst-00181,Instructor Corp v2,65,2025-01-26T13:05:00-07:00
sg-lst-00182,Class Confirmations v3,234,2024-06-01T09:35:00-07:00
sg-lst-00183,Sponsor Ack v4,41,2024-05-29T18:53:00-07:00
sg-lst-00184,Rank Promotions v5,624,2025-03-22T16:53:00-07:00
sg-lst-00185,Class Confirmations v6,37,2025-02-12T10:58:00-07:00
sg-lst-00186,Instructor Corp v7,518,2026-08-31T18:13:00-07:00
sg-lst-00187,Alumni v8,181,2024-12-25T17:27:00-07:00
sg-lst-00188,Transactional v9,383,2026-08-19T11:59:00-07:00
sg-lst-00189,Alumni v10,362,2024-01-29T19:22:00-07:00
sg-lst-00190,Parents Circle v1,152,2024-04-22T08:20:00-07:00
sg-lst-00191,Drop-In Prospects v2,359,2024-07-31T20:15:00-07:00
sg-lst-00192,Rank Promotions v3,41,2025-02-06T13:58:00-07:00
sg-lst-00193,Vendor Alerts v4,481,2025-02-16T13:58:00-07:00
sg-lst-00194,Parents Circle v5,149,2024-03-27T11:00:00-07:00
sg-lst-00195,Transactional v6,268,2025-02-26T11:25:00-07:00
sg-lst-00196,Vendor Alerts v7,374,2026-05-18T11:42:00-07:00
sg-lst-00197,Waiver Reminders v8,463,2026-06-21T13:38:00-07:00
sg-lst-00198,Alumni v9,497,2026-06-13T11:58:00-07:00
sg-lst-00199,Sponsor Ack v10,94,2024-03-07T19:13:00-07:00
sg-lst-00200,Class Confirmations v1,115,2026-09-28T15:22:00-07:00
sg-lst-00201,Alumni v2,471,2025-06-28T11:51:00-07:00
sg-lst-00202,Alumni v3,542,2026-05-27T14:47:00-07:00
sg-lst-00203,Transactional v4,457,2024-01-29T15:24:00-07:00
sg-lst-00204,Drop-In Prospects v5,154,2024-08-21T14:56:00-07:00
