id,name,color,description,teamId,createdAt,updatedAt
lbl-ext-51,data-51,#cf3fc2,data label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-52,ui-52,#c2f196,ui label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-53,content-53,#dbc149,content label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-54,urgent-54,#d01902,urgent label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-55,backend-55,#399702,backend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-56,frontend-56,#e5ce6f,frontend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-57,docs-57,#c6fac7,docs label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-58,research-58,#f38f6f,research label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-59,cleanup-59,#40c9b3,cleanup label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-60,bug-60,#b6d621,bug label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-61,feature-61,#b392a0,feature label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-62,mentor-match-62,#b081cc,mentor-match label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-63,reporting-63,#5da468,reporting label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-64,onboarding-64,#fcd8dd,onboarding label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-65,accessibility-65,#7dc955,accessibility label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-66,data-66,#be0f29,data label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-67,ui-67,#cd7adf,ui label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-68,content-68,#d780f4,content label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-69,urgent-69,#c46099,urgent label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-70,backend-70,#5c5736,backend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-71,frontend-71,#3aaa25,frontend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-72,docs-72,#1173f1,docs label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-73,research-73,#e7db38,research label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-74,cleanup-74,#d0dbd1,cleanup label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-75,bug-75,#6313fc,bug label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-76,feature-76,#45e9f4,feature label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-77,mentor-match-77,#84e0d4,mentor-match label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-78,reporting-78,#cba9c2,reporting label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-79,onboarding-79,#9ac977,onboarding label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-80,accessibility-80,#01ff62,accessibility label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-81,data-81,#866558,data label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-82,ui-82,#a4ac5b,ui label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-83,content-83,#4dd2b9,content label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-84,urgent-84,#87e2f8,urgent label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-85,backend-85,#154ec2,backend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-86,frontend-86,#6831b8,frontend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-87,docs-87,#2076f1,docs label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-88,research-88,#0b57f5,research label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-89,cleanup-89,#0fdd12,cleanup label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-90,bug-90,#95ef08,bug label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-91,feature-91,#9aea50,feature label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-92,mentor-match-92,#883c6f,mentor-match label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-93,reporting-93,#e16c35,reporting label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-94,onboarding-94,#2838f2,onboarding label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-95,accessibility-95,#2855ce,accessibility label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-96,data-96,#e1ce26,data label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-97,ui-97,#cb87c6,ui label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-98,content-98,#6a430f,content label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-99,urgent-99,#fb7563,urgent label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-100,backend-100,#aa0773,backend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-101,frontend-101,#1b8d4f,frontend label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-102,docs-102,#8e2cfa,docs label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-103,research-103,#7148f3,research label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
lbl-ext-104,cleanup-104,#de4bae,cleanup label,team-transition,2026-09-01T10:00:00.000Z,2026-09-01T10:00:00.000Z
