id,name,number,teamId,startsAt,endsAt,completedAt,createdAt,updatedAt
cyc-ext-15,Cycle 22,22,team-transition,2027-11-12T00:00:00.000Z,2027-12-02T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-16,Cycle 23,23,team-transition,2027-12-03T00:00:00.000Z,2027-12-23T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-17,Cycle 24,24,team-transition,2027-12-24T00:00:00.000Z,2028-01-13T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-18,Cycle 25,25,team-transition,2028-01-14T00:00:00.000Z,2028-02-03T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-19,Cycle 26,26,team-transition,2028-02-04T00:00:00.000Z,2028-02-24T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-20,Cycle 27,27,team-transition,2028-02-25T00:00:00.000Z,2028-03-16T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-21,Cycle 28,28,team-transition,2028-03-17T00:00:00.000Z,2028-04-06T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-22,Cycle 29,29,team-transition,2028-04-07T00:00:00.000Z,2028-04-27T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-23,Cycle 30,30,team-transition,2028-04-28T00:00:00.000Z,2028-05-18T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-24,Cycle 31,31,team-transition,2028-05-19T00:00:00.000Z,2028-06-08T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-25,Cycle 32,32,team-transition,2028-06-09T00:00:00.000Z,2028-06-29T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-26,Cycle 33,33,team-transition,2028-06-30T00:00:00.000Z,2028-07-20T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-27,Cycle 34,34,team-transition,2028-07-21T00:00:00.000Z,2028-08-10T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-28,Cycle 35,35,team-transition,2028-08-11T00:00:00.000Z,2028-08-31T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-29,Cycle 36,36,team-transition,2028-09-01T00:00:00.000Z,2028-09-21T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-30,Cycle 37,37,team-transition,2028-09-22T00:00:00.000Z,2028-10-12T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-31,Cycle 38,38,team-transition,2028-10-13T00:00:00.000Z,2028-11-02T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-32,Cycle 39,39,team-transition,2028-11-03T00:00:00.000Z,2028-11-23T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-33,Cycle 40,40,team-transition,2028-11-24T00:00:00.000Z,2028-12-14T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-34,Cycle 41,41,team-transition,2028-12-15T00:00:00.000Z,2029-01-04T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-35,Cycle 42,42,team-transition,2029-01-05T00:00:00.000Z,2029-01-25T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-36,Cycle 43,43,team-transition,2029-01-26T00:00:00.000Z,2029-02-15T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-37,Cycle 44,44,team-transition,2029-02-16T00:00:00.000Z,2029-03-08T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-38,Cycle 45,45,team-transition,2029-03-09T00:00:00.000Z,2029-03-29T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-39,Cycle 46,46,team-transition,2029-03-30T00:00:00.000Z,2029-04-19T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-40,Cycle 47,47,team-transition,2029-04-20T00:00:00.000Z,2029-05-10T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-41,Cycle 48,48,team-transition,2029-05-11T00:00:00.000Z,2029-05-31T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-42,Cycle 49,49,team-transition,2029-06-01T00:00:00.000Z,2029-06-21T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-43,Cycle 50,50,team-transition,2029-06-22T00:00:00.000Z,2029-07-12T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-44,Cycle 51,51,team-transition,2029-07-13T00:00:00.000Z,2029-08-02T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-45,Cycle 52,52,team-transition,2029-08-03T00:00:00.000Z,2029-08-23T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-46,Cycle 53,53,team-transition,2029-08-24T00:00:00.000Z,2029-09-13T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-47,Cycle 54,54,team-transition,2029-09-14T00:00:00.000Z,2029-10-04T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-48,Cycle 55,55,team-transition,2029-10-05T00:00:00.000Z,2029-10-25T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-49,Cycle 56,56,team-transition,2029-10-26T00:00:00.000Z,2029-11-15T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-50,Cycle 57,57,team-transition,2029-11-16T00:00:00.000Z,2029-12-06T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-51,Cycle 58,58,team-transition,2029-12-07T00:00:00.000Z,2029-12-27T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-52,Cycle 59,59,team-transition,2029-12-28T00:00:00.000Z,2030-01-17T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-53,Cycle 60,60,team-transition,2030-01-18T00:00:00.000Z,2030-02-07T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-54,Cycle 61,61,team-transition,2030-02-08T00:00:00.000Z,2030-02-28T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-55,Cycle 62,62,team-transition,2030-03-01T00:00:00.000Z,2030-03-21T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-56,Cycle 63,63,team-transition,2030-03-22T00:00:00.000Z,2030-04-11T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-57,Cycle 64,64,team-transition,2030-04-12T00:00:00.000Z,2030-05-02T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-58,Cycle 65,65,team-transition,2030-05-03T00:00:00.000Z,2030-05-23T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-59,Cycle 66,66,team-transition,2030-05-24T00:00:00.000Z,2030-06-13T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-60,Cycle 67,67,team-transition,2030-06-14T00:00:00.000Z,2030-07-04T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-61,Cycle 68,68,team-transition,2030-07-05T00:00:00.000Z,2030-07-25T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-62,Cycle 69,69,team-transition,2030-07-26T00:00:00.000Z,2030-08-15T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-63,Cycle 70,70,team-transition,2030-08-16T00:00:00.000Z,2030-09-05T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-64,Cycle 71,71,team-transition,2030-09-06T00:00:00.000Z,2030-09-26T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-65,Cycle 72,72,team-transition,2030-09-27T00:00:00.000Z,2030-10-17T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-66,Cycle 73,73,team-transition,2030-10-18T00:00:00.000Z,2030-11-07T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-67,Cycle 74,74,team-transition,2030-11-08T00:00:00.000Z,2030-11-28T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-68,Cycle 75,75,team-transition,2030-11-29T00:00:00.000Z,2030-12-19T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-69,Cycle 76,76,team-transition,2030-12-20T00:00:00.000Z,2031-01-09T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-70,Cycle 77,77,team-transition,2031-01-10T00:00:00.000Z,2031-01-30T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-71,Cycle 78,78,team-transition,2031-01-31T00:00:00.000Z,2031-02-20T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-72,Cycle 79,79,team-transition,2031-02-21T00:00:00.000Z,2031-03-13T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-73,Cycle 80,80,team-transition,2031-03-14T00:00:00.000Z,2031-04-03T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-74,Cycle 81,81,team-transition,2031-04-04T00:00:00.000Z,2031-04-24T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-75,Cycle 82,82,team-transition,2031-04-25T00:00:00.000Z,2031-05-15T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-76,Cycle 83,83,team-transition,2031-05-16T00:00:00.000Z,2031-06-05T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-77,Cycle 84,84,team-transition,2031-06-06T00:00:00.000Z,2031-06-26T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-78,Cycle 85,85,team-transition,2031-06-27T00:00:00.000Z,2031-07-17T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-79,Cycle 86,86,team-transition,2031-07-18T00:00:00.000Z,2031-08-07T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-80,Cycle 87,87,team-transition,2031-08-08T00:00:00.000Z,2031-08-28T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-81,Cycle 88,88,team-transition,2031-08-29T00:00:00.000Z,2031-09-18T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-82,Cycle 89,89,team-transition,2031-09-19T00:00:00.000Z,2031-10-09T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-83,Cycle 90,90,team-transition,2031-10-10T00:00:00.000Z,2031-10-30T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-84,Cycle 91,91,team-transition,2031-10-31T00:00:00.000Z,2031-11-20T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-85,Cycle 92,92,team-transition,2031-11-21T00:00:00.000Z,2031-12-11T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-86,Cycle 93,93,team-transition,2031-12-12T00:00:00.000Z,2032-01-01T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-87,Cycle 94,94,team-transition,2032-01-02T00:00:00.000Z,2032-01-22T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-88,Cycle 95,95,team-transition,2032-01-23T00:00:00.000Z,2032-02-12T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-89,Cycle 96,96,team-transition,2032-02-13T00:00:00.000Z,2032-03-04T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-90,Cycle 97,97,team-transition,2032-03-05T00:00:00.000Z,2032-03-25T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-91,Cycle 98,98,team-transition,2032-03-26T00:00:00.000Z,2032-04-15T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-92,Cycle 99,99,team-transition,2032-04-16T00:00:00.000Z,2032-05-06T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-93,Cycle 100,100,team-transition,2032-05-07T00:00:00.000Z,2032-05-27T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-94,Cycle 101,101,team-transition,2032-05-28T00:00:00.000Z,2032-06-17T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-95,Cycle 102,102,team-transition,2032-06-18T00:00:00.000Z,2032-07-08T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-96,Cycle 103,103,team-transition,2032-07-09T00:00:00.000Z,2032-07-29T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-97,Cycle 104,104,team-transition,2032-07-30T00:00:00.000Z,2032-08-19T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-98,Cycle 105,105,team-transition,2032-08-20T00:00:00.000Z,2032-09-09T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-99,Cycle 106,106,team-transition,2032-09-10T00:00:00.000Z,2032-09-30T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-100,Cycle 107,107,team-transition,2032-10-01T00:00:00.000Z,2032-10-21T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-101,Cycle 108,108,team-transition,2032-10-22T00:00:00.000Z,2032-11-11T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-102,Cycle 109,109,team-transition,2032-11-12T00:00:00.000Z,2032-12-02T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-103,Cycle 110,110,team-transition,2032-12-03T00:00:00.000Z,2032-12-23T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
cyc-ext-104,Cycle 111,111,team-transition,2032-12-24T00:00:00.000Z,2033-01-13T00:00:00.000Z,,2026-12-01T10:00:00.000Z,2026-12-01T10:00:00.000Z
