movie_id,person_id,credit_type,character,job,order
mv_0022,pp_0125,cast,Character 46,Producer,46
mv_0002,pp_0067,cast,Character 47,Producer,47
mv_0011,pp_0080,cast,Character 48,Director,48
mv_0095,pp_0106,crew,Character 49,Director,49
mv_0063,pp_0061,cast,Character 50,Producer,50
mv_0017,pp_0031,crew,Character 51,,51
mv_0091,pp_0032,cast,Character 52,,52
mv_0030,pp_0006,cast,Character 53,Director,53
mv_0040,pp_0133,crew,Character 54,Director,54
mv_0061,pp_0006,cast,Character 55,Producer,55
mv_0022,pp_0109,crew,Character 56,Producer,56
mv_0066,pp_0020,cast,Character 57,Director,57
mv_0098,pp_0040,crew,Character 58,,58
mv_0102,pp_0072,cast,Character 59,Director,59
mv_0102,pp_0066,crew,Character 60,,60
mv_0029,pp_0001,cast,Character 61,Producer,61
mv_0066,pp_0027,crew,Character 62,Producer,62
mv_0040,pp_0079,cast,Character 63,,63
mv_0072,pp_0126,crew,Character 64,,64
mv_0033,pp_0107,cast,Character 65,Director,65
mv_0111,pp_0062,cast,Character 66,Producer,66
mv_0011,pp_0145,cast,Character 67,Producer,67
mv_0136,pp_0045,crew,Character 68,,68
mv_0124,pp_0065,cast,Character 69,Producer,69
mv_0106,pp_0089,cast,Character 70,,70
mv_0141,pp_0094,crew,Character 71,,71
mv_0062,pp_0016,cast,Character 72,,72
mv_0126,pp_0058,cast,Character 73,Producer,73
mv_0042,pp_0050,crew,Character 74,Director,74
mv_0144,pp_0002,cast,Character 75,,75
mv_0131,pp_0014,cast,Character 76,Producer,76
mv_0019,pp_0056,cast,Character 77,Director,77
mv_0012,pp_0055,cast,Character 78,Director,78
mv_0146,pp_0122,cast,Character 79,Producer,79
mv_0104,pp_0142,cast,Character 80,,80
mv_0037,pp_0021,crew,Character 81,Producer,81
mv_0145,pp_0050,crew,Character 82,,82
mv_0046,pp_0013,crew,Character 83,,83
mv_0017,pp_0062,crew,Character 84,Producer,84
mv_0065,pp_0122,crew,Character 85,Producer,85
mv_0022,pp_0144,crew,Character 86,,86
mv_0036,pp_0132,cast,Character 87,Producer,87
mv_0123,pp_0012,cast,Character 88,Director,88
mv_0111,pp_0021,cast,Character 89,Director,89
mv_0145,pp_0124,crew,Character 90,Producer,90
mv_0073,pp_0089,crew,Character 91,Producer,91
mv_0130,pp_0145,crew,Character 92,Director,92
mv_0038,pp_0077,cast,Character 93,Director,93
mv_0135,pp_0105,crew,Character 94,,94
mv_0044,pp_0095,crew,Character 95,,95
mv_0097,pp_0014,crew,Character 96,,96
mv_0119,pp_0112,crew,Character 97,Director,97
mv_0001,pp_0049,crew,Character 98,Producer,98
mv_0044,pp_0073,cast,Character 99,Director,99
mv_0068,pp_0136,cast,Character 100,Producer,100
mv_0125,pp_0023,cast,Character 101,Producer,101
mv_0039,pp_0108,cast,Character 102,,102
mv_0095,pp_0005,cast,Character 103,,103
mv_0057,pp_0139,crew,Character 104,Producer,104
mv_0026,pp_0037,crew,Character 105,Director,105
mv_0084,pp_0046,cast,Character 106,,106
mv_0034,pp_0037,crew,Character 107,Producer,107
mv_0069,pp_0044,crew,Character 108,Producer,108
mv_0071,pp_0071,crew,Character 109,,109
mv_0029,pp_0127,cast,Character 110,Director,110
mv_0115,pp_0130,crew,Character 111,Director,111
mv_0141,pp_0049,cast,Character 112,,112
mv_0118,pp_0137,crew,Character 113,Director,113
mv_0084,pp_0137,crew,Character 114,,114
mv_0076,pp_0133,cast,Character 115,Producer,115
mv_0093,pp_0060,crew,Character 116,Producer,116
mv_0046,pp_0126,crew,Character 117,Producer,117
mv_0030,pp_0132,cast,Character 118,,118
mv_0038,pp_0058,cast,Character 119,,119
mv_0028,pp_0111,crew,Character 120,Director,120
mv_0092,pp_0102,cast,Character 121,,121
mv_0040,pp_0030,cast,Character 122,Producer,122
mv_0023,pp_0109,crew,Character 123,Producer,123
mv_0133,pp_0071,cast,Character 124,Director,124
mv_0017,pp_0006,crew,Character 125,,125
mv_0116,pp_0110,cast,Character 126,,126
mv_0070,pp_0031,cast,Character 127,Director,127
mv_0047,pp_0065,crew,Character 128,Producer,128
mv_0040,pp_0064,cast,Character 129,Producer,129
mv_0074,pp_0114,crew,Character 130,,130
mv_0056,pp_0137,crew,Character 131,Producer,131
mv_0115,pp_0028,crew,Character 132,,132
mv_0003,pp_0046,crew,Character 133,Producer,133
mv_0039,pp_0018,cast,Character 134,Director,134
mv_0009,pp_0058,crew,Character 135,Producer,135
mv_0073,pp_0139,crew,Character 136,Director,136
mv_0083,pp_0134,cast,Character 137,,137
mv_0075,pp_0095,crew,Character 138,,138
mv_0059,pp_0098,crew,Character 139,,139
mv_0093,pp_0079,crew,Character 140,Producer,140
mv_0140,pp_0137,cast,Character 141,Producer,141
mv_0118,pp_0124,cast,Character 142,,142
mv_0065,pp_0029,crew,Character 143,Producer,143
mv_0076,pp_0094,cast,Character 144,Director,144
mv_0143,pp_0004,crew,Character 145,Director,145
mv_0138,pp_0097,crew,Character 146,Director,146
mv_0039,pp_0084,crew,Character 147,Producer,147
mv_0008,pp_0065,cast,Character 148,,148
mv_0138,pp_0107,cast,Character 149,Producer,149
