id,name,overview,first_air_date,vote_average,vote_count,genre_ids,popularity,number_of_seasons,number_of_episodes
tv_0029,TV Show 29,Overview 29,2023-06-20,,9.3,2256,Returning Series,3,36
tv_0030,TV Show 30,Overview 30,2024-01-12,,9.4,411,Returning Series,10,160
tv_0031,TV Show 31,Overview 31,2026-04-16,,6.4,4759,Returning Series,9,6
tv_0032,TV Show 32,Overview 32,2026-07-30,,2.1,1057,Ended,3,168
tv_0033,TV Show 33,Overview 33,2023-11-06,,1.5,4234,Ended,2,180
tv_0034,TV Show 34,Overview 34,2023-05-15,,1.7,3727,Returning Series,1,116
tv_0035,TV Show 35,Overview 35,2021-09-01,,5.5,4377,Returning Series,7,2
tv_0036,TV Show 36,Overview 36,2021-03-24,,1.3,1047,Returning Series,5,154
tv_0037,TV Show 37,Overview 37,2022-11-10,,6.7,1439,Returning Series,2,12
tv_0038,TV Show 38,Overview 38,2026-03-05,,10.0,3189,Returning Series,3,189
tv_0039,TV Show 39,Overview 39,2025-05-26,,2.8,4661,Ended,6,121
tv_0040,TV Show 40,Overview 40,2022-07-29,,2.7,4740,Ended,10,99
tv_0041,TV Show 41,Overview 41,2026-03-30,,8.1,3302,Returning Series,4,158
tv_0042,TV Show 42,Overview 42,2023-06-10,,6.8,2719,Ended,7,49
tv_0043,TV Show 43,Overview 43,2025-08-22,,5.5,1756,Ended,6,58
tv_0044,TV Show 44,Overview 44,2021-10-09,,4.1,1202,Ended,9,115
tv_0045,TV Show 45,Overview 45,2023-04-12,,3.7,1970,Returning Series,8,151
tv_0046,TV Show 46,Overview 46,2020-10-05,,3.5,1427,Returning Series,5,150
tv_0047,TV Show 47,Overview 47,2024-09-12,,4.9,4310,Ended,7,27
tv_0048,TV Show 48,Overview 48,2024-12-08,,8.2,4448,Ended,8,126
tv_0049,TV Show 49,Overview 49,2024-04-16,,9.0,3171,Ended,9,110
tv_0050,TV Show 50,Overview 50,2022-12-05,,1.2,4881,Ended,5,113
tv_0051,TV Show 51,Overview 51,2025-09-24,,8.8,4658,Returning Series,10,20
tv_0052,TV Show 52,Overview 52,2024-05-09,,4.0,3067,Ended,10,29
tv_0053,TV Show 53,Overview 53,2023-12-05,,4.2,1018,Ended,3,43
tv_0054,TV Show 54,Overview 54,2020-07-15,,5.4,2418,Ended,6,24
tv_0055,TV Show 55,Overview 55,2022-11-14,,8.0,1131,Returning Series,6,110
tv_0056,TV Show 56,Overview 56,2020-04-09,,5.3,836,Ended,4,52
tv_0057,TV Show 57,Overview 57,2026-07-29,,1.3,3966,Returning Series,10,109
tv_0058,TV Show 58,Overview 58,2020-03-30,,1.8,485,Ended,8,120
tv_0059,TV Show 59,Overview 59,2023-02-12,,4.7,639,Returning Series,9,93
tv_0060,TV Show 60,Overview 60,2025-10-24,,3.1,268,Returning Series,3,144
tv_0061,TV Show 61,Overview 61,2022-05-22,,3.5,2503,Returning Series,9,138
tv_0062,TV Show 62,Overview 62,2020-12-20,,5.7,3009,Ended,8,63
tv_0063,TV Show 63,Overview 63,2021-04-13,,5.9,3683,Ended,7,152
tv_0064,TV Show 64,Overview 64,2025-03-07,,1.9,1386,Returning Series,8,60
tv_0065,TV Show 65,Overview 65,2023-03-08,,8.3,4166,Ended,5,85
tv_0066,TV Show 66,Overview 66,2025-05-06,,4.3,2587,Returning Series,1,12
tv_0067,TV Show 67,Overview 67,2020-04-19,,9.7,4572,Returning Series,10,7
tv_0068,TV Show 68,Overview 68,2024-09-29,,8.8,1697,Ended,4,155
tv_0069,TV Show 69,Overview 69,2025-06-17,,7.4,2034,Ended,6,61
tv_0070,TV Show 70,Overview 70,2021-04-23,,6.8,4013,Ended,3,103
tv_0071,TV Show 71,Overview 71,2025-06-04,,9.5,1252,Returning Series,1,10
tv_0072,TV Show 72,Overview 72,2020-07-23,,2.5,3003,Ended,5,144
tv_0073,TV Show 73,Overview 73,2025-03-31,,5.6,2302,Ended,9,25
tv_0074,TV Show 74,Overview 74,2025-04-03,,1.3,3019,Ended,3,27
tv_0075,TV Show 75,Overview 75,2021-10-29,,9.4,2216,Ended,2,178
tv_0076,TV Show 76,Overview 76,2024-02-17,,9.7,4283,Ended,1,41
tv_0077,TV Show 77,Overview 77,2023-04-03,,3.4,1835,Ended,5,186
tv_0078,TV Show 78,Overview 78,2023-10-24,,2.6,64,Ended,3,182
tv_0079,TV Show 79,Overview 79,2020-05-12,,8.1,257,Ended,7,55
tv_0080,TV Show 80,Overview 80,2024-06-09,,2.2,2544,Returning Series,6,80
tv_0081,TV Show 81,Overview 81,2022-06-13,,6.7,3820,Returning Series,9,70
tv_0082,TV Show 82,Overview 82,2024-06-02,,1.9,221,Returning Series,9,150
tv_0083,TV Show 83,Overview 83,2020-04-22,,2.2,3456,Returning Series,8,71
tv_0084,TV Show 84,Overview 84,2021-06-12,,3.2,4328,Returning Series,8,23
tv_0085,TV Show 85,Overview 85,2023-10-12,,6.4,4286,Returning Series,7,103
tv_0086,TV Show 86,Overview 86,2024-04-06,,7.4,214,Returning Series,4,10
tv_0087,TV Show 87,Overview 87,2022-04-24,,4.5,3505,Returning Series,2,141
tv_0088,TV Show 88,Overview 88,2021-09-20,,5.7,4816,Ended,10,130
tv_0089,TV Show 89,Overview 89,2026-05-29,,5.7,1265,Returning Series,5,116
tv_0090,TV Show 90,Overview 90,2021-07-18,,9.1,4373,Returning Series,2,1
tv_0091,TV Show 91,Overview 91,2024-08-29,,8.0,2206,Ended,5,38
tv_0092,TV Show 92,Overview 92,2025-11-19,,3.1,3735,Returning Series,7,117
tv_0093,TV Show 93,Overview 93,2024-07-22,,4.6,2960,Returning Series,2,60
tv_0094,TV Show 94,Overview 94,2023-06-19,,1.5,805,Ended,5,25
tv_0095,TV Show 95,Overview 95,2024-12-05,,7.9,1794,Ended,6,20
tv_0096,TV Show 96,Overview 96,2020-04-22,,3.6,2605,Ended,5,8
tv_0097,TV Show 97,Overview 97,2023-06-02,,7.2,2297,Ended,2,52
tv_0098,TV Show 98,Overview 98,2020-03-20,,5.5,3908,Returning Series,6,99
tv_0099,TV Show 99,Overview 99,2020-09-08,,9.0,4680,Ended,5,61
tv_0100,TV Show 100,Overview 100,2026-03-26,,7.4,4767,Returning Series,1,101
tv_0101,TV Show 101,Overview 101,2025-06-11,,1.3,3311,Ended,10,195
tv_0102,TV Show 102,Overview 102,2023-05-25,,1.7,175,Returning Series,7,131
tv_0103,TV Show 103,Overview 103,2023-03-18,,9.2,2053,Ended,6,118
tv_0104,TV Show 104,Overview 104,2025-10-09,,4.1,3293,Returning Series,7,176
tv_0105,TV Show 105,Overview 105,2026-06-22,,4.8,1569,Returning Series,10,14
tv_0106,TV Show 106,Overview 106,2021-03-17,,1.8,3887,Ended,4,87
tv_0107,TV Show 107,Overview 107,2023-10-31,,3.5,3835,Returning Series,6,34
tv_0108,TV Show 108,Overview 108,2026-03-06,,4.3,4976,Returning Series,3,108
tv_0109,TV Show 109,Overview 109,2021-06-29,,4.8,3312,Returning Series,1,150
tv_0110,TV Show 110,Overview 110,2026-03-08,,1.9,4127,Ended,3,194
tv_0111,TV Show 111,Overview 111,2022-05-18,,6.3,1370,Returning Series,7,32
tv_0112,TV Show 112,Overview 112,2021-09-28,,5.6,2862,Returning Series,4,100
tv_0113,TV Show 113,Overview 113,2020-03-24,,6.8,4018,Ended,9,126
tv_0114,TV Show 114,Overview 114,2025-04-14,,2.0,4666,Ended,3,123
tv_0115,TV Show 115,Overview 115,2023-01-25,,1.1,813,Returning Series,8,31
tv_0116,TV Show 116,Overview 116,2024-02-04,,3.8,776,Ended,1,136
tv_0117,TV Show 117,Overview 117,2022-07-21,,2.2,916,Ended,6,152
tv_0118,TV Show 118,Overview 118,2021-04-11,,3.3,3450,Ended,6,80
tv_0119,TV Show 119,Overview 119,2021-04-17,,6.9,3731,Ended,2,37
tv_0120,TV Show 120,Overview 120,2020-07-02,,3.7,73,Returning Series,6,119
tv_0121,TV Show 121,Overview 121,2024-08-09,,1.8,3709,Returning Series,10,62
tv_0122,TV Show 122,Overview 122,2023-05-06,,7.1,4186,Ended,6,28
tv_0123,TV Show 123,Overview 123,2025-11-23,,9.2,4494,Returning Series,3,48
tv_0124,TV Show 124,Overview 124,2021-06-29,,6.0,4332,Returning Series,10,21
tv_0125,TV Show 125,Overview 125,2021-10-08,,8.8,1641,Returning Series,6,155
tv_0126,TV Show 126,Overview 126,2023-05-06,,1.5,306,Ended,6,95
tv_0127,TV Show 127,Overview 127,2022-01-01,,1.9,4831,Returning Series,1,177
tv_0128,TV Show 128,Overview 128,2024-03-12,,4.9,1578,Ended,2,96
tv_0129,TV Show 129,Overview 129,2023-08-05,,9.2,466,Returning Series,10,196
tv_0130,TV Show 130,Overview 130,2020-01-05,,1.4,4501,Ended,1,14
tv_0131,TV Show 131,Overview 131,2025-06-20,,2.5,3143,Ended,3,27
tv_0132,TV Show 132,Overview 132,2022-12-08,,7.5,555,Ended,8,167
tv_0133,TV Show 133,Overview 133,2026-04-12,,8.3,321,Ended,7,132
tv_0134,TV Show 134,Overview 134,2021-02-09,,9.2,3968,Returning Series,8,45
tv_0135,TV Show 135,Overview 135,2025-04-15,,9.3,4434,Ended,6,35
tv_0136,TV Show 136,Overview 136,2026-09-03,,4.9,4051,Ended,9,135
tv_0137,TV Show 137,Overview 137,2026-02-22,,9.1,3588,Ended,10,79
tv_0138,TV Show 138,Overview 138,2021-05-30,,6.2,2657,Returning Series,5,116
tv_0139,TV Show 139,Overview 139,2021-12-16,,5.4,4306,Ended,10,187
tv_0140,TV Show 140,Overview 140,2020-04-04,,1.9,2363,Ended,4,153
tv_0141,TV Show 141,Overview 141,2022-10-08,,9.4,4621,Returning Series,8,42
tv_0142,TV Show 142,Overview 142,2020-03-02,,2.6,1064,Returning Series,6,59
tv_0143,TV Show 143,Overview 143,2025-03-27,,9.5,3489,Ended,6,43
tv_0144,TV Show 144,Overview 144,2024-02-04,,9.1,1216,Ended,8,103
tv_0145,TV Show 145,Overview 145,2020-01-23,,6.8,4825,Ended,1,149
tv_0146,TV Show 146,Overview 146,2025-04-30,,9.5,2401,Ended,9,92
tv_0147,TV Show 147,Overview 147,2022-08-19,,5.5,3511,Returning Series,1,52
tv_0148,TV Show 148,Overview 148,2024-08-23,,8.2,825,Ended,1,61
tv_0149,TV Show 149,Overview 149,2021-08-09,,1.4,2309,Ended,3,21
