id,name,known_for_department,gender,popularity
pp_0073,Person 73,Directing,89.6,0
pp_0074,Person 74,Directing,38.7,0
pp_0075,Person 75,Directing,35.1,0
pp_0076,Person 76,Directing,68.4,0
pp_0077,Person 77,Acting,56.6,0
pp_0078,Person 78,Acting,79.7,1
pp_0079,Person 79,Acting,53.7,0
pp_0080,Person 80,Directing,49.7,0
pp_0081,Person 81,Directing,88.6,1
pp_0082,Person 82,Acting,88.0,0
pp_0083,Person 83,Directing,50.9,1
pp_0084,Person 84,Directing,66.3,1
pp_0085,Person 85,Acting,35.3,2
pp_0086,Person 86,Directing,82.7,1
pp_0087,Person 87,Directing,46.8,1
pp_0088,Person 88,Acting,1.1,0
pp_0089,Person 89,Directing,67.2,1
pp_0090,Person 90,Acting,3.8,0
pp_0091,Person 91,Acting,92.7,0
pp_0092,Person 92,Acting,69.8,2
pp_0093,Person 93,Acting,77.5,1
pp_0094,Person 94,Directing,66.4,1
pp_0095,Person 95,Directing,78.0,2
pp_0096,Person 96,Acting,39.7,0
pp_0097,Person 97,Acting,62.0,2
pp_0098,Person 98,Directing,43.3,1
pp_0099,Person 99,Acting,93.2,2
pp_0100,Person 100,Acting,95.1,2
pp_0101,Person 101,Acting,26.3,2
pp_0102,Person 102,Acting,98.9,2
pp_0103,Person 103,Acting,33.1,1
pp_0104,Person 104,Acting,60.5,1
pp_0105,Person 105,Acting,88.1,1
pp_0106,Person 106,Acting,24.8,2
pp_0107,Person 107,Acting,92.2,0
pp_0108,Person 108,Directing,80.6,0
pp_0109,Person 109,Acting,46.1,2
pp_0110,Person 110,Directing,99.8,1
pp_0111,Person 111,Directing,65.3,2
pp_0112,Person 112,Directing,89.6,0
pp_0113,Person 113,Acting,44.8,1
pp_0114,Person 114,Directing,24.8,0
pp_0115,Person 115,Directing,91.8,2
pp_0116,Person 116,Directing,97.4,2
pp_0117,Person 117,Directing,27.0,1
pp_0118,Person 118,Directing,8.3,1
pp_0119,Person 119,Directing,1.9,1
pp_0120,Person 120,Directing,57.2,0
pp_0121,Person 121,Acting,26.1,2
pp_0122,Person 122,Acting,46.1,1
pp_0123,Person 123,Directing,29.6,0
pp_0124,Person 124,Directing,52.0,2
pp_0125,Person 125,Directing,9.0,2
pp_0126,Person 126,Acting,60.5,1
pp_0127,Person 127,Directing,26.8,0
pp_0128,Person 128,Directing,86.8,1
pp_0129,Person 129,Directing,53.1,1
pp_0130,Person 130,Directing,64.8,0
pp_0131,Person 131,Directing,96.9,2
pp_0132,Person 132,Acting,72.3,0
pp_0133,Person 133,Acting,12.7,2
pp_0134,Person 134,Directing,40.7,0
pp_0135,Person 135,Directing,4.9,0
pp_0136,Person 136,Directing,95.8,2
pp_0137,Person 137,Directing,75.1,1
pp_0138,Person 138,Directing,15.4,1
pp_0139,Person 139,Acting,91.4,2
pp_0140,Person 140,Acting,43.8,2
pp_0141,Person 141,Acting,7.8,0
pp_0142,Person 142,Directing,76.3,1
pp_0143,Person 143,Acting,27.1,2
pp_0144,Person 144,Acting,28.9,0
pp_0145,Person 145,Acting,78.9,2
pp_0146,Person 146,Directing,47.0,0
pp_0147,Person 147,Acting,30.1,1
pp_0148,Person 148,Directing,13.4,2
pp_0149,Person 149,Acting,21.8,2
