id,subject,description,status,priority,requester_id,responder_id,type,tags,created_at,updated_at
fdt_0079,Ticket 79,Description 79,2,3,fdc_0140,fda_0145,Incident,,2026-01-30T02:39:45Z,2026-09-08T16:21:22Z
fdt_0080,Ticket 80,Description 80,5,1,fdc_0111,fda_0123,Incident,,2026-05-22T21:10:35Z,2026-10-14T10:37:49Z
fdt_0081,Ticket 81,Description 81,3,4,fdc_0077,fda_0049,Incident,,2026-06-02T09:58:29Z,2026-02-14T12:18:02Z
fdt_0082,Ticket 82,Description 82,5,1,fdc_0123,fda_0005,Question,,2026-04-26T19:39:06Z,2026-03-16T01:19:57Z
fdt_0083,Ticket 83,Description 83,4,1,fdc_0048,fda_0083,Problem,,2026-09-21T08:46:52Z,2026-05-25T07:23:54Z
fdt_0084,Ticket 84,Description 84,3,1,fdc_0004,fda_0023,Problem,,2026-09-13T01:46:01Z,2026-02-16T15:17:04Z
fdt_0085,Ticket 85,Description 85,3,3,fdc_0098,fda_0145,Problem,,2026-02-10T01:24:18Z,2026-05-27T20:21:47Z
fdt_0086,Ticket 86,Description 86,4,4,fdc_0000,fda_0122,Problem,,2026-06-15T20:53:29Z,2026-02-01T13:22:28Z
fdt_0087,Ticket 87,Description 87,5,1,fdc_0068,fda_0103,Incident,,2026-05-04T01:18:40Z,2026-02-26T09:40:42Z
fdt_0088,Ticket 88,Description 88,4,2,fdc_0101,fda_0079,Problem,,2026-06-15T20:38:41Z,2026-02-04T00:44:37Z
fdt_0089,Ticket 89,Description 89,5,2,fdc_0144,fda_0063,Problem,,2026-07-04T16:31:19Z,2026-04-15T12:11:54Z
fdt_0090,Ticket 90,Description 90,4,3,fdc_0058,fda_0130,Question,,2026-04-19T12:48:07Z,2026-07-02T23:59:17Z
fdt_0091,Ticket 91,Description 91,2,1,fdc_0143,fda_0012,Problem,,2026-02-03T15:08:01Z,2026-07-25T03:06:29Z
fdt_0092,Ticket 92,Description 92,2,3,fdc_0065,fda_0012,Question,,2026-03-01T09:56:10Z,2026-05-27T15:54:01Z
fdt_0093,Ticket 93,Description 93,3,1,fdc_0094,fda_0064,Incident,,2026-08-03T17:51:56Z,2026-05-23T22:58:15Z
fdt_0094,Ticket 94,Description 94,4,2,fdc_0118,fda_0109,Incident,,2026-10-03T06:01:15Z,2026-06-20T09:43:44Z
fdt_0095,Ticket 95,Description 95,3,2,fdc_0050,fda_0148,Incident,,2026-02-12T03:30:08Z,2026-10-10T12:07:48Z
fdt_0096,Ticket 96,Description 96,5,3,fdc_0055,fda_0039,Problem,,2026-04-18T03:43:29Z,2026-07-07T10:07:42Z
fdt_0097,Ticket 97,Description 97,3,1,fdc_0104,fda_0016,Incident,,2026-09-20T18:19:50Z,2026-06-21T03:12:10Z
fdt_0098,Ticket 98,Description 98,3,1,fdc_0048,fda_0118,Problem,,2026-08-09T12:49:31Z,2026-10-13T12:39:53Z
fdt_0099,Ticket 99,Description 99,3,4,fdc_0025,fda_0095,Question,,2026-04-24T05:39:08Z,2026-04-19T13:32:25Z
fdt_0100,Ticket 100,Description 100,2,4,fdc_0035,fda_0138,Problem,,2026-06-14T18:04:57Z,2026-06-07T12:55:17Z
fdt_0101,Ticket 101,Description 101,4,1,fdc_0035,fda_0091,Problem,,2026-04-27T07:01:47Z,2026-02-17T15:07:46Z
fdt_0102,Ticket 102,Description 102,4,2,fdc_0028,fda_0057,Question,,2026-06-17T12:00:31Z,2026-10-13T00:07:10Z
fdt_0103,Ticket 103,Description 103,4,3,fdc_0024,fda_0097,Question,,2026-09-13T00:04:06Z,2026-06-09T14:00:30Z
fdt_0104,Ticket 104,Description 104,4,4,fdc_0114,fda_0055,Problem,,2026-02-24T08:41:38Z,2026-06-27T21:41:02Z
fdt_0105,Ticket 105,Description 105,2,4,fdc_0051,fda_0147,Problem,,2026-01-18T04:07:02Z,2026-08-13T08:31:09Z
fdt_0106,Ticket 106,Description 106,4,4,fdc_0129,fda_0130,Problem,,2026-06-20T16:37:50Z,2026-06-22T16:59:58Z
fdt_0107,Ticket 107,Description 107,3,3,fdc_0088,fda_0006,Problem,,2026-04-17T13:53:04Z,2026-07-07T05:42:15Z
fdt_0108,Ticket 108,Description 108,2,3,fdc_0044,fda_0111,Question,,2026-04-28T19:28:20Z,2026-01-22T20:29:00Z
fdt_0109,Ticket 109,Description 109,3,1,fdc_0024,fda_0036,Incident,,2026-04-18T03:12:09Z,2026-08-22T02:03:34Z
fdt_0110,Ticket 110,Description 110,3,3,fdc_0148,fda_0086,Incident,,2026-01-05T09:51:15Z,2026-08-17T08:26:14Z
fdt_0111,Ticket 111,Description 111,3,2,fdc_0142,fda_0050,Problem,,2026-06-29T06:47:48Z,2026-03-20T02:28:28Z
fdt_0112,Ticket 112,Description 112,3,2,fdc_0127,fda_0124,Problem,,2026-06-23T07:05:10Z,2026-06-08T05:55:31Z
fdt_0113,Ticket 113,Description 113,2,2,fdc_0091,fda_0131,Question,,2026-04-24T07:23:31Z,2026-09-24T04:23:04Z
fdt_0114,Ticket 114,Description 114,4,3,fdc_0094,fda_0018,Question,,2026-06-17T09:02:20Z,2026-09-01T09:08:04Z
fdt_0115,Ticket 115,Description 115,4,3,fdc_0060,fda_0082,Incident,,2026-03-24T02:16:53Z,2026-05-22T11:11:02Z
fdt_0116,Ticket 116,Description 116,2,1,fdc_0043,fda_0005,Incident,,2026-01-07T06:09:29Z,2026-08-06T16:19:11Z
fdt_0117,Ticket 117,Description 117,4,4,fdc_0078,fda_0145,Incident,,2026-03-26T02:37:36Z,2026-03-27T11:32:32Z
fdt_0118,Ticket 118,Description 118,5,4,fdc_0040,fda_0128,Incident,,2026-01-30T17:51:42Z,2026-04-19T04:51:23Z
fdt_0119,Ticket 119,Description 119,2,4,fdc_0031,fda_0104,Question,,2026-08-02T19:25:08Z,2026-05-16T01:13:12Z
fdt_0120,Ticket 120,Description 120,3,3,fdc_0112,fda_0000,Question,,2026-05-31T13:33:53Z,2026-02-22T12:05:46Z
fdt_0121,Ticket 121,Description 121,3,4,fdc_0084,fda_0019,Question,,2026-01-09T21:54:40Z,2026-10-04T23:59:04Z
fdt_0122,Ticket 122,Description 122,4,3,fdc_0089,fda_0105,Problem,,2026-10-07T19:20:35Z,2026-06-24T09:47:55Z
fdt_0123,Ticket 123,Description 123,3,3,fdc_0057,fda_0138,Problem,,2026-02-19T19:28:45Z,2026-10-09T14:27:10Z
fdt_0124,Ticket 124,Description 124,2,4,fdc_0148,fda_0139,Problem,,2026-05-16T02:44:15Z,2026-02-14T20:51:54Z
fdt_0125,Ticket 125,Description 125,5,1,fdc_0093,fda_0023,Problem,,2026-01-18T13:49:41Z,2026-08-10T18:30:45Z
fdt_0126,Ticket 126,Description 126,3,3,fdc_0036,fda_0115,Problem,,2026-08-19T02:05:01Z,2026-02-09T19:13:56Z
fdt_0127,Ticket 127,Description 127,4,1,fdc_0045,fda_0031,Incident,,2026-09-09T21:30:51Z,2026-06-10T06:12:44Z
fdt_0128,Ticket 128,Description 128,4,4,fdc_0141,fda_0010,Question,,2026-07-01T02:47:58Z,2026-09-12T20:18:38Z
fdt_0129,Ticket 129,Description 129,4,1,fdc_0086,fda_0119,Incident,,2026-02-23T10:08:32Z,2026-06-25T08:53:16Z
fdt_0130,Ticket 130,Description 130,2,4,fdc_0092,fda_0034,Incident,,2026-10-01T13:59:26Z,2026-08-11T02:48:05Z
fdt_0131,Ticket 131,Description 131,5,4,fdc_0134,fda_0139,Problem,,2026-09-21T01:51:36Z,2026-06-01T15:03:23Z
fdt_0132,Ticket 132,Description 132,5,3,fdc_0113,fda_0031,Incident,,2026-10-12T04:09:02Z,2026-01-14T16:54:06Z
fdt_0133,Ticket 133,Description 133,5,3,fdc_0077,fda_0121,Question,,2026-09-18T09:27:12Z,2026-10-03T01:09:57Z
fdt_0134,Ticket 134,Description 134,5,2,fdc_0140,fda_0104,Question,,2026-05-29T18:12:09Z,2026-09-18T06:19:18Z
fdt_0135,Ticket 135,Description 135,5,2,fdc_0005,fda_0121,Incident,,2026-03-08T19:40:58Z,2026-03-08T11:30:24Z
fdt_0136,Ticket 136,Description 136,2,1,fdc_0137,fda_0069,Incident,,2026-05-18T12:51:59Z,2026-04-10T22:32:47Z
fdt_0137,Ticket 137,Description 137,3,3,fdc_0053,fda_0095,Problem,,2026-06-06T15:48:40Z,2026-02-04T08:52:29Z
fdt_0138,Ticket 138,Description 138,2,1,fdc_0132,fda_0099,Question,,2026-01-08T00:25:11Z,2026-06-26T03:34:40Z
fdt_0139,Ticket 139,Description 139,2,2,fdc_0074,fda_0084,Question,,2026-05-02T05:29:12Z,2026-01-28T08:51:01Z
fdt_0140,Ticket 140,Description 140,5,1,fdc_0018,fda_0003,Incident,,2026-06-20T05:45:05Z,2026-02-21T02:12:22Z
fdt_0141,Ticket 141,Description 141,3,4,fdc_0009,fda_0065,Question,,2026-04-01T16:41:21Z,2026-04-08T17:38:59Z
fdt_0142,Ticket 142,Description 142,2,1,fdc_0011,fda_0072,Problem,,2026-09-16T13:55:19Z,2026-02-03T00:57:16Z
fdt_0143,Ticket 143,Description 143,3,2,fdc_0077,fda_0034,Problem,,2026-05-24T23:37:30Z,2026-01-24T05:57:03Z
fdt_0144,Ticket 144,Description 144,3,3,fdc_0002,fda_0128,Problem,,2026-05-04T02:17:28Z,2026-09-08T09:35:49Z
fdt_0145,Ticket 145,Description 145,2,1,fdc_0120,fda_0090,Problem,,2026-07-22T21:57:04Z,2026-03-28T04:17:49Z
fdt_0146,Ticket 146,Description 146,3,1,fdc_0147,fda_0104,Question,,2026-01-07T20:29:21Z,2026-01-31T07:54:47Z
fdt_0147,Ticket 147,Description 147,2,3,fdc_0139,fda_0045,Question,,2026-03-17T02:18:20Z,2026-06-26T16:57:58Z
fdt_0148,Ticket 148,Description 148,5,2,fdc_0132,fda_0009,Incident,,2026-03-08T22:01:02Z,2026-02-17T19:45:57Z
fdt_0149,Ticket 149,Description 149,3,1,fdc_0101,fda_0080,Question,,2026-08-23T03:23:43Z,2026-08-29T21:41:19Z
