sys_id,number,short_description,description,state,priority,assigned_to,opened_by,opened_at,related_incident
sys-prob-46,PRB0001046,Problem 44,Root cause analysis.,Open,4,it-agent-2,user-44,2026-01-18,
sys-prob-47,PRB0001047,Problem 45,Root cause analysis.,In Progress,2,it-agent-2,user-45,2026-02-19,
sys-prob-48,PRB0001048,Problem 46,Root cause analysis.,In Progress,2,it-agent-2,user-46,2026-03-20,
sys-prob-49,PRB0001049,Problem 47,Root cause analysis.,Resolved,4,it-agent-2,user-47,2026-04-21,
sys-prob-50,PRB0001050,Problem 48,Root cause analysis.,Resolved,3,it-agent-2,user-48,2026-05-22,
sys-prob-51,PRB0001051,Problem 49,Root cause analysis.,Open,2,it-agent-2,user-49,2026-06-23,
sys-prob-52,PRB0001052,Problem 50,Root cause analysis.,In Progress,4,it-agent-2,user-50,2026-07-24,
sys-prob-53,PRB0001053,Problem 51,Root cause analysis.,In Progress,3,it-agent-2,user-51,2026-08-25,
sys-prob-54,PRB0001054,Problem 52,Root cause analysis.,Resolved,4,it-agent-2,user-52,2026-09-26,
sys-prob-55,PRB0001055,Problem 53,Root cause analysis.,In Progress,4,it-agent-2,user-53,2026-10-27,
sys-prob-56,PRB0001056,Problem 54,Root cause analysis.,Resolved,3,it-agent-2,user-54,2026-11-01,
sys-prob-57,PRB0001057,Problem 55,Root cause analysis.,Resolved,2,it-agent-2,user-55,2026-01-02,
sys-prob-58,PRB0001058,Problem 56,Root cause analysis.,Resolved,2,it-agent-2,user-56,2026-02-03,
sys-prob-59,PRB0001059,Problem 57,Root cause analysis.,In Progress,3,it-agent-2,user-57,2026-03-04,
sys-prob-60,PRB0001060,Problem 58,Root cause analysis.,Resolved,4,it-agent-2,user-58,2026-04-05,
sys-prob-61,PRB0001061,Problem 59,Root cause analysis.,Resolved,3,it-agent-2,user-59,2026-05-06,
sys-prob-62,PRB0001062,Problem 60,Root cause analysis.,In Progress,2,it-agent-2,user-60,2026-06-07,
sys-prob-63,PRB0001063,Problem 61,Root cause analysis.,Open,4,it-agent-2,user-61,2026-07-08,
sys-prob-64,PRB0001064,Problem 62,Root cause analysis.,Resolved,2,it-agent-2,user-62,2026-08-09,
sys-prob-65,PRB0001065,Problem 63,Root cause analysis.,Open,3,it-agent-2,user-63,2026-09-10,
sys-prob-66,PRB0001066,Problem 64,Root cause analysis.,In Progress,3,it-agent-2,user-64,2026-10-11,
sys-prob-67,PRB0001067,Problem 65,Root cause analysis.,In Progress,3,it-agent-2,user-65,2026-11-12,
sys-prob-68,PRB0001068,Problem 66,Root cause analysis.,Open,3,it-agent-2,user-66,2026-01-13,
sys-prob-69,PRB0001069,Problem 67,Root cause analysis.,Open,4,it-agent-2,user-67,2026-02-14,
sys-prob-70,PRB0001070,Problem 68,Root cause analysis.,Open,2,it-agent-2,user-68,2026-03-15,
sys-prob-71,PRB0001071,Problem 69,Root cause analysis.,In Progress,2,it-agent-2,user-69,2026-04-16,
sys-prob-72,PRB0001072,Problem 70,Root cause analysis.,Open,3,it-agent-2,user-70,2026-05-17,
sys-prob-73,PRB0001073,Problem 71,Root cause analysis.,In Progress,2,it-agent-2,user-71,2026-06-18,
sys-prob-74,PRB0001074,Problem 72,Root cause analysis.,Open,2,it-agent-2,user-72,2026-07-19,
sys-prob-75,PRB0001075,Problem 73,Root cause analysis.,Open,4,it-agent-2,user-73,2026-08-20,
sys-prob-76,PRB0001076,Problem 74,Root cause analysis.,In Progress,2,it-agent-2,user-74,2026-09-21,
sys-prob-77,PRB0001077,Problem 75,Root cause analysis.,Open,3,it-agent-2,user-75,2026-10-22,
sys-prob-78,PRB0001078,Problem 76,Root cause analysis.,Resolved,4,it-agent-2,user-76,2026-11-23,
sys-prob-79,PRB0001079,Problem 77,Root cause analysis.,In Progress,2,it-agent-2,user-77,2026-01-24,
sys-prob-80,PRB0001080,Problem 78,Root cause analysis.,In Progress,2,it-agent-2,user-78,2026-02-25,
sys-prob-81,PRB0001081,Problem 79,Root cause analysis.,Open,2,it-agent-2,user-79,2026-03-26,
sys-prob-82,PRB0001082,Problem 80,Root cause analysis.,Resolved,4,it-agent-2,user-80,2026-04-27,
sys-prob-83,PRB0001083,Problem 81,Root cause analysis.,In Progress,4,it-agent-2,user-81,2026-05-01,
sys-prob-84,PRB0001084,Problem 82,Root cause analysis.,Resolved,4,it-agent-2,user-82,2026-06-02,
sys-prob-85,PRB0001085,Problem 83,Root cause analysis.,In Progress,3,it-agent-2,user-83,2026-07-03,
sys-prob-86,PRB0001086,Problem 84,Root cause analysis.,Resolved,4,it-agent-2,user-84,2026-08-04,
sys-prob-87,PRB0001087,Problem 85,Root cause analysis.,Resolved,2,it-agent-2,user-85,2026-09-05,
sys-prob-88,PRB0001088,Problem 86,Root cause analysis.,In Progress,2,it-agent-2,user-86,2026-10-06,
sys-prob-89,PRB0001089,Problem 87,Root cause analysis.,Resolved,4,it-agent-2,user-87,2026-11-07,
sys-prob-90,PRB0001090,Problem 88,Root cause analysis.,Open,4,it-agent-2,user-88,2026-01-08,
sys-prob-91,PRB0001091,Problem 89,Root cause analysis.,Resolved,3,it-agent-2,user-89,2026-02-09,
sys-prob-92,PRB0001092,Problem 90,Root cause analysis.,Open,2,it-agent-2,user-90,2026-03-10,
sys-prob-93,PRB0001093,Problem 91,Root cause analysis.,Resolved,2,it-agent-2,user-91,2026-04-11,
sys-prob-94,PRB0001094,Problem 92,Root cause analysis.,Resolved,4,it-agent-2,user-92,2026-05-12,
sys-prob-95,PRB0001095,Problem 93,Root cause analysis.,Open,4,it-agent-2,user-93,2026-06-13,
sys-prob-96,PRB0001096,Problem 94,Root cause analysis.,Resolved,4,it-agent-2,user-94,2026-07-14,
sys-prob-97,PRB0001097,Problem 95,Root cause analysis.,Open,3,it-agent-2,user-95,2026-08-15,
sys-prob-98,PRB0001098,Problem 96,Root cause analysis.,In Progress,4,it-agent-2,user-96,2026-09-16,
sys-prob-99,PRB0001099,Problem 97,Root cause analysis.,Resolved,2,it-agent-2,user-97,2026-10-17,
sys-prob-100,PRB0001100,Problem 98,Root cause analysis.,Open,4,it-agent-2,user-98,2026-11-18,
sys-prob-101,PRB0001101,Problem 99,Root cause analysis.,In Progress,2,it-agent-2,user-99,2026-01-19,
sys-prob-102,PRB0001102,Problem 100,Root cause analysis.,Resolved,2,it-agent-2,user-100,2026-02-20,
sys-prob-103,PRB0001103,Problem 101,Root cause analysis.,Open,3,it-agent-2,user-101,2026-03-21,
sys-prob-104,PRB0001104,Problem 102,Root cause analysis.,Resolved,3,it-agent-2,user-102,2026-04-22,
sys-prob-105,PRB0001105,Problem 103,Root cause analysis.,In Progress,4,it-agent-2,user-103,2026-05-23,
sys-prob-106,PRB0001106,Problem 104,Root cause analysis.,Resolved,4,it-agent-2,user-104,2026-06-24,
sys-prob-107,PRB0001107,Problem 105,Root cause analysis.,Resolved,3,it-agent-2,user-105,2026-07-25,
sys-prob-108,PRB0001108,Problem 106,Root cause analysis.,Open,3,it-agent-2,user-106,2026-08-26,
sys-prob-109,PRB0001109,Problem 107,Root cause analysis.,In Progress,4,it-agent-2,user-107,2026-09-27,
sys-prob-110,PRB0001110,Problem 108,Root cause analysis.,Open,2,it-agent-2,user-108,2026-10-01,
