id,identifier,number,title,description,priority,estimate,stateId,assigneeId,teamId,projectId,cycleId,labelIds,dueDate,sortOrder,branchName,createdAt,updatedAt,startedAt,completedAt,canceledAt
lin_018,GRE-18,18,Book test seat - March 28,Reserve ETS slot in Portland morning,4,4,state_backlog,user_midori,team_gre,,,,,1800,midori/gre-18-book-test,2025-08-30T08:00:00.000Z,2026-05-07T08:00:00.000Z,,,
lin_019,HOME-19,19,Get firewood delivered before snow,Order 2 cords from Cascade Firewood,1,1,state_done,user_midori,team_home,,,,,1900,midori/home-19-get-firewood,2026-01-11T08:00:00.000Z,2026-05-01T08:00:00.000Z,2026-01-12T09:00:00.000Z,2026-05-01T07:30:00.000Z,
lin_020,GRE-20,20,Reading comp drills,3 passages timed,1,5,state_backlog,user_midori,team_gre,,,,,2000,midori/gre-20-reading-comp,2026-07-21T08:00:00.000Z,2026-10-07T08:00:00.000Z,,,
lin_021,HOME-21,21,Reconcile green notebook,Match handwritten expenses to bank,4,1,state_in_progress,user_midori,team_home,,,,2026-07-18,2100,midori/home-21-reconcile-green,2026-07-03T08:00:00.000Z,2026-08-18T08:00:00.000Z,2026-07-04T09:00:00.000Z,,
lin_022,GRE-22,22,Review error log week 5,Redo missed quant problems,3,4,state_in_progress,user_midori,team_gre,,,,2025-12-25,2200,midori/gre-22-review-error,2025-12-03T08:00:00.000Z,2025-12-21T08:00:00.000Z,2025-12-04T09:00:00.000Z,,
lin_023,HOME-23,23,Renew vet tech license,Submit CE hours and renewal fee,4,4,state_backlog,user_midori,team_home,,,,2026-10-11,2300,midori/home-23-renew-vet,2026-09-15T08:00:00.000Z,2026-10-14T08:00:00.000Z,,,
lin_024,HOME-24,24,Winterize trailer,"Drain water, check tires, grease bearings",3,2,state_backlog,user_midori,team_home,,,,,2400,midori/home-24-winterize-trailer,2025-10-19T08:00:00.000Z,2026-01-04T08:00:00.000Z,,,
lin_025,GRE-25,25,Review error log week 5,Redo missed quant problems,3,1,state_todo,user_midori,team_gre,,,,2025-09-21,2500,midori/gre-25-review-error,2025-09-09T08:00:00.000Z,2026-07-31T08:00:00.000Z,,,
lin_026,GRE-26,26,PowerPrep 1 - timed,Sunday morning timed practice test,1,5,state_done,user_midori,team_gre,,,,,2600,midori/gre-26-powerprep-1,2026-05-17T08:00:00.000Z,2026-05-18T08:00:00.000Z,2026-05-18T09:00:00.000Z,2026-05-18T07:30:00.000Z,
lin_027,GRE-27,27,Book test seat - March 28,Reserve ETS slot in Portland morning,1,4,state_in_progress,user_midori,team_gre,,,,,2700,midori/gre-27-book-test,2026-01-20T08:00:00.000Z,2026-04-14T08:00:00.000Z,2026-01-21T09:00:00.000Z,,
lin_028,GRE-28,28,Review error log week 5,Redo missed quant problems,1,2,state_backlog,user_midori,team_gre,,,,2026-02-05,2800,midori/gre-28-review-error,2026-01-21T08:00:00.000Z,2026-03-10T08:00:00.000Z,,,
lin_029,HOME-29,29,Renew vet tech license,Submit CE hours and renewal fee,4,4,state_done,user_midori,team_home,,,,,2900,midori/home-29-renew-vet,2025-10-20T08:00:00.000Z,2026-01-06T08:00:00.000Z,2025-10-21T09:00:00.000Z,2026-01-06T07:30:00.000Z,
lin_030,HOME-30,30,Fix barn gutter,Replace bent section on east side,2,3,state_in_progress,user_midori,team_home,,,,2026-05-01,3000,midori/home-30-fix-barn,2026-04-24T08:00:00.000Z,2026-08-17T08:00:00.000Z,2026-04-25T09:00:00.000Z,,
lin_031,HOME-31,31,Fix barn gutter,Replace bent section on east side,2,2,state_backlog,user_midori,team_home,,,,,3100,midori/home-31-fix-barn,2025-10-14T08:00:00.000Z,2026-08-22T08:00:00.000Z,,,
lin_032,HOME-32,32,Get firewood delivered before snow,Order 2 cords from Cascade Firewood,3,4,state_backlog,user_midori,team_home,,,,2026-03-10,3200,midori/home-32-get-firewood,2026-01-30T08:00:00.000Z,2026-08-29T08:00:00.000Z,,,
lin_033,HOME-33,33,Fix barn gutter,Replace bent section on east side,1,4,state_backlog,user_midori,team_home,,,,2025-09-28,3300,midori/home-33-fix-barn,2025-09-06T08:00:00.000Z,2026-05-12T08:00:00.000Z,,,
lin_034,HOME-34,34,Winterize trailer,"Drain water, check tires, grease bearings",2,4,state_backlog,user_midori,team_home,,,,2026-09-22,3400,midori/home-34-winterize-trailer,2026-09-06T08:00:00.000Z,2026-09-21T08:00:00.000Z,,,
lin_035,GRE-35,35,Book test seat - March 28,Reserve ETS slot in Portland morning,2,1,state_todo,user_midori,team_gre,,,,2026-06-27,3500,midori/gre-35-book-test,2026-05-23T08:00:00.000Z,2026-10-07T08:00:00.000Z,,,
lin_036,HOME-36,36,Get firewood delivered before snow,Order 2 cords from Cascade Firewood,4,2,state_done,user_midori,team_home,,,,,3600,midori/home-36-get-firewood,2026-05-04T08:00:00.000Z,2026-09-01T08:00:00.000Z,2026-05-05T09:00:00.000Z,2026-09-01T07:30:00.000Z,
lin_037,HOME-37,37,Snow tires on truck,Schedule with Robberson by Nov 1,2,1,state_in_progress,user_midori,team_home,,,,2026-07-20,3700,midori/home-37-snow-tires,2026-07-12T08:00:00.000Z,2026-10-12T08:00:00.000Z,2026-07-13T09:00:00.000Z,,
lin_038,HOME-38,38,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,1,4,state_backlog,user_midori,team_home,,,,2026-08-18,3800,midori/home-38-schedule-shed,2026-07-14T08:00:00.000Z,2026-08-19T08:00:00.000Z,,,
lin_039,HOME-39,39,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,1,5,state_done,user_midori,team_home,,,,,3900,midori/home-39-service-plow,2025-08-30T08:00:00.000Z,2026-04-08T08:00:00.000Z,2025-08-31T09:00:00.000Z,2026-04-08T07:30:00.000Z,
lin_040,HOME-40,40,Fix barn gutter,Replace bent section on east side,3,1,state_backlog,user_midori,team_home,,,,,4000,midori/home-40-fix-barn,2026-08-06T08:00:00.000Z,2026-09-06T08:00:00.000Z,,,
lin_041,GRE-41,41,Book test seat - March 28,Reserve ETS slot in Portland morning,2,3,state_backlog,user_midori,team_gre,,,,,4100,midori/gre-41-book-test,2025-08-29T08:00:00.000Z,2026-07-11T08:00:00.000Z,,,
lin_042,HOME-42,42,Get firewood delivered before snow,Order 2 cords from Cascade Firewood,3,4,state_backlog,user_midori,team_home,,,,,4200,midori/home-42-get-firewood,2025-12-13T08:00:00.000Z,2026-07-23T08:00:00.000Z,,,
lin_043,GRE-43,43,Manhattan 5lb - quant ch 12,Sections 12.1-12.4 ratios/percent,1,2,state_done,user_midori,team_gre,,,,,4300,midori/gre-43-manhattan-5lb,2026-08-01T08:00:00.000Z,2026-09-16T08:00:00.000Z,2026-08-02T09:00:00.000Z,2026-09-16T07:30:00.000Z,
lin_044,HOME-44,44,Winterize trailer,"Drain water, check tires, grease bearings",1,2,state_in_progress,user_midori,team_home,,,,2026-05-30,4400,midori/home-44-winterize-trailer,2026-05-04T08:00:00.000Z,2026-10-01T08:00:00.000Z,2026-05-05T09:00:00.000Z,,
lin_045,GRE-45,45,Request DVM prereq transcripts,Email registrar for sealed copies,4,4,state_done,user_midori,team_gre,,,,2025-09-20,4500,midori/gre-45-request-dvm,2025-08-12T08:00:00.000Z,2026-10-12T08:00:00.000Z,2025-08-13T09:00:00.000Z,2026-10-12T07:30:00.000Z,
lin_046,HOME-46,46,Snow tires on truck,Schedule with Robberson by Nov 1,1,2,state_in_progress,user_midori,team_home,,,,,4600,midori/home-46-snow-tires,2025-12-27T08:00:00.000Z,2026-04-23T08:00:00.000Z,2025-12-28T09:00:00.000Z,,
lin_047,HOME-47,47,Renew vet tech license,Submit CE hours and renewal fee,1,3,state_in_progress,user_midori,team_home,,,,2025-12-21,4700,midori/home-47-renew-vet,2025-11-20T08:00:00.000Z,2026-01-17T08:00:00.000Z,2025-11-21T09:00:00.000Z,,
lin_048,HOME-48,48,Worm Sage and Hikari,Rotate dewormer class this cycle,4,5,state_todo,user_midori,team_home,,,,,4800,midori/home-48-worm-sage,2026-02-13T08:00:00.000Z,2026-05-31T08:00:00.000Z,,,
lin_049,GRE-49,49,Review error log week 5,Redo missed quant problems,3,4,state_todo,user_midori,team_gre,,,,,4900,midori/gre-49-review-error,2026-02-22T08:00:00.000Z,2026-07-18T08:00:00.000Z,,,
lin_050,HOME-50,50,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,3,2,state_todo,user_midori,team_home,,,,,5000,midori/home-50-schedule-shed,2025-09-01T08:00:00.000Z,2025-10-08T08:00:00.000Z,,,
lin_051,HOME-51,51,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,2,3,state_backlog,user_midori,team_home,,,,2026-03-20,5100,midori/home-51-schedule-shed,2026-02-15T08:00:00.000Z,2026-09-01T08:00:00.000Z,,,
lin_052,HOME-52,52,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,2,3,state_backlog,user_midori,team_home,,,,,5200,midori/home-52-service-plow,2026-08-09T08:00:00.000Z,2026-10-07T08:00:00.000Z,,,
lin_053,HOME-53,53,Worm Sage and Hikari,Rotate dewormer class this cycle,2,1,state_todo,user_midori,team_home,,,,2026-08-21,5300,midori/home-53-worm-sage,2026-08-02T08:00:00.000Z,2026-08-15T08:00:00.000Z,,,
lin_054,HOME-54,54,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,4,4,state_backlog,user_midori,team_home,,,,,5400,midori/home-54-service-plow,2025-08-25T08:00:00.000Z,2026-03-17T08:00:00.000Z,,,
lin_055,HOME-55,55,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,2,4,state_in_progress,user_midori,team_home,,,,2026-08-21,5500,midori/home-55-service-plow,2026-07-17T08:00:00.000Z,2026-09-16T08:00:00.000Z,2026-07-18T09:00:00.000Z,,
lin_056,GRE-56,56,Book test seat - March 28,Reserve ETS slot in Portland morning,1,3,state_in_progress,user_midori,team_gre,,,,,5600,midori/gre-56-book-test,2026-04-05T08:00:00.000Z,2026-06-15T08:00:00.000Z,2026-04-06T09:00:00.000Z,,
lin_057,HOME-57,57,Reseal round pen footing,Drag and add sand before spring,1,5,state_todo,user_midori,team_home,,,,,5700,midori/home-57-reseal-round,2025-10-13T08:00:00.000Z,2026-01-08T08:00:00.000Z,,,
lin_058,HOME-58,58,Renew vet tech license,Submit CE hours and renewal fee,1,5,state_todo,user_midori,team_home,,,,2026-02-16,5800,midori/home-58-renew-vet,2026-01-24T08:00:00.000Z,2026-08-03T08:00:00.000Z,,,
lin_059,HOME-59,59,Snow tires on truck,Schedule with Robberson by Nov 1,2,3,state_done,user_midori,team_home,,,,,5900,midori/home-59-snow-tires,2025-11-19T08:00:00.000Z,2026-09-01T08:00:00.000Z,2025-11-20T09:00:00.000Z,2026-09-01T07:30:00.000Z,
lin_060,HOME-60,60,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,1,4,state_todo,user_midori,team_home,,,,2025-11-12,6000,midori/home-60-service-plow,2025-10-28T08:00:00.000Z,2026-08-23T08:00:00.000Z,,,
lin_061,HOME-61,61,Winterize trailer,"Drain water, check tires, grease bearings",1,1,state_done,user_midori,team_home,,,,2025-10-11,6100,midori/home-61-winterize-trailer,2025-09-06T08:00:00.000Z,2025-10-12T08:00:00.000Z,2025-09-07T09:00:00.000Z,2025-10-12T07:30:00.000Z,
lin_062,HOME-62,62,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,3,1,state_done,user_midori,team_home,,,,2026-07-18,6200,midori/home-62-schedule-shed,2026-06-17T08:00:00.000Z,2026-10-03T08:00:00.000Z,2026-06-18T09:00:00.000Z,2026-10-03T07:30:00.000Z,
lin_063,HOME-63,63,Get firewood delivered before snow,Order 2 cords from Cascade Firewood,4,1,state_in_progress,user_midori,team_home,,,,2025-08-24,6300,midori/home-63-get-firewood,2025-08-09T08:00:00.000Z,2025-11-14T08:00:00.000Z,2025-08-10T09:00:00.000Z,,
lin_064,HOME-64,64,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,3,3,state_done,user_midori,team_home,,,,2026-07-20,6400,midori/home-64-service-plow,2026-07-04T08:00:00.000Z,2026-10-08T08:00:00.000Z,2026-07-05T09:00:00.000Z,2026-10-08T07:30:00.000Z,
lin_065,HOME-65,65,Worm Sage and Hikari,Rotate dewormer class this cycle,1,3,state_done,user_midori,team_home,,,,,6500,midori/home-65-worm-sage,2026-01-21T08:00:00.000Z,2026-03-26T08:00:00.000Z,2026-01-22T09:00:00.000Z,2026-03-26T07:30:00.000Z,
lin_066,HOME-66,66,Reconcile green notebook,Match handwritten expenses to bank,2,5,state_todo,user_midori,team_home,,,,,6600,midori/home-66-reconcile-green,2026-07-12T08:00:00.000Z,2026-09-11T08:00:00.000Z,,,
lin_067,HOME-67,67,Snow tires on truck,Schedule with Robberson by Nov 1,2,4,state_in_progress,user_midori,team_home,,,,,6700,midori/home-67-snow-tires,2026-05-22T08:00:00.000Z,2026-08-17T08:00:00.000Z,2026-05-23T09:00:00.000Z,,
lin_068,HOME-68,68,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,3,5,state_backlog,user_midori,team_home,,,,2025-10-21,6800,midori/home-68-service-plow,2025-10-07T08:00:00.000Z,2026-05-10T08:00:00.000Z,,,
lin_069,GRE-69,69,PowerPrep 1 - timed,Sunday morning timed practice test,1,4,state_backlog,user_midori,team_gre,,,,,6900,midori/gre-69-powerprep-1,2026-08-15T08:00:00.000Z,2026-08-25T08:00:00.000Z,,,
lin_070,HOME-70,70,Renew vet tech license,Submit CE hours and renewal fee,2,2,state_backlog,user_midori,team_home,,,,2026-04-02,7000,midori/home-70-renew-vet,2026-03-25T08:00:00.000Z,2026-08-23T08:00:00.000Z,,,
lin_071,GRE-71,71,Book test seat - March 28,Reserve ETS slot in Portland morning,2,3,state_done,user_midori,team_gre,,,,2026-03-24,7100,midori/gre-71-book-test,2026-03-08T08:00:00.000Z,2026-04-21T08:00:00.000Z,2026-03-09T09:00:00.000Z,2026-04-21T07:30:00.000Z,
lin_072,GRE-72,72,Request DVM prereq transcripts,Email registrar for sealed copies,1,1,state_done,user_midori,team_gre,,,,2026-04-01,7200,midori/gre-72-request-dvm,2026-02-20T08:00:00.000Z,2026-06-08T08:00:00.000Z,2026-02-21T09:00:00.000Z,2026-06-08T07:30:00.000Z,
lin_073,HOME-73,73,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,1,3,state_in_progress,user_midori,team_home,,,,2026-02-08,7300,midori/home-73-service-plow,2026-01-01T08:00:00.000Z,2026-03-10T08:00:00.000Z,2026-01-02T09:00:00.000Z,,
lin_074,HOME-74,74,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,2,2,state_in_progress,user_midori,team_home,,,,,7400,midori/home-74-schedule-shed,2026-03-15T08:00:00.000Z,2026-07-19T08:00:00.000Z,2026-03-16T09:00:00.000Z,,
lin_075,HOME-75,75,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,4,4,state_in_progress,user_midori,team_home,,,,,7500,midori/home-75-service-plow,2026-01-29T08:00:00.000Z,2026-02-05T08:00:00.000Z,2026-01-30T09:00:00.000Z,,
lin_076,GRE-76,76,Review error log week 5,Redo missed quant problems,4,2,state_todo,user_midori,team_gre,,,,2025-12-18,7600,midori/gre-76-review-error,2025-11-11T08:00:00.000Z,2026-08-11T08:00:00.000Z,,,
lin_077,HOME-77,77,Renew vet tech license,Submit CE hours and renewal fee,4,1,state_backlog,user_midori,team_home,,,,2026-01-10,7700,midori/home-77-renew-vet,2025-12-13T08:00:00.000Z,2026-04-09T08:00:00.000Z,,,
lin_078,HOME-78,78,Renew vet tech license,Submit CE hours and renewal fee,4,5,state_backlog,user_midori,team_home,,,,2026-03-25,7800,midori/home-78-renew-vet,2026-02-14T08:00:00.000Z,2026-03-15T08:00:00.000Z,,,
lin_079,HOME-79,79,Worm Sage and Hikari,Rotate dewormer class this cycle,4,2,state_in_progress,user_midori,team_home,,,,2025-09-06,7900,midori/home-79-worm-sage,2025-08-22T08:00:00.000Z,2025-09-27T08:00:00.000Z,2025-08-23T09:00:00.000Z,,
lin_080,GRE-80,80,Reading comp drills,3 passages timed,2,3,state_in_progress,user_midori,team_gre,,,,,8000,midori/gre-80-reading-comp,2026-02-14T08:00:00.000Z,2026-10-09T08:00:00.000Z,2026-02-15T09:00:00.000Z,,
lin_081,HOME-81,81,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,4,2,state_in_progress,user_midori,team_home,,,,2025-11-10,8100,midori/home-81-service-plow,2025-10-13T08:00:00.000Z,2025-10-24T08:00:00.000Z,2025-10-14T09:00:00.000Z,,
lin_082,HOME-82,82,Renew vet tech license,Submit CE hours and renewal fee,2,4,state_backlog,user_midori,team_home,,,,2025-10-31,8200,midori/home-82-renew-vet,2025-10-26T08:00:00.000Z,2026-01-10T08:00:00.000Z,,,
lin_083,HOME-83,83,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,2,2,state_in_progress,user_midori,team_home,,,,,8300,midori/home-83-schedule-shed,2026-09-10T08:00:00.000Z,2026-09-30T08:00:00.000Z,2026-09-11T09:00:00.000Z,,
lin_084,HOME-84,84,Reseal round pen footing,Drag and add sand before spring,4,5,state_done,user_midori,team_home,,,,2026-03-07,8400,midori/home-84-reseal-round,2026-02-24T08:00:00.000Z,2026-05-17T08:00:00.000Z,2026-02-25T09:00:00.000Z,2026-05-17T07:30:00.000Z,
lin_085,HOME-85,85,Worm Sage and Hikari,Rotate dewormer class this cycle,3,3,state_backlog,user_midori,team_home,,,,,8500,midori/home-85-worm-sage,2026-08-29T08:00:00.000Z,2026-10-06T08:00:00.000Z,,,
lin_086,HOME-86,86,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,2,2,state_backlog,user_midori,team_home,,,,,8600,midori/home-86-schedule-shed,2026-02-07T08:00:00.000Z,2026-02-25T08:00:00.000Z,,,
lin_087,GRE-87,87,Reading comp drills,3 passages timed,3,5,state_backlog,user_midori,team_gre,,,,2026-05-31,8700,midori/gre-87-reading-comp,2026-04-23T08:00:00.000Z,2026-08-23T08:00:00.000Z,,,
lin_088,HOME-88,88,Fix barn gutter,Replace bent section on east side,3,5,state_done,user_midori,team_home,,,,,8800,midori/home-88-fix-barn,2026-05-21T08:00:00.000Z,2026-08-02T08:00:00.000Z,2026-05-22T09:00:00.000Z,2026-08-02T07:30:00.000Z,
lin_089,HOME-89,89,Fix barn gutter,Replace bent section on east side,1,1,state_in_progress,user_midori,team_home,,,,2025-12-15,8900,midori/home-89-fix-barn,2025-11-30T08:00:00.000Z,2026-01-22T08:00:00.000Z,2025-12-01T09:00:00.000Z,,
lin_090,HOME-90,90,Worm Sage and Hikari,Rotate dewormer class this cycle,3,4,state_backlog,user_midori,team_home,,,,,9000,midori/home-90-worm-sage,2026-07-02T08:00:00.000Z,2026-10-13T08:00:00.000Z,,,
lin_091,HOME-91,91,Reconcile green notebook,Match handwritten expenses to bank,1,5,state_todo,user_midori,team_home,,,,,9100,midori/home-91-reconcile-green,2026-09-12T08:00:00.000Z,2026-10-19T08:00:00.000Z,,,
lin_092,HOME-92,92,Reconcile green notebook,Match handwritten expenses to bank,3,4,state_done,user_midori,team_home,,,,,9200,midori/home-92-reconcile-green,2025-09-07T08:00:00.000Z,2025-10-02T08:00:00.000Z,2025-09-08T09:00:00.000Z,2025-10-02T07:30:00.000Z,
lin_093,HOME-93,93,Snow tires on truck,Schedule with Robberson by Nov 1,3,4,state_in_progress,user_midori,team_home,,,,,9300,midori/home-93-snow-tires,2025-09-07T08:00:00.000Z,2026-02-13T08:00:00.000Z,2025-09-08T09:00:00.000Z,,
lin_094,GRE-94,94,Magoosh vocab batch,200 cards in Anki,1,2,state_backlog,user_midori,team_gre,,,,2025-09-15,9400,midori/gre-94-magoosh-vocab,2025-08-09T08:00:00.000Z,2026-05-27T08:00:00.000Z,,,
lin_095,HOME-95,95,Get firewood delivered before snow,Order 2 cords from Cascade Firewood,4,4,state_in_progress,user_midori,team_home,,,,2026-05-22,9500,midori/home-95-get-firewood,2026-04-14T08:00:00.000Z,2026-07-12T08:00:00.000Z,2026-04-15T09:00:00.000Z,,
lin_096,HOME-96,96,Reseal round pen footing,Drag and add sand before spring,3,1,state_backlog,user_midori,team_home,,,,2026-08-09,9600,midori/home-96-reseal-round,2026-07-02T08:00:00.000Z,2026-07-17T08:00:00.000Z,,,
lin_097,HOME-97,97,Fix barn gutter,Replace bent section on east side,3,4,state_backlog,user_midori,team_home,,,,2025-12-28,9700,midori/home-97-fix-barn,2025-12-13T08:00:00.000Z,2026-02-23T08:00:00.000Z,,,
lin_098,HOME-98,98,Snow tires on truck,Schedule with Robberson by Nov 1,4,2,state_backlog,user_midori,team_home,,,,2026-09-06,9800,midori/home-98-snow-tires,2026-08-10T08:00:00.000Z,2026-10-18T08:00:00.000Z,,,
lin_099,HOME-99,99,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,2,2,state_backlog,user_midori,team_home,,,,2026-08-18,9900,midori/home-99-service-plow,2026-07-13T08:00:00.000Z,2026-07-17T08:00:00.000Z,,,
lin_100,HOME-100,100,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,4,2,state_done,user_midori,team_home,,,,,10000,midori/home-100-service-plow,2025-09-22T08:00:00.000Z,2026-04-29T08:00:00.000Z,2025-09-23T09:00:00.000Z,2026-04-29T07:30:00.000Z,
lin_101,HOME-101,101,Service plow blade for F-250,Tighten hydraulics; replace cutting edge,1,5,state_backlog,user_midori,team_home,,,,,10100,midori/home-101-service-plow,2026-01-13T08:00:00.000Z,2026-03-27T08:00:00.000Z,,,
lin_102,HOME-102,102,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,2,4,state_todo,user_midori,team_home,,,,,10200,midori/home-102-schedule-shed,2025-09-11T08:00:00.000Z,2026-06-02T08:00:00.000Z,,,
lin_103,HOME-103,103,Worm Sage and Hikari,Rotate dewormer class this cycle,4,2,state_in_progress,user_midori,team_home,,,,2026-08-30,10300,midori/home-103-worm-sage,2026-08-14T08:00:00.000Z,2026-08-14T08:00:00.000Z,2026-08-15T09:00:00.000Z,,
lin_104,HOME-104,104,Snow tires on truck,Schedule with Robberson by Nov 1,4,1,state_todo,user_midori,team_home,,,,2026-05-27,10400,midori/home-104-snow-tires,2026-05-02T08:00:00.000Z,2026-09-25T08:00:00.000Z,,,
lin_105,HOME-105,105,Fix barn gutter,Replace bent section on east side,2,5,state_backlog,user_midori,team_home,,,,2025-10-03,10500,midori/home-105-fix-barn,2025-09-20T08:00:00.000Z,2025-10-27T08:00:00.000Z,,,
lin_106,HOME-106,106,Renew vet tech license,Submit CE hours and renewal fee,4,3,state_backlog,user_midori,team_home,,,,,10600,midori/home-106-renew-vet,2025-12-05T08:00:00.000Z,2026-10-21T08:00:00.000Z,,,
lin_107,GRE-107,107,PowerPrep 1 - timed,Sunday morning timed practice test,2,2,state_todo,user_midori,team_gre,,,,,10700,midori/gre-107-powerprep-1,2025-09-06T08:00:00.000Z,2026-06-30T08:00:00.000Z,,,
lin_108,GRE-108,108,Reading comp drills,3 passages timed,4,4,state_todo,user_midori,team_gre,,,,,10800,midori/gre-108-reading-comp,2026-04-24T08:00:00.000Z,2026-10-17T08:00:00.000Z,,,
lin_109,HOME-109,109,Schedule shed paint stain,Order Sherwin-Williams superdeck cedar; book weekend,2,3,state_todo,user_midori,team_home,,,,2025-09-28,10900,midori/home-109-schedule-shed,2025-09-05T08:00:00.000Z,2026-04-12T08:00:00.000Z,,,
lin_110,HOME-110,110,Reconcile green notebook,Match handwritten expenses to bank,1,3,state_in_progress,user_midori,team_home,,,,,11000,midori/home-110-reconcile-green,2026-07-07T08:00:00.000Z,2026-09-10T08:00:00.000Z,2026-07-08T09:00:00.000Z,,
lin_111,HOME-111,111,Fix barn gutter,Replace bent section on east side,4,5,state_backlog,user_midori,team_home,,,,2026-06-01,11100,midori/home-111-fix-barn,2026-05-23T08:00:00.000Z,2026-05-24T08:00:00.000Z,,,
lin_112,HOME-112,112,Reseal round pen footing,Drag and add sand before spring,3,4,state_backlog,user_midori,team_home,,,,,11200,midori/home-112-reseal-round,2025-08-27T08:00:00.000Z,2025-08-30T08:00:00.000Z,,,
lin_113,HOME-113,113,Fix barn gutter,Replace bent section on east side,2,2,state_backlog,user_midori,team_home,,,,2025-09-10,11300,midori/home-113-fix-barn,2025-09-04T08:00:00.000Z,2026-09-02T08:00:00.000Z,,,
