purchase_date	customer_id	title_purchased	category	qty	unit_price_sek	subtotal_sek	payment_method	discount_pct	staff_note
2025-08-06	CUST-018	Alfons Aberg	Children	1	319	319	Kort	0	regular
2025-08-07	CUST-054	Leva med forlust	Non-fiction	1	239	239	Kort	0	
2025-08-07	CUST-057	Leva med forlust	Non-fiction	1	159	159	Swish	0	gift
2025-08-08	CUST-150	Alfons Aberg	Children	1	159	159	Kort	0	
2025-08-09	CUST-160	Eremit	Poetry	1	349	349	Swish	0	
2025-08-09	CUST-003	The Memory Police	International	3	189	567	Swish	0	request
2025-08-12	CUST-167	Leva med forlust	Non-fiction	1	159	159	Swish	0	
2025-08-12	CUST-052	The Story of a New Name	International	1	189	189	Kort	0	gift
2025-08-14	CUST-071	Vinterviken	Literary Fiction	1	279	279	Kort	0	regular
2025-08-22	CUST-072	One Hundred Years of Solitude	International	2	199	398	Kort	0	
2025-08-26	CUST-073	My Brilliant Friend	International	1	319	319	Kort	0	recommendation
2025-08-27	CUST-173	The Very Hungry Caterpillar	Children	2	289	520	Kort	10	recommendation
2025-08-27	CUST-024	The White Book	International	2	249	498	Kort	0	gift
2025-08-29	CUST-135	Emil i Lonneberga	Children	1	289	289	Swish	0	
2025-09-04	CUST-030	Vinterviken	Literary Fiction	1	159	159	Swish	0	
2025-09-11	CUST-020	Alfons Aberg	Children	1	329	329	Swish	0	regular
2025-09-11	CUST-045	Lansen	Children	2	289	578	Kort	0	gift
2025-09-26	CUST-047	Drömfakulteten	Literary Fiction	1	279	251	Kort	10	
2025-10-07	CUST-171	Hamnet	Literary Fiction	1	269	269	Kort	0	
2025-10-14	CUST-038	Crush	Poetry	2	329	658	Kort	0	
2025-10-15	CUST-135	The Memory Police	International	1	279	251	Swish	10	regular
2025-10-17	CUST-015	Becoming	Non-fiction	1	229	229	Swish	0	
2025-10-18	CUST-020	Leva med forlust	Non-fiction	2	289	520	Kort	10	
2025-10-23	CUST-142	Educated	Non-fiction	1	239	239	Swish	0	recommendation
2025-10-24	CUST-144	Glansen	Literary Fiction	1	159	159	Swish	0	recommendation
2025-10-25	CUST-044	The Body Keeps the Score	Non-fiction	2	279	558	Kort	0	recommendation
2025-10-30	CUST-054	Stadsvandringar i Uppsala	Non-fiction	3	329	987	Swish	0	regular
2025-11-04	CUST-177	Mio min Mio	Children	2	279	558	Kort	0	request
2025-11-05	CUST-146	My Brilliant Friend	International	1	349	349	Swish	0	recommendation
2025-11-08	CUST-082	The Very Hungry Caterpillar	Children	1	179	179	Kort	0	
2025-11-11	CUST-011	Circe	International	1	199	199	Swish	0	
2025-11-14	CUST-071	Drömfakulteten	Literary Fiction	3	189	567	Kort	0	request
2025-11-15	CUST-071	Mio min Mio	Children	1	299	299	Kort	0	recommendation
2025-11-20	CUST-076	One Hundred Years of Solitude	International	1	269	269	Swish	0	regular
2025-11-22	CUST-010	Goliat	Literary Fiction	1	289	260	Kort	10	
2025-11-25	CUST-154	The Gruffalo	Children	1	229	229	Kort	0	request
2025-11-25	CUST-115	Selected Poems	Poetry	2	299	598	Kort	0	
2025-11-26	CUST-173	Leva med forlust	Non-fiction	1	179	179	Kort	0	gift
2025-11-29	CUST-019	Convenience Store Woman	International	1	349	349	Kontant	0	
2025-11-29	CUST-071	The Vegetarian	International	1	159	159	Kort	0	
2025-12-04	CUST-100	Selected Poems	Poetry	1	329	329	Kort	0	
2025-12-09	CUST-139	Pachinko	Literary Fiction	1	239	239	Kort	0	
2025-12-09	CUST-046	My Brilliant Friend	International	1	299	299	Kort	0	
2025-12-11	CUST-038	One Hundred Years of Solitude	International	1	299	299	Swish	0	
2025-12-11	CUST-141	Vinterviken	Literary Fiction	1	229	229	Kort	0	recommendation
2025-12-11	CUST-122	Human Acts	International	1	179	179	Swish	0	
2025-12-11	CUST-036	Mumin och havet	Children	2	239	478	Swish	0	recommendation
2025-12-12	CUST-043	A Little Life	Literary Fiction	1	179	179	Kort	0	request
2025-12-18	CUST-151	Stadsvandringar i Uppsala	Non-fiction	1	179	179	Kort	0	regular
2025-12-19	CUST-126	Educated	Non-fiction	1	199	199	Swish	0	
2025-12-20	CUST-069	The White Book	International	1	269	269	Swish	0	
2025-12-20	CUST-011	Leva med forlust	Non-fiction	1	179	179	Kort	0	
2025-12-23	CUST-035	One Hundred Years of Solitude	International	1	349	349	Swish	0	request
2025-12-25	CUST-142	Milk and Honey	Poetry	1	239	239	Kort	0	regular
2026-01-03	CUST-005	Normal People	Literary Fiction	1	329	329	Swish	0	
2026-01-03	CUST-073	Mio min Mio	Children	1	329	296	Kort	10	
2026-01-08	CUST-154	Mio min Mio	Children	1	229	229	Kontant	0	
2026-01-14	CUST-133	Drömfakulteten	Literary Fiction	2	215	430	Kort	0	
2026-01-15	CUST-121	Milk and Honey	Poetry	1	279	279	Kort	0	
2026-01-17	CUST-053	Ariel	Poetry	1	319	319	Kort	0	
2026-01-17	CUST-180	The Body Keeps the Score	Non-fiction	1	279	279	Kort	0	request
2026-01-23	CUST-057	The Iliad	International	1	215	215	Kort	0	gift
2026-01-23	CUST-084	Den svenska historien	Non-fiction	1	249	249	Kort	0	
2026-01-23	CUST-008	Nattetid	Poetry	1	279	279	Kort	0	
2026-01-31	CUST-003	The Buried Giant	Literary Fiction	1	189	189	Kort	0	
2026-01-31	CUST-160	Hamnet	Literary Fiction	1	239	239	Kort	0	
2026-01-31	CUST-051	Year of Magical Thinking	Non-fiction	1	239	239	Kort	0	
2026-02-10	CUST-151	Crush	Poetry	1	269	269	Kort	0	
2026-02-10	CUST-042	Tystnadens geografi	Non-fiction	3	215	645	Kort	0	
2026-02-11	CUST-007	The Sun and Her Flowers	Poetry	1	299	299	Swish	0	
2026-02-11	CUST-178	Kafka on the Shore	International	1	269	242	Kort	10	recommendation
2026-02-14	CUST-034	Sapiens	Non-fiction	1	215	194	Swish	10	request
2026-02-17	CUST-153	The Body Keeps the Score	Non-fiction	1	319	319	Kort	0	regular
2026-02-19	CUST-048	The Sun and Her Flowers	Poetry	1	269	269	Kort	0	recommendation
2026-02-19	CUST-069	Milk and Honey	Poetry	1	189	189	Kort	0	
2026-02-20	CUST-111	Goliat	Literary Fiction	1	249	249	Kort	0	
2026-02-20	CUST-050	Drömfakulteten	Literary Fiction	1	299	299	Kort	0	request
2026-02-24	CUST-054	A Gentleman in Moscow	International	1	319	319	Swish	0	regular
2026-02-24	CUST-090	Andra ord	Literary Fiction	2	289	520	Kort	10	request
2026-02-25	CUST-164	Tystnadens geografi	Non-fiction	1	289	289	Kort	0	
2026-02-25	CUST-025	The Memory Police	International	1	329	329	Swish	0	gift
2026-02-25	CUST-098	Lansen	Children	2	249	498	Kort	0	gift
2026-02-27	CUST-036	Convenience Store Woman	International	2	159	318	Kort	0	
2026-02-27	CUST-060	Inuti labyrinten	Poetry	2	199	398	Kort	0	
2026-02-28	CUST-035	Mumin och havet	Children	1	159	159	Swish	0	
2026-02-28	CUST-045	Ariel	Poetry	3	215	645	Kort	0	
2026-02-28	CUST-168	The Body Keeps the Score	Non-fiction	1	299	299	Kort	0	
