event_date	event_title	author_name	publisher	format	rsvp_count	actual_attendance	no_shows	door_count	author_fee_sek	catering_cost_sek	equipment_sek	door_sales_sek	net_result_sek	notes
2024-09-17	Hostsasongens opener	Nora Clement	Alfabeta	Solo reading	45	39	6	3	7000	1800	0	2279	-6521	Publisher co-sponsored
2024-10-15	Bokklubbskvall oktober	Sofia Nyman	Ekblad Forlag	Book club	33	30	3	8	3500	2200	500	2523	-3677	Publisher co-sponsored
2024-11-19	Poesi och morkertid	Multiple	Various	Poetry night	27	21	6	4	1500	2200	300	3955	-45	Good atmosphere
2024-12-10	Julkvall med lasning	Karin Larsson	Wahlstrom Widstrand	Panel discussion	49	47	2	3	3000	800	200	1683	-2317	Sold out
2025-02-11	Valentinspoesin 2025	Sara Stridsberg	Norstedts	Poetry night	38	36	2	8	5000	1800	200	3374	-3626	First time author
2025-04-08	Vardebut 2025	Viktor Holm	Ekblad Forlag	Book launch	24	21	3	5	0	750	0	1980	1230	First time author
2025-06-10	Sommarlasning 2025	Panel	Various	Panel discussion	28	24	4	7	0	1000	0	2100	1100	
2025-09-23	Bokhostsoppning 2025	Anders Lilja	Piratforlaget	Book launch	46	38	8	8	7500	1500	800	2447	-7353	Good atmosphere
2025-11-18	Poesikvall hostens slut	Multiple	Various	Poetry night	29	22	7	10	1800	1800	500	1425	-2675	Co-hosted with Uppsala Uni
2025-12-09	Julbocker 2025	Karin Larsson	Wahlstrom Widstrand	Panel discussion	55	51	4	6	3500	2800	0	1400	-4900	Sold out
2026-02-10	Valentinspoesin 2026	Sara Stridsberg	Norstedts	Poetry night	39	35	4	5	4500	1500	0	1800	-4200	Media coverage
2026-02-24	Vardebut 2026	Maja Eriksson	Ekblad Forlag	Book launch	22	19	3	4	0	700	0	1900	1200	First time author
