date_finished	title	author	original_language	read_in_language	format	pages	personal_rating	category	currently_recommending	notes
2021-06-04	If Not Now When	Primo Levi	Italian	English	Paperback	349	4	International	Sometimes	
2021-06-10	The Checklist Manifesto	Atul Gawande	English	English	Paperback	209	4	Non-fiction	Sometimes	
2021-06-18	Mrs Dalloway	Virginia Woolf	English	English	Paperback	194	5	Literary Fiction	Y	
2021-06-24	Klara and the Sun	Kazuo Ishiguro	English	English	Hardback	307	4	Literary Fiction	Y	
2021-06-25	Sent pa jorden	Harry Martinson	Swedish	Swedish	Paperback	154	5	Poetry	Y	
2021-06-29	Det maste vara mojligt	Gunnar Ekelof	Swedish	Swedish	Paperback	196	5	Poetry	Y	Classic Swedish modernism
2021-07-03	The Sun and Her Flowers	Rupi Kaur	English	English	Paperback	256	3	Poetry	N	
2021-07-30	Lolita	Vladimir Nabokov	Russian	English	Paperback	331	4	Literary Fiction	N	Brilliant prose. Uncomfortable subject.
2021-07-30	The Body Keeps the Score	Bessel van der Kolk	English	English	Paperback	445	5	Non-fiction	Sometimes	Dense but important
2021-08-05	The Wind-Up Bird Chronicle	Haruki Murakami	Japanese	English	Paperback	611	4	International	Sometimes	Best Murakami I have read
2021-08-17	Braiding Sweetgrass	Robin Wall Kimmerer	English	English	Paperback	390	5	Non-fiction	Y	
2021-08-20	Conversations with Friends	Sally Rooney	English	English	Paperback	321	4	Literary Fiction	N	Interesting but less satisfying than Normal People
2021-08-28	The Drowned and the Saved	Primo Levi	Italian	English	Paperback	184	5	Non-fiction	Y	His last book. Heavy.
2021-09-11	In Cold Blood	Truman Capote	English	English	Paperback	343	5	Non-fiction	Y	
2021-09-24	My Name Is Lucy Barton	Elizabeth Strout	English	English	Paperback	193	4	Literary Fiction	Y	Short and precise
2021-09-24	The Human Stain	Philip Roth	English	English	Paperback	361	4	Literary Fiction	Sometimes	
2021-09-25	Piranesi	Susanna Clarke	English	English	Hardback	272	5	Literary Fiction	Y	Surprised me completely
2021-09-30	Colorless Tsukuru Tazaki	Haruki Murakami	Japanese	English	Paperback	298	3	International	N	Disappointing
2021-10-07	Olive Kitteridge	Elizabeth Strout	English	English	Paperback	270	5	Literary Fiction	Y	
2021-10-13	Mannen utan egenskaper vol 1	Robert Musil	German	German	Hardback	672	4	Literary Fiction	N	Reading in German - slow going
2021-11-03	Livläkarens besök	Per Olov Enquist	Swedish	Swedish	Paperback	448	5	Literary Fiction	Y	
2021-11-03	Complications	Atul Gawande	English	English	Paperback	269	4	Non-fiction	Sometimes	
2021-11-13	The Left Hand of Darkness	Ursula Le Guin	English	English	Paperback	286	5	Literary Fiction	Y	
2021-11-17	The Midnight Library	Matt Haig	English	English	Paperback	288	3	Literary Fiction	N	Fine. Customers love it.
2021-11-18	The Glass Hotel	Emily St. John Mandel	English	English	Paperback	302	4	Literary Fiction	Sometimes	
2021-11-26	Parable of the Sower	Octavia Butler	English	English	Paperback	345	5	Literary Fiction	Y	Uncomfortably relevant
2021-12-10	Being Mortal	Atul Gawande	English	English	Paperback	282	5	Non-fiction	Y	Important. Made me think differently.
2021-12-16	The Memory Police	Yoko Ogawa	Japanese	English	Paperback	274	5	International	Y	One of the most unsettling books I have read
2021-12-21	Sapiens	Yuval Noah Harari	English	English	Paperback	498	4	Non-fiction	Sometimes	Engaging popular history
2021-12-22	Mansfield Park	Jane Austen	English	English	Paperback	470	3	Literary Fiction	N	Less enjoyable than her others
2022-01-11	The Brothers Karamazov	Dostoevsky	Russian	English	Hardback	796	5	International	Sometimes	Reading slowly. Almost done.
2022-01-22	The God of Small Things	Arundhati Roy	English	English	Paperback	321	5	International	Y	
2022-02-03	CoDex 1962	Sjon	Icelandic	English	Paperback	490	4	International	Sometimes	
2022-02-04	Disgrace	J.M. Coetzee	English	English	Paperback	220	4	Literary Fiction	Sometimes	Hard to like. Important.
2022-02-04	Vertigo	W.G. Sebald	German	English	Paperback	263	4	Literary Fiction	Sometimes	
2022-02-08	Allt forsvinner	Sofia Nyman	Swedish	Swedish	Paperback	388	4	Literary Fiction	Sometimes	Better than her first
2022-02-18	Giovanni's Room	James Baldwin	English	English	Paperback	169	5	Literary Fiction	Y	
2022-03-04	Blue Nights	Joan Didion	English	English	Paperback	188	4	Non-fiction	Sometimes	
2022-03-17	Villette	Charlotte Bronte	English	English	Paperback	536	5	Literary Fiction	Y	Better than Jane Eyre. Underread.
2022-03-18	The Omnivore's Dilemma	Michael Pollan	English	English	Paperback	450	4	Non-fiction	Sometimes	
2022-03-22	The Handmaid's Tale	Margaret Atwood	English	Swedish	Paperback	311	5	Literary Fiction	Y	Read in Swedish - powerful in any language
2022-03-23	The Story of a New Name	Elena Ferrante	Italian	English	Paperback	471	5	Literary Fiction	Y	
2022-04-21	An Artist of the Floating World	Kazuo Ishiguro	English	English	Paperback	206	4	Literary Fiction	Sometimes	
2022-04-29	Kallocain	Karin Boye	Swedish	Swedish	Paperback	176	5	Literary Fiction	Y	Swedish dystopia. Ahead of its time.
2022-04-29	Grief Is the Thing with Feathers	Max Porter	English	English	Paperback	114	5	Poetry	Y	Something entirely new
2022-04-29	Bad Feminist	Roxane Gay	English	English	Paperback	320	4	Non-fiction	Sometimes	
2022-04-30	Housekeeping	Marilynne Robinson	English	English	Paperback	219	5	Literary Fiction	Y	
2022-05-07	Hamnet	Maggie O'Farrell	English	English	Paperback	372	5	Literary Fiction	Y	Devastating and beautiful
2022-05-20	Norwegian Wood	Haruki Murakami	Japanese	Swedish	Paperback	298	4	International	Sometimes	Read in Swedish this time. Good translation.
2022-06-03	Slade House	David Mitchell	English	English	Paperback	244	3	Literary Fiction	N	Too genre for me
2022-06-08	Birnam Wood	Eleanor Catton	English	English	Hardback	426	4	Literary Fiction	Sometimes	Better than Luminaries for me
2022-06-09	In the Country of Last Things	Paul Auster	English	English	Paperback	188	4	Literary Fiction	Sometimes	
2022-07-02	Unsheltered	Barbara Kingsolver	English	English	Paperback	464	3	Literary Fiction	N	Disappointed
2022-07-06	Eremit	Johannes Anyuru	Swedish	Swedish	Paperback	104	5	Poetry	Y	
2022-07-06	Kokoro	Natsume Soseki	Japanese	English	Paperback	248	4	International	Sometimes	
2022-07-07	Young Mungo	Douglas Stuart	English	English	Paperback	386	5	Literary Fiction	Y	Even better than Shuggie
2022-07-08	Things Fall Apart	Chinua Achebe	English	English	Paperback	209	5	International	Y	Should be on every reading list
2022-07-09	Station Eleven	Emily St. John Mandel	English	English	Paperback	333	4	Literary Fiction	Y	
2022-07-15	Der Zauberberg	Thomas Mann	German	English	Hardback	720	3	Literary Fiction	N	Too much philosophy as narrative
2022-07-19	Notes from a Small Island	Bill Bryson	English	English	Paperback	324	4	Non-fiction	Sometimes	Light and enjoyable
2022-07-21	The Hours	Michael Cunningham	English	English	Paperback	230	4	Literary Fiction	Sometimes	
2022-08-12	Der Vorleser reread	Bernhard Schlink	German	English	Paperback	218	4	Literary Fiction	Sometimes	Reread in English after reading in German
2022-08-12	Kallades natt	Lina Stoltz	Swedish	Swedish	Paperback	287	4	Literary Fiction	Sometimes	
2022-08-13	My Struggle Book 1	Karl Ove Knausgard	Norwegian	English	Paperback	430	4	Literary Fiction	Sometimes	Long experiment. Interesting.
2022-08-25	Hatifnattarnas hemlighet	Tove Jansson	Swedish	Swedish	Paperback	160	4	Children	Y	
2022-08-27	M Train	Patti Smith	English	English	Paperback	272	4	Non-fiction	Sometimes	Less structured than Just Kids but charming
2022-09-01	Waiting for the Barbarians	J.M. Coetzee	English	English	Paperback	156	4	Literary Fiction	Sometimes	
2022-09-08	Normal People	Sally Rooney	English	English	Paperback	266	4	Literary Fiction	Y	
2022-09-13	Vinter i Mumindalen	Tove Jansson	Swedish	Swedish	Paperback	176	5	Children	Y	
2022-09-17	On Writing	Stephen King	English	English	Paperback	288	5	Non-fiction	Y	Surprised by how good this is
2022-09-27	Vesper Flights	Helen Macdonald	English	English	Paperback	272	4	Non-fiction	Y	
2022-10-06	Poesi 1965-1990	Lars Gustafsson	Swedish	Swedish	Paperback	312	4	Poetry	Sometimes	
2022-10-08	Milk and Honey	Rupi Kaur	English	English	Paperback	208	3	Poetry	N	Fine but overrated
2022-10-11	The Waste Land and Other Poems	T.S. Eliot	English	English	Paperback	99	5	Poetry	Y	
2022-10-15	Inuti labyrinten	Katarina Frostenson	Swedish	Swedish	Paperback	119	4	Poetry	Sometimes	Dense. Worth the effort.
2022-10-19	Röda rummet	August Strindberg	Swedish	Swedish	Paperback	318	3	Literary Fiction	N	Important but dated
2022-10-25	The Post-American World	Fareed Zakaria	English	English	Paperback	304	3	Non-fiction	N	Dated
2022-10-27	Americanah	Chimamanda Ngozi Adichie	English	English	Paperback	477	5	Literary Fiction	Y	
2022-10-29	Speak Memory	Vladimir Nabokov	Russian	English	Paperback	316	5	Non-fiction	Y	One of the finest memoirs
2022-11-01	Die Buddenbrooks	Thomas Mann	German	German	Hardback	762	4	Literary Fiction	Sometimes	Reading slowly in German
2022-11-04	En natt pa hovrätten	Karin Boye	Swedish	Swedish	Paperback	144	4	Poetry	Sometimes	
2022-11-17	Their Eyes Were Watching God	Zora Neale Hurston	English	English	Paperback	286	5	Literary Fiction	Y	
2022-11-30	Convenience Store Woman	Sayaka Murata	Japanese	English	Paperback	163	4	International	Y	Short and quietly subversive
2022-12-03	Nausea	Jean-Paul Sartre	French	English	Paperback	178	3	Literary Fiction	N	Important but not enjoyable
2022-12-13	Stadsvandringar i Uppsala	Erik Bohlin	Swedish	Swedish	Paperback	214	4	Non-fiction	Y	Perfect for local customers and tourists
2022-12-16	The Complete Poems	Emily Dickinson	English	English	Hardback	770	5	Poetry	Y	Dipping in over years
2022-12-16	Anna Karenina	Tolstoy	Russian	English	Hardback	964	5	International	Sometimes	Long summer read 2022
2022-12-24	The Undoing Project	Michael Lewis	English	English	Hardback	362	4	Non-fiction	Sometimes	Good companion to Kahneman
2022-12-27	Summer	Karl Ove Knausgard	Norwegian	English	Paperback	238	4	Non-fiction	Sometimes	The seasons books are quieter than My Struggle
2023-01-04	Flights of Fancy	Richard Dawkins	English	English	Hardback	254	3	Non-fiction	N	Too simple
2023-01-06	Wanderlust	Rebecca Solnit	English	English	Paperback	326	4	Non-fiction	N	Good but overlong
2023-01-06	The Sellout	Paul Beatty	English	English	Paperback	289	4	Literary Fiction	Sometimes	Funny and angry
2023-01-07	My Struggle Book 2	Karl Ove Knausgard	Norwegian	English	Paperback	656	3	Literary Fiction	N	Stopped here. Too much.
2023-01-17	Mio min Mio	Astrid Lindgren	Swedish	Swedish	Paperback	192	4	Literary Fiction	Sometimes	Darker than I remembered
2023-01-20	Ronja Rövardotter	Astrid Lindgren	Swedish	Swedish	Paperback	224	5	Children	Y	Perfect
2023-01-24	All the Pretty Horses	Cormac McCarthy	English	English	Paperback	302	4	Literary Fiction	Sometimes	
2023-01-24	The Sound of Waves	Yasunari Kawabata	Japanese	English	Paperback	175	3	International	N	Too slight
2023-02-01	The English Patient	Michael Ondaatje	English	English	Paperback	301	5	Literary Fiction	Y	
2023-02-04	American Pastoral	Philip Roth	English	English	Paperback	423	4	Literary Fiction	Sometimes	His best in my view
2023-02-10	Skenbart	Sofia Nyman	Swedish	Swedish	Paperback	304	3	Literary Fiction	N	Did not connect with it
2023-02-14	Glansen	Per Olov Enquist	Swedish	Swedish	Hardback	378	4	Literary Fiction	Sometimes	
2023-02-18	East of Eden	John Steinbeck	English	English	Hardback	601	5	Literary Fiction	Y	
2023-03-24	Demon Copperhead	Barbara Kingsolver	English	English	Hardback	546	4	Literary Fiction	Sometimes	Long but important
2023-03-31	The Sympathizer	Viet Thanh Nguyen	English	English	Paperback	371	4	International	Sometimes	
2023-04-06	Song of Solomon	Toni Morrison	English	English	Paperback	337	5	Literary Fiction	Y	
2023-04-21	Dikter	Tomas Transtromer	Swedish	Swedish	Paperback	178	5	Poetry	Y	
2023-04-22	MaddAddam	Margaret Atwood	English	English	Paperback	394	3	Literary Fiction	N	The trilogy goes on too long
2023-05-12	Stoner	John Williams	English	English	Paperback	278	5	Literary Fiction	Y	
2023-05-16	My Brilliant Friend	Elena Ferrante	Italian	English	Paperback	336	5	Literary Fiction	Y	Recommended to everyone
2023-05-26	Middlemarch	George Eliot	English	English	Hardback	904	5	Literary Fiction	Y	The great English novel
2023-06-01	Beautiful World Where Are You	Sally Rooney	English	English	Hardback	356	3	Literary Fiction	N	Disappointed. Found it too self-referential.
2023-06-03	Winter Journal	Paul Auster	English	English	Paperback	230	4	Non-fiction	Sometimes	
2023-06-10	The Fire Next Time	James Baldwin	English	English	Paperback	106	5	Non-fiction	Y	Essential American text
2023-06-15	Hemligheten	Karin Sjogren	Swedish	Swedish	Paperback	228	4	Literary Fiction	Y	Written by a loyal customer! Charming debut.
2023-07-06	North and South	Elizabeth Gaskell	English	English	Paperback	464	5	Literary Fiction	Y	
2023-07-07	Long Life	Mary Oliver	English	English	Paperback	96	4	Non-fiction	Sometimes	Prose poems really
2023-07-08	Pachinko	Min Jin Lee	English	English	Paperback	485	5	Literary Fiction	Y	One of the best I have read in years
2023-07-22	Metamorphosis and Other Stories	Franz Kafka	German	English	Paperback	160	5	International	Y	
2023-08-19	Bleak House	Charles Dickens	English	English	Hardback	989	5	Literary Fiction	Sometimes	Read slowly over six months
2023-09-16	Snow Country	Yasunari Kawabata	Japanese	English	Paperback	175	4	International	Sometimes	Atmospheric
2023-09-20	Barabbas	Par Lagerkvist	Swedish	Swedish	Paperback	144	4	Literary Fiction	Sometimes	Short classic
2023-09-23	Poet in New York	Federico Garcia Lorca	Spanish	English	Paperback	183	4	Poetry	Sometimes	
2023-10-06	Gilead	Marilynne Robinson	English	English	Paperback	247	5	Literary Fiction	Y	
2023-10-11	All the Light We Cannot See	Anthony Doerr	English	English	Paperback	530	4	Literary Fiction	Sometimes	Beautiful sentences
2023-10-11	Kati i Amerika	Astrid Lindgren	Swedish	Swedish	Paperback	176	4	Children	Sometimes	
2023-10-12	Circe	Madeline Miller	English	English	Paperback	393	5	Literary Fiction	Y	Great summer read
2023-10-13	Daniel Deronda	George Eliot	English	English	Hardback	876	4	Literary Fiction	Sometimes	Almost as good as Middlemarch
2023-10-20	The Emperor of All Maladies	Siddhartha Mukherjee	English	English	Hardback	571	5	Non-fiction	Y	
2023-10-26	Home	Marilynne Robinson	English	English	Paperback	325	4	Literary Fiction	Sometimes	
2023-11-02	Those Who Leave and Those Who Stay	Elena Ferrante	Italian	English	Paperback	418	4	Literary Fiction	Y	
2023-11-08	The Shepherd's Life	James Rebanks	English	English	Paperback	280	4	Non-fiction	Sometimes	
2023-11-11	The Moomins and the Great Flood	Tove Jansson	Swedish	English	Paperback	112	4	Children	Sometimes	Read in English to compare
2023-11-14	Twenty Love Poems and a Song of Despair	Pablo Neruda	Spanish	English	Paperback	68	4	Poetry	Y	
2023-11-17	Pnin	Vladimir Nabokov	Russian	English	Paperback	191	5	Literary Fiction	Y	Gentler side of Nabokov
2023-11-18	Pond	Claire-Louise Bennett	English	English	Paperback	192	4	Literary Fiction	Sometimes	
2023-11-29	In a Sunburned Country	Bill Bryson	English	English	Paperback	307	3	Non-fiction	N	Australia book - less engaging
2023-11-29	Det händer Elin	Mia Franck	Swedish	Swedish	Paperback	268	3	Literary Fiction	N	Okay. Not memorable.
2023-12-06	The Famished Road	Ben Okri	English	English	Paperback	500	4	International	Sometimes	Dense but rewarding
2023-12-15	Jane Eyre	Charlotte Bronte	English	English	Paperback	507	5	Literary Fiction	Y	Reread. Still thrilling.
2024-02-21	Selected Poems	Maya Angelou	English	English	Paperback	273	4	Poetry	Y	
2024-02-22	Crush	Richard Siken	English	English	Paperback	80	5	Poetry	Y	Keeps coming back to me
2024-02-23	The White Book	Han Kang	Korean	English	Paperback	160	4	International	Y	More a prose poem than novel
2024-03-02	The Ones Who Walk Away from Omelas	Ursula Le Guin	English	English	Paperback	96	5	Literary Fiction	Y	Short. Essential.
2024-03-14	I Curse the River of Time	Per Petterson	Norwegian	English	Paperback	233	4	International	Sometimes	
2024-04-03	Der Vorleser	Bernhard Schlink	German	German	Paperback	208	4	Literary Fiction	Sometimes	Read in German. Manageable level for me.
2024-04-09	Flaubert's Parrot	Julian Barnes	English	English	Paperback	190	4	Literary Fiction	Sometimes	
2024-04-12	The Plague	Albert Camus	French	English	Paperback	308	5	Literary Fiction	Y	Read during 2020. Hit differently.
2024-04-13	Another Country	James Baldwin	English	English	Paperback	436	4	Literary Fiction	Sometimes	Dense. Rewarding.
2024-04-16	The Mill on the Floss	George Eliot	English	English	Paperback	519	4	Literary Fiction	Sometimes	
2024-04-19	Catch-22	Joseph Heller	English	English	Paperback	453	5	Literary Fiction	Y	
2024-04-23	The Periodic Table	Primo Levi	Italian	English	Paperback	233	5	Non-fiction	Y	
2024-04-30	The Periodic Table reread	Primo Levi	Italian	English	Paperback	233	5	Non-fiction	Y	Second reading. Still brilliant.
2024-05-02	Bird by Bird	Anne Lamott	English	English	Paperback	237	5	Non-fiction	Y	Essential for anyone writing
2024-05-11	Upstream	Mary Oliver	English	English	Paperback	192	4	Non-fiction	Sometimes	
2024-06-04	Selected Poems 1950-1975	Adrienne Rich	English	English	Paperback	195	5	Poetry	Y	
2024-06-07	Duino Elegies	Rainer Maria Rilke	German	English	Paperback	60	5	Poetry	Y	
2024-06-08	The Grapes of Wrath	John Steinbeck	English	English	Paperback	464	5	Literary Fiction	Y	
2024-06-14	In the Skin of a Lion	Michael Ondaatje	English	English	Paperback	243	4	Literary Fiction	Sometimes	
2024-06-14	Cat's Eye	Margaret Atwood	English	English	Paperback	421	4	Literary Fiction	Sometimes	
2024-06-20	H Is for Hawk	Helen Macdonald	English	English	Paperback	300	5	Non-fiction	Y	Unexpected masterpiece
2024-06-20	Oh William!	Elizabeth Strout	English	English	Paperback	242	4	Literary Fiction	Y	
2024-07-02	The Warmth of Other Suns	Isabel Wilkerson	English	English	Paperback	622	5	Non-fiction	Sometimes	Long but important
2024-07-05	The Color Purple	Alice Walker	English	English	Paperback	295	5	Literary Fiction	Sometimes	
2024-07-09	On Earth We're Briefly Gorgeous	Ocean Vuong	English	English	Paperback	246	5	Literary Fiction	Y	
2024-07-13	Wives and Daughters	Elizabeth Gaskell	English	English	Paperback	705	4	Literary Fiction	Sometimes	Long but good
