Date	Yoga Class (Y/N)	Walking Miles	Sleep Hours	Energy Level (1-5)	Notes
2025-03-28	N	5.3	7.5	4	Delivered Tangerine edits ahead of schedule
2025-03-29	Y	5.0	7.0	4	Saturday class, month wrapping up well
2025-03-30	N	4.8	8.0	3	Sunday walk, caught cherry blossoms starting near the park
2025-03-31	N	5.2	7.5	4	March wrap-up, Q1 feels strong
2025-10-01	N	5.3	7.5	4	October starting cool and crisp, walked to Forager for research lunch
2025-10-02	N	5.6	7.5	4	Night market editorial shoot planning, reviewed location notes
2025-10-03	N	4.8	7.5	4	Edgewater night markets shoot, evening light was exactly right
2025-10-04	Y	5.0	7.0	4	Saturday class, sweater weather finally
2025-10-05	N	4.2	8.0	3	Lily's birthday, called Kevin and Priya, little niece is one today
2025-10-06	N	5.4	7.5	4	Editing night markets set, love how these came out
2025-10-07	Y	4.8	7.0	4	Tuesday class, teacher did a restorative segment at the end
2025-10-08	N	6.1	6.5	3	Savor winter editorial shoot at studio, long day
2025-10-09	N	4.5	8.0	4	Recovery and editing, delivered first batch to Savor
2025-10-10	N	5.2	7.5	4	Called Tomas about upcoming brand pitches
2025-10-11	Y	5.0	7.0	4	Saturday class, fall colors starting in McCarren Park
2025-10-12	N	4.8	8.0	3	Sunday walk to Williamsburg Greenmarket
2025-10-13	N	5.4	7.5	4	Back to editing, good focus day
2025-10-14	Y	4.9	7.0	4	Tuesday class
2025-10-15	N	5.6	7.5	4	Admin day, invoices and taxes prep for Q3 review
2025-10-16	N	5.3	7.5	4	Good creative day, drafted some new caption ideas for Oatly
2025-10-17	N	4.6	7.5	3	Tired, gray day, coffee helped, short walk
2025-10-18	Y	5.0	7.0	4	Saturday class, felt centered after a scattered week
2025-10-19	N	4.2	8.0	3	Slow Sunday
2025-10-20	N	5.5	7.5	4	Monday hustle, prep for Lena Kitchen shoot
2025-10-21	Y	4.8	7.0	4	Tuesday class
2025-10-22	N	6.2	6.5	3	Lena Kitchen fall menu shoot, great plates today
2025-10-23	N	4.6	8.0	4	Editing Lena set, delivered by 5pm
2025-10-24	N	5.1	7.5	4	Catch-up on Oatly social deliverables
2025-10-25	Y	5.0	7.0	4	Saturday class
2025-10-26	N	4.5	8.0	3	Sunday, called Mom, she asked about the cookbook project
2025-10-27	N	5.3	7.5	4	October wrapping up strong
2025-10-28	Y	4.8	7.0	4	Tuesday class, really good energy
2025-10-29	N	5.4	7.5	4	Cookbook delivery timeline follow-up with Ana and Tomas
2025-10-30	N	5.0	7.5	4	Invoiced Edgewater and Oatly October
2025-10-31	N	3.8	7.5	3	Halloween, handed out candy, short walk through the neighborhood
2025-11-01	N	5.0	7.5	4	November, sweater month officially, strong coffee day
2025-11-02	N	5.2	7.5	4	Editing backlog cleared, sent two sets to clients
2025-11-03	N	4.8	7.5	4	Oatly November retainer invoiced
2025-11-04	Y	5.0	7.0	4	Tuesday class
2025-11-05	N	6.3	6.5	3	Tangerine holiday table shoot at studio, loved the linen props today
2025-11-06	N	4.6	8.0	4	Editing holiday table set, Tangerine approved by EOD
2025-11-07	N	5.2	7.5	4	Cookbook text and image review call with Ana
2025-11-08	Y	5.0	7.0	4	Saturday class
2025-11-09	N	4.5	8.0	3	Sunday with Mateo at home, made soup
2025-11-10	N	5.3	7.5	4	Strong Monday, archived summer shoots
2025-11-11	Y	4.8	7.0	4	Tuesday class, Veteran's Day, streets quieter than usual
2025-11-12	N	6.0	7.0	3	Estrela fall/winter menu shoot, kitchen smelled amazing
2025-11-13	N	4.7	8.0	4	Editing Estrela set, Ana approved same day
2025-11-14	N	5.1	7.5	4	Worked on year-end planning with Ravi notes
2025-11-15	Y	5.0	7.0	4	Saturday class, teacher back from vacation
2025-11-16	N	4.3	8.0	3	Gray Sunday, read two cookbooks cover to cover
2025-11-17	N	5.4	7.5	4	Monday prep for Cafe Rosi shoot
2025-11-18	Y	4.8	7.0	4	Tuesday class
2025-11-19	N	6.1	7.0	3	Cafe Rosi holiday menu shoot, tight space but good results
2025-11-20	N	4.8	8.0	4	Editing Rosi set, delivered same week
2025-11-21	N	5.2	7.5	4	Thanksgiving travel prep, called Mom about Flushing dinner
2025-11-22	Y	5.0	7.0	4	Saturday class before holiday week
2025-11-23	N	4.5	8.0	3	Sunday errands, stocked up before Thanksgiving
2025-11-24	N	5.4	7.5	4	Pre-Thanksgiving admin, cleared inbox
2025-11-25	Y	4.9	7.0	4	Tuesday class
2025-11-26	N	3.5	7.5	3	Thanksgiving prep, took train to Flushing for family dinner
2025-11-27	N	4.2	8.5	3	Thanksgiving at Mom and Dad's, quiet and good
2025-11-28	N	5.0	8.0	3	Recovery day after family dinner
2025-11-29	Y	5.0	7.0	4	Saturday class, back on schedule
2025-11-30	N	4.8	7.5	4	November wrap-up, good month overall
2025-12-01	N	5.0	7.5	4	December, feels cozy, started holiday playlist
2025-12-02	N	5.2	7.5	4	Oatly December retainer invoiced
2025-12-03	N	6.4	6.5	3	Palo Santo shoot, great dishes, chef was generous with plating
2025-12-04	N	4.8	8.0	4	Editing Palo Santo set
2025-12-05	N	4.6	7.5	4	Delivered Palo Santo edits
2025-12-06	Y	5.0	7.0	4	Saturday class, needed it after long shoot week
2025-12-07	N	4.2	8.0	3	Sunday, Mateo and I did a holiday walk in Greenpoint
2025-12-08	N	5.3	7.5	4	Edgewater winter markets feature prep
2025-12-09	Y	4.8	7.0	4	Tuesday class
2025-12-10	N	6.0	7.0	3	Edgewater winter markets shoot at Industry City
2025-12-11	N	4.7	8.0	4	Editing winter markets set
2025-12-12	N	5.1	7.5	4	Cookbook final review call with Ana and Tomas
2025-12-13	Y	5.0	7.0	4	Saturday class
2025-12-14	N	4.5	8.0	4	Birthday! Mateo took me to dinner, 35 today
2025-12-15	N	5.2	7.5	4	Estrela cookbook final invoice sent, big milestone
2025-12-16	Y	4.8	7.0	4	Tuesday class, good energy despite busy December
2025-12-17	N	5.4	7.5	4	Cafe Rosi holiday invoice cleared
2025-12-18	N	4.9	7.5	4	Year-end financial review with Ravi
2025-12-19	N	5.3	7.5	4	Archive organization, final edits for Savor winter issue
2025-12-20	Y	5.0	7.0	4	Saturday class, last one before holiday break
2025-12-21	N	4.5	8.0	3	Winter solstice, shortest day, long walk at dusk
2025-12-22	Y	4.8	7.0	4	Tuesday class, teacher closed with a gratitude theme
2025-12-23	N	4.6	8.0	3	Grocery haul for holiday cooking
2025-12-24	N	3.8	8.5	3	Christmas Eve, Mateo's family visited
2025-12-25	N	3.5	9.0	3	Christmas, slow day, called family in Flushing
2025-12-26	N	4.2	8.5	3	Leftovers and editing, quiet
2025-12-27	Y	4.5	7.5	4	Saturday class, back to it
2025-12-28	N	4.8	8.0	3	Sunday walk, reflecting on the year
2025-12-29	Y	4.9	7.0	4	Tuesday class
2025-12-30	N	5.0	7.5	4	Year-end archive and backup complete
2025-12-31	N	4.5	8.0	4	New Year's Eve, small dinner with Mateo and Jess, good end to a great year
