Date	Restaurant	Neighborhood	Borough	Dish Tried	Dairy-Free Safe (Y/N/Partial)	Taste Notes	Photo Taken (Y/N)	Rating (1-5)	Return (Y/N)
2025-04-16	Agi's Counter	Crown Heights	Brooklyn	Grain bowl with falafel and tahini	Y	Confirmed fully dairy-free, falafel crispy and herbaceous, tahini generous	Y	4	Y
2025-04-20	Golden Harvest Palace	Sunset Park	Brooklyn	Char siu noodle soup, taro dumpling steamed	Partial	Noodle soup broth clean, taro dumpling confirmed no dairy in filling today	Y	4	Y
2025-04-23	Ugly Baby	Carroll Gardens	Brooklyn	Larb gai, charred eggplant with fish sauce, tom kha (without coconut cream, got the clear version)	Partial	Tom kha clear broth version is dairy-free, larb confirmed no dairy, eggplant charred beautifully	Y	5	Y
2025-04-27	Sweetleaf	Long Island City	Queens	Oat latte and chia pudding with mango	Y	Summer fruit starting to appear on the menu	Y	5	Y
2025-04-30	Alma Cocina	Williamsburg	Brooklyn	Tostones with black bean dip, ceviche de camaron	Y	Both dishes confirmed dairy-free, ceviche light and citrusy, tostones perfectly crispy	Y	4	Y
2025-05-04	Golden Harvest Palace	Sunset Park	Brooklyn	Har gow, turnip cake, rice congee with pork and century egg	Y	Congee pork and century egg preparation confirmed no dairy, rich and silky	Y	5	Y
2025-05-07	Greenpoint Oyster	Greenpoint	Brooklyn	Mignonette oysters, clam chowder (skipped), grilled littlenecks with garlic	Partial	Oysters on the half shell completely clean, clam chowder has cream so skipped, grilled clams great	Y	5	Y
2025-05-11	Sweetleaf	Long Island City	Queens	Oat latte and seasonal granola	Y	Granola rotating with rhubarb strawberry compote, stunning color for photography	Y	5	Y
2025-05-14	Misi	Williamsburg	Brooklyn	Spaghetti with sea urchin (skipped sea urchin butter component, had the plain pasta)	Partial	Pasta without the sea urchin butter preparation is clean, excellent chew	Y	3	N
2025-05-18	Golden Harvest Palace	Sunset Park	Brooklyn	Shrimp and chive dumpling, lotus root with sweet soy, rice noodle rolls	Y	Lotus root dish confirmed no dairy, sweet soy and vinegar dressing only, crunchy and clean	Y	4	Y
2025-05-21	Lena Kitchen	Greenpoint	Brooklyn	Roasted salmon with dill and cucumber, grain salad	Y	Salmon oil-roasted not butter, cucumber salad with rice vinegar, clean Scandinavian flavors	Y	5	Y
2025-05-25	Sweetleaf	Long Island City	Queens	Oat latte and avocado toast with radish	Y	Consistent as always, beautiful morning light at the window counter	Y	5	Y
2025-05-28	Palo Santo	Park Slope	Brooklyn	Roasted plantain with mole negro, jackfruit tostada	Y	Fully plant-based restaurant, mole negro deep and complex with multiple dried chiles, jackfruit shredded perfectly	Y	5	Y
2025-06-01	Golden Harvest Palace	Sunset Park	Brooklyn	Char siu bao steamed, taro cake, soy braised tofu skin rolls	Y	Tofu skin rolls confirmed no dairy, char siu steamed bao always clean, beautiful for overhead photography	Y	4	Y
2025-06-04	Cafe Rosi	Williamsburg	Brooklyn	Linguine with clams (skipped the pasta, tried the grilled branzino)	Y	Branzino grilled with olive oil and lemon, confirmed no butter, clean and perfectly cooked	Y	4	Y
2025-06-08	Ivan Ramen	Lower East Side	Manhattan	Shio ramen and sesame spinach side	Partial	Spinach had sesame oil not dairy, shio ramen clean. One of the best ramen in the city.	Y	5	Y
2025-06-11	Sweetleaf	Long Island City	Queens	Iced oat latte and seasonal fruit bowl	Y	Summer menu fully in, stone fruit and berries, beautiful colors	Y	5	Y
2025-06-15	Golden Harvest Palace	Sunset Park	Brooklyn	Har gow, lotus leaf sticky rice, soy sauce chicken	Partial	Soy sauce chicken confirmed no dairy, lotus leaf parcel vegetable version this week	Y	4	Y
2025-06-18	Alma Cocina	Williamsburg	Brooklyn	Tostones, grilled shrimp skewers, mango salsa	Y	Full brand shoot day, also ate lunch here. Mango salsa bright and fresh. Shrimp skewers olive oil-based.	Y	5	Y
2025-06-22	Saraghina	Bed-Stuy	Brooklyn	Pizza margherita (observed, did not eat), arugula salad with lemon	Partial	Arugula salad with lemon and olive oil confirmed no cheese, crisp and perfect. The pizza is gorgeous for photos.	Y	3	N
2025-06-25	Sweetleaf	Long Island City	Queens	Iced oat latte	Y	Quick stop before Estrela summer reshoot	N	5	Y
2025-06-29	Golden Harvest Palace	Sunset Park	Brooklyn	Cheung fun with shrimp, turnip cake, har gow	Y	Cheung fun rice noodle confirmed no dairy today, silky with soy and sesame oil	Y	5	Y
2025-07-02	Ugly Baby	Carroll Gardens	Brooklyn	Whole fish with lemongrass and bird chile, papaya salad, crying tiger beef	Y	Server confirmed no dairy on any of the three dishes, fish steamed and fragrant, papaya salad assertive heat	Y	5	Y
2025-07-06	Golden Harvest Palace	Sunset Park	Brooklyn	Shrimp dumpling soup, turnip cake, pork and crab soup dumpling	Partial	Soup dumpling checked, pork and crab only, no dairy, very juicy and rich	Y	4	Y
2025-07-09	Wren Brooklyn	Williamsburg	Brooklyn	Watermelon salad with basil and sea salt, grilled corn with lime	Y	Summer menu is spectacular. Both dishes confirmed dairy-free. Corn charred and bright.	Y	5	Y
2025-07-13	Sweetleaf	Long Island City	Queens	Iced oat latte and cold brew float	Y	Oat milk cold brew float new summer special, rich and refreshing	Y	5	Y
2025-07-16	Los Tacos No. 1	Chelsea	Manhattan	Al pastor, suadero, and nopales tacos	Y	All three confirmed no dairy. Al pastor from the trompo absolutely perfect. Nopales tangy and grassy.	Y	5	Y
2025-07-20	Golden Harvest Palace	Sunset Park	Brooklyn	Congee with pork and thousand year egg, shrimp har gow, turnip cake	Y	Great Sunday spot, porridge rich and comforting even in summer	Y	4	Y
2025-07-23	Forager	Williamsburg	Brooklyn	Summer squash flatbread (olive oil base, no cheese), roasted tomato soup	Y	Server confirmed both items dairy-free, flatbread thin and crispy with herbs, tomato soup bright and acidic	Y	5	Y
2025-07-27	Sweetleaf	Long Island City	Queens	Iced oat cortado	Y	Busy Sunday, quick stop, reliable as always	N	5	Y
2025-07-30	Golden Harvest Palace	Sunset Park	Brooklyn	Dim sum tasting, steamed items only	Partial	Keeping to the steamed side of the menu, safe and satisfying	Y	4	Y
